首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  慈利县,602736,306846,295890,103.70,682398,58.66,11.78,158104,444632,181545,585365,3.22,21875,48272,83768,47553,1952
  桑植县,380885,194948,185937,104.85,456684,93.24,17.59,87672,293213,110248,354153,3.21,15299,31424,53561,24142,1121
益阳市,4307933,2190041,2117892,103.41,4759387,0.37,22.26,1719909,2588024,1254000,4123267,3.29,153456,348189,597078,294377,14356
  资阳区,409062,207251,201811,102.70,419917,0.22,22.97,192749,216313,121171,392126,3.24,15850,34145,60521,25379,1126
  赫山区,836455,419766,416689,100.74,913218,0.32,29.26,504858,331597,256319,786642,3.07,32567,83445,121630,49087,2157
  南县,725288,368398,356890,103.22,798221,0.28,28.68,261934,463354,203142,694082,3.42,22235,51879,98038,50967,2258
  桃江县,769863,394694,375169,105.20,872483,1.08,14.92,255276,514587,213565,731231,3.42,24597,55059,94131,60909,3466
  安化县,900995,461547,439448,105.03,1010287,0.09,12.43,223995,677000,249745,881990,3.53,29230,57399,118084,70381,3881
  沅江市,666270,338385,327885,103.20,745261,0.18,27.80,281097,385173,210058,637196,3.03,28977,66262,104674,37654,1468
郴州市,4583531,2375678,2207853,107.60,5012400,1.72,21.03,1911405,2672126,1344046,4412833,3.28,186516,401339,708739,226699,7269
  北湖区,419784,216619,203165,106.62,355352,1.44,46.99,347159,72625,133321,391548,2.94,19211,45894,71706,15479,242
  苏仙区,402750,204878,197872,103.54,363640,1.00,34.03,235812,166938,120798,354895,2.94,20209,40781,63628,15977,412
  桂阳县,696922,363879,333043,109.26,860794,0.33,16.83,243371,453551,199308,681062,3.42,25484,57116,105140,35935,1117
  宜章县,579340,302633,276707,109.37,614122,1.07,13.06,207410,371930,153716,565460,3.68,17142,36807,85211,30453,1245
  永兴县,572655,295882,276773,106.90,660964,0.04,16.67,187369,385286,173359,566122,3.27,26451,52195,89484,30613,1067
  嘉禾县,296811,154938,141873,109.21,401348,0.15,16.93,109709,187102,97181,295172,3.04,18711,40983,46861,9148,189
  临武县,338445,175191,163254,107.31,374415,0.38,23.60,91774,246671,97000,331750,3.42,14158,29201,51327,16007,465
