首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  漠河县,83414,43475,39939,108.85,84012,3.06,91.98,71307,12107,30738,81792,2.66,3832,13437,14800,2467,34
,,,,,,,,,,,,,,,,,
上海市,23019196,11854916,11164280,106.19,14185160,1.20,61.89,20555098,2464098,8253257,20593430,2.50,1641920,4119972,3265718,843621,23946
市辖区,22315474,11495595,10819879,106.25,13493127,1.22,62.84,20217748,2097726,7960089,19942478,2.51,1575046,3936626,3173571,826408,23484
  黄浦区,429891,213415,216476,98.59,603714,1.20,75.90,429891,,155657,398665,2.56,30762,68241,70325,16900,191
  卢湾区,248779,120762,128017,94.33,305144,1.12,84.76,248779,,91078,231382,2.54,18703,39714,40587,10671,106
  徐汇区,1085130,539751,545379,98.97,909294,1.20,84.41,1085130,,383017,964158,2.52,72379,168969,172196,41341,511
  长宁区,690571,334570,356001,93.98,623041,1.48,86.14,690571,,242972,604490,2.49,51149,108610,107719,26322,321
  静安区,246788,118817,127971,92.85,305766,1.34,84.14,246788,,91250,225612,2.47,20538,41496,39702,9922,130
  普陀区,1288881,650774,638107,101.99,879213,1.15,81.28,1288881,,463541,1174897,2.53,85367,204878,208317,49559,787
  闸北区,830496,419209,411287,101.93,693412,0.91,83.25,830496,,295819,762362,2.58,51321,121518,141226,32621,454
  虹口区,852476,422514,429962,98.27,793647,1.03,84.49,852476,,325044,802896,2.47,66197,146837,146580,31287,340
  杨浦区,1313222,664774,648448,102.52,1090745,1.11,85.72,1313222,,457767,1165525,2.55,79165,191301,217872,48059,535
  闵行区,2429372,1259640,1169732,107.69,971800,1.63,58.41,2429372,,875243,2154139,2.46,190029,467881,315419,89266,2677
  宝山区,1904886,1016282,888604,114.37,886282,0.92,62.46,1844435,60451,673997,1719286,2.55,113605,320997,287173,64513,1314
  嘉定区,1471231,789508,681723,115.81,559654,1.36,43.39,1223354,247877,542806,1288782,2.37,126635,325267,163869,51000,2670
  浦东新区,5044430,2606153,2438277,106.89,2773854,1.16,62.18,4487147,557283,1815251,4555874,2.51,357816,896146,730485,184417,4203
  金山区,732438,372691,359747,103.60,518624,0.95,50.33,452360,280078,245017,680867,2.78,38687,106515,91234,43947,3321
  松江区,1582398,826408,755990,109.31,581191,1.60,41.38,1342889,239509,503027,1280921,2.55,98111,274139,168384,57660,2844
  青浦区,1081022,575044,505978,113.65,465488,1.32,33.53,815411,265611,390639,950069,2.43,85948,225955,124556,37960,2168
  奉贤区,1083463,565283,518180,109.09,532258,0.95,37.55,636546,446917,407964,982553,2.41,88634,228162,147927,30963,912
县,703722,359321,344401,104.33,692033,0.47,31.85,337350,366372,293168,650952,2.22,66874,183346,92147,17213,462
  崇明县,703722,359321,344401,104.33,692033,0.47,31.85,337350,366372,293168,650952,2.22,66874,183346,92147,17213,462
,,,,,,,,,,,,,,,,,
江苏省,78660941,39626707,39034234,101.52,74963132,0.49,33.47,47371488,31289453,24381782,71685839,2.94,3432818,9177854,10256678,4685111,262139
南京市,8003744,4142501,3861243,107.28,6364200,1.24,60.16,6238186,1765558,2369147,6553738,2.77,365919,907979,1096690,352230,12248
  玄武区,651957,342821,309136,110.90,521394,1.25,84.69,651957,,170117,448355,2.64,29377,66404,81780,21702,231
  白下区,601961,305412,296549,102.99,463998,2.71,85.18,601961,,189311,498810,2.63,33162,75495,90068,23499,249
  秦淮区,405955,213350,192605,110.77,254865,1.59,70.01,405955,,123721,318748,2.58,23081,53669,55938,13948,166
  建邺区,427089,225556,201533,111.92,243404,2.34,73.41,427089,,138543,366226,2.64,24278,58105,63912,16300,226
  鼓楼区,826074,414115,411959,100.52,677162,1.64,87.86,826074,,223195,611707,2.74,34386,77962,112684,32229,320
  下关区,445117,236811,208306,113.68,311442,1.06,76.78,445117,,149836,371956,2.48,31104,68424,68054,13252,106
  浦口区,710298,372290,338008,110.14,565261,1.09,57.47,453781,256517,200623,578216,2.88,27491,72232,96565,30719,1107
  栖霞区,644295,330694,313601,105.45,429577,0.94,70.80,482091,162204,172388,452760,2.63,32142,75737,76063,20111,477
  雨花台区,391293,212594,178699,118.97,226643,1.09,67.40,346797,44496,119848,316826,2.64,19796,52482,53576,13528,262
  江宁区,1145628,591017,554611,106.56,931097,0.71,42.23,734677,410951,326927,925164,2.83,47242,121116,151244,52184,2383
  六合区,915625,466469,449156,103.85,891342,1.29,34.21,452389,463236,280731,870280,3.10,30074,87080,126087,63231,4333
  溧水县,421323,217519,203804,106.73,417967,0.25,21.53,206419,214904,133974,387336,2.89,16581,49611,60073,23171,1119
  高淳县,417129,213853,203276,105.20,430048,0.27,15.74,203879,213250,139933,407354,2.91,17205,49662,60646,28356,1269
无锡市,6374399,3306295,3068104,107.76,4673509,0.80,37.06,4481903,1892496,2050680,5712793,2.79,297007,881816,813308,341410,14146
  崇安区,229003,117156,111847,104.75,186452,0.32,75.87,229003,,78954,208445,2.64,12850,33120,35997,9645,192
  南长区,378491,191538,186953,102.45,333557,0.26,80.58,378491,,133180,349536,2.62,21567,56003,59922,16939,316
  北塘区,336894,173983,162911,106.80,254097,0.41,74.23,336894,,117974,312339,2.65,19028,50155,51899,15592,328
  锡山区,681413,355840,325573,109.30,413603,1.41,19.94,435732,245681,211091,601844,2.85,32088,94596,72690,41083,2722
  惠山区,691077,368299,322778,114.10,417828,0.99,16.60,444006,247071,222999,616047,2.76,33880,101929,84249,35427,1394
  滨湖区,1226841,642198,584643,109.84,778124,0.74,56.49,933610,293231,360807,1000202,2.77,54252,156854,146367,55441,2145
  江阴市,1595138,822326,772812,106.41,1208971,0.76,23.24,1013670,581468,495922,1461798,2.95,63336,195645,189393,106077,4807
  宜兴市,1235542,634955,600587,105.72,1080877,0.81,25.81,710497,525045,429753,1162582,2.71,60006,193514,172791,61206,2242
徐州市,8577225,4313811,4263414,101.18,9759913,0.14,27.96,4561500,4015725,2610420,8251525,3.16,329871,821585,1309733,458719,20383
  鼓楼区,490855,247096,243759,101.37,442073,0.34,75.34,483927,6928,157222,469108,2.98,18626,49020,83744,23917,541
  云龙区,345393,174042,171351,101.57,307310,0.27,86.77,345393,,107582,317482,2.95,13788,33906,57381,15945,350
  九里区,160561,84522,76039,111.16,185477,0.14,63.50,160561,,45005,145105,3.22,5295,13151,24192,7445,217
  贾汪区,430712,220088,210624,104.49,506236,0.10,28.68,205592,225120,133309,424663,3.19,18898,43324,63979,25256,750
  泉山区,539693,277824,261869,106.09,459167,0.62,90.67,539693,,169346,466979,2.76,20795,59145,91638,18343,220
  丰县,963531,486511,477020,101.99,1168596,0.25,11.34,390717,572814,310039,943604,3.04,42636,112068,149734,46107,2130
  沛县,1141935,574727,567208,101.33,1268614,0.06,21.50,495950,645985,334143,1092464,3.27,35657,94181,180108,57053,2801
  铜山县,1086564,532783,553781,96.21,1264551,0.06,13.08,479629,606935,340329,1034032,3.04,49749,117457,160728,59688,2456
  睢宁县,1039315,512262,527053,97.19,1337388,0.05,12.73,426297,613018,330971,1015206,3.07,47113,110758,152373,64127,3713
  新沂市,920628,464345,456283,101.77,1052560,0.06,17.55,402169,518459,275934,911065,3.30,33595,79605,140466,52983,2880
  邳州市,1458038,739611,718427,102.95,1767941,0.06,14.74,631572,826466,406540,1431817,3.52,43719,108970,205390,87855,4325
常州市,4592431,2341100,2251331,103.99,3605655,0.85,33.04,2900970,1691461,1553508,4211091,2.71,240163,687449,628594,228437,9028
  天宁区,513794,259306,254488,101.89,375014,0.35,70.71,513794,,180089,474851,2.64,28753,77810,80775,21067,437
  钟楼区,505762,256442,249320,102.86,355991,0.43,71.47,505762,,165492,442384,2.67,26058,69134,74282,21598,478
  戚墅堰区,105184,55158,50026,110.26,79944,2.07,57.86,105184,,36586,96586,2.64,5685,16632,15454,4405,95
  新北区,597144,311543,285601,109.08,451119,0.72,27.36,316454,280690,184747,526953,2.85,26720,77152,71519,34363,1713
  武进区,1569034,813258,755776,107.61,1015779,1.35,15.56,816182,752852,517786,1427371,2.76,77438,237055,198309,78446,3976
  溧阳市,749522,375696,373826,100.50,778935,0.42,23.52,368409,381113,258028,714741,2.77,36974,102705,110735,43020,1568
  金坛市,551991,269697,282294,95.54,548873,0.78,26.65,275185,276806,210780,528205,2.51,38535,106961,77520,25538,761
苏州市,10459890,5334473,5125417,104.08,6377730,0.70,36.12,7329514,3130376,2922797,8300878,2.84,418081,1280070,1054899,539570,48258
  沧浪区,395046,196517,198529,98.99,321119,0.54,83.80,395046,,135927,357014,2.63,21247,54699,65071,15930,227
  平江区,964067,490422,473645,103.54,580934,0.86,64.91,928750,35317,266360,720003,2.70,43530,117846,105577,40710,2227
  金阊区,290830,146003,144827,100.81,204984,0.47,68.32,290830,,103054,263260,2.55,18135,47376,44843,10615,220
  虎丘区,572071,290350,281721,103.06,336531,0.76,56.15,470470,101601,150476,439723,2.92,20683,61324,55674,30949,2529
  吴中区,1157120,586619,570501,102.83,599615,0.72,27.78,766204,390916,292407,851610,2.91,37762,123385,105162,58737,5123
  相城区,692947,362388,330559,109.63,375584,1.21,14.89,450852,242095,200318,575495,2.87,25860,91334,68545,37202,3237
  常熟市,1510453,758458,751995,100.86,1069363,0.52,31.26,929124,581329,438123,1289476,2.94,68415,186642,136758,101805,12918
  张家港市,1246762,631019,615743,102.48,905114,0.50,30.14,762625,484137,342450,1024651,2.99,35127,126978,141361,70543,3568
  昆山市,1644860,866440,778420,111.31,713029,0.72,32.69,1118617,526243,430509,1147104,2.66,67241,221628,145221,59544,4116
  吴江市,1273880,641493,632387,101.44,801523,0.78,21.27,781771,492109,352265,1010224,2.87,51375,156731,116744,72404,6386
  太仓巿,711854,364764,347090,105.09,469934,0.60,30.80,435225,276629,210908,622318,2.95,28706,92127,69943,41131,7707
南通市,7283622,3443092,3840530,89.65,7659001,0.30,24.84,4064388,3219234,2588400,6850823,2.65,468643,1169504,920870,465098,32928
  崇川区,869049,435088,433961,100.26,691808,0.47,68.49,842412,26637,276769,739586,2.67,45529,115458,123144,36933,1234
  港闸区,266326,135452,130874,103.50,188436,0.35,34.04,201577,64749,80317,229880,2.86,13056,33307,29701,16328,981
  通州区,1138738,526279,612459,85.93,1253102,0.38,15.02,568396,570342,413644,1086049,2.63,78224,191236,140623,76274,5511
  海安县,866337,404695,461642,87.66,937517,0.29,25.22,424900,441437,302839,841576,2.78,47635,124873,102714,69643,5609
  如东县,995983,478054,517929,92.30,1050794,0.35,16.52,479170,516813,341107,963027,2.82,48290,142910,115618,76102,6477
  启东市,972525,447908,524617,85.38,1126926,0.14,21.42,479243,493282,420406,911300,2.17,104437,250540,141495,27730,641
  如皋市,1267066,604253,662813,91.16,1408852,0.23,13.68,614909,652157,394838,1235178,3.13,49371,125201,138889,119876,10872
  海门市,907598,411363,496235,82.90,1001566,0.28,20.94,453781,453817,358480,844227,2.36,82101,185979,128686,42212,1603
连云港市,4393482,2225490,2167992,102.65,4982954,0.15,33.97,2273872,2119610,1286515,4207272,3.27,165382,393413,625620,257609,9873
  连云区,232097,121740,110357,110.31,208506,0.27,77.54,201589,30508,73320,216430,2.95,9710,26281,35353,11339,347
  新浦区,587380,308138,279242,110.35,460205,0.25,64.06,506495,80885,160503,492370,3.07,18531,49844,85030,25072,557
  海州区,231046,117586,113460,103.64,236283,0.14,44.78,189309,41737,66463,225008,3.39,6184,18020,34211,13691,541
  赣榆县,950486,469403,481083,97.57,1121000,0.04,44.84,413809,536677,308240,924991,3.00,45822,107010,155560,44435,1235
  东海县,952668,474186,478482,99.10,1141664,0.19,17.43,398794,553874,267850,933931,3.49,31595,73957,123043,67549,3301
  灌云县,817509,417608,399901,104.43,1046624,0.16,15.84,320405,497104,227066,804423,3.54,25802,62496,109689,52790,2091
  灌南县,622296,316829,305467,103.72,768672,0.11,17.66,243471,378825,183073,610119,3.33,27738,55805,82734,42733,1801
淮安市,4801662,2387443,2414219,98.89,5424286,0.19,27.77,2438667,2362995,1390682,4562776,3.28,155291,385510,626168,356989,22015
  清河区,530012,275522,254490,108.26,373738,0.37,61.61,530012,,133855,419887,3.14,15838,40180,66119,26468,1088
  楚州区,984983,491843,493140,99.74,1186567,0.09,19.42,419542,565441,288633,952971,3.30,35672,76413,122466,84116,5638
  淮阴区,789747,389339,400408,97.24,908883,0.28,21.01,332861,456886,223378,761514,3.41,23930,57491,102918,59650,3319
  清浦区,330664,166007,164657,100.82,325566,0.28,52.44,241240,89424,96932,323309,3.34,9372,23089,47404,24986,1453
  涟水县,859787,420602,439185,95.77,1113229,0.19,13.27,336643,523144,245378,841683,3.43,27239,62813,113918,64915,3732
  洪泽县,326459,159748,166711,95.82,390869,0.08,24.36,146359,180100,105484,321872,3.05,11876,32413,46241,25175,1655
  盱眙县,658759,327149,331610,98.65,770350,0.10,30.18,288664,370095,182496,629387,3.45,15562,45794,81287,51727,3688
  金湖县,321251,157233,164018,95.86,355084,0.15,25.08,143346,177905,114526,312153,2.73,15802,47317,45815,19952,1442
盐城市,7262200,3650872,3611328,101.09,8203733,0.21,29.01,3772779,3489421,2400777,6978793,2.91,339449,924975,996627,458159,21016
  亭湖区,904514,460855,443659,103.88,877811,0.21,49.58,755022,149492,277283,839367,3.03,33872,89070,129782,55992,2439
  盐都区,711322,359985,351337,102.46,760044,0.12,28.32,381804,329518,222716,658239,2.96,33751,82578,90356,47625,2157
  响水县,509880,262329,247551,105.97,618017,0.21,21.25,225319,284561,145315,492944,3.39,14565,40213,68399,34944,1759
  滨海县,957215,485584,471631,102.96,1202236,0.19,20.79,415187,542028,288953,944659,3.27,39988,90238,128890,67093,2732
  阜宁县,843464,425714,417750,101.91,1103067,0.18,22.59,378267,465197,263494,818283,3.11,33358,81054,116285,63447,2708
  射阳县,897073,449659,447414,100.50,986700,0.17,23.98,424955,472118,313489,870285,2.78,43924,125741,134805,50833,2110
  建湖县,741764,375789,365975,102.68,804242,0.11,36.41,355021,386743,253133,707153,2.79,37000,100213,110442,40912,1566
  东台市,990306,478906,511400,93.65,1123484,0.31,28.74,489815,500491,368437,963705,2.62,62125,179588,122463,62523,3863
  大丰市,706662,352051,354611,99.28,728132,0.37,26.39,347389,359273,267957,684158,2.55,40866,136280,95205,34790,1682
扬州市,4460066,2196448,2263618,97.03,4631225,0.40,30.47,2530918,1929148,1402301,4207165,3.00,177799,468162,564224,346482,23433
  广陵区,341043,173511,167532,103.57,322768,0.66,68.74,341043,,110157,316274,2.87,16181,38453,50424,20621,659
  邗江区,576909,290554,286355,101.47,504622,0.32,25.93,308030,268879,156785,513197,3.27,15307,44289,61789,47278,3429
  维扬区,474611,237196,237415,99.91,408184,0.47,53.40,428458,46153,134166,405183,3.02,16173,42350,60665,29602,1549
  宝应县,752425,362946,389479,93.19,923564,0.13,23.67,333643,418782,258012,736763,2.86,37975,93516,103759,56936,3801
  仪征市,564021,286409,277612,103.17,569056,0.37,29.96,271969,292052,174342,538129,3.09,19269,53570,74515,43350,2907
  高邮市,744685,359914,384771,93.54,827502,0.83,19.64,341069,403616,241113,724126,3.00,28007,84219,90273,61617,5004
  江都市,1006372,485918,520454,93.36,1075529,0.23,22.60,506706,499666,327726,973493,2.97,44887,111765,122799,87078,6084
镇江市,3114105,1595880,1518225,105.11,2719759,0.59,34.42,1929892,1184213,974874,2848322,2.92,125645,358077,406217,201369,9211
  京口区,601876,317558,284318,111.69,511442,0.92,64.59,524970,76906,180496,506071,2.80,24546,68138,82479,29180,699
  润州区,296539,154821,141718,109.25,246187,1.05,74.02,279054,17485,98110,270940,2.76,15151,36066,46765,14943,336
  丹徒区,302345,152400,149945,101.64,285467,0.35,10.82,146492,155853,90067,288014,3.20,8707,26984,36164,25415,1504
  丹阳市,960662,486281,474381,102.51,815873,0.58,23.15,500572,460090,311798,913701,2.93,40215,122824,119666,66207,3101
  扬中市,334977,170801,164176,104.04,281642,0.19,20.95,179771,155206,100018,306487,3.06,11953,34492,38191,25945,1390
  句容市,617706,314019,303687,103.40,579148,0.41,22.27,299033,318673,194385,563109,2.90,25073,69573,82952,39679,2181
泰州市,4618937,2308945,2309992,99.95,5011125,0.22,26.64,2570087,2048850,1527619,4421006,2.89,222414,589048,580225,337994,20352
  海陵区,594656,295837,298819,99.00,528506,0.25,48.71,509100,85556,179147,539625,3.01,22858,61379,72256,42797,2715
  高港区,283807,142484,141323,100.82,300591,0.48,23.84,167777,116030,90613,268828,2.97,13200,32868,32378,23532,1835
  兴化市,1253548,641297,612251,104.74,1549803,0.14,17.68,575288,678260,428790,1202425,2.80,70367,186749,158242,79289,4510
  靖江市,684360,348823,335537,103.96,667351,0.31,28.28,388119,296241,209660,645247,3.08,23896,70565,80459,55063,3573
  泰兴市,1073921,525763,548158,95.91,1170644,0.21,27.32,553079,520842,365218,1051085,2.88,54112,132707,145463,82701,4347
  姜堰市,728645,354741,373904,94.87,794230,0.17,22.46,376724,351921,254191,713796,2.81,37981,104780,91427,54612,3372
宿迁市,4719178,2380357,2338821,101.78,5550042,0.24,21.99,2278812,2440366,1304062,4579657,3.51,127154,310266,633503,341045,19248
  宿城区,796626,403513,393113,102.65,911318,0.24,35.02,447448,349178,228655,767278,3.36,24863,60066,113047,52918,2624
  宿豫区,641059,321444,319615,100.57,726098,0.10,23.45,335928,305131,172358,612600,3.55,16518,38876,81407,49177,2898
  沭阳县,1541083,773142,767941,100.68,1846074,0.11,20.39,730810,810273,416656,1497253,3.59,36429,96180,201095,112595,6786
  泗阳县,831112,423219,407893,103.76,1030944,0.76,16.41,387900,443212,225418,811621,3.60,24399,51371,104736,65822,3489
  泗洪县,909298,459039,450259,101.95,1035608,0.08,17.37,376726,532572,260975,890905,3.41,24945,63773,133218,60533,3451
,,,,,,,,,,,,,,,,,
浙江省,54426891,27965641,26461250,105.69,47331520,2.23,25.02,33550209,20876682,18854021,49425543,2.62,3839614,9094203,7415809,2245579,98430
杭州市,8700373,4457154,4243219,105.04,6876483,1.55,42.50,6372650,2327723,2970849,7680970,2.59,683789,1467355,1057042,424295,22157
  上城区,344594,170617,173977,98.07,324036,0.65,83.25,344594,,132660,327526,2.47,28343,61064,58762,12685,149
  下城区,526096,266656,259440,102.78,395268,0.59,73.29,526096,,201735,478348,2.37,53166,106581,76166,18553,435
  江干区,998783,529106,469677,112.65,442442,0.99,50.28,953007,45776,302743,717754,2.37,87030,179842,88355,32550,1996
  拱墅区,551874,286478,265396,107.94,311374,0.56,66.19,551874,,215345,493744,2.29,65471,122089,73560,19037,659
  西湖区,820017,421010,399007,105.51,619757,1.06,67.78,752588,67429,251516,645908,2.57,65603,120429,92378,36674,2035
  滨江区,319027,167580,151447,110.65,149990,1.62,57.86,319027,,105285,246672,2.34,36666,63240,29343,12183,519
  萧山区,1511290,765573,745717,102.66,1223558,2.27,29.41,1002153,509137,489436,1390293,2.84,86155,212108,180226,92738,4364
  余杭区,1170290,601883,568407,105.89,863274,1.19,38.99,712754,457536,391655,1080693,2.76,93408,180908,117392,85019,8336
  桐庐县,406450,206647,199803,103.43,403550,3.20,27.18,228918,177532,147246,382050,2.59,28129,71016,57705,18039,486
  淳安县,336843,166055,170788,97.23,454078,0.36,19.35,110677,226166,132152,319929,2.42,29485,68469,48927,14401,355
  建德市,430750,217344,213406,101.85,513149,1.14,25.92,183518,247232,156151,411959,2.64,28592,73328,59608,22499,716
  富阳市,717694,369483,348211,106.11,651438,3.40,18.19,416195,301499,239196,665675,2.78,38827,101995,99620,36234,1347
  临安市,566665,288722,277943,103.88,524569,1.96,17.13,271249,295416,205729,520419,2.53,42914,106286,75000,23683,760
宁波市,7605689,3883564,3722125,104.34,5747621,2.03,26.13,5195162,2410527,2855142,7044406,2.47,575035,1456511,1185525,209223,3883
  海曙区,373742,186890,186852,100.02,304196,0.72,75.57,373742,,137979,334557,2.42,27378,66506,62445,8951,77
  江东区,366648,179365,187283,95.77,277767,0.67,75.47,366648,,136373,335234,2.46,27934,63270,63089,9919,95
  江北区,361242,185058,176184,105.04,236707,1.13,44.90,244663,116579,131210,317922,2.42,27538,66283,56912,7920,95
  北仑区,612267,321489,290778,110.56,376378,2.29,32.08,437541,174726,222322,539290,2.43,47779,120480,83991,17480,371
  镇海区,418500,220364,198136,111.22,225582,1.77,37.77,239036,179464,165724,394693,2.38,34596,89099,68793,7749,83
  鄞州区,1359198,697036,662162,105.27,812303,2.59,22.52,921443,437755,497417,1209543,2.43,94501,259719,213636,23811,251
  象山县,503279,253374,249905,101.39,541713,0.69,16.44,276125,227154,187639,481138,2.56,36719,89152,78561,19592,334
  宁海县,646074,331001,315073,105.06,613263,1.78,12.81,363121,282953,237555,620806,2.61,46060,107678,107133,22349,395
  余姚市,1010659,512316,498343,102.80,837224,2.79,17.07,672909,337750,358963,945221,2.63,65213,166749,145417,45412,1385
  慈溪市,1462383,746733,715650,104.34,1038934,2.68,11.96,1059942,402441,589126,1391908,2.36,131703,333767,223136,31578,645
  奉化市,491697,249938,241759,103.38,483554,1.32,18.61,239992,251705,190834,474094,2.48,35614,93808,82412,14462,152
温州市,9122102,4797359,4324743,110.93,7852774,3.31,16.50,6022031,3100071,2910274,8040274,2.76,562593,1357320,1206208,334249,12497
  鹿城区,1293266,677507,615759,110.03,712385,2.76,40.78,1151476,141790,431361,1075331,2.49,93452,230319,166789,33600,653
  龙湾区,749303,406678,342625,118.69,343946,5.28,9.24,672392,76911,229198,617643,2.69,43162,120404,83766,23788,1240
  瓯海区,996870,537574,459296,117.04,406811,3.91,10.05,862957,133913,268250,723861,2.70,52923,141179,95769,29764,1538
  洞头县,87683,43635,44048,99.06,126869,2.49,14.93,39193,48490,34286,83332,2.43,8076,17674,13388,3158,66
  永嘉县,789154,417513,371641,112.34,936972,3.61,11.12,441744,347410,260528,703693,2.70,58185,127759,105538,26381,850
  平阳县,761664,393942,367722,107.13,864226,3.13,16.85,375144,386520,248763,716679,2.88,40570,100088,114677,32917,1081
  苍南县,1184643,619630,565013,109.67,1315444,2.62,20.01,648219,536424,362698,1126652,3.11,51339,126277,179458,54871,2092
  文成县,212077,110682,101395,109.16,363171,3.56,11.86,83892,128185,81131,206284,2.54,22582,40357,30746,9771,257
  泰顺县,233443,122949,110494,111.27,362196,5.74,11.27,93659,139784,83457,225292,2.70,19652,35132,34837,12915,573
  瑞安市,1424667,743814,680853,109.25,1179835,3.06,12.62,927383,497284,451243,1291620,2.86,78585,201929,190366,56687,2261
  乐清市,1389332,723435,665897,108.64,1240919,2.69,7.92,725972,663360,459359,1269887,2.76,94067,216202,190874,50397,1886
嘉兴市,4501657,2269227,2232430,101.65,3432862,1.33,26.62,2400663,2100994,1449492,4176804,2.88,240281,619056,499062,305097,26277
  南湖区,612663,309970,302693,102.40,475633,0.86,49.87,471554,141109,205253,547129,2.67,36517,94012,79974,29736,1531
  秀洲区,589219,302089,287130,105.21,367007,2.43,19.86,291089,298130,198641,552156,2.78,33896,93314,68474,34099,2754
  嘉善县,574187,294425,279762,105.24,385741,1.68,22.90,288588,285599,206919,546762,2.64,41248,104093,70133,30779,1914
  海盐县,430940,216181,214759,100.66,374175,0.54,27.87,204433,226507,132923,402823,3.03,17018,49627,48417,32222,2657
  海宁市,806966,405366,401600,100.94,663202,1.10,21.09,397690,409276,245750,757315,3.08,36734,93577,79609,65361,7203
  平湖市,671834,332806,339028,98.16,488959,1.15,26.79,346892,324942,207689,597489,2.88,36195,89469,67129,47083,4008
  桐乡市,815848,408390,407458,100.23,678145,1.41,21.31,400417,415431,252317,773130,3.06,38673,94964,85326,65817,6210
湖州市,2893542,1470472,1423070,103.33,2598712,1.57,26.65,1530418,1363124,903467,2649255,2.93,132223,355288,348645,184684,14850
  吴兴区,757165,381456,375709,101.53,601684,0.80,40.92,504572,252593,207496,624215,3.01,26697,75838,83902,44269,3487
  南浔区,536054,272095,263959,103.08,489278,1.88,19.89,243899,292155,169491,509358,3.01,25130,67019,57501,40008,4963
  德清县,491789,250741,241048,104.02,431028,2.10,24.00,246022,245767,160049,464294,2.90,26266,65897,56094,34686,3372
  长兴县,641982,328240,313742,104.62,623347,1.07,23.18,314372,327610,207631,608127,2.93,27738,77637,89990,38017,1987
  安吉县,466552,237940,228612,104.08,453375,2.62,18.79,221553,244999,158800,443261,2.79,26392,68897,61158,27704,1041
绍兴市,4912239,2469399,2442840,101.09,4391870,1.85,27.95,2877624,2034615,1739568,4489079,2.58,339517,836277,701020,197786,4485
  越城区,883836,438052,445784,98.27,650532,1.69,54.66,643199,240637,300851,793189,2.64,49854,135246,133842,31174,589
  绍兴县,1030847,526407,504440,104.35,722437,2.81,27.68,690969,339878,365123,946630,2.59,71501,189307,133664,41005,1147
  新昌县,380444,194372,186072,104.46,437645,0.69,20.15,199541,180903,154734,369372,2.39,35577,83039,60167,11413,115
  诸暨市,1157938,580569,577369,100.55,1070549,2.07,12.78,606683,551255,389539,1018821,2.62,77129,182214,160660,45739,926
  上虞巿,779412,383307,396105,96.77,777591,1.95,29.57,391558,387854,274674,716491,2.61,52215,128583,105251,39503,1337
  嵊州市,679762,346692,333070,104.09,733116,0.76,22.06,345674,334088,254647,644576,2.53,53241,117888,107436,28952,371
金华市,5361572,2777642,2583930,107.50,4645488,3.40,18.39,3161801,2199771,1942210,4749267,2.45,473728,1032889,763781,142881,2659
  婺城区,761662,394561,367101,107.48,620954,2.74,37.83,563005,198657,287407,682824,2.38,73255,152040,115865,19203,299
  金东区,315583,164146,151437,108.39,311055,2.74,11.15,147592,167991,120228,283807,2.36,29074,69238,44580,6338,72
  武义县,349899,182627,167272,109.18,331044,5.48,13.63,216434,133465,141852,337270,2.38,36108,79508,53396,8793,155
  浦江县,437346,230214,207132,111.14,389487,5.00,13.68,245741,191605,145135,382585,2.64,28317,69770,62205,12947,213
  磐安县,174665,87826,86839,101.14,209008,0.58,13.72,69696,104969,67117,167147,2.49,14131,32171,29493,5363,90
  兰溪市,560514,284960,275554,103.41,655176,1.03,18.95,208272,352242,201372,539789,2.68,37531,88672,83352,28795,553
  义乌市,1234015,647079,586936,110.25,741352,3.61,17.75,878903,355112,419193,983403,2.35,115329,248485,150708,19553,447
  东阳市,804398,402282,402116,100.04,812094,2.22,14.40,455912,348486,288030,704926,2.45,72665,147888,112608,26918,616
  永康市,723490,383947,339543,113.08,575318,5.91,12.35,376246,347244,271876,667516,2.46,67318,145117,111574,14971,214
衢州市,2122661,1082602,1040059,104.09,2491780,1.28,20.76,936833,1185828,767535,1991669,2.59,142797,352537,314749,97589,2660
  柯城区,464527,235553,228974,102.87,408937,1.19,41.26,322046,142481,163401,429536,2.63,28104,71563,71932,19450,456
  衢江区,341436,182148,159288,114.35,397299,1.20,6.58,100642,240794,117467,316967,2.70,21783,51054,46871,18926,616
  常山县,241368,122243,119125,102.62,332038,0.53,15.30,91070,150298,89635,231548,2.58,16339,41086,36677,11572,300
  开化县,245088,119580,125508,95.28,351578,0.58,15.25,93045,152043,92742,236141,2.55,17532,44076,36402,11955,309
  龙游县,362380,188570,173810,108.49,402337,2.94,18.88,129689,232691,128679,327885,2.55,23320,62236,51602,14427,414
  江山市,467862,234508,233354,100.49,599591,0.89,17.84,200341,267521,175611,449592,2.56,35719,82522,71265,21259,565
舟山市,1121261,588414,532847,110.43,969734,1.02,31.18,713057,408204,430011,1028706,2.39,89462,229774,164453,34926,858
  定海区,464184,241134,223050,108.11,376872,0.83,34.97,305761,158423,176513,424046,2.40,38473,91467,69744,14968,334
  普陀区,378805,198417,180388,109.99,322226,1.35,30.72,236429,142376,145992,352048,2.41,29512,77175,56144,12336,337
