首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  山海关区,772,2397,13724,15666,44151,35669,22206,18316,6404,5709,3408,2907,9.99,10.19,9.78,2525,507,2018,1.58,0.60,2.68
  北戴河区,330,1134,6032,6486,14402,13551,9122,8246,6059,12259,2358,2067,11.21,10.98,11.42,1195,220,975,1.55,0.62,2.35
  青龙满族自治县,3254,7293,65438,89738,127346,94395,28739,15919,6947,4992,2550,1809,8.48,8.92,8.00,9031,2522,6509,2.22,1.20,3.32
  昌黎县,3002,8715,73106,76532,139730,127500,35233,32287,8059,8287,6017,6925,8.92,9.05,8.77,10509,2488,8021,2.19,1.03,3.38
  抚宁县,3740,9185,73097,78609,122520,109276,33694,28787,9155,9444,3640,3885,8.77,8.96,8.58,11062,2994,8068,2.51,1.34,3.70
  卢龙县,3026,9518,55022,62343,94435,80544,21880,16885,4538,4598,2018,2382,8.47,8.77,8.16,11006,2523,8483,3.44,1.56,5.36
邯郸市,84617,261814,1014063,1273047,2203112,1957182,578333,449662,159534,138962,79220,62272,8.81,9.27,8.37,306726,67641,239085,4.22,1.89,6.47
  邯山区,1072,4425,22366,28006,56246,57804,50392,47293,25982,25627,26237,18671,11.51,11.87,11.15,4682,740,3942,1.41,0.45,2.36
  丛台区,799,3001,21426,25962,53536,54127,55212,55688,26807,24423,13489,11336,11.40,11.67,11.15,3137,557,2580,1.00,0.36,1.62
  复兴区,816,2530,14257,15033,35255,31857,30043,25181,10503,8654,4384,2948,10.63,10.89,10.34,2875,602,2273,1.75,0.70,2.90
  峰峰矿区,3920,11214,43397,42744,129022,113980,52838,44646,15032,13264,3875,3004,9.53,9.77,9.28,13650,3271,10379,3.13,1.45,4.95
  邯郸县,2455,9973,45812,61282,111510,96977,32483,25761,8887,8095,5200,4586,9.11,9.54,8.70,10681,1747,8934,2.91,0.96,4.82
  临漳县,6603,19985,72593,92794,139087,135860,29018,20872,4931,4140,2086,1818,8.31,8.80,7.87,22668,4933,17735,4.88,2.27,7.19
  成安县,4699,15750,45432,57968,81133,79262,19038,14979,3903,3617,1440,1352,8.24,8.78,7.77,19071,4132,14939,6.55,3.05,9.60
  大名县,9253,25412,93914,122543,196113,172712,28357,18500,5484,4807,2489,1981,8.21,8.70,7.74,30332,7360,22972,5.19,2.61,7.61
  涉县,2222,6278,44915,55725,102872,90070,33905,23840,7801,6334,2941,2451,9.09,9.46,8.71,7366,1741,5625,2.18,1.01,3.37
  磁县,5171,17306,77257,98569,172996,155491,36950,23740,7533,5951,2251,1778,8.53,8.99,8.09,19887,4128,15759,3.69,1.55,5.78
  肥乡县,4953,13540,43212,52918,89964,78064,15150,10530,2801,2219,1044,839,8.20,8.69,7.72,15594,3691,11903,5.73,2.75,8.63
  永年县,9392,28240,120450,149099,251819,209766,37222,28558,5521,4644,2012,1604,8.23,8.67,7.80,34396,7902,26494,4.76,2.21,7.26
  邱县,2357,7124,27592,34190,53276,46504,11778,8444,2548,2014,870,755,8.41,8.89,7.95,8239,1841,6398,4.79,2.17,7.35
  鸡泽县,4704,14214,38863,47253,62007,48257,12166,8311,2266,1648,821,665,7.83,8.48,7.20,17544,4059,13485,8.40,3.94,12.73
