首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
常德市,59258,144631,768201,836540,1163902,1086067,533093,448256,130025,118821,61639,48072,8.94,9.23,8.64,183092,50264,132828,3.69,2.02,5.38
  武陵区,1929,5412,45813,50166,98097,100379,83905,87226,34184,37688,27254,23043,10.99,11.13,10.86,5904,1332,4572,1.07,0.50,1.62
  鼎城区,7765,20728,95964,105975,178002,172651,98115,79739,15532,13808,5158,4238,9.06,9.37,8.76,26062,6715,19347,3.52,1.81,5.24
  安乡县,5926,14270,64987,71648,115216,105759,54500,43749,10283,8952,2951,2239,8.89,9.20,8.57,18030,4986,13044,3.90,2.13,5.71
  汉寿县,8360,19097,113792,121897,180366,171936,56433,42860,11759,9773,4318,3290,8.54,8.83,8.26,24448,7007,17441,3.63,2.07,5.20
  澧县,8154,22979,123067,141687,161841,151175,71191,58295,15746,13989,5885,4342,8.61,8.98,8.26,28328,6976,21352,3.99,1.99,5.94
  临澧县,3602,10412,54319,65869,85836,78563,33025,24306,8357,6864,3416,2515,8.69,9.10,8.29,12005,2770,9235,3.46,1.60,5.31
  桃源县,13678,28568,140556,138195,177293,159365,61289,52442,11764,10423,4653,3417,8.29,8.54,8.03,38875,12169,26706,5.28,3.24,7.40
  石门县,7627,17766,99568,107842,113387,99580,47284,38599,13141,10890,5269,3343,8.48,8.82,8.13,22886,6547,16339,4.43,2.50,6.42
  津市市,2217,5399,30135,33261,53864,46659,27351,21040,9259,6434,2735,1645,9.28,9.64,8.89,6554,1762,4792,2.95,1.51,4.52
张家界市,23222,54581,227945,243530,287157,247275,105099,83435,37995,29220,15475,13058,8.56,8.96,8.14,70022,19940,50082,5.76,3.23,8.37
  永定区,5837,13575,58448,61018,84837,74827,34953,29817,17476,13544,7606,7880,9.27,9.61,8.91,16772,4649,12123,4.64,2.54,6.82
  武陵源区,1039,2226,7384,7539,9025,8139,4401,3725,1807,1591,887,682,8.95,9.35,8.54,3005,888,2117,7.01,4.11,9.97
  慈利县,8223,18683,100724,109597,118839,103846,42850,33494,11800,8922,4278,2753,8.34,8.70,7.96,24403,7261,17142,4.79,2.80,6.83
  桑植县,8123,20097,61389,65376,74456,60463,22895,16399,6912,5163,2704,1743,8.02,8.57,7.45,25842,7142,18700,8.56,4.64,12.62
益阳市,33874,82501,602360,634692,898103,841968,361376,301398,98651,89057,46463,34931,8.97,9.21,8.72,100041,26918,73123,2.73,1.45,4.03
  资阳区,2250,6531,47987,52835,89648,85785,40594,33943,8821,7648,3569,2984,9.20,9.47,8.93,7375,1725,5650,2.10,0.98,3.23
  赫山区,3850,11781,94683,104351,160669,157134,81674,72139,29649,30800,21605,15892,9.76,10.00,9.52,12954,2750,10204,1.81,0.77,2.84
  南县,6466,15504,102438,108396,164144,152846,57572,47398,13186,11130,4197,3302,8.72,8.97,8.46,20040,5663,14377,3.19,1.78,4.62
  桃江县,3733,9231,108433,115327,170194,159120,60548,48172,16033,13088,5876,4514,8.95,9.18,8.71,10867,2808,8059,1.69,0.86,2.54
  安化县,13073,27991,169695,168447,163922,144994,58100,47365,14560,12540,5328,3815,8.17,8.44,7.88,35756,10775,24981,4.79,2.82,6.86
  沅江市,4502,11463,79124,85336,149526,142089,62888,52381,16402,13851,5888,4424,9.16,9.41,8.90,13049,3197,9852,2.26,1.09,3.45
郴州市,38662,109133,592894,676601,971991,857737,357218,243823,103403,77882,50097,34890,8.94,9.40,8.47,126218,29322,96896,3.53,1.62,5.49
  北湖区,2205,6006,40858,44667,76678,70172,46761,40922,18677,16326,10490,7911,10.20,10.50,9.90,6168,1342,4826,1.82,0.78,2.90
  苏仙区,2336,6263,37872,43337,79793,76676,40427,33371,14014,11972,12745,11411,9.96,10.27,9.66,6650,1521,5129,1.98,0.90,3.06
  桂阳县,5744,19268,88384,105876,161573,136377,50279,28600,11315,7546,5007,2491,8.68,9.26,8.08,22292,4563,17729,4.21,1.69,6.83
  宜章县,3367,9338,64247,71419,124854,119388,57653,37662,11590,7966,3977,2135,9.28,9.74,8.81,10482,2404,8078,2.39,1.08,3.73
  永兴县,5152,13729,83176,97129,126605,108577,32128,19707,8218,5764,3038,1894,8.38,8.83,7.92,16620,4185,12435,3.76,1.87,5.68
  嘉禾县,4244,12994,49737,52281,60569,49524,14886,9118,5014,3387,1636,807,8.08,8.74,7.43,14994,3263,11731,6.94,3.03,10.83
  临武县,4005,9789,55671,61831,67470,57397,15583,9166,5846,4379,2186,1417,8.27,8.75,7.78,11353,2865,8488,4.58,2.30,6.89
  汝城县,3956,10964,55943,64100,64538,50069,18224,11064,6103,3954,2460,1395,8.15,8.72,7.57,12900,3067,9833,5.05,2.35,7.86
  桂东县,1648,3965,29280,33731,54357,43837,19492,11259,5539,3797,2255,1465,8.97,9.36,8.51,4232,1030,3202,2.23,1.01,3.63
  安仁县,3796,9798,49452,55763,82680,78503,30118,18982,7887,6069,2495,1342,8.79,9.26,8.32,12716,3426,9290,4.21,2.26,6.16
  资兴市,2209,7019,38274,46467,72874,67217,31667,23972,9200,6722,3808,2622,9.18,9.61,8.75,7811,1656,6155,2.77,1.17,4.41
永州市,48280,125065,656194,735220,1186480,1045695,402717,271844,93722,70709,43379,28091,8.83,9.25,8.38,152446,38901,113545,3.70,1.86,5.62
  零陵区,3326,10226,53888,67788,109999,101124,55836,37014,12030,12234,11473,9567,9.48,9.89,9.06,11091,2297,8794,2.53,1.04,4.05
  冷水滩区,3046,8922,43985,53138,98304,96927,59191,43752,17441,13217,7729,4751,9.76,10.22,9.29,11354,2748,8606,2.82,1.35,4.31
  祁阳县,8665,24150,100084,109970,199195,184241,63173,47185,15084,11117,6206,3756,8.79,9.21,8.37,29302,7238,22064,4.31,2.12,6.52
  东安县,3309,7366,50245,59566,138299,130957,50611,34843,9535,7292,3436,2204,9.23,9.55,8.90,8158,2126,6032,1.83,0.93,2.76
  双牌县,1880,4979,20079,23634,36171,30193,15757,10212,4247,2575,1261,679,8.87,9.41,8.28,7544,2185,5359,5.58,3.11,8.25
  道县,8589,19492,88865,90870,148283,115707,35633,21629,7692,4973,3191,1622,8.36,8.84,7.84,23716,6606,17110,5.14,2.73,7.80
  江永县,2931,7844,30874,39092,54191,41183,15053,8828,3610,2499,1287,768,8.36,8.94,7.74,9690,2486,7204,5.29,2.64,8.08
  宁远县,5066,14335,108892,114123,162092,139878,47896,27720,9295,5608,3684,1781,8.52,8.96,8.06,18562,4550,14012,3.37,1.61,5.24
  蓝山县,2715,6749,49474,53070,74893,66401,17267,12415,4401,3384,1220,690,8.48,8.83,8.12,7840,1961,5879,3.16,1.58,4.76
  新田县,4207,9282,43909,45186,75355,69195,20409,14759,5089,3840,1988,1053,8.59,8.97,8.21,12247,3657,8590,4.83,2.86,6.82
  江华瑶族自治县,4546,11720,65899,78783,89698,69889,21891,13487,5298,3970,1904,1220,8.17,8.66,7.66,12942,3047,9895,4.08,1.89,6.35
怀化市,68234,159926,673871,730771,1040952,895609,324579,238048,106635,83662,39769,29118,8.56,8.97,8.14,205405,58176,147229,5.23,2.90,7.65
  鹤城区,5215,9488,51696,52990,88949,87850,66701,60015,33026,30059,18375,15899,10.55,10.78,10.33,11702,3828,7874,2.50,1.62,3.39
  中方县,5804,11385,36731,36906,54234,48524,12089,7112,2780,1576,896,455,7.84,8.28,7.38,15393,5023,10370,7.80,4.99,10.74
  沅陵县,5882,16693,81597,94386,138120,112577,40048,28147,9671,6795,2960,1719,8.48,8.91,8.02,20712,5028,15684,4.28,2.01,6.68
  辰溪县,10877,23074,64438,65991,101535,86151,28574,20334,8603,6565,2508,1368,8.15,8.61,7.66,31119,9655,21464,8.19,4.97,11.56
  溆浦县,11620,27054,116807,128904,154098,134518,45165,30535,11452,8202,3071,1952,8.14,8.58,7.69,35894,10322,25572,5.97,3.40,8.61
  会同县,2348,7277,43636,52595,79389,67848,18435,10692,5499,3609,1663,948,8.49,8.95,8.01,8358,1811,6547,3.18,1.35,5.07
  麻阳苗族自治县,7066,15444,47886,51636,80532,69172,19831,12675,6824,4143,1595,1008,8.21,8.72,7.68,19963,6008,13955,7.13,4.20,10.19
  新晃侗族自治县,4741,10769,39061,39989,58935,42688,12859,8377,4005,2872,1333,843,8.06,8.53,7.53,13785,3893,9892,6.77,3.61,10.33
  芷江侗族自治县,3376,8117,59152,60930,72740,63518,18543,15052,5598,4968,1845,1329,8.34,8.61,8.06,11222,3224,7998,4.05,2.29,5.88
  靖州苗族侗族自治县,1856,5761,30974,36467,64269,53610,13849,8844,4597,3480,1571,1013,8.64,9.05,8.20,6395,1358,5037,3.16,1.31,5.13
  通道侗族自治县,3721,10959,37466,40523,42629,30714,9105,5887,3826,2773,1187,774,7.77,8.37,7.12,13201,3107,10094,7.89,3.61,12.45
  洪江市,5728,13905,64427,69454,105522,98439,39380,30378,10754,8620,2765,1810,8.72,9.07,8.36,17661,4919,12742,4.32,2.39,6.29
娄底市,27076,79783,478123,519253,772854,717562,366256,280655,86001,68528,44011,31501,9.16,9.54,8.76,88108,19523,68585,2.88,1.27,4.52
  娄星区,1225,3306,35144,36169,75931,78173,73146,70941,29092,24223,19768,15516,11.16,11.43,10.90,3290,669,2621,0.80,0.32,1.27
  双峰县,5352,17342,107674,113381,192665,183032,74450,52005,16161,13326,6184,4434,8.97,9.34,8.60,18604,3831,14773,2.66,1.09,4.27
  新化县,11713,30380,176703,198261,223682,193560,82103,55628,13657,9998,6035,3574,8.34,8.78,7.89,34200,8343,25857,3.86,1.86,5.90
  冷水江市,2061,6671,31347,35621,58460,58837,44564,34883,10925,8363,5111,3206,9.83,10.31,9.36,7115,1422,5693,2.67,1.06,4.28
  涟源市,6725,22084,127255,135821,222116,203960,91993,67198,16166,12618,6913,4771,8.96,9.35,8.56,24899,5258,19641,3.14,1.31,5.00
湘西土家族苗族自治州,51212,115751,410637,437398,508453,415619,150188,116480,54613,45134,26338,20991,8.27,8.72,7.80,146906,42472,104434,7.20,4.10,10.41
  吉首市,4190,9261,37692,40732,47271,40289,26068,24866,14282,15071,12838,11699,9.96,10.22,9.70,11567,3396,8171,4.57,2.69,6.44
  泸溪县,3416,10385,45896,54319,59195,45625,14613,10831,5022,3454,1705,1175,8.13,8.67,7.58,11810,2618,9192,5.38,2.35,8.48
  凤凰县,11470,21404,63831,63604,63750,51544,17393,13279,6510,4439,2080,1261,7.63,8.11,7.12,29060,9835,19225,10.44,6.89,14.17
  花垣县,4955,10532,46156,48088,60914,51546,17138,12764,4717,3947,1276,983,8.26,8.63,7.87,13170,3903,9267,5.81,3.36,8.37
  保靖县,5624,12157,50196,50474,56458,45886,14353,10708,5047,3863,1585,1084,7.98,8.38,7.54,15787,4756,11031,7.00,4.08,10.13
  古丈县,2709,5726,21994,22567,25108,19582,7721,6014,2700,2177,1109,848,8.16,8.58,7.71,7106,2124,4982,6.80,3.93,9.88
  永顺县,8045,18805,68640,73983,88016,73415,25691,18024,8050,5884,2441,1673,8.19,8.70,7.66,23846,6665,17181,7.13,3.94,10.38
  龙山县,10803,27481,76232,83631,107741,87732,27211,19994,8285,6299,3304,2268,8.00,8.56,7.42,34560,9175,25385,8.71,4.58,12.91
,,,,,,,,,,,,,,,,,,,,,
广东省,619785,1991949,11011304,12777442,23551751,20524220,10534980,7732559,2921036,2373497,2087808,1523167,9.55,9.94,9.13,2087720,395037,1692683,2.41,0.88,4.03
广州市,34329,128608,910105,1069811,2424286,2100388,1608071,1336571,634664,587100,701832,568092,10.84,11.08,10.58,125136,19267,105869,1.11,0.33,1.96
  荔湾区,2027,10338,61697,80432,153233,135605,146505,131310,42284,39917,31871,27072,10.74,11.01,10.46,10008,1270,8738,1.24,0.31,2.19
  越秀区,1897,7632,58726,78140,145551,137432,172344,173759,75423,77718,100258,83656,11.96,12.20,11.73,6883,859,6024,0.66,0.17,1.15
  海珠区,2770,12780,88608,110813,254784,227959,220509,199463,89497,86826,108425,91131,11.39,11.61,11.17,12402,1545,10857,0.89,0.22,1.58
  天河区,2457,6305,64157,69987,153811,136773,191556,165632,118697,113112,191635,150167,12.74,12.89,12.57,5630,1038,4592,0.44,0.15,0.76
  白云区,5925,19823,145597,159886,522868,418404,297799,233591,99841,88256,68336,58604,10.48,10.63,10.30,20046,3450,16596,1.01,0.32,1.80
  黄埔区,1255,4596,31465,34085,90568,73284,72219,50686,27663,21810,16111,10088,10.78,11.06,10.45,4531,701,3830,1.12,0.32,2.12
  番禺区,4674,19576,149910,184796,357160,321740,173865,138410,67965,67568,108928,84548,10.47,10.79,10.15,19762,2967,16795,1.27,0.37,2.21
  花都区,4301,15969,84736,93607,229569,204346,93192,71962,32070,29562,20440,15594,9.72,10.01,9.41,15054,2357,12697,1.81,0.55,3.15
  南沙区,1293,5960,24298,30376,61372,46743,38232,21723,6806,4679,3525,2253,9.49,10.00,8.87,5838,792,5046,2.55,0.63,4.87
  萝岗区,817,2925,23526,26636,72649,63561,66598,47863,16148,11672,12960,11014,10.70,10.95,10.41,3162,586,2576,0.95,0.32,1.68
  增城市,4202,11225,117014,133376,253991,213533,82193,63270,31899,27132,24002,19819,9.52,9.78,9.24,10935,2221,8714,1.23,0.48,2.04
  从化巿,2711,11479,60371,67677,128730,121008,53059,38902,26371,18848,15341,14146,9.87,10.28,9.43,10885,1481,9404,2.20,0.59,3.88
韶关市,21654,102540,323784,418591,584665,488251,273249,202440,81438,55288,39244,25447,9.07,9.75,8.40,107643,15434,92209,4.67,1.33,8.03
  武江区,1291,5714,23522,29727,53193,53586,36150,34330,13248,11050,8595,5556,10.28,10.74,9.84,6107,920,5187,2.46,0.76,4.09
  浈江区,1721,6522,35989,39676,75667,61418,56034,44905,16326,12504,12571,9865,10.26,10.57,9.91,6917,1239,5678,2.03,0.69,3.56
  曲江区,1920,8356,29709,37547,64297,56426,32032,24746,12075,8006,4090,2112,9.50,10.07,8.90,8700,1275,7425,3.45,0.99,6.01
  始兴县,1576,9719,23217,35113,44052,37440,17777,11241,4507,2549,1579,862,8.58,9.50,7.71,9319,956,8363,5.63,1.19,9.79
  仁化县,1953,8934,24810,32355,43322,33964,15489,11203,5027,3318,2368,1402,8.66,9.40,7.91,9094,1304,7790,5.60,1.60,9.62
  翁源县,2754,12575,36791,46598,79398,71149,25296,17291,6035,3617,2307,1583,8.69,9.33,8.07,12683,1736,10947,4.72,1.31,8.04
  乳源瑶族自治县,2119,7055,26187,32105,35336,28199,12899,9550,4118,2711,1441,863,8.45,9.07,7.82,7608,1481,6127,5.35,2.07,8.65
  新丰县,1556,6505,23179,26912,45313,42983,20635,14089,4526,2932,1036,616,9.03,9.62,8.44,6953,1133,5820,4.27,1.40,7.12
  乐昌市,4718,18836,57241,66761,82768,63958,32055,21178,8640,4996,2978,1491,8.40,9.14,7.63,21141,3768,17373,6.67,2.33,11.18
  南雄市,2046,18324,43139,71797,61319,39128,24882,13907,6936,3605,2279,1097,8.07,9.33,6.92,19121,1622,17499,7.80,1.38,13.70
深圳市,20334,52659,445116,477296,2446385,2120429,1394700,1081231,533784,460775,501442,331626,10.93,11.10,10.72,50523,9775,40748,0.54,0.19,0.95
  罗湖区,1742,5626,43405,50458,146270,145855,134146,131730,63185,64569,49801,38791,11.58,11.78,11.38,5286,848,4438,0.65,0.21,1.08
  福田区,2269,6312,54255,59898,164066,155662,175442,168827,106127,110136,141829,104780,12.48,12.67,12.28,5253,810,4443,0.45,0.14,0.78
  南山区,2137,4661,42106,43406,119984,107736,148464,132488,91508,88959,150978,96541,12.81,13.01,12.57,4237,895,3342,0.44,0.17,0.75
  宝安区,8378,20025,166250,175624,1344622,1137637,617239,411909,174052,118844,92853,51896,10.26,10.46,10.01,19645,4123,15522,0.47,0.18,0.84
  龙岗区,5396,14675,128213,136209,628162,535796,284051,210930,88583,69290,58068,33876,10.25,10.47,10.00,14720,2860,11860,0.72,0.26,1.26
  盐田区,412,1360,10887,11701,43281,37743,35358,25347,10329,8977,7913,5742,10.92,11.13,10.68,1382,239,1143,0.74,0.24,1.34
珠海市,6299,21290,119312,133681,273946,250300,212573,171702,73027,64064,83449,69297,10.82,11.11,10.50,22929,4171,18758,1.70,0.60,2.87
  香洲区,2488,7729,56722,61799,132601,127404,123774,110355,51628,47898,66362,55026,11.56,11.80,11.31,8027,1479,6548,1.05,0.38,1.74
  斗门区,2428,9344,43316,51368,86138,77120,54384,39136,11249,8490,5697,3597,9.47,9.93,8.99,10203,1733,8470,2.85,0.94,4.89
  金湾区,1383,4217,19274,20514,55207,45776,34415,22211,10150,7676,11390,10674,10.41,10.68,10.08,4699,959,3740,2.08,0.78,3.61
汕头市,38188,137353,784494,1025014,1080050,927768,467740,315956,86178,69160,44545,30517,8.75,9.31,8.20,145531,24894,120637,3.47,1.20,5.71
  龙湖区,3292,11594,60166,76825,95635,86229,58880,50218,19896,16456,12391,8025,9.73,10.22,9.24,13077,2432,10645,2.99,1.12,4.84
  金平区,4202,16955,81614,111448,133196,127080,110966,93298,28327,23947,20528,14307,9.93,10.45,9.43,18248,3072,15176,2.68,0.92,4.39
  濠江区,3764,16005,36776,46060,47135,44041,24984,16392,4959,5069,776,588,8.39,9.21,7.65,17650,2895,14755,8.60,2.97,13.68
  潮阳区,12321,42004,269141,343825,339720,291720,118799,65469,12885,8045,4207,2328,8.32,8.92,7.73,43028,7383,35645,3.56,1.23,5.87
  潮南区,8265,28570,214099,280801,292198,237039,73962,34559,5765,4398,1721,1375,8.18,8.74,7.62,30070,4873,25197,3.19,1.03,5.35
  澄海区,5444,18727,113400,154396,161876,133123,74992,52168,12476,10104,4483,3681,8.65,9.16,8.14,19615,3527,16088,2.95,1.06,4.83
  南澳县,900,3498,9298,11659,10290,8536,5157,3852,1870,1141,439,213,8.26,9.07,7.48,3843,712,3131,7.48,2.83,11.94
佛山市,28518,97538,717120,765448,1745081,1372386,811301,614808,237482,203447,147326,112903,9.75,9.99,9.47,99944,17340,82604,1.58,0.51,2.81
  禅城区,3039,11798,89775,99501,229726,206503,133599,113661,51526,46015,38971,27185,10.38,10.65,10.10,11277,1588,9689,1.16,0.32,2.06
  南海区,9234,30694,268657,284098,665273,501551,270074,199583,82810,71300,46381,36284,9.62,9.84,9.37,31116,5322,25794,1.36,0.43,2.46
  顺德区,11684,36809,251740,268733,591782,458383,286969,217822,76874,67126,45555,34516,9.69,9.94,9.40,38650,7446,31204,1.78,0.64,3.11
  三水区,2897,11797,69910,74074,158079,119432,63733,42781,14285,10376,11543,11730,9.38,9.69,9.02,12366,1990,10376,2.29,0.68,4.18
  高明区,1664,6440,37038,39042,100221,86517,56926,40961,11987,8630,4876,3188,9.74,10.06,9.37,6535,994,5541,1.80,0.51,3.26
江门市,21114,80436,498042,580385,963772,897120,526164,401285,98004,76143,44563,30148,9.33,9.71,8.94,82192,13296,68896,2.15,0.69,3.66
  蓬江区,2062,8023,64143,75927,133862,125325,100623,82033,28655,25451,18700,12469,10.25,10.58,9.91,7936,1185,6751,1.29,0.38,2.24
  江海区,1187,5021,25793,30942,54213,48330,32264,25658,6966,5499,2699,1871,9.53,9.93,9.12,5349,812,4537,2.45,0.73,4.23
  新会区,4801,19928,97293,119989,157793,145221,118998,88863,21179,15960,8655,6107,9.38,9.86,8.89,21209,3442,17767,2.90,0.93,4.92
  台山市,4743,16659,121888,141069,209525,200385,99926,74323,12146,7553,3349,1846,8.87,9.23,8.50,16856,2905,13951,2.07,0.71,3.45
  开平市,3322,14416,84694,100218,151644,147551,74988,57573,11835,8935,4810,3428,9.09,9.51,8.69,14306,2013,12293,2.42,0.69,4.13
  鹤山市,2253,6852,50522,54158,126630,110662,50886,40776,10355,8466,4222,3241,9.37,9.61,9.11,6583,1205,5378,1.54,0.54,2.62
  恩平市,2746,9537,53709,58082,130105,119646,48479,32059,6868,4279,2128,1186,9.02,9.40,8.61,9953,1734,8219,2.37,0.80,4.03
湛江市,75953,201497,957205,1021398,1532607,1361511,564324,370137,133895,95612,73145,53527,8.88,9.38,8.37,232418,55477,176941,4.31,2.03,6.66
  赤坎区,1648,4523,23061,23389,42192,44173,43997,39742,15967,14645,15584,17740,11.25,11.49,11.01,4432,858,3574,1.74,0.69,2.73
  霞山区,2149,6547,38870,40275,76045,78713,73823,62909,25602,21729,19329,13022,10.89,11.29,10.48,7080,1380,5700,1.74,0.67,2.83
  坡头区,3787,9679,44159,48986,79516,69852,25579,15191,5372,3637,3649,1848,8.68,9.20,8.15,11888,3069,8819,4.40,2.22,6.68
  麻章区,6963,15402,62718,64661,105972,96499,37993,25619,6711,5120,13532,9703,9.01,9.46,8.53,19397,5583,13814,5.02,2.83,7.30
  遂溪县,11242,27183,118693,123662,204947,187684,68257,43515,13847,10983,3951,2397,8.71,9.15,8.25,31240,7941,23299,4.57,2.29,6.91
  徐闻县,6091,19370,95398,109170,161164,136590,51591,31944,14148,8560,3191,1677,8.65,9.20,8.08,22592,4737,17855,4.11,1.69,6.62
  廉江市,13780,34539,209809,209010,345871,304191,96304,59306,20966,13053,5108,2677,8.63,9.05,8.18,38399,9482,28917,3.53,1.69,5.47
  雷州市,20750,58195,222500,251545,312557,256709,98683,51269,18059,9209,4446,1975,8.23,8.92,7.52,67879,15529,52350,6.46,2.91,10.14
  吴川市,9543,26059,141997,150700,204343,187100,68097,40642,13223,8676,4355,2488,8.58,9.11,8.05,29511,6898,22613,4.23,1.99,6.46
茂名市,63726,164507,852136,860640,1166997,1098080,482311,332232,113007,78790,47836,27722,8.86,9.36,8.36,179490,42251,137239,4.16,1.96,6.37
  茂南区,4944,15039,83509,83975,143089,141598,104454,84689,37597,26746,21679,12193,10.24,10.73,9.74,15707,2994,12713,2.41,0.90,3.97
  茂港区,4748,12780,69076,69751,88410,78267,19297,11750,3210,2644,923,672,8.04,8.46,7.61,14832,3531,11301,4.94,2.34,7.56
  电白县,20116,48703,198426,196464,252050,210423,84748,54959,19085,13296,5985,3593,8.32,8.86,7.77,57034,14950,42084,6.28,3.22,9.47
  高州市,12744,38564,190272,196409,260896,241215,110604,68468,23070,15659,9973,5938,8.76,9.33,8.19,41521,8751,32770,4.29,1.81,6.77
  化州市,10874,20752,171433,165820,253010,256925,89841,59965,16908,11505,4947,2810,8.93,9.28,8.57,20161,5538,14623,2.40,1.32,3.46
  信宜市,10300,28669,139420,148221,169542,169652,73367,52401,13137,8940,4329,2516,8.65,9.21,8.14,30235,6487,23748,4.70,2.09,7.13
肇庆市,24913,99939,504045,636888,911358,778649,286091,187770,75219,50899,32992,22594,8.82,9.38,8.25,92767,11747,81020,3.00,0.76,5.25
  端州区,1611,7058,33507,40208,75290,77831,69834,62061,28827,23513,19035,14880,10.94,11.39,10.50,6757,835,5922,1.64,0.41,2.86
  鼎湖区,1274,5965,18293,22617,40840,31873,15715,12371,2789,1855,1061,670,8.80,9.36,8.22,5502,619,4883,3.90,0.86,7.03
  广宁县,2177,10271,53404,67041,104365,92994,28117,15509,5397,3246,1498,832,8.55,9.12,7.99,10175,1229,8946,3.03,0.74,5.28
  怀集县,6804,20770,129940,180888,170210,149466,35907,19002,10357,5688,3011,1543,8.26,8.95,7.63,17748,2482,15266,3.15,0.93,5.14
  封开县,2806,13012,59849,78282,85803,73140,26052,13749,6111,3188,1573,871,8.37,9.12,7.65,12484,1507,10977,4.22,1.03,7.32
  德庆县,3501,10625,41492,49779,79089,70465,26792,15767,5023,3191,1425,838,8.68,9.24,8.10,9639,1620,8019,3.68,1.22,6.21
  高要市,4223,19362,107650,129689,203758,162889,39110,21328,7505,4378,1735,988,8.28,8.79,7.75,18105,2026,16079,2.90,0.64,5.25
  四会市,2517,12876,59910,68384,152003,119991,44564,27983,9210,5840,3654,1972,8.89,9.35,8.37,12357,1429,10928,2.69,0.59,5.05
惠州市,25106,82615,470046,509693,1148918,996142,419049,317003,109114,79811,64706,39629,9.37,9.72,8.99,89290,17240,72050,2.35,0.87,3.97
  惠城区,5625,19205,128805,138597,340641,317474,187519,160480,57429,45529,43733,27598,10.18,10.49,9.85,19719,3547,16172,1.49,0.52,2.51
  惠阳区,2858,9545,70808,73549,219925,179205,70768,48009,18510,12075,8482,4346,9.40,9.69,9.05,9691,1652,8039,1.48,0.46,2.68
  博罗县,6583,20945,111926,124524,279057,238080,81030,54399,16291,11109,6240,3900,8.94,9.32,8.54,22629,4540,18089,2.67,1.03,4.46
  惠东县,7686,23755,123630,133186,234956,195497,56590,37671,11208,7208,4152,2433,8.55,8.96,8.10,27142,5744,21398,3.75,1.53,6.16
  龙门县,2354,9165,34877,39837,74339,65886,23142,16444,5676,3890,2099,1352,8.83,9.31,8.34,10109,1757,8352,4.13,1.41,6.95
梅州市,27683,108420,432200,530871,941167,948897,419313,292946,87873,61216,34051,22846,9.21,9.75,8.68,100519,13569,86950,2.99,0.82,5.06
  梅江区,1392,4657,23334,27704,62968,65371,61048,54125,18858,15353,13954,10693,10.94,11.28,10.59,4454,695,3759,1.38,0.43,2.33
  梅县,2840,13877,42227,58694,128987,133536,64495,44881,11061,8899,4046,2716,9.38,9.92,8.87,13008,1405,11603,2.80,0.62,4.87
  大埔县,2622,12145,41871,53706,81664,78692,34499,22395,6855,4233,1964,1130,8.85,9.50,8.23,11547,1359,10188,3.91,0.94,6.78
  丰顺县,3480,12299,68729,82910,100309,95839,33947,23984,6336,4444,1605,1121,8.54,9.03,8.08,12768,2295,10473,3.48,1.28,5.58
  五华县,10000,26353,139144,160103,238677,236856,75217,46933,14031,8702,3493,1885,8.73,9.24,8.24,20935,3737,17198,2.71,0.99,4.35
  平远县,1504,9515,22825,32514,50371,46161,24532,14490,5407,3202,1776,903,8.93,9.78,8.10,8918,707,8211,4.73,0.76,8.58
  蕉岭县,1267,6002,15870,22334,43761,44568,26207,18628,5999,4048,1933,1187,9.50,10.12,8.89,5704,643,5061,3.29,0.75,5.77
  兴宁市,4578,23572,78200,92906,234430,247874,99368,67510,19326,12335,5280,3211,9.31,9.86,8.79,23185,2728,20457,2.96,0.72,5.09
汕尾市,45401,118034,447987,544663,637051,536190,208529,110622,36870,20430,9297,4482,8.19,8.86,7.52,141240,35816,105424,6.37,3.21,9.56
  城区,6040,16223,61540,75916,101081,96158,52869,30775,12117,7313,3216,1417,8.89,9.54,8.23,19974,4938,15036,5.01,2.46,7.59
  海丰县,9399,25337,102733,123809,191787,164991,63464,33796,11847,6481,3170,1731,8.51,9.09,7.90,29250,6923,22327,4.58,2.13,7.14
  陆河县,2837,6095,41705,46909,64084,61849,20057,13357,4346,2977,1147,706,8.72,9.14,8.31,6800,1866,4934,3.21,1.78,4.62
  陆丰市,27125,70379,242009,298029,280099,213192,72139,32694,8560,3659,1764,628,7.59,8.35,6.82,85216,22089,63127,8.80,4.57,13.02
河源市,23873,81524,326828,390898,643271,632134,238865,175493,60135,42510,15611,9712,8.98,9.49,8.49,82886,14666,68220,3.70,1.34,5.96
  源城区,1806,5375,32562,37449,96330,100502,58473,46604,21824,17535,6837,4156,10.31,10.67,9.94,5644,1203,4441,1.48,0.63,2.35
  紫金县,5591,20698,75898,90083,139374,137944,47438,32851,9336,6044,1734,962,8.71,9.29,8.17,20257,3193,17064,4.32,1.41,7.06
  龙川县,5439,18165,82073,99781,141987,148971,54014,40776,11493,6912,2717,1692,8.86,9.39,8.38,18061,3100,14961,3.54,1.27,5.60
  连平县,2912,11737,40436,50767,74879,68027,24625,16654,6690,4828,1564,985,8.66,9.26,8.08,12959,2248,10711,4.93,1.74,8.04
