首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：人
地    区,15岁及以上人口,,,未婚,,,有配偶,,,离婚,,,丧偶,,,15-64岁妇女,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,"平均活产
子女数","平均存活
子女数"
  应城市,39178,19552,19626,7151,4295,2856,29029,14199,14830,406,265,141,2592,793,1799,1.51,1.50
  安陆市,38496,18880,19616,6514,3879,2635,29128,14003,15125,263,157,106,2591,841,1750,1.48,1.46
  汉川市,71373,36146,35227,14641,8730,5911,51960,25639,26321,531,359,172,4241,1418,2823,1.50,1.49
荆州市,448331,223350,224981,76524,44937,31587,335255,165760,169495,7142,4119,3023,29410,8534,20876,1.36,1.34
  沙巿区,48912,24351,24561,7813,4594,3219,37070,18417,18653,1393,664,729,2636,676,1960,1.08,1.06
  荆州区,43872,21913,21959,8322,4766,3556,32184,16044,16140,851,455,396,2515,648,1867,1.13,1.11
  公安县,72079,35430,36649,12297,6941,5356,53545,26375,27170,1286,738,548,4951,1376,3575,1.34,1.31
  监利县,80907,40089,40818,12578,7442,5136,61730,30376,31354,809,533,276,5790,1738,4052,1.68,1.65
  江陵县,26322,13165,13157,3650,2193,1457,20422,10186,10236,350,228,122,1900,558,1342,1.42,1.39
  石首市,50013,24850,25163,9507,5459,4048,36421,17929,18492,850,506,344,3235,956,2279,1.34,1.31
  洪湖市,67044,34025,33019,13556,8329,5227,49165,24216,24949,627,402,225,3696,1078,2618,1.45,1.43
  松滋市,59182,29527,29655,8801,5213,3588,44718,22217,22501,976,593,383,4687,1504,3183,1.28,1.26
黄冈市,460597,226148,234449,96024,57566,38458,325180,154216,170964,3968,2654,1314,35425,11712,23713,1.53,1.50
  黄州区,31367,15624,15743,9123,5039,4084,20306,9934,10372,463,248,215,1475,403,1072,1.06,1.04
  团风县,21952,10925,11027,4275,2817,1458,15653,7395,8258,203,144,59,1821,569,1252,1.57,1.54
  红安县,35456,17189,18267,7278,4411,2867,25139,11644,13495,202,135,67,2837,999,1838,1.60,1.57
  罗田县,33816,16864,16952,6482,4087,2395,24077,11520,12557,295,201,94,2962,1056,1906,1.49,1.46
  英山县,25228,12197,13031,4306,2730,1576,18421,8466,9955,245,173,72,2256,828,1428,1.41,1.37
  浠水县,67645,32936,34709,14021,8320,5701,47755,22543,25212,580,372,208,5289,1701,3588,1.53,1.50
  蕲春县,61601,30082,31519,13508,7897,5611,42545,20152,22393,607,436,171,4941,1597,3344,1.61,1.59
  黄梅县,68586,33652,34934,14709,8405,6304,48761,23510,25251,543,378,165,4573,1359,3214,1.59,1.56
  麻城市,66992,32890,34102,12006,7575,4431,48494,22808,25686,376,270,106,6116,2237,3879,1.56,1.53
  武穴巿,47954,23789,24165,10316,6285,4031,34029,16244,17785,454,297,157,3155,963,2192,1.65,1.62
咸宁市,186571,93520,93051,40458,23446,17012,134697,66101,68596,1963,1157,806,9453,2816,6637,1.61,1.58
  咸安区,41108,20428,20680,10137,5715,4422,28369,13856,14513,455,255,200,2147,602,1545,1.48,1.46
  嘉鱼县,22447,11213,11234,4249,2446,1803,16476,8173,8303,299,171,128,1423,423,1000,1.50,1.48
  通城县,27773,13789,13984,4853,2847,2006,20470,10061,10409,314,207,107,2136,674,1462,1.78,1.74
  崇阳县,33945,17197,16748,7870,4557,3313,26016,12615,13401,8,7,1,51,18,33,1.68,1.65
  通山县,26904,13528,13376,6260,3644,2616,18630,9158,9472,371,235,136,1643,491,1152,1.74,1.70
  赤壁市,34394,17365,17029,7089,4237,2852,24736,12238,12498,516,282,234,2053,608,1445,1.53,1.51
随州市,167060,83077,83983,31854,18362,13492,123617,60263,63354,1121,691,430,10468,3761,6707,1.47,1.45
  曾都区,50180,24770,25410,9910,5475,4435,37058,18213,18845,394,202,192,2818,880,1938,1.29,1.28
  随县,62001,31352,30649,12078,7052,5026,45441,22434,23007,382,269,113,4100,1597,2503,1.50,1.47
  广水市,54879,26955,27924,9866,5835,4031,41118,19616,21502,345,220,125,3550,1284,2266,1.60,1.58
恩施土家族苗族自治州,258638,129598,129040,44840,27006,17834,190319,92851,97468,3077,1964,1113,20402,7777,12625,1.57,1.53
  恩施市,55943,27815,28128,11327,6428,4899,40039,19610,20429,669,389,280,3908,1388,2520,1.37,1.34
  利川市,58689,29468,29221,9976,6037,3939,43607,21105,22502,609,415,194,4497,1911,2586,1.76,1.72
  建始县,33384,16609,16775,4966,3059,1907,25243,12267,12976,385,249,136,2790,1034,1756,1.54,1.51
  巴东县,33739,17059,16680,5380,3391,1989,25068,12228,12840,354,240,114,2937,1200,1737,1.55,1.51
  宣恩县,20245,10263,9982,3343,2138,1205,15039,7364,7675,243,161,82,1620,600,1020,1.67,1.62
  咸丰县,22304,11142,11162,3498,2170,1328,16630,8092,8538,270,168,102,1906,712,1194,1.68,1.64
  来凤县,18029,8997,9032,3678,2174,1504,12619,6157,6462,239,154,85,1493,512,981,1.57,1.54
  鹤峰县,16305,8245,8060,2672,1609,1063,12074,6028,6046,308,188,120,1251,420,831,1.45,1.42
省直辖县级行政区划,290896,146766,144130,51730,31525,20205,219333,108090,111243,2602,1549,1053,17231,5602,11629,1.46,1.43
  仙桃市,94104,47338,46766,15537,9595,5942,72320,35469,36851,716,441,275,5531,1833,3698,1.55,1.53
  潜江市,75783,37562,38221,12136,7036,5100,58511,28844,29667,985,507,478,4151,1175,2976,1.35,1.33
  天门市,115230,58856,56374,22999,14189,8810,84246,41646,42600,831,565,266,7154,2456,4698,1.45,1.43
  神农架林区,5779,3010,2769,1058,705,353,4256,2131,2125,70,36,34,395,138,257,1.47,1.44
,,,,,,,,,,,,,,,,,
湖南省,4989317,2506462,2482855,1021150,602282,418868,3562672,1756419,1806253,72299,43440,28859,333196,104321,228875,1.43,1.40
长沙市,584470,293247,291223,139232,78623,60609,402736,199755,202981,9103,4858,4245,33399,10011,23388,1.12,1.10
  芙蓉区,45835,22597,23238,13461,6943,6518,29962,14945,15017,961,395,566,1451,314,1137,0.83,0.83
  天心区,41792,20556,21236,13717,7062,6655,25345,12574,12771,1078,525,553,1652,395,1257,0.75,0.75
  岳麓区,64106,31643,32463,21717,11272,10445,38925,19239,19686,938,432,506,2526,700,1826,0.85,0.84
  开福区,45669,22755,22914,10674,5978,4696,31483,15667,15816,1261,576,685,2251,534,1717,0.90,0.89
  雨花区,61466,30498,30968,14869,7702,7167,43042,21640,21402,1404,626,778,2151,530,1621,0.89,0.88
  长沙县,87215,45317,41898,22999,14036,8963,58545,29276,29269,662,417,245,5009,1588,3421,1.17,1.16
  望城县,43832,21869,21963,10146,5726,4420,30380,14951,15429,339,209,130,2967,983,1984,1.28,1.26
  宁乡县,92030,45831,46199,14117,8852,5265,69030,33851,35179,986,671,315,7897,2457,5440,1.43,1.41
  浏阳市,102525,52181,50344,17532,11052,6480,76024,37612,38412,1474,1007,467,7495,2510,4985,1.46,1.44
株洲市,309848,155369,154479,58548,34550,23998,226951,112273,114678,4811,2658,2153,19538,5888,13650,1.35,1.33
  荷塘区,26581,13371,13210,5762,3300,2462,19081,9474,9607,697,335,362,1041,262,779,1.06,1.05
  芦淞区,19734,9636,10098,4109,2114,1995,14166,7047,7119,548,238,310,911,237,674,0.97,0.95
  石峰区,23535,12213,11322,5507,3368,2139,16173,8151,8022,692,364,328,1163,330,833,1.00,0.98
  天元区,17291,8654,8637,3407,1927,1480,12987,6437,6550,296,130,166,601,160,441,1.07,1.05
  株洲县,30796,15671,15125,5538,3444,2094,22544,11172,11372,442,293,149,2272,762,1510,1.50,1.47
  攸县,52892,26120,26772,7678,4445,3233,40738,20110,20628,542,338,204,3934,1227,2707,1.47,1.43
  茶陵县,47401,23522,23879,9801,5761,4040,33974,16761,17213,429,238,191,3197,762,2435,1.54,1.51
  炎陵县,14059,6989,7070,2004,1297,707,10822,5307,5515,143,91,52,1090,294,796,1.58,1.54
  醴陵市,77559,39193,38366,14742,8894,5848,56466,27814,28652,1022,631,391,5329,1854,3475,1.43,1.41
湘潭市,208978,104099,104879,37853,23040,14813,152235,74584,77651,3731,2072,1659,15159,4403,10756,1.35,1.32
  雨湖区,39498,19800,19698,9871,5571,4300,26293,13123,13170,1156,572,584,2178,534,1644,0.97,0.95
  岳塘区,33103,16801,16302,6669,4193,2476,23624,11704,11920,986,437,549,1824,467,1357,1.04,1.03
  湘潭县,69853,34783,35070,10571,6739,3832,53030,25800,27230,711,513,198,5541,1731,3810,1.56,1.53
  湘乡市,59608,29361,30247,9766,5978,3788,43990,21364,22626,777,491,286,5075,1528,3547,1.52,1.49
  韶山市,6916,3354,3562,976,559,417,5298,2593,2705,101,59,42,541,143,398,1.40,1.36
衡阳市,529163,265750,263413,119603,69557,50046,366763,180734,186029,6263,3788,2475,36534,11671,24863,1.48,1.45
  珠晖区,26958,13138,13820,7245,3768,3477,17672,8741,8931,600,298,302,1441,-331,1110,1.05,1.03
  雁峰区,17605,8368,9237,4717,2338,2379,11475,5613,5862,527,222,305,886,195,691,0.94,0.93
  石鼓区,16184,7918,8266,2980,1659,1321,11726,5806,5920,517,237,280,961,216,745,1.15,1.14
  蒸湘区,24040,11865,12175,7022,3794,3228,15685,7679,8006,427,194,233,906,198,708,1.00,0.99
  南岳区,4373,2143,2230,812,458,354,3268,1591,1677,58,29,29,235,65,170,1.36,1.32
  衡阳县,84968,43525,41443,19815,12120,7695,58296,28830,29466,794,574,220,6063,2001,4062,1.55,1.52
  衡南县,67618,34753,32865,15186,9331,5855,46982,23410,23572,510,374,136,4940,1638,3302,1.61,1.58
  衡山县,27038,13291,13747,4669,2787,1882,19970,9657,10313,265,179,86,2134,668,1466,1.62,1.59
  衡东县,44347,22180,22167,8362,4892,3470,32016,15730,16286,404,277,127,3565,1281,2284,1.52,1.49
  祁东县,74012,37236,36776,17405,10004,7401,50565,24889,25676,908,600,308,5134,1743,3391,1.53,1.51
  耒阳市,84432,42270,42162,18007,10540,7467,59559,29266,30293,756,460,296,6110,2004,4106,1.61,1.58
  常宁巿,57588,29063,28525,13383,7866,5517,39549,19522,20027,497,344,153,4159,1331,2828,1.56,1.54
邵阳市,538708,271904,266804,113083,67908,45175,383400,188788,194612,6493,4296,2197,35732,10912,24820,1.60,1.57
  双清区,23146,11507,11639,4103,2386,1717,17045,8435,8610,614,318,296,1384,368,1016,1.32,1.31
  大祥区,24348,11970,12378,5107,2776,2331,17378,8560,8818,587,299,288,1276,335,941,1.27,1.25
  北塔区,7338,3586,3752,1371,794,577,5456,2635,2821,102,56,46,409,101,308,1.49,1.47
  邵东县,65856,33091,32765,12361,7432,4929,47830,23650,24180,736,507,229,4929,1502,3427,1.65,1.63
  新邵县,55188,27903,27285,12626,7574,5052,37787,18654,19133,613,445,168,4162,1230,2932,1.62,1.60
  邵阳县,70376,35837,34539,16432,9760,6672,48706,24085,24621,720,521,199,4518,1471,3047,1.71,1.68
  隆回县,86224,44079,42145,18675,11529,7146,60887,30026,30861,908,657,251,5754,1867,3887,1.63,1.60
  洞口县,59889,30073,29816,12188,7446,4742,43201,21108,22093,661,474,187,3839,1045,2794,1.60,1.57
  绥宁县,27933,14021,13912,6130,3610,2520,19789,9707,10082,303,193,110,1711,511,1200,1.57,1.54
  新宁县,42583,21600,20983,8644,5231,3413,30619,15125,15494,453,317,136,2867,927,1940,1.63,1.60
  城步苗族自治县,19814,10077,9737,4452,2754,1698,13921,6811,7110,193,113,80,1248,399,849,1.62,1.59
  武冈市,56013,28160,27853,10994,6616,4378,40781,19992,20789,603,396,207,3635,1156,2479,1.60,1.58
岳阳市,400587,201460,199127,79281,45870,33411,290648,143657,146991,6268,3815,2453,24390,8118,16272,1.42,1.40
  岳阳楼区,59294,29160,30134,12539,6427,6112,42842,21300,21542,1585,735,850,2328,698,1630,1.10,1.09
  云溪区,12243,6176,6067,2306,1414,892,9050,4478,4572,266,137,129,621,147,474,1.29,1.28
  君山区,16123,8105,8018,2834,1655,1179,12171,6026,6145,233,136,97,885,288,597,1.46,1.43
  岳阳县,50118,25740,24378,10290,6080,4210,36031,18081,17950,706,484,222,3091,1095,1996,1.50,1.48
  华容县,52972,26712,26260,10808,6150,4658,38200,19001,19199,693,450,243,3271,1111,2160,1.41,1.39
  湘阴县,46188,22722,23466,8764,5063,3701,33904,16346,17558,464,296,168,3056,1017,2039,1.50,1.47
  平江县,72307,36818,35489,14210,8720,5490,51667,25480,26187,1136,810,326,5294,1808,3486,1.58,1.56
  汩罗市,52368,26190,26178,9394,5618,3776,38698,18962,19736,581,373,208,3695,1237,2458,1.42,1.40
  临湘市,38974,19837,19137,8136,4743,3393,28085,13983,14102,604,394,210,2149,717,1432,1.50,1.47
常德市,443264,220818,222446,74649,43268,31381,329508,162754,166754,8008,4860,3148,31099,9936,21163,1.25,1.22
  武陵区,48220,23293,24927,9621,4940,4681,34947,17203,17744,1293,584,709,2359,566,1793,0.97,0.96
  鼎城区,63477,31501,31976,11184,6383,4801,46458,22973,23485,1063,684,379,4772,1461,3311,1.26,1.23
  安乡县,39797,20031,19766,7352,4295,3057,29209,14456,14753,713,439,274,2523,841,1682,1.28,1.25
  汉寿县,62788,31483,31305,11566,6716,4850,46216,22860,23356,966,590,376,4040,1317,2723,1.41,1.36
  澧县,62670,30888,31782,8752,5034,3718,48452,23810,24642,868,539,329,4598,1505,3093,1.26,1.23
  临澧县,33015,16362,16653,5028,2905,2123,25092,12392,12700,551,349,202,2344,716,1628,1.27,1.23
  桃源县,67510,34079,33431,11064,6641,4423,49682,24703,24979,1310,900,410,5454,1835,3619,1.26,1.23
  石门县,48858,24718,24140,7529,4783,2746,36814,18132,18682,768,498,270,3747,1305,2442,1.27,1.23
  津市市,16929,8463,8466,2553,1571,982,12638,6225,6413,476,277,199,1262,390,872,1.24,1.21
张家界市,105879,52793,53086,18479,10915,7564,77572,38057,39515,1651,1048,603,8177,2773,5404,1.44,1.41
  永定区,32457,16191,16266,6858,3811,3047,23073,11391,11682,560,319,241,1966,670,1296,1.34,1.32
  武陵源区,3796,1882,1914,640,350,290,2876,1421,1455,61,33,28,219,78,141,1.39,1.37
  慈利县,44686,22342,22344,6986,4314,2672,33263,16296,16967,703,476,227,3734,1256,2478,1.38,1.35
  桑植县,24940,12378,12562,3995,2440,1555,18360,8949,9411,327,220,107,2258,769,1489,1.70,1.65
益阳市,326913,164345,162568,62582,36866,25716,237336,116976,120360,5072,3167,1905,21923,7336,14587,1.39,1.36
  资阳区,31486,15740,15746,6649,3789,2860,22278,10986,11292,518,305,213,2041,660,1381,1.36,1.34
  赫山区,64411,32068,32343,12000,6874,5126,47467,23341,24126,960,553,407,3984,1300,2684,1.31,1.29
  南县,56005,28115,27890,10630,6128,4502,40794,20196,20598,915,565,350,3666,1226,2440,1.32,1.29
  桃江县,54492,27261,27231,9168,5546,3622,40603,19892,20711,686,465,221,4035,1358,2677,1.49,1.46
  安化县,70281,35952,34329,14357,8896,5461,49838,24562,25276,1111,747,364,4975,1747,3228,1.46,1.43
  沅江市,50238,25209,25029,9778,5633,4145,36356,17999,18357,882,532,350,3222,1045,2177,1.38,1.35
郴州市,345376,174520,170856,69763,42297,27466,248086,122893,125193,4489,2628,1861,23038,6702,16336,1.62,1.60
  北湖区,32097,16051,16046,5654,3335,2319,24169,12013,12156,693,294,399,1581,409,1172,1.32,1.30
  苏仙区,31676,15760,15916,7703,4295,3408,21623,10713,10910,526,265,261,1824,487,1337,1.26,1.24
  桂阳县,50758,25769,24989,9678,6013,3665,36781,18260,18521,577,363,214,3722,1133,2589,1.75,1.72
  宜章县,42266,21290,20976,9137,5468,3669,30008,14806,15202,447,277,170,2674,739,1935,1.78,1.75
  永兴县,44387,22515,21872,9076,5648,3428,31683,15625,16058,418,274,144,3210,968,2242,1.70,1.68
  嘉禾县,22814,11417,11397,4144,2443,1701,16528,8241,8287,348,214,134,1794,519,1275,1.82,1.80
  临武县,26824,13641,13183,5553,3381,2172,19256,9512,9744,385,263,122,1630,485,1145,1.77,1.75
  汝城县,25890,13205,12685,4969,3157,1812,18816,9301,9515,270,193,77,1835,554,1281,1.73,1.70
  桂东县,12838,6730,6108,3018,1887,1131,8736,4472,4264,105,72,33,979,299,680,1.47,1.43
  安仁县,29436,14741,14695,6199,3681,2518,21135,10345,10790,239,155,84,1863,560,1303,1.65,1.62
  资兴市,26390,13401,12989,4632,2989,1643,19351,9605,9746,481,258,223,1926,549,1377,1.42,1.39
永州市,386421,195412,191009,85525,51564,33961,270858,132604,138254,4452,2958,1494,25586,8286,17300,1.55,1.53
  零陵区,45987,23129,22858,11709,6695,5014,30848,15202,15646,557,322,235,2873,910,1963,1.37,1.36
  冷水滩区,38350,19251,19099,8294,4875,3419,30005,14356,15649,6,4,2,45,16,29,1.33,1.32
  祁阳县,62257,30949,31308,12316,7489,4827,44364,21577,22787,805,525,280,4772,1358,3414,1.57,1.54
  东安县,38795,19590,19205,8224,4986,3238,27333,13444,13889,522,339,183,2716,821,1895,1.50,1.48
  双牌县,14184,7272,6912,2885,1760,1125,10120,5032,5088,213,127,86,966,353,613,1.47,1.45
  道县,41395,21617,19778,9482,6078,3404,28341,14045,14296,557,404,153,3015,1090,1925,1.69,1.67
  江永县,17181,8769,8412,3785,2260,1525,12110,6029,6081,183,113,70,1103,367,736,1.57,1.54
  宁远县,53316,27406,25910,13251,8114,5137,35421,17426,17995,636,456,180,4008,1410,2598,1.61,1.59
  蓝山县,22656,11178,11478,4553,2601,1952,16033,7837,8196,316,223,93,1754,517,1237,1.69,1.66
  新田县,23895,11985,11910,4973,2947,2026,16729,8182,8547,255,178,77,1938,678,1260,1.67,1.66
  江华瑶族自治县,28405,14266,14139,6053,3759,2294,19554,9474,10080,402,267,135,2396,766,1630,1.68,1.66
怀化市,360699,182936,177763,70588,43333,27255,258759,127598,131161,6116,3740,2376,25236,8265,16971,1.45,1.42
  鹤城区,39024,19359,19665,8996,4706,4290,27678,13730,13948,894,396,498,1456,527,929,1.04,1.03
  中方县,19573,10020,9553,3778,2383,1395,14232,7041,7191,255,193,62,1308,403,905,1.51,1.48
  沅陵县,46889,24045,22844,9709,6127,3582,33079,16239,16840,730,460,270,3371,1219,2152,1.44,1.42
  辰溪县,30699,15666,15033,5573,3409,2164,22318,11225,11093,542,349,193,2266,683,1583,1.57,1.55
  溆浦县,52455,26260,26195,8977,5507,3470,38641,18906,19735,845,566,279,3992,1281,2711,1.61,1.57
  会同县,24328,12186,12142,4209,2628,1581,17975,8814,9161,322,212,110,1822,532,1290,1.55,1.52
  麻阳苗族自治县,26438,13266,13172,5601,3300,2301,18417,8998,9419,384,249,135,2036,719,1317,1.49,1.47
  新晃侗族自治县,25913,13731,12182,5770,3968,1802,17248,8529,8719,470,329,141,2425,905,1520,1.42,1.39
  芷江侗族自治县,23550,11908,11642,3867,2451,1416,17511,8583,8928,455,273,182,1717,601,1116,1.53,1.49
  靖州苗族侗族自治县,18509,9386,9123,3746,2254,1492,13259,6610,6649,275,151,124,1229,371,858,1.51,1.49
  通道侗族自治县,15859,8071,7788,3222,2045,1177,11387,5592,5795,164,95,69,1086,339,747,1.62,1.59
  洪江市,37462,19038,18424,7140,4555,2585,27014,13331,13683,780,467,313,2528,685,1843,1.33,1.30
娄底市,281999,140628,141371,56578,33873,22705,201808,98948,102860,3344,2058,1286,20269,5749,14520,1.59,1.57
  娄星区,37759,18593,19166,7573,4212,3361,27835,13634,14201,620,302,318,1731,445,1286,1.25,1.23
  双峰县,66763,33372,33391,13179,7867,5312,47947,23676,24271,570,374,196,5067,1455,3612,1.58,1.56
  新化县,80546,40256,40290,16498,10078,6420,56865,27648,29217,896,4610,286,6287,1920,4367,1.71,1.68
  冷水江市,25637,12673,12964,4773,2814,1959,18818,9301,9517,454,225,229,1592,333,1259,1.49,1.47
  涟源市,71294,35734,35560,14555,8902,5653,50343,24689,25654,804,547,257,5592,1596,3996,1.68,1.66
湘西土家族苗族自治州,167012,83181,83831,35386,20618,14768,116012,56798,59214,2498,1494,1004,13116,4271,8845,1.65,1.62
  吉首市,22751,11228,11523,5090,2791,2299,15816,7837,7979,491,238,253,1354,362,992,1.30,1.29
  泸溪县,17483,8659,8824,4227,2369,1858,11768,5744,6024,216,140,76,1272,406,866,1.64,1.62
  凤凰县,22772,11444,11328,4830,2893,1937,15798,7743,8055,297,175,122,1847,633,1214,1.75,1.72
  花垣县,21203,10758,10445,4876,2881,1995,14543,7185,7358,320,209,111,1464,483,981,1.63,1.61
  保靖县,16987,8617,8370,3408,2130,1278,11811,5841,5970,275,180,95,1493,466,1027,1.69,1.67
  古丈县,8082,4126,3956,1567,992,575,5736,2835,2901,119,78,41,660,221,439,1.78,1.75
  永顺县,28791,14181,14610,5609,3221,2388,20308,9845,10463,401,244,157,2473,871,1602,1.72,1.69
  龙山县,28943,14168,14775,5779,3341,2438,20232,9768,10464,379,230,149,2553,829,1724,1.74,1.71
,,,,,,,,,,,,,,,,,
广东省,8010839,4102831,3908008,2519144,1426409,1092735,5094474,2562273,2532201,64814,33510,31304,332407,80639,251768,1.31,1.30
广州市,1084144,559361,524783,351206,198616,152590,683103,347406,335697,13382,5759,7623,36453,7580,28873,0.99,0.99
  荔湾区,76524,38186,38338,20327,11286,9041,50203,25365,24838,1715,723,992,4279,812,3467,0.91,0.90
  越秀区,90890,44422,46468,25221,13463,11758,58968,29224,29744,2060,842,1218,4641,893,3748,0.81,0.80
  海珠区,146944,74380,72564,42238,23493,18745,96718,48843,47875,2612,999,1613,5376,1045,4331,0.86,0.86
  天河区,118520,61932,56588,50409,27976,22433,64747,33013,31734,1297,509,788,2067,434,1633,0.70,0.70
  白云区,209223,112061,97162,71714,41841,29873,130645,68361,62284,1773,816,957,5091,1043,4048,1.02,1.01
  黄埔区,41710,22516,19194,13215,7912,5303,27183,14215,12968,412,196,216,900,193,707,0.98,0.98
  番禺区,146382,74596,71786,45064,25194,19870,95742,47961,47781,1333,584,749,4243,857,3386,1.07,1.06
  花都区,73792,37415,36377,22402,12692,9710,47798,23792,24006,660,284,376,2932,647,2285,1.21,1.20
  南沙区,21932,11877,10055,6499,4065,2434,14523,7557,6966,180,84,96,730,171,559,1.14,1.13
  萝岗区,32877,17541,15336,14947,8356,6591,17011,8926,8085,197,97,100,722,162,560,0.91,0.91
  增城市,81048,42092,38956,24752,14144,10608,52486,26814,25672,646,354,292,3164,780,2384,1.33,1.32
  从化巿,44302,22343,21959,14418,8194,6224,27079,13335,13744,497,271,226,2308,543,1765,1.42,1.41
韶关市,204067,99879,104188,40217,23178,17039,146286,71631,74655,3010,1551,1459,14554,3519,11035,1.55,1.54
  武江区,23673,11411,12262,5081,2695,2386,16812,8205,8607,586,248,338,1194,263,931,1.16,1.15
  浈江区,26661,13092,13569,7038,3787,3251,17725,8810,8915,475,220,255,1423,275,1148,1.13,1.12
  曲江区,23420,11836,11584,5495,3272,2223,16169,8090,8079,343,180,163,1413,294,1119,1.37,1.36
  始兴县,15000,7161,7839,2476,1451,1025,10991,5312,5679,199,108,91,1334,290,1044,1.73,1.70
  仁化县,14566,7248,7318,2389,1480,909,10881,5400,5481,163,91,72,1133,277,856,1.76,1.73
  翁源县,23414,11546,11868,4844,2811,2033,16549,8117,8432,355,214,141,1666,404,1262,1.73,1.71
  乳源瑶族自治县,13354,6617,6737,2901,1679,1222,9316,4579,4737,172,101,71,965,258,707,1.59,1.58
  新丰县,13651,6666,6985,2863,1691,1172,9438,4570,4868,210,126,84,1140,279,861,1.74,1.72
  乐昌市,27500,13395,14105,4171,2502,1669,20889,10103,10786,319,166,153,2121,624,1497,1.81,1.78
  南雄市,22828,10907,11921,2959,1810,1149,17516,8445,9071,188,97,91,2165,555,1610,1.82,1.79
深圳市,927645,499181,428464,362283,206742,155541,552444,288599,263845,6605,2522,4083,6313,1318,4995,0.87,0.86
  罗湖区,83042,41051,41991,28876,14562,14314,52015,25924,26091,1171,377,794,980,188,792,0.88,0.88
  福田区,109923,56026,53897,39724,21366,18358,67538,34008,33530,1534,459,1075,1127,193,934,0.83,0.82
  南山区,95289,51201,44088,32174,18127,14047,61508,32594,28914,979,361,618,628,119,509,0.81,0.80
  宝安区,413974,229361,184613,180592,105802,74790,230202,122397,107805,1441,710,731,1739,452,1287,0.84,0.83
  龙岗区,207726,111910,95816,74825,43302,31523,129974,67753,62221,1262,526,736,1665,329,1336,0.96,0.95
  盐田区,17691,9632,8059,6092,3583,2509,11207,5923,5284,218,89,129,174,37,137,1.00,1.00
珠海市,143181,75465,67716,52978,29571,23407,85510,44486,41024,1609,669,940,3084,739,2345,0.94,0.93
  香洲区,85371,44592,40779,30984,16830,14154,51909,27057,24852,1085,406,679,1393,299,1094,0.87,0.87
  斗门区,33993,18085,15908,11402,6880,4522,21022,10698,10324,324,163,161,1245,344,901,1.18,1.17
  金湾区,23817,12788,11029,10592,5861,4731,12579,6731,5848,200,100,100,446,96,350,0.85,0.83
汕头市,379316,185428,193888,122898,64589,58309,233891,115159,118732,2174,1181,993,20353,4499,15854,1.58,1.57
  龙湖区,41720,20581,21139,10938,5804,5134,28957,14359,14598,240,80,160,1585,338,1247,1.29,1.28
  金平区,62371,30325,32046,16131,8627,7504,41993,20726,21267,733,295,438,3514,677,2837,1.20,1.19
  濠江区,18547,8646,9901,6773,3509,3264,10606,4900,5706,66,43,23,1102,194,908,1.75,1.74
  潮阳区,106171,51501,54670,39930,20733,19197,60303,29130,31173,405,285,120,5533,1353,4180,1.78,1.77
  潮南区,82640,40595,42045,30866,15760,15106,47140,23534,23606,363,269,94,4271,1032,3239,1.81,1.80
  澄海区,63069,31456,31613,17390,9644,7746,41443,20810,20633,326,185,141,3910,817,3093,1.43,1.42
  南澳县,4798,2324,2474,870,512,358,3449,1700,1749,41,24,17,438,88,350,1.66,1.65
佛山市,593759,315166,278593,171131,101856,69275,399238,207876,191362,5105,2167,2938,18285,3267,15018,1.15,1.15
  禅城区,87260,44391,42869,24463,13306,11157,58963,30229,28734,1100,422,678,2734,434,2300,1.01,1.01
  南海区,216663,117181,99482,64505,38992,25513,144863,76473,68390,1488,640,848,5807,1076,4731,1.17,1.16
  顺德区,209871,111971,97900,63336,38440,24896,138348,71687,66661,1759,779,980,6428,1065,5363,1.16,1.15
  三水区,47354,24778,22576,11288,6661,4627,33586,17524,16062,489,216,273,1991,377,1614,1.28,1.27
  高明区,32611,16845,15766,7539,4457,3082,23478,11963,11515,269,110,159,1325,315,1010,1.24,1.23
江门市,354714,177775,176939,90714,52565,38149,240066,118861,121205,3455,1825,1630,20479,4524,15955,1.25,1.24
  蓬江区,57650,29171,28479,14785,8481,6304,39696,19891,19805,821,329,492,2348,470,1878,1.07,1.06
  江海区,20194,10166,10028,5447,3040,2407,13737,6874,6863,210,89,121,800,163,637,1.13,1.12
  新会区,66923,33562,33361,15716,9074,6642,46805,23322,23483,597,317,280,3805,849,2956,1.31,1.30
  台山市,74401,36833,37568,18580,10946,7634,49529,24266,25263,776,466,310,5516,1155,4361,1.31,1.30
  开平市,57769,28233,29536,14536,8265,6271,38984,18947,20037,456,242,214,3793,779,3014,1.32,1.31
  鹤山市,41006,21023,19983,11184,6475,4709,27490,13843,13647,305,181,124,2027,524,1503,1.14,1.13
  恩平市,36771,18787,17984,10466,6284,4182,23825,11718,12107,290,201,89,2190,584,1606,1.39,1.38
湛江市,467696,235211,232485,145207,82450,62757,295167,143592,151575,3527,2247,1280,23795,6922,16873,1.74,1.73
  赤坎区,23984,11671,12313,7708,3940,3768,14997,7361,7636,396,170,226,883,200,683,0.95,0.94
  霞山区,38853,19612,19241,10467,6101,4366,26299,12861,13438,691,315,376,1396,335,1061,1.11,1.10
  坡头区,24173,12142,12031,8274,4740,3534,14543,6970,7573,147,89,58,1209,343,866,1.68,1.67
