首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口总计","各种行业人口
总计",,,,,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重(%),,
,,,农林牧渔业,采矿业,制造业,"电力、燃气
及水的生产
和供应业",建筑业,仓储和邮政业,"交通运输、
计算机服务
和软件业","信息传输、
批发和零售业",住宿和餐饮业,金融业,房地产业,"租赁和
商务服务业","科学研究、
技术服务和
地质勘察业","水利、环境
和公共设施
管理业","居民服务和
其他服务业",教育,"卫生、社会
保障和社会
福利业","文化、体育
和娱乐业","公共管理和
社会组织",国际组织,第一产业,第二产业,第三产业
  荥阳市,50337,35054,17858,480,6526,217,2033,1283,127,2607,610,160,50,75,30,166,583,689,402,63,1095,,50.94,26.40,22.65
  新密市,64701,38806,11383,3828,8716,336,2023,2716,185,4201,1139,239,62,128,28,68,1051,868,542,129,1163,1,29.33,38.40,32.26
  新郑市,56783,37703,22878,324,4489,148,1923,1466,105,2431,593,135,65,89,45,101,541,781,376,80,1133,,60.68,18.26,21.06
  登封市,50707,33732,18716,5232,1640,321,569,1341,133,1950,596,127,18,56,9,160,447,787,378,103,1149,,55.48,23.01,21.50
开封市,359813,257520,201994,294,12633,804,10477,3539,529,9800,2579,1005,221,339,140,497,1832,3926,2264,386,4260,1,78.44,9.40,12.16
  龙亭区,10397,4763,1506,9,394,38,867,186,37,523,194,83,27,27,6,38,93,293,177,35,230,,31.62,27.46,40.92
  顺河回族区,20128,9736,2847,7,1643,215,764,353,86,1284,459,199,26,75,67,134,176,637,315,88,361,,29.24,27.00,43.76
  鼓楼区,11700,5842,1302,9,830,67,176,325,72,1131,300,192,39,36,13,55,196,282,260,58,498,1,22.29,18.52,59.19
  禹王台区,10755,5394,2191,9,774,60,146,464,57,781,179,39,22,23,8,49,143,162,136,26,125,,40.62,18.34,41.05
  金明区,21193,9975,4337,21,912,164,231,421,114,878,263,229,83,68,22,101,216,573,333,65,944,,43.48,13.31,43.21
  杞县,73656,60725,52774,22,1619,46,2948,386,31,1340,249,33,5,31,4,15,276,447,206,25,268,,86.91,7.63,5.46
  通许县,41606,34939,31584,4,569,68,484,246,23,890,150,31,10,11,2,34,172,257,139,16,249,,90.40,3.22,6.38
  尉氏县,67952,50455,41910,8,2791,52,1917,392,38,1384,350,85,,17,8,6,198,402,237,24,636,,83.06,9.45,7.49
  开封县,52251,39743,34516,11,1113,47,1447,416,40,581,217,50,3,24,6,24,168,453,172,15,440,,86.85,6.59,6.56
  兰考县,50175,35948,29027,194,1988,47,1497,350,31,1008,218,64,6,27,4,41,194,420,289,34,509,,80.75,10.36,8.89
洛阳市,513794,333891,190782,4899,41246,2732,18405,10866,1406,23571,7009,2300,1255,1304,953,1382,4929,7125,4200,1137,8390,,57.14,20.15,22.71
  老城区,12950,6968,1200,19,1066,28,270,796,130,1471,310,117,73,88,35,134,225,247,190,144,425,,17.22,19.85,62.93
  西工区,29358,15550,953,63,3279,376,1099,1243,255,3045,731,568,267,166,186,187,403,667,586,229,1247,,6.13,30.98,62.89
  瀍河回族区,14412,6963,821,38,1161,89,633,1455,118,856,291,67,104,47,40,49,148,372,324,43,307,,11.79,27.59,60.62
  涧西区,51582,25314,1580,158,10298,629,1319,765,254,3620,1041,560,340,319,463,285,556,1244,744,194,945,,6.24,49.00,44.76
  吉利区,5605,3520,757,14,925,68,290,244,17,261,125,46,66,51,26,65,125,87,56,35,262,,21.51,36.85,41.65
  洛龙区,42134,24257,8013,254,4469,101,2066,1212,136,3884,867,179,280,180,113,286,585,731,253,111,537,,33.03,28.40,38.56
  孟津县,32313,21030,13260,65,1975,110,1737,529,62,1181,384,64,14,18,8,39,407,380,277,78,442,,63.05,18.48,18.46
  新安县,35655,21271,13736,1003,1737,373,1081,637,35,887,349,66,10,57,13,19,241,347,196,25,459,,64.58,19.72,15.71
  栾川县,28062,15719,9002,1682,488,112,511,524,56,1010,580,88,6,86,15,135,396,356,205,60,407,,57.27,17.77,24.96
  嵩县,41987,31901,28201,306,437,82,382,261,60,650,284,55,16,31,8,64,102,373,201,30,358,,88.40,3.78,7.81
  汝阳县,29350,22425,17283,101,1159,58,1078,344,43,798,202,49,3,58,9,13,215,386,207,19,400,,77.07,10.68,12.25
  宜阳县,46819,33501,26689,332,1175,78,1810,517,73,914,442,80,15,32,5,17,224,363,171,22,542,,79.67,10.13,10.20
  洛宁县,34097,27043,21651,191,1247,87,743,367,34,941,321,82,12,41,4,36,357,284,190,22,433,,80.06,8.39,11.55
  伊川县,56330,42487,30765,209,2323,190,3640,769,39,1909,499,106,13,98,9,20,479,590,257,20,552,,72.41,14.97,12.62
  偃师市,53140,35942,16871,464,9507,351,1746,1203,94,2144,583,173,36,32,19,33,466,698,343,105,1074,,46.94,33.58,19.48
平顶山市,375981,253954,160060,14721,17574,1872,10656,6895,808,15809,4646,1252,419,567,287,538,3229,4348,2942,479,6852,,63.03,17.65,19.32
  新华区,28681,15558,2830,4656,1339,318,591,468,71,1600,546,256,101,68,42,136,223,655,478,69,1111,,18.19,44.38,37.43
  卫东区,24619,13444,1200,3731,2185,358,356,830,80,1588,329,258,91,72,98,64,214,462,417,98,1013,,8.93,49.32,41.76
  石龙区,2956,1724,539,493,254,9,6,47,4,83,31,20,1,2,,2,16,48,25,,144,,31.26,44.20,24.54
  湛河区,22410,11581,3242,564,2252,667,539,552,87,1084,400,180,92,101,36,122,123,524,255,55,706,,27.99,34.73,37.28
  宝丰县,36908,24820,17161,650,1461,69,1143,639,54,1432,401,80,15,28,3,16,328,358,254,31,697,,69.14,13.39,17.47
  叶县,61375,46868,39928,83,1210,68,1418,521,43,1319,416,66,6,28,3,19,218,490,224,22,786,,85.19,5.93,8.88
  鲁山县,61686,40089,32255,262,1727,66,1128,793,66,1571,442,91,6,55,23,37,435,378,224,78,452,,80.46,7.94,11.60
  郏县,44302,32810,24471,179,2174,101,683,712,60,1969,415,111,17,109,58,46,231,460,356,30,628,,74.58,9.56,15.85
  舞钢市,24010,14353,6761,250,2853,69,1341,402,52,859,292,78,23,11,13,15,172,310,177,36,639,,47.11,31.44,21.45
  汝州市,69034,52707,31673,3853,2119,147,3451,1931,291,4304,1374,112,67,93,11,81,1269,663,532,60,676,,60.09,18.16,21.75
安阳市,386734,258936,162244,1704,25132,1491,19677,6631,797,17567,3638,1414,540,715,292,776,2780,4751,2780,678,5328,1,62.66,18.54,18.80
  文峰区,35850,17369,3375,61,2811,333,2255,647,211,2217,594,350,201,201,78,221,511,1021,522,226,1533,1,19.43,31.44,49.13
  北关区,18898,8898,1165,33,1521,163,730,369,122,1519,433,279,131,77,21,125,241,494,442,80,953,,13.09,27.50,59.41
  殷都区,19120,10190,1252,139,3473,462,882,756,114,1005,200,143,56,114,95,142,308,341,275,57,376,,12.29,48.64,39.08
  龙安区,17010,10828,4976,171,2176,81,827,647,28,797,214,89,26,34,36,70,155,213,92,27,169,,45.95,30.06,23.98
  安阳县,62929,42202,25094,1063,5226,48,4372,1700,77,2225,438,75,37,69,17,53,411,602,310,48,337,,59.46,25.38,15.16
  汤阴县,31966,23786,17123,19,1559,60,1522,532,45,1104,203,87,22,33,5,33,283,434,237,39,446,,71.99,13.29,14.73
  滑县,94115,68641,56522,60,3139,98,3685,632,86,1678,482,87,38,74,19,53,321,737,322,88,520,,82.34,10.17,7.48
  内黄县,46762,34236,23130,64,978,98,3340,250,49,4657,707,65,1,29,3,10,192,216,111,30,306,,67.56,13.09,19.35
  林州市,60084,42786,29607,94,4249,148,2064,1098,65,2365,367,239,28,84,18,69,358,693,469,83,688,,69.20,15.32,15.48
鹤壁市,117614,80100,47332,4735,6914,756,5145,1965,283,4666,1085,600,119,261,87,252,829,1738,1091,218,2024,,59.09,21.91,19.00
  鹤山区,10837,5882,2252,1930,569,17,148,191,20,325,132,15,3,39,3,8,34,100,68,6,22,,38.29,45.29,16.42
  山城区,18089,10669,3290,1409,2164,294,316,443,87,1177,280,106,15,108,26,73,144,301,194,45,197,,30.84,39.21,29.96
  淇滨区,20678,13376,5467,1179,919,249,700,436,96,1322,211,312,80,77,34,97,227,560,360,97,953,,40.87,22.78,36.35
  浚县,48386,36291,27817,186,1440,101,2962,578,35,1153,310,94,15,16,23,61,256,483,296,45,420,,76.65,12.92,10.43
  淇县,19624,13882,8506,31,1822,95,1019,317,45,689,152,73,6,21,1,13,168,294,173,25,432,,61.27,21.37,17.35
新乡市,434410,291586,186167,651,34058,1426,18243,9395,767,15596,3926,1548,450,582,283,768,2898,5608,2960,620,5640,,63.85,18.65,17.50
  红旗区,28369,15007,2312,137,2926,290,1222,720,179,2368,494,520,156,96,135,245,327,1094,407,130,1249,,15.41,30.49,54.11
  卫滨区,15955,8327,1040,44,1464,98,281,1364,95,1823,318,188,87,58,32,83,240,309,370,62,371,,12.49,22.66,64.85
  凤泉区,10753,6890,3189,18,2063,113,355,244,16,255,56,39,7,34,3,12,126,119,64,19,158,,46.28,37.00,16.72
  牧野区,25348,11941,2565,12,3525,177,536,505,130,1727,325,184,94,110,41,91,321,686,317,93,502,,21.48,35.59,42.93
  新乡县,26348,18564,8408,6,5452,78,1431,522,53,1122,246,81,26,42,9,68,282,346,187,18,187,,45.29,37.53,17.18
  获嘉县,30554,19831,12450,15,1869,88,2117,528,43,1036,262,84,18,28,3,22,222,348,194,27,477,,62.78,20.62,16.60
  原阳县,48400,38132,31153,5,838,42,1190,2706,36,685,244,59,6,23,11,35,90,324,196,59,430,,81.70,5.44,12.86
  延津县,34036,22342,16691,12,1462,89,1652,278,28,755,215,50,5,41,5,17,132,325,163,28,394,,74.71,14.39,10.90
  封丘县,55865,40955,32505,19,1612,99,3174,331,61,1163,417,72,8,13,19,51,173,446,264,27,501,,79.37,11.97,8.66
  长垣县,61287,40563,27697,6,5447,70,3192,433,14,1824,556,8,20,12,3,26,439,626,101,5,84,,68.28,21.49,10.23
  卫辉市,37343,26719,21144,37,1744,59,989,338,48,703,167,71,8,25,3,26,138,357,355,34,473,,79.13,10.59,10.28
  辉县市,60152,42315,27013,340,5656,223,2104,1426,64,2135,626,192,15,100,19,92,408,628,342,118,814,,63.84,19.67,16.49
焦作市,274140,171155,85560,3625,28041,1785,9473,8406,626,12941,3364,1379,291,541,156,955,2178,4167,2441,409,4817,,49.99,25.08,24.93
  解放区,23725,10712,106,398,2532,658,502,979,140,2055,424,287,112,127,55,185,260,642,439,72,739,,0.99,38.18,60.83
  中站区,8695,3677,801,332,866,87,116,256,24,403,122,31,51,34,3,45,85,168,73,9,171,,21.78,38.10,40.11
  马村区,10004,5153,1630,1225,799,43,255,317,34,283,111,29,4,14,2,15,59,128,52,13,140,,31.63,45.06,23.31
  山阳区,25174,11548,1376,478,2641,337,516,671,131,1661,388,349,62,94,29,203,260,803,417,85,1047,,11.92,34.40,53.69
  修武县,21929,14446,6993,687,1848,90,1162,781,50,925,359,80,2,53,3,157,148,386,185,42,495,,48.41,26.21,25.38
  博爱县,33310,20632,11369,252,3232,111,1205,1038,43,1344,433,98,11,44,10,86,230,432,247,36,411,,55.10,23.26,21.63
  武陟县,53519,36654,27027,31,3518,102,1471,1193,59,1252,291,103,13,21,10,105,273,492,309,6,378,,73.74,13.97,12.29
  温县,33623,23366,13700,39,4213,106,1226,867,28,1332,353,117,12,40,5,49,229,351,249,30,420,,58.63,23.90,17.47
  沁阳市,35323,24447,9784,162,5052,140,2313,1508,67,2698,619,166,19,51,12,76,357,461,282,86,594,,40.02,31.36,28.62
  孟州市,28838,20520,12774,21,3340,111,707,796,50,988,264,119,5,63,27,34,277,304,188,30,422,,62.25,20.37,17.38
濮阳市,269329,194528,139886,4766,9707,1140,10769,3658,512,8452,1724,954,566,383,399,557,1888,3233,1605,293,4035,1,71.91,13.56,14.53
  华龙区,50321,29433,8298,2845,2491,837,1763,1315,295,3488,826,647,413,228,378,437,862,1438,721,180,1970,1,28.19,26.96,44.84
  清丰县,48500,38072,30388,534,1326,72,2130,435,52,1056,290,73,30,61,6,73,268,395,234,22,627,,79.82,,
  南乐县,33349,23150,16776,9,1575,62,2131,495,30,813,162,42,7,10,1,1,170,319,168,7,372,,72.47,16.32,11.22
  范县,33555,24829,19981,474,1050,12,996,321,22,703,145,69,2,19,,1,216,300,154,10,354,,80.47,10.20,9.33
  台前县,24195,16552,12039,13,1289,33,1222,467,59,592,87,59,2,7,,25,65,178,103,41,271,,72.73,15.45,11.82
  濮阳县,79409,62492,52404,891,1976,124,2527,625,54,1800,214,64,112,58,14,20,307,603,225,33,441,,83.86,8.83,7.31
许昌市,325602,232275,150021,3164,27827,1082,9695,5469,652,14076,4018,1139,386,469,149,683,2557,3711,2090,463,4624,,64.59,17.98,17.43
  魏都区,35347,15730,594,94,4060,376,647,1122,262,2688,765,579,240,182,76,306,361,968,654,207,1549,,3.78,32.91,63.31
  许昌县,60300,46659,34574,311,3601,66,3341,781,45,1611,784,77,26,36,9,66,386,374,167,36,368,,74.10,15.69,10.21
  鄢陵县,40001,32488,27064,4,1661,35,1071,212,41,1106,207,73,8,9,1,4,171,321,132,14,354,,83.30,8.53,8.17
  襄城县,49821,39934,32487,281,1159,63,804,514,67,1954,702,70,7,21,27,74,416,437,200,46,605,,81.35,5.78,12.87
  禹州巿,85700,61555,40767,2454,6802,362,1708,1684,140,3174,916,179,63,64,27,141,745,860,537,100,832,,66.23,18.40,15.37
  长葛市,54433,35909,14535,20,10544,180,2124,1156,97,3543,644,161,42,157,9,92,478,751,400,60,916,,40.48,35.84,23.69
漯河市,190371,134122,87429,92,14354,543,7064,3208,453,7514,2105,964,284,409,61,306,1311,2481,1352,295,3897,,65.19,16.44,18.37
  源汇区,25421,14730,5404,15,2034,148,1159,887,156,1890,652,216,81,111,10,168,194,456,272,69,808,,36.69,22.78,40.53
  郾城区,37003,25152,11310,34,3737,141,2482,781,117,2120,537,415,149,103,31,66,344,736,365,120,1564,,44.97,25.42,29.61
  召陵区,36513,24296,13929,15,4400,63,1801,933,43,1347,381,93,34,81,13,46,306,275,258,30,248,,57.33,25.84,16.83
  舞阳县,40290,30582,25888,8,1162,36,814,237,42,784,259,85,19,40,5,10,108,352,148,12,573,,84.65,6.61,8.74
  临颍县,51144,39362,30898,20,3021,155,808,370,95,-1373,276,155,1,74,2,16,359,662,309,64,704,,78.50,10.17,11.33
三门峡市,173471,125484,88674,3965,5824,963,2512,3460,423,6740,2518,822,248,499,71,493,1316,2204,1244,253,3254,1,70.67,10.57,18.76
  湖滨区,24431,13667,1824,127,2099,393,989,1096,191,2390,748,427,188,110,40,338,323,583,401,115,1284,1,13.35,26.40,60.25
  渑池县,25805,19043,14949,566,588,41,137,535,20,797,276,61,4,21,9,14,152,252,102,14,505,,78.50,6.99,14.50
  陕县,26670,20047,15417,509,960,113,216,754,41,744,334,53,13,31,2,12,154,304,111,14,265,,76.90,8.97,14.13
  卢氏县,28123,22086,19178,106,246,76,319,186,34,650,235,47,6,11,2,10,110,243,152,26,449,,86.83,3.38,9.78
  义马巿,10321,5301,1183,1934,367,208,222,160,30,378,98,34,1,23,4,11,195,173,113,17,150,,22.32,51.52,26.16
  灵宝市,58121,45340,36123,723,1564,132,629,729,107,1781,827,200,36,303,14,108,382,649,365,67,601,,79.67,6.72,13.61
南阳市,760430,601142,478823,2683,32625,1738,12614,8959,1201,24480,5584,1951,632,877,501,1171,4827,7736,4711,899,9129,1,79.65,8.26,12.09
  宛城区,68601,50306,34768,719,3345,345,1030,1239,262,3059,611,365,207,186,166,373,731,921,696,207,1076,,69.11,10.81,20.08
  卧龙区,67580,47056,28509,127,3865,527,2138,1788,296,3896,716,552,158,165,141,245,664,1128,814,197,1130,,60.59,14.15,25.27
  南召县,42522,31446,25467,17,1490,116,927,454,45,1049,237,101,37,70,6,25,243,397,191,41,533,,80.99,8.11,10.90
  方城县,67055,57771,50411,36,1716,20,846,495,46,1796,374,94,26,23,35,44,428,497,410,12,462,,87.26,4.53,8.21
  西峡县,34031,24602,18846,94,1887,73,412,375,40,1025,288,93,44,51,15,20,207,364,211,23,534,,76.60,10.02,13.37
  镇平县,63090,48802,34882,140,6092,113,1669,652,108,2782,392,82,21,36,12,55,430,401,275,80,579,1,71.48,16.42,12.10
  内乡县,43070,33787,27180,99,1012,20,1603,549,56,1003,351,106,8,32,4,30,366,501,220,40,607,,80.45,8.09,11.46
  淅川县,48869,39920,34284,41,2140,23,693,352,13,758,287,7,6,79,,12,187,344,143,14,537,,85.88,7.26,6.86
  社旗县,47960,40880,36421,18,1132,55,370,248,56,1089,291,53,6,13,4,15,216,255,209,27,402,,89.09,3.85,7.05
  唐河县,97924,80589,68572,402,2559,138,692,695,95,2593,658,170,42,75,36,128,472,1285,554,60,1363,,85.09,4.70,10.21
  新野县,47416,39330,32283,34,3126,72,464,300,80,1164,295,79,36,22,11,61,185,392,251,36,439,,82.08,9.40,8.52
  桐柏县,29329,21977,15816,713,539,82,764,383,38,1349,391,97,17,48,9,64,222,449,209,105,682,,71.97,9.55,18.49
  邓州市,102983,84676,71384,243,3722,154,1006,1429,66,2917,693,152,24,77,62,99,476,802,528,57,785,,84.30,6.05,9.64
商丘市,554756,397969,300029,2879,22138,1037,21913,6239,632,18435,3714,995,212,542,101,389,2785,5756,2656,332,7180,5,75.39,12.05,12.56
  梁园区,62431,39902,27250,25,1957,123,1913,1445,113,3216,725,318,46,149,19,154,426,610,339,78,995,1,68.29,10.07,21.64
  睢阳区,58208,41135,29179,19,2485,308,2437,681,187,1901,414,216,50,156,44,69,322,744,415,75,1429,4,70.93,12.76,16.30
  民权县,53108,36753,30915,5,1281,41,1360,304,56,876,177,61,,36,4,17,64,535,228,17,776,,84.12,7.31,8.57
  睢县,51783,35700,27228,18,1232,87,3127,373,31,1571,246,57,1,27,4,5,239,557,227,7,663,,76.27,12.50,11.23
  宁陵县,38762,28367,23024,7,1255,46,1217,313,44,1105,200,41,12,27,14,31,203,345,158,29,296,,81.16,8.90,9.93
  柘城县,56543,43680,35403,14,1259,92,2154,441,26,1757,421,55,34,31,2,26,306,717,261,28,653,,81.05,8.06,10.89
  虞城县,71664,52008,42034,23,3616,37,2652,420,36,1449,170,37,10,13,5,15,248,419,235,28,561,,80.82,12.17,7.01
  夏邑县,69131,53936,39641,14,5206,79,2749,639,55,2806,477,96,22,40,6,19,342,775,205,30,735,,73.50,14.92,11.58
  永城市,93126,66488,45355,2754,3847,224,4304,1623,84,3754,884,114,37,63,3,53,635,1054,588,40,1072,,68.22,16.74,15.05
信阳市,453378,319195,215594,596,17951,1454,18633,10005,799,22504,6428,1333,599,795,312,775,4306,7123,2831,422,6735,,67.54,12.10,20.35
  狮河区,47519,30299,12494,113,2553,377,2242,1470,266,4170,1407,510,254,183,180,293,590,1092,556,133,1416,,41.24,17.44,41.32
  平桥区,47374,32233,18562,156,2355,243,2213,1709,57,2955,904,116,56,57,18,95,830,734,328,34,811,,57.59,15.41,27.00
  罗山县,38550,27818,20314,33,1105,96,1255,492,38,1859,536,77,35,85,9,40,312,650,243,19,620,,73.02,8.95,18.03
  光山县,41071,29657,20158,23,2858,126,1461,588,44,2070,441,68,25,33,8,66,376,620,240,19,433,,67.97,15.07,16.96
  新县,19692,12601,7318,14,660,79,1467,331,32,1068,299,56,19,32,2,10,175,362,135,24,518,,58.07,17.62,24.31
  商城县,35082,22421,13992,31,1105,111,2599,588,41,1472,462,81,26,40,16,54,321,706,229,36,511,,62.41,17.15,20.44
  固始县,74322,53300,37915,99,3118,169,2876,1328,148,3394,685,140,71,204,43,138,694,1040,470,61,707,,71.14,11.75,17.12
  潢川县,46286,31638,21052,78,1788,115,2346,973,82,2270,620,119,69,65,19,47,368,828,194,41,564,,66.54,13.68,19.78
  淮滨县,44015,32242,25464,5,946,76,1052,1752,34,1013,363,65,4,16,10,3,183,476,179,23,578,,78.98,6.45,14.57
  息县,59467,46986,38325,44,1463,62,1122,774,57,2233,711,101,40,80,7,29,457,615,257,32,577,,81.57,5.73,12.71
周口市,661594,495447,378053,150,28974,896,25277,7340,779,23501,6367,1124,258,1249,350,457,3565,7245,3484,363,6015,,76.31,11.16,12.53
  川汇区,39387,23034,7152,22,2408,267,1745,1322,309,3863,1202,443,114,193,41,201,596,850,611,161,1534,,31.05,19.28,49.67
  扶沟县,47200,38273,33398,8,1419,37,406,333,93,859,240,67,2,6,14,5,164,498,196,31,497,,87.26,4.89,7.85
  西华县,60206,47178,42019,16,837,48,672,417,28,903,390,56,7,16,6,88,312,515,211,16,621,,89.06,3.33,7.60
  商水县,65671,47577,33498,18,4061,63,4161,647,61,2160,674,51,2,376,18,46,318,663,302,17,441,,70.41,17.45,12.14
  沈丘县,70717,52294,33546,14,5501,101,5309,1279,62,3283,686,87,11,62,2,55,463,749,428,23,633,,64.15,20.89,14.96
  郸城县,74712,56326,47174,22,2427,21,2340,613,21,1735,448,81,1,17,3,7,144,743,415,13,101,,83.75,8.54,7.71
  淮阳县,82994,61039,51148,3,1961,18,2185,607,40,2517,545,84,,42,4,10,358,585,252,19,661,,83.80,6.83,9.38
  太康县,81466,65719,57524,12,1796,52,1440,564,32,1686,449,101,55,14,,29,296,712,303,28,626,,87.53,5.02,7.45
  鹿邑县,64324,49475,35150,23,3537,33,4021,600,37,2804,761,10,15,470,228,8,241,799,383,12,343,,71.05,15.39,13.56
  项城市,74917,54532,37444,12,5027,256,2998,958,96,3691,972,144,51,53,34,8,673,1131,383,43,558,,68.66,15.21,16.13
驻马店市,528902,402833,309287,704,20513,971,17371,5960,723,20281,4649,1289,243,1029,247,539,3323,5616,3236,465,6387,,76.78,9.82,13.40
  驿城区,51128,32764,14234,119,2989,325,2436,1416,311,4064,1101,540,127,507,151,203,548,962,817,170,1744,,43.44,17.91,38.64
  西平县,53818,41489,29610,18,2255,104,3441,726,34,2687,592,76,17,62,8,44,405,576,322,44,468,,71.37,14.02,14.61
  上蔡县,78661,60959,48222,19,3212,54,3062,614,38,2881,473,69,11,74,8,36,448,717,370,54,597,,79.11,10.41,10.48
  平舆县,56049,42456,35537,18,2049,59,1320,371,45,1238,323,50,12,68,9,30,250,419,228,35,395,,83.70,8.12,8.18
  正阳县,46096,36109,30923,30,740,59,1031,336,35,1235,258,82,18,66,14,36,155,524,184,30,353,,85.64,5.15,9.21
  确山县,29659,23786,18373,60,814,54,841,466,38,1185,259,89,8,28,7,60,323,362,213,21,585,,77.24,7.44,15.32
  泌阳县,60097,47842,38158,397,2187,70,875,552,32,2611,480,145,22,63,17,42,271,758,329,15,818,,79.76,7.38,12.87
  汝南县,55046,43213,36279,22,1369,71,1323,355,45,1586,398,92,5,94,7,37,201,451,273,28,577,,83.95,6.44,9.60
  遂平县,37552,26261,17223,8,3427,101,2039,451,38,1111,372,67,19,35,18,25,244,342,247,28,466,,65.58,21.23,13.19
  新蔡县,60796,47954,40728,13,1471,74,1003,673,107,1683,393,79,4,32,8,26,478,505,253,40,384,,84.93,5.34,9.73
省直辖县级行政区划,54476,34815,15882,546,6138,496,1934,1594,130,2941,964,276,41,164,20,173,592,907,465,102,1450,,45.62,26.18,28.20
  济源市,54476,34815,15882,546,6138,496,1934,1594,130,2941,964,276,41,164,20,173,592,907,465,102,1450,,45.62,26.18,28.20
,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,4391940,3035863,1611757,17186,394652,19516,175448,106983,17524,279171,85230,21951,15064,15612,9031,10857,57701,71404,39211,13066,74478,21,53.09,19.99,26.92
武汉市,804163,442761,85297,997,85494,5301,31905,28633,6668,80792,21254,7750,8005,6447,5350,4103,13642,20162,9524,4856,16571,10,19.26,27.94,52.80
  江岸区,69939,34668,125,61,4933,562,1717,3156,900,8812,2199,1475,1148,799,460,767,1750,1560,1233,720,2287,4,0.36,20.98,78.66
  江汉区,56191,33188,67,46,5062,512,2284,2597,756,10720,2463,949,907,765,309,349,1599,892,902,652,1356,1,0.20,23.82,75.98
  硚口区,66565,40837,112,45,12777,319,1370,3025,584,12650,1995,572,892,619,309,349,1303,1159,1147,388,1222,,0.27,35.53,64.19
  汉阳区,49261,24364,449,68,6228,386,1224,2175,431,6422,1122,529,542,439,320,392,903,835,540,251,1108,,1.84,32.45,65.71
  武昌区,94585,45784,308,107,7901,955,2348,3642,1204,9001,2698,1716,1158,1170,1568,595,1718,3756,1756,1107,3074,2,0.67,24.71,74.62
  青山区,39811,19107,109,51,7600,649,1004,1563,234,2580,629,300,303,633,630,197,515,791,556,165,598,,0.57,48.69,50.74
  洪山区,124299,52932,4663,124,9467,854,3486,2476,1512,10199,3540,1084,1555,1051,1287,511,1774,5839,1117,859,1533,1,8.81,26.32,64.87
  东西湖区,37871,22008,2843,17,4910,199,1392,2179,306,4239,863,322,507,338,136,187,722,756,389,191,1512,,12.92,29.62,57.47
  汉南区,9160,6404,2587,,1192,64,373,315,26,750,226,37,35,45,9,26,233,136,92,15,243,,40.40,25.44,34.17
  蔡甸区,49807,31622,8032,125,10951,173,2128,1789,162,2898,1181,220,410,173,141,211,722,859,418,135,893,1,25.40,42.30,32.30
  江夏区,67691,32388,13156,290,4724,277,2937,1958,209,2962,1340,204,223,167,101,168,824,1251,404,172,1021,,40.62,25.40,33.98
  黄陂区,69741,48996,23985,41,6038,201,5848,1962,175,4705,1725,173,225,169,40,242,1025,992,457,116,876,1,48.95,24.75,26.29
  新洲区,69242,50463,28861,22,3711,150,5794,1796,169,4854,1273,169,100,79,40,109,554,1336,513,85,848,,57.19,19.18,23.63
黄石市,179507,109657,42889,3710,18277,913,10519,4765,560,10295,3545,835,504,436,286,401,2191,3276,1902,592,3761,,39.11,30.48,30.41
  黄石港区,18290,8871,125,85,1840,443,373,661,126,1885,511,251,143,91,44,84,358,557,399,205,690,,1.41,30.90,67.69
  西塞山区,18664,9645,697,232,2932,93,630,596,101,1864,627,187,123,74,21,76,324,292,222,143,411,,7.23,40.30,52.47
  下陆区,13391,6209,190,331,2283,128,560,340,78,630,241,100,99,62,64,74,105,314,231,56,323,,3.06,53.18,43.76
  铁山区,4628,2267,22,607,525,7,134,157,30,351,98,11,8,9,30,3,55,56,56,6,102,,0.97,56.15,42.88
  阳新县,57616,39480,24802,478,3620,86,3024,1163,95,2156,695,83,29,51,8,37,518,953,473,72,1137,,62.82,18.26,18.92
  大冶市,66918,43185,17053,1977,7077,156,5798,1848,130,3409,1373,203,102,149,119,127,831,1104,521,110,1098,,39.49,34.75,25.76
十堰市,250782,173014,91163,1673,22705,1272,12941,5661,1041,13966,4800,1304,715,798,463,455,2556,3644,2501,787,4568,1,52.69,22.31,25.00
  茅箭区,29356,16963,505,54,4311,238,992,965,228,4253,866,597,315,195,72,133,486,815,681,140,1117,,2.98,32.98,64.04
  张湾区,27711,16082,1671,17,6407,202,1214,737,87,2693,563,177,195,113,82,43,465,537,332,84,462,1,10.39,48.75,40.86
  郧县,39388,29765,21931,136,2457,84,924,635,227,1154,570,107,28,88,6,43,239,463,220,41,412,,73.68,12.10,14.22
  郧西县,37176,27828,19404,510,1812,79,2050,572,53,1252,669,49,23,22,6,25,260,351,195,22,474,,69.73,15.99,14.28
  竹山县,31165,21737,13049,326,1297,116,3028,686,236,816,474,70,53,46,210,27,175,207,267,328,326,,60.03,21.93,18.04
  竹溪县,23196,16671,10377,349,1548,101,1278,449,40,747,304,58,5,87,7,39,275,268,176,36,527,,62.25,19.65,18.10
  房县,28816,20428,13165,151,1552,134,1675,586,79,1115,374,93,10,49,27,27,233,380,259,52,467,,64.45,17.19,18.36
  丹江口市,33974,23540,11061,130,3321,318,1780,1031,91,1936,980,153,86,198,53,118,423,623,371,84,783,,46.99,23.57,29.44
宜昌市,317894,228886,128340,2887,26390,2337,10384,7811,1074,19431,6804,1776,1190,1274,659,832,4164,4369,2945,853,5366,,56.07,18.35,25.58
