首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
  临城县,17.32,74.82,7.86,27.89,11200,7259,3894,47,14.02,6.73,7.29,8415,3412,347
  内邱县,17.49,75.67,6.84,28.64,13402,9274,4085,43,14.94,5.95,8.99,9608,2322,333
  柏乡县,18.64,73.33,8.03,27.73,11468,7725,3687,56,12.84,6.29,6.55,4012,759,173
  隆尧县,16.14,76.67,7.19,30.18,27580,19011,8431,138,15.07,6.63,8.44,7996,5507,706
  任县,18.92,74.05,7.03,28.62,17415,11959,5374,82,14.58,6.19,8.39,8787,1405,308
  南和县,19.07,74.13,6.80,28.97,16896,11777,5030,89,18.34,7.43,10.91,6192,1758,378
  宁晋县,18.22,73.95,7.84,29.22,45262,31890,13170,202,15.02,6.67,8.35,30423,2932,1246
  巨鹿县,17.91,74.12,7.97,28.92,21944,14785,7072,87,14.74,6.58,8.16,9381,1566,368
  新河县,16.22,75.62,8.16,28.74,10808,7825,2927,56,11.89,7.14,4.75,2246,536,219
  广宗县,21.42,71.30,7.29,27.54,15373,10191,5113,69,16.67,6.86,9.81,6759,1182,371
  平乡县,21.28,71.59,7.13,27.55,15814,10311,5434,69,14.26,7.17,7.09,5377,952,167
  威县,18.55,74.62,6.83,28.42,29192,20756,8324,112,14.60,6.51,8.09,4245,406,56
  清河县,17.81,75.31,6.89,29.09,20413,14493,5843,77,17.67,7.26,10.41,13508,2996,2365
  临西县,21.25,72.41,6.33,28.26,16602,12042,4502,58,13.33,6.13,7.20,6402,451,872
  南宫市,14.31,77.74,7.95,28.24,28298,20383,7812,103,12.28,6.65,5.63,10688,5015,798
  沙河市,19.56,74.36,6.08,29.36,23103,16077,6975,51,14.63,5.78,8.85,42318,9830,5392
保定市,17.11,74.77,8.11,28.40,677379,457002,217358,3019,12.99,6.26,6.73,546788,362953,207512
  新市区,13.73,76.67,9.61,29.35,30689,17169,13443,77,8.39,4.68,3.71,61334,56673,13833
  北市区,11.25,81.80,6.96,34.27,18876,11310,7517,49,6.53,3.28,3.25,43624,82845,20081
  南市区,12.31,80.28,7.41,33.34,15305,9642,5621,42,7.62,4.63,2.99,27028,55871,13814
  满城县,17.91,74.10,7.99,26.44,24425,16537,7775,113,14.32,6.23,8.09,15180,15108,3242
  清苑县,16.98,74.58,8.43,28.03,39595,26249,13102,244,15.01,6.45,8.56,23477,7574,3318
  涞水县,14.28,77.43,8.28,28.59,21171,14556,6546,69,10.77,7.21,3.56,10966,2276,3422
  阜平县,21.25,69.51,9.23,24.68,14449,10197,4208,44,14.68,7.12,7.56,11516,1290,1175
  徐水县,16.11,75.45,8.43,28.40,35870,24574,11127,169,13.46,7.01,6.45,22022,10164,6302
  定兴县,16.43,74.93,8.64,29.26,34346,24223,9943,180,12.37,7.01,5.36,11112,4387,2890
