首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  武清区,3520,3311,17576,16251,23362,21162,23550,21666,29618,27469,49003,40460,43502,34541,45850,35415,46755,36803,45690,39758,43798,41973,33731,31741,35620,33051,24218,24183,15214,14665,11250,9573,6758,7179,3784,4865,1597,2616
  宝坻区,3320,2850,13829,12083,15818,13970,16035,13674,30942,27459,51131,44397,40467,30165,38886,28431,38593,30609,40608,35167,34471,31997,26279,24073,28025,26461,18081,17638,11321,10973,8689,8017,6446,6814,3227,4298,1475,2438
  滨海新区,6062,5257,29053,25462,30642,26649,30799,26839,88633,67116,264046,175866,208955,126773,149309,93866,142702,92671,131681,85723,100828,71676,74353,58417,65597,54568,38272,34506,20436,23044,17088,17977,11654,10912,5521,5318,2394,2539
县,10520,8823,50257,42136,52831,42877,53533,43723,69835,58325,90420,81930,68530,63286,62988,57871,76493,72815,87990,84087,77660,76483,66708,65834,68198,68377,44623,46423,28347,26599,21873,18873,15990,15371,8386,10030,3663,5202
  宁河县,2063,1698,10028,8494,10474,8644,11206,8610,16368,13221,22774,19963,17971,14731,16338,13696,18004,15024,20124,17539,18910,16940,16580,15661,15799,14966,9575,9397,5997,5980,4284,3985,3248,2769,1631,1752,779,920
  静海县,3959,3144,19799,15459,22206,17252,19855,16534,24633,20761,29048,25657,22498,21485,24357,22350,30820,29386,32191,30626,23693,24098,20171,21429,22405,24311,15344,16990,9966,8108,6948,5044,4752,4035,2573,2748,1069,1274
  蓟县,4498,3981,20430,18183,20151,16981,22472,18579,28834,24343,38598,36310,28061,27070,22293,21825,27669,28405,35675,35922,35057,35445,29957,28744,29994,29100,19704,20036,12384,12511,10641,9844,7990,8567,4182,5530,1815,3008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,470526,409668,2100526,1797166,2168112,1873159,1741355,1532526,2699801,2600237,3769523,3823046,2953742,2969015,2455915,2360627,2640674,2596117,3191301,3112568,2824442,2820149,2446341,2348386,2421123,2385899,1714865,1707663,1045994,1043281,823844,824740,559163,636973,282274,374458,120765,208246
石家庄市,62278,56741,259027,232084,267338,236908,229587,204162,410444,409709,614118,650096,437142,448907,334402,325156,369699,364100,435226,420129,395559,387745,343177,330909,327140,327843,224794,233458,141499,151079,110466,121384,74762,91977,36379,53809,14876,29679
  长安区,2126,1961,8985,8383,10189,9081,9800,9403,13980,14191,27510,30121,23632,26234,20003,20288,21221,21163,21409,20053,19692,17894,15759,14656,13055,13151,9056,9879,6376,7887,6788,9176,4846,5217,2092,2439,861,1244
  桥东区,1344,1345,6740,6134,7511,6584,7517,7091,12255,10792,28828,22519,21232,21624,18462,17426,19052,17764,18877,17189,18714,16096,15115,13341,12576,11610,8287,7673,5218,5495,4919,6298,3982,4565,1934,2154,766,1087
  桥西区,2184,1978,10810,9783,12039,10578,11538,10456,21730,27208,45294,65709,25668,29998,23814,25451,24935,25206,21858,21684,21192,19837,16938,16278,14947,15297,9739,10772,6732,7746,6176,6945,4100,4874,2121,2483,836,1230
  新华区,2066,1976,11097,10368,12600,11423,13144,12164,27866,30833,43299,54481,27439,30549,25486,26173,26938,27209,24789,24166,22935,21339,18558,17473,16133,15913,10404,11343,7211,8131,6584,7665,4529,5431,2235,2772,939,1458
  井陉矿区,308,269,1638,1635,2028,1931,2368,2295,2762,2535,3914,3415,3164,2992,2680,2693,3681,3599,5012,4917,5457,5141,4758,4216,3498,3425,2215,2164,1740,1833,1689,1842,906,1128,380,523,210,209
  裕华区,2581,2381,11795,10782,13338,12106,12685,11938,22655,26121,53256,64154,27140,30879,25712,26765,27750,27735,25637,24276,21616,19601,16460,15611,15558,15917,10645,11601,7118,8193,6242,6892,3825,4011,1743,2082,653,1118
  井陉县,1896,1645,7550,7064,8970,8364,9246,8096,12364,11115,13088,11841,9411,8800,8253,8188,10849,10818,13998,14457,15058,14473,13225,12214,11310,10882,8354,7527,5813,5528,4575,4369,2733,3244,1279,1748,616,921
  正定县,3313,3146,11882,11131,12169,11621,10193,10516,21265,22166,29377,31023,17732,18496,13995,13432,15587,15225,20564,19727,17158,17847,15269,15520,15073,15863,9981,10998,6794,7406,4396,5128,2759,4204,1292,2630,468,1461
  栾城县,2655,2412,9114,8155,8943,7499,8097,6283,20214,19226,22088,21846,15803,16568,9536,9411,10921,10544,15708,15515,13221,13805,9892,10008,11837,12818,7993,8407,4979,5018,3359,3660,2273,3111,1149,2122,429,1156
  行唐县,3788,3398,14470,13089,15065,13987,10210,10015,14688,15068,19684,19848,15328,14975,11942,11518,13548,13185,17021,16159,15461,15326,14195,13864,14377,14268,9459,9692,5852,6092,4414,4899,2568,3474,1298,2279,495,1354
  灵寿县,2195,1986,9772,9207,10885,10294,6445,6379,14508,15030,19263,19345,14714,14411,9072,8152,11438,10753,13821,13144,13394,12894,12036,11162,11762,10828,7675,7480,4165,4255,3605,3661,2371,2934,1195,1699,502,1126
  高邑县,1422,1214,6634,5180,6024,4523,3919,2709,7764,6024,11070,10945,8354,8536,4177,3882,5959,6256,8553,7940,7829,8031,6459,6281,6448,6402,4342,4569,2878,3194,1749,1898,1230,1678,588,1021,236,560
  深泽县,1621,1459,6186,5508,6465,5454,5643,4800,9573,8705,12595,12088,11905,10445,8600,6951,9725,8415,10104,9328,9454,8999,9615,9250,9369,9698,7690,7579,4304,4376,3096,2893,2144,2343,1058,1454,529,843
  赞皇县,1606,1481,10701,8964,9543,7647,5701,4257,7827,7127,13220,13105,12807,13150,7842,7356,7316,7229,10105,9114,10103,9856,8815,8449,7409,6888,5095,5097,3102,3269,2347,2287,1685,1818,762,1004,247,468
  无极县,3802,3482,16073,14018,14905,12735,11302,9690,20096,18461,26914,26356,21375,21090,15745,14978,18953,18425,21389,21606,18752,19425,17945,17658,16465,16491,12028,12486,7063,7688,4937,5524,3287,4491,1811,3020,691,1505
  平山县,3438,3258,13575,13266,12713,12377,10876,10558,15246,15194,19945,19382,17127,16839,12402,11887,13057,12654,19345,17506,19765,18261,17355,15919,15835,14694,11187,11227,6578,6283,5615,5360,4121,4316,1836,2325,789,1318
  元氏县,2949,2626,11546,9554,13686,10899,14510,10824,19752,17562,24550,24908,17551,17800,11782,11789,13518,13465,17766,17897,16353,16357,13257,12562,13261,13009,8987,9514,5725,6527,3483,3956,2502,3281,1189,2036,434,1099
  赵县,4075,3553,17857,13551,17766,13429,16462,11137,28881,24317,30476,29203,24101,24228,19130,18222,18309,18496,25100,24780,20407,21204,16461,16297,19699,20166,13845,13750,8564,7677,6118,6090,4281,5314,2106,3189,854,1982
  辛集市,3290,3116,11546,10716,13980,12909,12353,11750,28341,28175,30020,29353,23292,23032,18414,17577,21747,21742,25623,24487,23600,23546,23862,23535,25376,26090,18181,20302,10186,11061,7776,8122,5451,6673,2743,4281,1163,2508
