首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  清丰县,5210,4117,27131,21809,25345,19848,19648,15332,21889,20919,31280,33625,23503,25357,19782,20710,23823,23275,25182,26808,17519,19828,18093,19463,20792,21960,15536,16014,8745,9556,6556,7495,4642,6168,2103,3419,1011,2434
  南乐县,3127,2560,20348,16031,19845,16069,16623,14778,16108,16668,19674,24346,15526,19525,11803,14256,15580,17482,16212,19387,12753,15556,12621,13613,14054,15796,10236,11153,5495,5906,4560,5305,3543,4635,1839,2741,823,1910
  范县,3238,2444,17463,13069,21301,16068,22063,17731,20779,19014,21136,23246,14308,16294,14573,15626,17630,19278,17445,21614,14840,17183,10436,11352,12270,12206,10336,10208,7119,8153,3877,4354,3066,3866,1509,2505,652,1622
  台前县,2339,2160,15718,11012,14299,10490,13033,9861,13568,11584,15697,16996,11958,12939,9334,9730,11893,12398,13007,16010,10513,12061,8199,8826,9000,9268,6994,6698,4927,5727,2840,3112,2130,2781,1252,1965,588,1217
  濮阳县,8937,6712,42909,32548,43446,33452,36600,29689,39591,37163,58313,64308,35903,37306,29684,30681,40607,40026,44337,47451,30058,33527,25716,26768,32040,30920,23586,23776,15100,16578,8976,10268,6296,8677,3366,5905,1477,3957
许昌市,27525,23609,156048,122662,162148,121384,135647,99819,174480,148825,207471,214431,137344,141817,142576,138526,170858,162777,196498,197303,160220,168529,112919,115856,142559,140308,102403,100650,62097,61809,50129,52678,37518,45502,19601,26519,8593,17850
  魏都区,2055,1878,9328,7866,12018,9860,11200,9494,20501,24353,28875,33111,19985,21620,22290,22906,23781,23393,24595,23043,19985,18878,13788,13430,13136,13658,8545,9283,5488,6193,5053,5858,3470,3811,1726,1894,710,1029
  许昌县,5408,4480,27604,22247,27662,20536,23656,17314,27367,23035,39387,39383,27733,28301,27184,25495,29767,27424,33667,33962,27426,28569,20747,20933,27216,27458,18641,18401,10266,10153,8405,8856,6409,8288,3771,5277,1520,3501
  鄢陵县,3433,3131,22260,16318,22592,15301,18968,13057,32810,22029,25436,25781,18533,18237,17916,16673,19074,18473,21706,23210,18460,21361,13544,15189,17912,17808,12496,12606,7615,8203,5939,6221,4621,5477,2671,3243,1106,2201
  襄城县,4905,4232,26703,21054,28996,22449,22571,16568,22969,20462,25144,27643,17490,20649,18407,19745,23546,24023,28225,28920,26026,27483,19903,20218,24572,23882,18328,18198,10912,10960,8950,9615,6846,8156,3319,4373,1671,3202
  禹州巿,7383,6238,42852,33860,42914,32197,38008,27620,47247,38401,52419,52404,31026,30310,35404,33204,46732,43629,56622,56019,42651,44553,27341,27394,37226,35374,29016,27574,18459,16684,14289,14401,10695,12763,4919,6978,2262,4828
  长葛市,4341,3650,27301,21317,27966,21041,21244,15766,23586,20545,36210,36109,22577,22700,21375,20503,27958,25835,31683,32149,25672,27685,17596,18692,22497,22128,15377,14588,9357,9616,7493,7727,5477,7007,3195,4754,1324,3089
漯河市,13407,11487,78410,63795,86211,64497,78842,58406,103894,92757,120849,124660,87755,90903,87089,86976,102005,97649,115274,115203,94324,97833,69583,68524,88991,87498,60646,58242,38403,37499,28785,28660,24307,28276,13810,18193,7097,13526
  源汇区,1435,1343,8648,7055,10013,7529,8412,6533,10676,10706,15843,18523,11488,12410,12848,13514,14454,14405,15201,14830,12718,13017,8994,8894,10773,10918,6927,6940,4341,4705,3416,3722,2757,3476,1610,2231,876,1773
  郾城区,2471,2141,13520,11292,15968,12029,15012,10589,26823,22987,23126,23083,17167,17799,18391,18398,20731,19620,22747,22114,18218,18179,12417,12209,16147,15779,10964,10820,6966,6477,5377,5006,4646,4889,2703,3167,1349,2359
  召陵区,2499,2004,14667,12209,16916,12584,18409,13015,18315,16779,23282,23718,17994,18300,16874,16758,19285,18248,21109,20988,17632,17775,12588,12550,15433,16026,10210,10991,6293,6621,4683,5372,3771,5113,2165,3077,986,2101
  舞阳县,3053,2585,18497,14634,17018,13347,14138,12203,17302,16134,24090,24716,14642,15342,16286,16173,20778,19536,25188,25644,20865,22266,16596,15915,22032,20067,14874,12914,10120,9624,7296,6612,6537,7460,3433,4910,1721,3899
  临颍县,3949,3414,23078,18605,26296,19008,22871,16066,30778,26151,34508,34620,26464,27052,22690,22133,26757,25840,31029,31627,24891,26596,18988,18956,24606,24708,17671,16577,10683,10072,8013,7948,6596,7338,3899,4808,2165,3394
三门峡市,10234,9458,49613,44962,60010,53877,62971,57737,91777,86337,108685,106267,76046,72992,78489,73754,117818,109147,117747,106441,95813,89176,75864,70053,66951,63809,48163,46869,32676,32899,26495,27338,17526,19561,7948,9409,3607,5499
  湖滨区,1179,1106,6291,5650,8582,7902,9200,8555,11242,9782,13994,13989,11921,12476,13481,13826,18868,18694,18117,16977,14770,13728,10732,10059,8467,8177,6017,6041,4132,4578,3799,4305,2671,2821,1242,1174,462,621
  渑池县,1457,1300,10629,9925,11153,10645,10791,10553,12873,12299,16694,16909,11390,10861,12821,12036,16917,15906,17042,16080,13418,12904,9779,9446,9972,10299,7241,7099,4710,4718,3906,3942,3013,3227,1308,1434,688,1049
  陕县,1767,1611,6459,5872,8184,7624,9519,9089,14285,13411,16988,15651,10580,9625,11660,10311,17919,15629,18555,16189,15774,14344,13104,11644,11427,10504,7874,7445,5297,5164,4616,4758,2991,3375,1282,1616,646,890
  卢氏县,1866,1822,8498,7867,10301,9404,10583,9812,13648,12809,16564,16349,12202,11344,10851,9659,18083,16305,19282,16752,15914,14488,12463,11103,11757,10680,7678,7031,5357,5227,4092,3804,2533,2638,1181,1390,412,700
  义马巿,492,487,3185,2848,3994,3587,4396,3834,5236,4812,6618,6406,5152,5084,5623,5616,8046,7637,8081,7626,6526,5677,4598,3939,4185,3660,3175,2954,2154,2198,1853,1626,1071,1079,396,445,200,283
  灵宝市,3473,3132,14551,12800,17796,14715,18482,15894,34493,33224,37827,36963,24801,23602,24053,22306,37985,34976,36670,32817,29411,28035,25188,23862,21143,20489,16178,16299,11026,11014,8229,8903,5247,6421,2539,3350,1199,1956
南阳市,65626,56792,467009,360888,447300,345473,328861,277295,311155,281520,449790,475360,337881,359334,357547,362135,412311,381897,457299,457890,384462,404481,258683,264671,320533,319991,251189,210805,177665,151643,122956,111639,78521,84756,34386,43892,17570,32454
  宛城区,5018,4331,37983,29336,32913,25810,23213,20660,27584,23921,46786,43988,30803,32391,33976,34417,39208,36066,40312,40133,33364,35365,21123,23546,25456,28283,20589,18418,14261,12931,10596,10317,6743,7247,2743,3279,1492,2632
  卧龙区,5006,4249,36108,28560,35908,28740,27727,24517,31575,32776,44180,51849,29979,32407,33462,35220,40513,38604,40851,41002,33400,34349,23540,24315,25557,28239,20106,19125,14354,13221,11045,10434,6684,6921,2856,3163,1434,2602
  南召县,3536,2969,25302,20243,25495,20089,17984,15402,14294,12814,23039,23670,18144,18564,20035,19737,25929,23132,27266,26251,21367,21288,15276,14340,16616,15518,13682,10124,9275,7073,7386,5581,4690,4066,2256,2222,1047,1451
  方城县,5690,5223,50409,42343,45009,36622,25784,22648,22304,20959,37914,42486,29168,33290,29212,30965,34819,34292,38280,37982,33229,35002,24190,23082,28496,27785,23382,18570,16274,12219,13116,10438,9009,8413,4113,4211,2096,3443
  西峡县,2429,2224,15511,12183,17923,14790,16221,14299,14378,13102,17180,17031,12437,12962,14934,14606,20445,18969,24323,22669,19402,18934,12763,11540,15527,13675,10173,8246,7147,6031,4999,4426,3390,3679,1667,2154,759,1286
  镇平县,5373,4904,41385,30182,40995,27695,29864,22883,19197,16805,40415,40021,32580,32078,29917,29168,33278,28897,37348,41020,30191,33662,24247,23254,27696,27227,20852,15875,14916,13288,9899,9408,6375,7229,2862,3969,1531,3078
  内乡县,4745,3923,29485,23045,25920,20939,18775,16711,15814,14430,21269,22453,15043,16380,16382,17276,20567,19389,27299,27244,23958,25494,16628,16181,19739,18725,14323,11783,10221,9234,6456,6682,4354,5753,1969,3588,887,2146
  淅川县,3886,3542,29400,22604,36351,28508,26910,22616,25788,22987,29894,31570,20284,22056,21768,22812,27980,26877,30471,30618,25311,26401,14413,14173,20204,19484,14863,13607,10254,9747,6297,6465,4190,5444,1959,3171,896,1882
  社旗县,4404,3785,26010,20403,28172,22870,20139,17294,17848,16900,28997,31023,23090,24680,23419,23060,23838,22180,26753,26877,22388,24225,15202,16245,19728,18759,17426,13753,11730,8673,8543,6803,5043,5220,2262,2630,1268,2146
  唐河县,8379,6699,55714,41620,45242,34173,40642,33479,44567,39355,58994,63741,45345,48488,46924,46394,48960,43310,54065,55580,46141,49378,28685,31627,41665,41052,36181,28107,26092,20100,17659,13967,11081,10896,4937,6007,2455,4561
  新野县,5294,4576,32577,23910,27449,20620,18043,15417,17401,14883,23935,26302,18625,20652,20737,21604,20826,19673,26623,27675,24697,27658,15626,18321,22275,23398,17376,15326,12232,10873,7724,7764,5164,5949,1966,2779,1008,2252
  桐柏县,2360,2022,19857,15896,18059,13963,11684,10470,9440,9379,15481,16309,12062,12678,13391,13778,18269,17310,19721,18592,16315,16390,10537,10718,11522,11203,8150,7085,6816,6013,4550,4010,3237,2900,1100,1249,552,874
  邓州市,9506,8345,67268,50563,67864,50654,51875,40899,50965,43209,61706,64917,50321,52708,53390,53098,57679,53198,63987,62247,54699,56335,36453,37329,46052,46643,34086,30786,24093,22240,14686,15344,8561,11039,3696,5470,2145,4101
商丘市,44896,36037,248420,187136,271225,198293,332330,253056,365098,339699,384729,417514,214698,244392,196692,215867,251239,272758,300166,341737,228835,258704,173737,181228,217877,216833,153074,153320,112165,118263,78440,85460,59857,74529,33782,49666,16633,34590
  梁园区,4944,3911,18671,14179,23776,17925,28114,22390,33546,32696,58022,60363,27277,28569,26932,27226,33113,31542,36613,36933,26826,27587,17814,17633,22088,22554,13992,14822,9929,10447,6803,7337,5473,6905,2844,4161,1401,2626
  睢阳区,4079,3415,24965,18450,28158,20187,31458,23335,31785,28953,44126,45454,23852,26070,22438,23651,27688,27487,33193,36507,23926,26243,16630,17170,22598,22411,15216,15342,11344,12028,7646,8057,5798,6897,2964,4498,1463,2926
  民权县,4124,3493,23544,18259,25549,19185,33921,26014,39127,37484,33906,38227,19363,23325,15801,18870,21292,24610,26921,30878,21482,26532,21227,21339,21914,20409,14217,14582,10220,10991,6786,7619,5053,6185,2708,3950,1428,2893
  睢县,4382,3482,23230,17641,26726,19143,35314,26682,38570,37997,35172,36882,19457,22253,16846,19456,22507,25836,26678,31062,19670,23193,20050,21637,23147,22956,14361,15124,9946,10995,7001,7926,5602,7045,3195,4895,1540,3537
  宁陵县,3136,2558,18776,14379,20208,14669,24803,18344,26177,24526,24854,26887,16317,19349,14677,16852,16534,19014,19299,23146,15240,17197,13348,14530,15686,16441,10207,10801,7088,8010,5202,6030,4038,5142,2299,3519,1333,2787
  柘城县,4611,3996,26050,19028,30830,21147,41610,28977,42568,35430,32860,37445,20277,26793,17911,22613,23429,29079,28820,36518,22641,27072,17517,18696,25099,26073,18684,18982,13301,14041,9029,9771,5938,7496,3390,5152,1705,3579
  虞城县,5934,4725,26673,20774,34518,27095,47026,38105,52037,48219,50220,53448,28026,30508,25312,27099,30662,33459,38701,43414,30331,33920,22929,24453,28641,27216,19914,18526,14494,14406,9803,10243,7737,9452,4614,6358,1963,3830
  夏邑县,5370,4721,32070,23072,31301,22655,44673,32865,46099,42323,45296,52434,24566,28329,21173,22780,28773,32518,37185,42645,29470,33642,22152,23045,26463,26670,19954,19242,14886,16087,10967,12193,8475,10925,4864,7506,2484,5418
  永城市,8316,5736,54441,41354,50159,36287,45411,36344,55189,52071,60273,66374,35563,39196,35602,37320,47241,49213,52756,60634,39249,43318,22070,22725,32241,32103,26529,25899,20957,21258,15203,16284,11743,14482,6904,9627,3316,6994
信阳市,41048,33367,232010,176117,276938,202920,261262,212770,268014,245316,220011,271110,115139,144068,123533,144375,230879,250301,278396,298538,257241,280326,134745,135044,193424,191841,157763,150475,120050,120341,79208,83103,47152,55771,21162,29460,8271,17617
  狮河区,3332,3051,16429,13656,16028,13393,17013,15378,20078,24900,27055,40539,13918,16266,15806,17618,28087,28195,30604,29251,28865,27359,17645,16443,18790,18964,12902,12903,9471,9613,6942,6975,5020,5014,2278,2376,885,1349
  平桥区,4686,3876,26967,21393,23787,19434,19247,17100,21320,20048,23869,28957,14023,17053,16099,17913,27553,26759,31262,30845,29393,30546,17861,17589,22488,23017,14909,14126,10100,9774,6773,7231,5118,6093,2498,3292,883,1769
  罗山县,4214,3070,23605,17732,19423,14750,18086,15299,18653,16020,17271,19422,9397,11311,9438,10835,19150,20506,24054,23878,22920,24186,14009,14170,18374,18412,13606,12742,9216,9004,6424,7531,4856,5435,2267,2892,818,1601
  光山县,3033,2426,20913,14798,30852,21784,28530,22342,27956,22846,21740,23326,9684,11329,9605,11186,22614,24487,26704,29696,25329,28263,10696,11165,17659,17217,16186,15796,12857,11616,8729,8435,4197,4998,1554,2566,637,1602
  新县,1605,1193,9590,6913,14061,10541,12574,10228,11767,9608,6943,7092,4643,6210,5661,7238,11009,12757,12283,14290,11619,13350,7959,7743,9072,8647,7663,6511,6297,6139,3861,4216,1510,1867,694,992,333,625
  商城县,3640,2747,18481,13483,26047,17889,29002,22571,29913,24658,13283,16762,5934,9294,5317,8627,12736,19969,16377,24054,16699,22970,8774,9881,15078,15419,15680,14594,13336,12111,8197,7833,3859,4148,1735,2218,729,1481
  固始县,6877,5637,44023,31139,58447,37300,46749,33966,42299,38176,27962,36835,14113,20516,16766,21836,34234,40371,42543,47019,40067,44618,21474,21248,35858,34783,31080,29201,24588,24294,16501,16205,9913,10994,4708,5925,1855,3809
  潢川县,4922,3754,22432,16700,27267,19096,28570,22259,30055,26488,22828,27510,11072,14436,11887,14483,23597,26404,29304,33006,27693,30960,14651,14349,20098,20607,15614,15795,10894,11954,7221,8654,3929,5383,1618,2688,656,1542
  淮滨县,4228,3601,18533,15232,24194,19583,28120,24263,31412,30374,25074,31028,11171,14274,11418,12850,19745,20890,26373,28539,22415,24506,9220,9765,13824,13500,12750,12542,10191,10970,6420,7547,3717,5278,1593,2796,645,1616
  息县,4511,4012,31037,25071,36832,29150,33371,29364,34561,32198,33986,39639,21184,23379,21536,21789,32154,29963,38892,37960,32241,33568,12456,12691,22183,21275,17373,16265,13100,14866,8140,8476,5033,6561,2217,3715,830,2223
周口市,49437,43810,318622,251239,388979,296186,449316,337252,454057,414496,386037,437644,248766,314997,240816,283530,262830,299776,323273,381314,268011,311255,216097,231578,272564,284361,201968,209360,135092,147310,93344,105698,64212,85236,36337,56489,15904,36600
  川汇区,2558,2166,13445,10865,17955,13762,20903,15376,22754,22271,29390,34014,17323,19619,18179,19622,22012,21987,22195,22156,16297,15933,12996,13304,12905,13512,8479,9339,5652,6554,4205,4958,2858,3774,1501,2301,652,1399
  扶沟县,3388,3124,19611,14404,26289,18557,28210,20048,30871,25247,28325,28837,15353,16980,18039,19082,22114,22968,26440,28617,21997,23951,17476,17767,22269,23725,13431,15096,8270,9343,5981,7034,4986,6228,3125,4145,1434,3057
  西华县,4233,3776,28748,23035,32423,23102,38093,26617,36942,32639,38314,39530,23097,24615,25168,24039,29396,28707,32390,33062,25541,26435,20995,21191,25006,25898,14863,15462,9481,10769,7885,9487,6166,7908,3352,4932,1352,3269
  商水县,5470,4992,33348,25316,47367,35162,59093,42050,51410,47020,34349,42629,19283,26764,20382,25300,25355,30591,31105,40645,25121,31946,25360,27378,28468,30999,20903,21542,13803,14794,9935,11479,6760,9920,3443,6074,1424,3812
  沈丘县,5837,4813,35981,27879,40703,32483,47953,37058,45845,40000,42981,47440,30144,36969,25341,31065,25187,30084,33724,41568,30014,37561,23876,26671,29775,30995,23945,24630,16648,18305,10817,12157,7532,10339,4214,6886,1892,4271
  郸城县,5001,4655,36013,30275,42994,34897,51859,41662,52252,48340,40820,45526,28699,35862,26419,31509,28126,32856,36136,41381,30990,34991,23301,23764,29902,30367,24256,23996,16567,17484,10668,11530,7143,8830,3914,5925,1548,3452
  淮阳县,5735,5787,40507,32216,46657,36036,54376,42514,57864,54943,46546,53885,31312,41760,26993,33110,29618,33999,37388,44913,32230,37815,23729,26531,32185,33663,24260,24632,17724,18336,11896,12696,8093,10214,4746,7365,2253,5172
  太康县,5978,5461,43626,35026,51421,40500,49709,37086,55538,52117,45667,50034,31575,39117,31051,34741,30645,33639,39872,44755,30280,33769,26728,27783,38972,38746,28081,29379,15555,16611,11183,12568,7716,10117,4754,7020,1973,4159
  鹿邑县,5095,4349,32524,25661,42283,32087,54433,41856,46872,44547,33289,43119,20139,32822,20872,32573,21622,32110,28796,41177,24697,31877,17845,20063,26341,27872,19941,20558,15465,17209,9961,11364,6390,8780,3758,6111,1730,4063
  项城市,6142,4687,34819,26562,40887,29600,44687,32985,53709,47372,46356,52630,31841,40489,28372,32489,28755,32835,35227,43040,30844,36977,23791,27126,26741,28584,23809,24726,15927,17905,10813,12425,6568,9126,3530,5730,1646,3946
驻马店市,43406,36815,276614,208051,300899,223695,313388,249133,298635,278509,262311,296929,181626,209257,219846,232256,274510,277605,320694,345729,279473,307749,157858,165982,223712,226481,171383,165378,121623,121809,87508,89126,62385,77565,30470,45280,15015,32529
  驿城区,3670,3143,23955,19273,26951,20594,22200,18110,22161,20919,27103,27747,24088,25512,32549,31986,38346,34879,39074,36970,32207,31097,16878,16646,21900,22186,14008,13091,9152,9216,6961,7032,5430,6278,2807,3547,1455,2602
  西平县,4282,3602,20620,14665,25706,17637,30852,22170,29438,26605,21216,23281,13911,16660,19202,20581,24953,25678,31785,34090,28487,32675,19124,20059,27923,28423,19275,17997,12060,11541,9279,9877,8001,9898,4579,6693,2309,5018
  上蔡县,7469,6390,41961,31688,53973,40548,60898,47701,54914,50406,35631,43076,24206,30556,26813,32232,33916,38914,38598,46799,33260,41050,21758,24551,32126,34483,24391,25603,16820,17596,12622,13637,8958,12185,4314,7273,2070,4824
  平舆县,4097,3683,25779,17781,27932,19153,35465,26784,38743,35180,32723,35455,19053,21314,21774,23373,24538,28460,30765,35929,26492,30926,14320,15862,21049,21745,19125,19652,13159,14156,8787,9430,5901,8434,2702,4551,1110,3016
  正阳县,3782,3392,32695,25059,25438,19102,24843,20598,25933,24956,25810,31297,12624,16567,16402,18576,25159,27644,29538,35072,26057,30936,11183,12742,18607,19236,13367,12718,10079,10195,7480,7465,5234,6064,2357,3411,1080,2336
  确山县,2264,2123,20283,15351,23525,18125,17894,15134,11933,12831,8979,12096,6757,9271,9770,12491,14481,17075,16928,20390,16086,19687,10058,10918,12631,13835,8111,8220,6522,6657,4863,4907,4041,4574,1978,2407,977,1848
  泌阳县,4674,3964,35008,26447,35074,26257,32132,25031,34606,30305,28945,32780,24666,27065,28011,27338,29425,27229,33282,31875,30342,29173,21449,19933,24867,23156,21460,17452,15941,12759,12305,10160,7361,7017,3213,3892,2050,3765
  汝南县,4793,3885,27582,20505,29693,20743,33316,26229,28549,27649,29920,32416,19242,21228,23561,23779,32520,29569,37485,38579,32130,35645,17809,19225,25154,25378,17858,16998,11873,12173,8683,8713,6325,8258,3100,4738,1518,3174
  遂平县,2882,2568,18689,13975,15004,11978,13377,11157,16722,15251,17961,18785,15686,14230,20420,17190,23832,18776,26561,24493,22418,22324,10510,10662,17632,17009,12619,11530,8879,7983,6061,5559,4820,5967,2607,3732,1296,2785
  新蔡县,5493,4065,30042,23307,37603,29558,42411,36219,35636,34407,34023,39996,21393,26854,21344,24710,27340,29381,36678,41532,31994,34236,14769,15384,21823,21030,21169,22117,17138,19533,10467,12346,6314,8890,2813,5036,1150,3161
省直辖县级行政区划,4127,3612,17381,15391,20910,17472,20218,17138,31083,27758,36801,35445,24773,24554,25054,23788,28091,25965,28864,27823,26384,26388,22483,21844,23071,23236,15444,16349,6468,7311,5588,6368,4370,5805,2248,3164,1013,1975
  济源市,4127,3612,17381,15391,20910,17472,20218,17138,31083,27758,36801,35445,24773,24554,25054,23788,28091,25965,28864,27823,26384,26388,22483,21844,23071,23236,15444,16349,6468,7311,5588,6368,4370,5805,2248,3164,1013,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,327178,263627,1319597,1069648,1361844,1099219,1406696,1115999,2560263,2246474,2794304,2789862,1984503,2035461,1976252,1941852,2465831,2392046,2862689,2753667,2610967,2497632,1893401,1805725,1882390,1806642,1428267,1343797,982209,941145,710557,717804,493262,550248,226131,290166,104906,185466
武汉市,38135,31850,154623,129313,165844,135413,179707,142062,451875,419650,753879,684171,423360,418077,369930,361619,387915,367183,435728,412768,424398,395715,334064,319912,306169,301018,227647,218232,137426,134991,108610,115041,78796,88637,38170,47161,16815,29484
  江岸区,3143,2719,12562,10871,14029,12088,16075,13444,27244,26909,40760,46183,40031,43214,37223,38500,38713,37927,41650,40668,44726,41875,37780,36477,32422,31126,21650,21560,12555,12607,10487,12631,9030,10694,5003,5753,2250,3378
  江汉区,2054,1789,10115,8446,11278,9266,11805,9812,19862,19285,32803,35732,33357,35053,30323,29891,31329,28630,32735,31333,35038,32823,30048,28087,24602,22900,16383,15592,8677,8264,6912,7947,5751,6935,3070,3858,1426,2488
  硚口区,2792,2298,11701,9683,12533,9995,13090,10605,31843,33127,54370,55355,40772,41338,33435,32801,33643,33393,39184,38805,41825,40004,34073,30695,25986,23871,16337,15456,8575,8841,7569,9500,6547,8226,3410,4173,1431,2383
  汉阳区,1874,1670,8398,7341,8675,7652,8783,7728,22559,17173,34871,26295,25954,26555,25935,24862,24610,21908,26283,24218,29178,26701,26289,24635,21749,21162,15431,14905,8172,7639,6480,7862,5348,6150,2713,3139,1232,1969
  武昌区,3694,3364,15177,13559,17742,15159,19580,16839,40179,40969,87227,86680,69416,61090,46351,46119,46711,45223,51928,48683,56246,50838,44792,42943,38554,38604,27158,26908,16294,16997,15305,18016,12620,13531,6408,6549,2828,4006
  青山区,1469,1336,6488,5796,7473,6845,8468,7466,14245,12216,25616,18461,19107,18409,17680,18474,19838,18928,23726,21982,23653,21618,20553,20960,19990,19772,13527,13283,8205,10358,9490,9956,6386,5958,2825,2651,1037,1362
  洪山区,4080,3505,19364,16246,19033,15646,18963,15050,88854,83505,224304,177674,62587,57869,49404,46743,48493,42804,48736,42631,44403,38121,30483,28437,26939,27619,19434,19571,11945,12412,10328,10388,7290,6961,3212,3489,1451,2269
  东西湖区,1853,1698,9296,7844,9891,8223,10033,8367,16770,14587,24665,20757,17564,19102,21289,20876,24643,21647,24857,21996,21085,18290,14566,12967,13199,13582,10268,10741,6127,6713,4526,4327,2706,2808,1183,1451,506,1050
  汉南区,479,408,1966,1714,2260,1853,2519,2106,3591,3005,5335,4909,4601,4167,4509,4010,6085,5297,7255,6489,5982,5299,4131,3882,3525,3592,3012,3086,2054,1984,1473,1330,793,907,277,468,208,409
  蔡甸区,2867,2313,11709,9754,11867,9955,11815,9379,27167,22907,42241,39122,26085,24608,26113,23426,26136,23058,28331,25420,25383,22957,20371,19942,19267,20586,17416,16704,10571,9008,6746,6453,4337,5682,2254,3551,1022,2471
  江夏区,4002,3035,14073,11210,12927,10309,12949,10188,60436,67057,97755,90834,23762,23075,20425,18833,25327,23417,29709,27256,27379,25976,19446,17829,19359,18157,14319,13172,8976,8811,6419,6670,4466,5402,1785,2856,775,1741
  黄陂区,4733,3872,16813,14045,18564,14939,20687,16250,42424,38179,38536,39072,32545,33806,31904,30835,32380,33515,39803,40750,34554,35145,26604,27581,31929,32528,29154,25443,19267,16170,12825,10527,7352,8023,3545,5319,1673,3647
  新洲区,5095,3843,16961,12804,19572,13483,24940,14828,56701,40731,45396,43097,27579,29791,25339,26249,30007,31436,41531,42537,34946,36068,24928,25477,28648,27519,23558,21811,16008,15187,10050,9434,6170,7360,2485,3904,976,2311
黄石市,20401,14542,82851,59542,74364,52070,70677,47966,130295,108501,117945,125027,87803,91579,84673,82941,107397,106404,111936,109105,93948,91899,62448,62175,69100,68475,54550,51151,36309,35284,27254,27801,16201,18502,7355,9733,3753,7361
  黄石港区,833,676,3553,2974,4602,3698,5517,4307,7977,8197,11515,15119,7217,8251,8460,9439,9908,10758,10830,10709,10048,9796,7565,7446,7093,7232,5415,5726,3436,3428,2881,2977,1916,1993,916,925,394,587
  西塞山区,1127,953,4638,3699,5394,4144,5982,4578,8687,7431,8322,8100,7754,7990,8839,9131,10598,10805,11910,11822,11428,10777,8247,8109,9028,9100,6700,6129,4026,3888,3200,3162,2049,2467,1017,1295,404,778
  下陆区,721,574,3180,2512,3837,3075,4039,3044,10275,8167,12889,9026,5302,5504,7118,7097,7928,7658,8691,8124,7258,6452,4331,4698,5548,6080,4893,4342,2684,2953,2228,2135,1408,1241,529,527,209,337
  铁山区,176,134,949,686,1317,1047,1488,1119,2030,1701,1834,1704,1497,1649,2121,2287,2822,2782,3271,2949,2838,2605,2144,2025,2052,1957,1533,1442,1049,1273,1121,1252,724,806,328,328,111,176
  阳新县,9466,6778,38405,28279,29387,20780,25786,17789,48952,42448,39400,45549,30421,33185,25063,25148,34724,35450,34158,33330,27897,27658,18112,18377,20419,19704,16541,15598,12117,11067,8616,8902,4332,4960,2164,2971,1311,2387
  大冶市,8078,5427,32126,21392,29827,19326,27865,17129,52374,40557,43985,45529,35612,35000,33072,29839,41417,38951,43076,42171,34479,34611,22049,21520,24960,24402,19468,17914,12997,12675,9208,9373,5772,7035,2401,3687,1324,3096
十堰市,20431,17647,86948,75813,86078,74926,76500,65215,149169,129609,157146,155815,119238,116763,131439,122117,164405,151054,173660,157188,144726,127166,96638,83109,111328,99954,86508,74994,62003,54192,37036,32618,27337,25757,14404,15813,6839,9258
  茅箭区,2130,1790,8867,7823,10441,9219,9874,8364,15300,13951,21769,24318,16119,17375,20052,20327,24417,22622,22160,19537,16857,14096,9481,8423,8751,9620,7400,7299,4930,4416,2867,2685,1906,1692,956,808,391,416
  张湾区,1610,1509,8136,7222,9320,8319,9079,7937,20301,13950,19553,14277,12959,13368,15916,15896,22212,20806,20695,18046,16023,13629,8963,8116,8412,9348,8292,8119,5893,5205,3661,3448,2513,2247,1205,1138,505,643
  郧县,3483,2990,15760,13525,14882,13039,12345,10976,28190,26672,28765,29457,20166,18734,18992,16719,24314,21795,28368,25228,23823,21101,16224,13394,19053,16248,13895,12289,11074,10291,5699,5351,3940,4246,2062,2655,1009,1601
  郧西县,3021,2589,11989,10550,11083,9744,10137,8868,21752,19878,20618,21350,15963,15335,15136,13532,21010,19353,23304,20743,19480,16853,12449,10187,16032,12952,12886,10621,9256,8146,5165,4655,3514,3645,1627,2263,628,1168
  竹山县,2590,2242,11827,9820,11852,9226,10590,7663,17751,13913,19302,18387,15254,13445,16598,14814,18308,16750,20844,19319,18213,15758,12403,10299,15794,13425,11584,9291,7885,6400,5812,4865,4223,3852,2249,2420,891,1220
  竹溪县,1806,1522,8535,7557,8337,6972,7768,6310,14602,11708,14437,13451,10736,9756,13369,11449,15104,13203,15835,14018,12854,11526,9173,8227,11906,10672,8750,7321,6118,5088,3915,3143,2798,2575,1530,1610,709,869
