首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  山亭区,126220,3.96,31.09,12335,4342,7993,7580,4755,7857,4478,3909,8426,51,12112,160,12
  滕州市,469735,3.84,38.09,44414,25664,18750,36045,8369,36055,8359,33965,10449,986,36178,7088,162
东营市,679068,3.33,32.97,68043,61896,6147,62970,5073,58721,9322,41298,26745,6181,32418,27280,2164
  东营区,257413,2.85,32.84,25486,23019,2467,23089,2397,21807,3679,18663,6823,3794,5178,15783,731
  河口区,90092,2.72,30.20,9035,8003,1032,8012,1023,6592,2443,6006,3029,1040,2294,5373,328
  垦利县,79285,2.92,33.83,7915,7611,304,7586,329,7413,502,3896,4019,460,5000,2239,216
  利津县,87763,4.12,33.81,8936,7552,1384,8377,559,6786,2150,2883,6053,222,7076,1498,140
  广饶县,164515,4.19,33.65,16671,15711,960,15906,765,16123,548,9850,6821,665,12870,2387,749
烟台市,2456755,3.46,28.19,246174,167389,78785,236253,9921,216017,30157,180504,65670,15297,160567,64874,5436
  芝罘区,287618,2.43,25.37,28201,26297,1904,26874,1327,26371,1830,23603,4598,5012,2259,19195,1735
  福山区,184290,2.96,28.96,18598,15223,3375,17903,695,17135,1463,15234,3364,2577,8761,6720,540
  牟平区,174971,3.76,29.43,17417,17138,279,17176,241,16499,918,14787,2630,739,11184,5029,465
  莱山区,92293,3.40,31.11,9310,8348,962,8899,411,8992,318,8078,1232,1139,4373,3388,410
  长岛县,16501,2.99,28.25,1704,1295,409,1671,33,1507,197,1278,426,144,831,670,59
  龙口市,241513,3.32,29.70,24490,11388,13102,23894,596,23821,669,19924,4566,1774,15856,6505,355
  莱阳市,289560,4.06,29.76,29207,19962,9245,28669,538,26320,2887,20494,8713,843,23703,4373,288
  莱州市,315149,3.98,25.85,31617,26180,5437,31000,617,29891,1726,26110,5507,1202,25337,4615,463
  蓬莱市,172442,3.61,27.50,17512,7461,10051,14421,3091,9092,8420,11180,6332,525,13162,3501,324
  招远巿,211921,3.40,31.39,21377,14232,7145,20781,596,19368,2009,14085,7292,542,15896,4412,527
  栖霞市,226416,3.48,27.00,22218,5550,16668,20754,1464,16779,5439,10965,11253,425,18558,3076,159
  海阳市,244081,3.54,27.29,24523,14315,10208,24211,312,20242,4281,14766,9757,375,20647,3390,111
潍坊市,2693924,3.90,30.81,270195,229874,40321,250880,19315,221038,49157,174240,95955,9609,202043,54571,3972
  潍城区,125215,3.05,29.29,12479,10468,2011,12003,476,11261,1218,9016,3463,1414,4696,5956,413
  寒亭区,134916,4.45,32.76,13630,12248,1382,12650,980,10447,3183,7225,6405,281,10165,3055,129
  坊子区,157449,4.14,31.27,15477,11418,4059,14296,1181,13125,2352,7445,8032,366,12997,1797,317
  奎文区,200127,2.97,32.22,19822,17942,1880,18858,964,17870,1952,16518,3304,1560,3806,13569,887
  临朐县,241449,4.42,33.89,24506,17247,7259,19251,5255,16972,7534,10281,14225,687,21400,2332,87
  昌乐县,184240,3.72,29.99,18362,11555,6807,14023,4339,11813,6549,8628,9734,497,15014,2630,221
  青州市,274644,4.26,33.73,27751,26149,1602,26947,804,26449,1302,23062,4689,409,22332,4600,410
  诸城市,316179,4.01,27.94,31562,26665,4897,30781,781,23497,8065,19733,11829,721,25430,5110,301
  寿光市,341539,3.71,32.35,34859,34741,118,33143,1716,33203,1656,25078,9781,2529,26764,4822,744
  安丘市,274405,3.27,28.12,27694,19266,8428,26554,1140,25030,2664,13947,13747,540,22680,4277,197
  高密市,262670,4.17,30.23,25770,25347,423,25358,412,24260,1510,22207,3563,287,21592,3771,120
  昌邑市,181091,4.62,28.26,18283,16828,1455,17016,1267,7111,11172,11100,7183,318,15167,2652,146
济宁市,2374970,3.59,32.42,234732,191357,43375,209091,25641,197791,36941,152630,82102,7165,184718,39210,3639
  市中区,187652,2.88,30.94,17658,15813,1845,16852,806,16451,1207,14434,3224,1322,7095,8497,744
  任城区,190848,3.24,38.33,18715,16341,2374,17449,1266,16872,1843,15115,3600,1716,10507,5686,806
  微山县,184354,3.05,29.56,18377,13119,5258,16056,2321,14864,3513,11145,7232,277,16347,1504,249
  鱼台县,113373,3.90,29.05,11503,8381,3122,11028,475,10914,589,7943,3560,129,10472,761,141
  金乡县,189650,4.03,32.39,18896,15960,2936,18109,787,17952,944,12687,6209,425,16928,1503,40
  嘉祥县,233797,4.15,29.16,23399,19143,4256,20773,2626,19089,4310,10569,12830,267,21426,1547,159
  汶上县,191712,4.55,34.67,18956,17686,1270,17639,1317,15163,3793,11473,7483,295,17092,1525,44
  泗水县,173596,3.18,31.39,17290,11635,5655,11341,5949,11481,5809,7067,10223,237,15776,1094,183
  梁山县,213043,3.96,30.53,20820,14637,6183,19191,1629,17097,3723,11285,9535,215,18630,1859,116
  曲阜市,180279,3.73,37.91,18088,13791,4297,14837,3251,13534,4554,13055,5033,380,15490,2064,154
  兖州市,189792,3.26,33.91,18922,17810,1112,18113,809,17418,1504,15848,3074,872,12344,5224,482
  邹城市,326874,3.24,31.73,32108,27041,5067,27703,4405,26956,5152,22009,10099,1030,22611,7946,521
泰安市,1700362,3.69,33.38,168856,117793,51063,146687,22169,142996,25860,108295,60561,5806,125329,35637,2084
  泰山区,222920,2.94,31.51,22022,19013,3009,20274,1748,20159,1863,17699,4323,2843,6300,12166,713
  岱岳区,289439,3.87,31.32,28881,13814,15067,22540,6341,22135,6746,14712,14169,647,25780,2093,361
  宁阳县,229670,3.57,34.46,22658,17114,5544,19836,2822,19323,3335,13853,8805,448,18914,3058,238
  东平县,210030,3.05,34.83,20758,15397,5361,19391,1367,18807,1951,11755,9003,432,18573,1663,90
  新泰市,444715,4.11,34.15,44262,26330,17932,36855,7407,37145,7117,26073,18189,925,35717,7216,404
  肥城市,303588,4.00,33.70,30275,26125,4150,27791,2484,25427,4848,24203,6072,511,20045,9441,278
威海市,1021912,3.21,29.43,101780,94991,6789,98712,3068,91787,9993,84433,17347,8396,57696,33669,2019
  环翠区,268907,2.72,29.66,26774,25479,1295,25592,1182,25686,1088,22601,4173,5089,5768,14871,1046
  文登市,251863,3.56,33.07,24696,22428,2268,23850,846,22058,2638,20766,3930,978,16922,6438,358
  荣成市,278609,3.29,27.91,28041,26233,1808,27199,842,24000,4041,23591,4450,1826,18596,7313,306
  乳山市,222533,3.34,26.75,22269,20851,1418,22071,198,20043,2226,17475,4794,503,16410,5047,309
日照市,988566,3.88,32.20,99207,60343,38864,92938,6269,81400,17807,48725,50482,4784,79166,13299,1958
  东港区,303403,3.75,31.01,30480,25705,4775,29189,1291,28077,2403,19684,10796,2996,18767,7419,1298
  岚山区,137485,4.64,37.16,13797,10865,2932,13283,514,10672,3125,7371,6426,447,12425,757,168
  五莲县,177787,3.35,27.88,17885,9513,8372,16739,1146,12801,5084,6586,11299,555,14145,2956,229
  莒县,369891,3.95,33.35,37045,14260,22785,33727,3318,29850,7195,15084,21961,786,33829,2167,263
莱芜市,446455,3.75,36.26,44900,32320,12580,38368,6532,38202,6698,24121,20779,1663,31748,10895,594
  莱城区,340090,3.71,36.75,34196,24592,9604,29726,4470,29464,4732,18179,16017,1104,25166,7456,470
  钢城区,106365,3.89,34.68,10704,7728,2976,8642,2062,8738,1966,5942,4762,559,6582,3439,124
临沂市,3303932,3.77,32.16,331203,195994,135209,267835,63368,253162,78041,164022,167181,8591,283076,35543,3993
  兰山区,344847,3.47,37.50,34542,25802,8740,31474,3068,31359,3183,26390,8152,3583,16837,13511,611
  罗庄区,156335,2.95,37.79,15808,10834,4974,14681,1127,14664,1144,9746,6062,541,12603,2269,395
  河东区,209023,3.97,38.30,21123,15648,5475,20156,967,19890,1233,16295,4828,411,19215,907,590
  沂南县,306634,4.24,34.63,30624,12022,18602,25187,5437,21946,8678,12412,18212,507,27666,2109,342
  郯城县,275814,3.69,31.49,27645,14716,12929,14527,13118,8583,19062,13830,13815,237,25810,1447,151
  沂水县,367675,3.83,29.67,36802,15592,21210,33641,3161,33371,3431,12521,24281,658,32733,3065,346
  苍山县,325487,3.45,27.50,32442,13143,19299,18586,13856,18894,13548,11029,21413,214,30349,1683,196
  费县,296289,3.41,28.41,29932,15585,14347,18301,11631,19176,10756,13765,16167,409,27326,1903,294
  平邑县,295345,3.84,29.52,29620,19404,10216,26559,3061,27327,2293,12470,17150,797,25965,2612,246
  莒南县,340813,4.22,32.70,34182,24989,9193,32320,1862,27462,6720,18452,15730,382,31094,2378,328
  蒙阴县,172692,4.45,32.45,17432,9425,8007,14015,3417,14019,3413,6853,10579,368,15324,1539,201
  临沭县,212978,3.64,31.30,21051,18834,2217,18388,2663,16471,4580,10259,10792,484,18154,2120,293
德州市,1623811,4.21,32.22,162739,99775,62964,135600,27139,104483,58256,80954,81785,2977,132872,25764,1126
  德城区,210534,3.14,32.19,20317,17423,2894,19323,994,14853,5464,15936,4381,817,7435,11741,324
  陵县,166978,4.54,34.64,16856,6148,10708,11372,5484,7566,9290,5154,11702,240,15457,1090,69
  宁津县,124928,4.27,27.82,12449,6522,5927,10617,1832,9703,2746,5024,7425,115,11406,875,53
  庆云县,89004,3.39,32.23,8878,7475,1403,6887,1991,5694,3184,2953,5925,188,7876,793,21
  临邑县,153891,3.55,32.99,15488,10989,4499,14082,1406,13254,2234,10551,4937,296,12675,2442,75
  齐河县,175019,5.17,35.01,17966,8347,9619,14008,3958,11455,6511,10464,7502,322,15487,1870,287
  平原县,136636,4.35,34.09,13838,6599,7239,12606,1232,9426,4412,7034,6804,225,12177,1365,71
  夏津县,147652,4.40,32.43,14943,11198,3745,13841,1102,12599,2344,5812,9131,169,13538,1200,36
  武城县,107587,4.52,33.22,10854,5789,5065,9434,1420,3277,7577,3953,6901,163,9760,870,61
  乐陵市,167666,4.20,27.49,16592,8895,7697,11733,4859,8813,7779,5349,11243,135,14705,1729,23
  禹城市,143916,4.82,32.61,14558,10390,4168,11697,2861,7843,6715,8724,5834,307,12356,1789,106
聊城市,1753952,3.86,34.17,173471,103976,69495,133796,39675,95711,77760,72633,100838,3688,148350,20367,1066
  东昌府区,375474,3.93,36.75,35750,22137,13613,26085,9665,15533,20217,18392,17358,1307,25639,8521,283
  阳谷县,222452,4.11,31.13,22343,10908,11435,15325,7018,4609,17734,4188,18155,550,20163,1483,147
  莘县,281763,3.52,33.99,28037,16925,11112,23800,4237,23624,4413,9695,18342,215,26510,1188,124
  茌平县,167742,4.52,37.43,16947,9936,7011,12814,4133,8049,8898,7423,9524,400,14563,1802,182
  东阿县,115092,4.27,35.70,11573,2922,8651,9575,1998,9509,2064,4795,6778,294,9428,1774,77
  冠县,221725,4.58,32.69,22127,12078,10049,13194,8933,3095,19032,5791,16336,136,21166,751,74
  高唐县,150875,3.70,31.48,15069,11008,4061,12399,2670,11461,3608,9189,5880,378,12234,2393,64
  临清市,218829,2.59,33.51,21625,18062,3563,20604,1021,19831,1794,13160,8465,408,18647,2455,115
滨州市,1159148,4.17,36.99,116726,90943,25783,97298,19428,88089,28637,67271,49455,2399,92723,19837,1767
  滨城区,213593,3.78,42.65,21466,17616,3850,18806,2660,17153,4313,12782,8684,732,12212,8220,302
  惠民县,172000,4.70,36.27,17170,7918,9252,12047,5123,9584,7586,7909,9261,242,15412,1432,84
  阳信县,128165,4.15,37.05,13251,10700,2551,8886,4365,6841,6410,5844,7407,104,12131,779,237
  无棣县,148034,3.12,35.64,14817,14574,243,14126,691,13828,989,13750,1067,277,12820,1429,291
  沾化县,120862,4.17,36.94,12251,11404,847,11649,602,10811,1440,3744,8507,212,10745,1034,260
  博兴县,150114,4.39,33.01,15042,12142,2900,13547,1495,12428,2614,7768,7274,328,12079,2400,235
  邹平县,226380,4.67,35.99,22729,16589,6140,18237,4492,17444,5285,15474,7255,504,17324,4543,358
菏泽市,2442015,4.50,31.83,244860,120773,124087,218753,26107,202249,42611,115624,129236,2285,231175,10724,676
  牡丹区,377165,4.72,35.30,38161,17399,20762,36158,2003,34763,3398,25232,12929,627,32476,4897,161
  曹县,381702,3.91,27.51,38237,20683,17554,36435,1802,35724,2513,12671,25566,374,37124,663,76
  单县,307865,4.59,30.45,30815,14627,16188,26737,4078,25149,5666,13765,17050,175,29661,896,83
  成武县,182580,4.70,32.38,18360,8954,9406,15210,3150,12416,5944,9286,9074,117,17793,435,15
  巨野县,267459,4.68,34.46,26503,6982,19521,24381,2122,23157,3346,12040,14463,177,25682,592,52
  郓城县,334689,4.80,35.98,33725,22324,11401,31986,1739,31129,2596,19833,13892,362,32175,1086,102
  鄄城县,223945,4.28,30.20,21988,14071,7917,18419,3569,14460,7528,8456,13532,227,20946,739,76
  定陶县,175059,4.40,33.03,17688,5895,11793,16451,1237,15955,1733,10826,6862,73,17156,420,39
  东明县,191551,4.55,26.63,19383,9838,9545,12976,6407,9496,9887,3515,15868,153,18162,996,72
,,,,,,,,,,,,,,,,
河南省,25928729,4.17,32.52,2590997,1043098,1547899,2029388,561609,1667146,923851,991502,1599495,108756,2080058,368817,33366
郑州市,2436665,3.76,36.23,243389,196090,47299,225446,17943,215093,28296,162786,80603,48316,108407,79416,7250
  中原区,275145,3.04,34.27,27017,25822,1195,25672,1345,25404,1613,21503,5514,7729,4367,13801,1120
  二七区,209512,2.96,33.06,20660,19842,818,19807,853,19298,1362,16935,3725,5170,2387,12013,1090
  管城回族区,198660,3.41,33.79,19845,16699,3146,17284,2561,17036,2809,14264,5581,6975,3026,8783,1061
  金水区,529454,2.27,29.81,51649,50066,1583,49619,2030,50024,1625,43016,8633,23079,2516,24041,2013
  上街区,44227,2.88,37.65,4497,4423,74,4416,81,4401,96,3930,567,502,1023,2870,102
  惠济区,73950,4.55,46.56,7379,6796,583,6857,522,6437,942,5025,2354,2134,3460,1409,376
  中牟县,178841,6.80,46.95,18126,8996,9130,14763,3363,13136,4990,8721,9405,229,15752,2024,121
  巩义市,209263,4.13,31.44,21022,16001,5021,19035,1987,16661,4361,11451,9571,661,16341,3270,750
  荥阳市,170820,4.57,39.87,17276,15187,2089,16685,591,15917,1359,11277,5999,435,13454,3286,101
  新密市,209086,4.53,37.77,21801,13865,7936,20318,1483,18852,2949,11053,10748,563,17193,3912,133
  新郑市,171626,4.77,40.40,17468,12288,5180,16013,1455,14360,3108,10628,6840,481,14544,2218,225
  登封市,166081,4.43,37.50,16649,6105,10544,14977,1672,13567,3082,4983,11666,358,14344,1789,158
开封市,1241002,5.05,28.93,123643,48219,75424,92177,31466,77267,46376,42751,80892,2523,103827,15748,1545
  龙亭区,36201,4.82,34.67,3482,2316,1166,3003,479,2141,1341,2303,1179,211,1937,1201,133
  顺河回族区,75091,3.22,25.68,7650,6591,1059,6905,745,5795,1855,5664,1986,537,2498,4352,263
  鼓楼区,48745,3.55,27.79,4761,4310,451,4255,506,3259,1502,3080,1681,468,1400,2533,360
  禹王台区,43808,3.64,25.62,4400,4058,342,3771,629,2480,1920,2613,1787,369,2157,1619,255
  金明区,63163,5.17,44.70,6219,4567,1652,5982,237,5628,591,4950,1269,410,2318,3194,297
  杞县,254692,5.23,24.14,25224,4840,20384,19914,5310,18685,6539,5974,19250,72,24705,413,34
  通许县,147798,5.82,30.88,14643,5731,8912,13265,1378,13046,1597,4231,10412,133,14112,360,38
  尉氏县,210863,5.52,33.68,21481,6902,14579,12740,8741,6716,14765,7337,14144,88,20489,799,105
  开封县,174082,5.78,28.64,17352,3523,13829,7603,9749,4966,12386,3254,14098,87,16652,593,20
  兰考县,186559,4.44,24.12,18431,5381,13050,14739,3692,14551,3880,3345,15086,148,17559,684,40
洛阳市,1806277,3.95,33.99,182091,96341,85750,135006,47085,108495,73596,71498,110593,10652,125365,41830,4244
  老城区,51086,3.50,37.67,5014,4438,576,4663,351,4179,835,3439,1575,644,1659,2456,255
  西工区,124356,2.54,29.96,11995,10804,1191,11485,510,11419,576,9134,2861,1913,1082,8694,306
  瀍河回族区,55916,2.55,30.64,5393,5249,144,5233,160,4868,525,4173,1220,350,1199,3496,348
  涧西区,205892,2.61,31.43,20520,18626,1894,18718,1802,18445,2075,15282,5238,3190,3006,13753,571
  吉利区,22495,3.67,41.30,2283,2105,178,2090,193,2025,258,1728,555,304,933,1023,23
  洛龙区,128086,4.91,45.50,12786,7853,4933,11031,1755,9246,3540,7212,5574,764,8503,1984,1535
  孟津县,117010,4.00,37.09,11751,6376,5375,6698,5053,3467,8284,3271,8480,416,10080,1162,93
  新安县,126185,3.77,33.03,12741,6311,6430,9956,2785,6548,6193,2691,10050,507,10706,1358,170
  栾川县,94755,3.53,29.62,9926,5150,4776,6040,3886,4695,5231,2231,7695,831,7937,964,194
  嵩县,140686,4.16,30.33,14366,2735,11631,9046,5320,6509,7857,1586,12780,271,12894,1016,185
  汝阳县,106635,4.05,30.11,10782,2536,8246,5755,5027,4162,6620,1503,9279,200,9975,548,59
  宜阳县,161239,4.25,31.54,16189,3700,12489,8103,8086,4626,11563,2763,13426,159,14618,1272,140
  洛宁县,113064,3.62,27.37,12414,2149,10265,5893,6521,5120,7294,1592,10822,299,11332,704,79
  伊川县,180478,5.10,34.27,17990,3082,14908,13664,4326,9471,8519,3871,14119,315,16301,1269,105
  偃师市,178394,5.26,41.66,17941,15227,2714,16631,1310,13715,4226,11022,6919,489,15140,2131,181
平顶山市,1336013,3.75,28.84,133920,47676,86244,88724,45196,75265,58655,43784,90136,4615,102761,23902,2642
  新华区,105171,2.91,29.20,10404,8501,1903,9216,1188,8931,1473,6656,3748,1029,2693,6216,466
  卫东区,98009,2.72,28.28,9716,8448,1268,8916,800,8758,958,7257,2459,719,1728,6686,583
  石龙区,12096,2.34,26.09,1212,811,401,801,411,594,618,194,1018,329,668,71,144
  湛河区,82749,3.01,28.42,7979,5783,2196,6623,1356,6276,1703,4889,3090,533,3046,4055,345
  宝丰县,134196,4.28,28.91,13098,3159,9939,6690,6408,5826,7272,3288,9810,466,11429,1079,124
  叶县,211326,3.73,32.65,21146,4023,17123,14434,6712,12469,8677,6568,14578,229,19957,823,137
  鲁山县,212963,3.25,23.26,22147,3661,18486,11511,10636,8965,13182,3419,18728,338,20463,970,376
  郏县,152856,4.06,24.69,15571,3901,11670,11003,4568,9559,6012,4409,11162,317,14244,855,155
  舞钢市,94266,3.74,32.00,9174,4412,4762,7034,2140,5958,3216,3999,5175,288,6821,1905,160
  汝州市,232381,4.89,32.12,23473,4977,18496,12496,10977,7929,15544,3105,20368,367,21712,1242,152
安阳市,1486536,4.74,36.87,147558,51193,96365,106345,41213,88806,58752,47820,99738,3573,122936,19006,2043
  文峰区,121130,3.92,38.92,12022,9024,2998,10359,1663,7790,4232,7242,4780,893,5459,5175,495
  北关区,74565,3.24,31.41,7172,5845,1327,6488,684,5907,1265,4972,2200,540,1970,4397,265
  殷都区,77673,2.77,30.89,7496,5505,1991,6710,786,6306,1190,5165,2331,725,2320,3957,494
  龙安区,59642,4.43,34.43,5951,2569,3382,4082,1869,2989,2962,2427,3524,236,4217,1403,95
  安阳县,246385,5.59,38.39,24738,6753,17985,16040,8698,12564,12174,5346,19392,395,23597,477,269
  汤阴县,117542,4.38,35.26,11699,4972,6727,10115,1584,9070,2629,5990,5709,114,10956,574,55
  滑县,348913,5.19,33.36,34585,7274,27311,17324,17261,13209,21376,4948,29637,183,33363,869,170
  内黄县,176350,5.59,29.58,17303,4077,13226,11325,5978,8139,9164,3183,14120,90,16910,225,78
  林州市,264336,4.36,51.25,26592,5174,21418,23902,2690,22832,3760,8547,18045,397,24144,1929,122
鹤壁市,401216,4.42,32.39,40120,22515,17605,30414,9706,25976,14144,16164,23956,910,29514,8776,920
  鹤山区,36620,3.29,22.90,3675,1895,1780,2018,1657,1282,2393,1330,2345,184,2033,1334,124
  山城区,64156,2.97,24.52,6361,4852,1509,4960,1401,4325,2036,3549,2812,271,2090,3477,523
  淇滨区,72151,4.31,34.94,7210,4659,2551,5954,1256,4841,2369,4131,3079,209,3418,3354,229
  浚县,161483,5.52,33.82,16206,7420,8786,11209,4997,9485,6721,3865,12341,90,15761,326,29
  淇县,66806,3.88,37.53,6668,3689,2979,6273,395,6043,625,3289,3379,156,6212,285,15
新乡市,1435177,4.53,34.01,143765,68606,75159,111234,32531,81100,62665,56265,87500,2670,119045,20058,1992
  红旗区,100756,3.63,41.79,9978,8050,1928,9359,619,8011,1967,6953,3025,711,2980,5582,705
  卫滨区,58807,3.70,33.94,6121,5364,757,5764,357,4884,1237,4208,1913,431,1479,3906,305
  凤泉区,34506,4.22,34.20,3460,2954,506,3171,289,2453,1007,2213,1247,79,2542,746,93
  牧野区,87379,3.25,35.08,8525,7973,552,8063,462,7196,1329,5807,2718,541,2877,4732,375
  新乡县,75553,4.36,38.76,7732,6714,1018,7164,568,6141,1591,4755,2977,114,7287,274,57
  获嘉县,98431,4.12,34.34,9867,6866,3001,9144,723,6789,3078,4271,5596,129,8976,731,31
  原阳县,153294,5.30,36.17,15248,2949,12299,12404,2844,9398,5850,3355,11893,71,14878,277,22
  延津县,112847,4.53,33.18,11085,2633,8452,5701,5384,2544,8541,1971,9114,41,10619,387,38
  封丘县,183688,5.27,26.69,18222,2586,15636,9640,8582,7255,10967,2983,15239,75,17780,342,25
  长垣县,201140,5.34,27.04,20356,3743,16613,15256,5100,14602,5754,4962,15394,133,19542,638,43
  卫辉市,123462,4.47,35.75,12461,5135,7326,8452,4009,2576,9885,3267,9194,156,11331,846,128
  辉县市,205314,4.08,40.13,20710,13639,7071,17116,3594,9251,11459,11520,9190,189,18754,1597,170
焦作市,873312,4.32,34.52,87366,51870,35496,77910,9456,62715,24651,48209,39157,2229,66778,17110,1249
  解放区,85673,2.91,32.25,8509,8007,502,8191,318,7602,907,5987,2522,623,1557,5894,435
  中站区,29395,4.39,29.90,2928,2509,419,2640,288,2147,781,1447,1481,150,1708,902,168
  马村区,33514,3.82,30.90,3208,1807,1401,2786,422,1675,1533,1352,1856,201,1950,988,69
  山阳区,82653,3.32,36.45,8276,6601,1675,7852,424,6948,1328,5832,2444,572,2507,4951,246
  修武县,70251,3.55,37.55,7064,5240,1824,6605,459,5149,1915,3628,3436,129,6374,467,94
  博爱县,104346,4.91,28.21,10438,6363,4075,8767,1671,6549,3889,3807,6631,163,9695,497,83
  武陟县,159610,5.77,30.92,15944,4773,11171,13534,2410,9460,6484,6411,9533,77,15201,605,61
  温县,102810,4.86,35.84,10504,4276,6228,8818,1686,7016,3488,5712,4792,59,9479,949,17
  沁阳市,110845,3.59,39.01,11043,4365,6678,9881,1162,8421,2622,6586,4457,123,9986,879,55
  孟州市,94215,4.33,42.86,9452,7929,1523,8836,616,7748,1704,7447,2005,132,8321,978,21
濮阳市,952240,4.15,27.27,95102,36485,58617,74279,20823,66565,28537,36321,58781,2359,77192,14854,697
  华龙区,189020,3.21,30.01,18665,15043,3622,16476,2189,15213,3452,13043,5622,1471,6422,10521,251
  清丰县,168657,4.42,28.76,16936,4663,12273,13522,3414,10294,6642,5688,11248,231,15577,1069,59
  南乐县,117025,4.99,26.62,11599,4743,6856,10102,1497,9695,1904,7131,4468,88,11194,293,24
  范县,128171,3.93,27.06,12651,3438,9213,7393,5258,6920,5731,3104,9547,208,11326,952,165
  台前县,87190,4.08,29.23,8713,1896,6817,5933,2780,4940,3773,1562,7151,115,8262,301,35
  濮阳县,262177,4.39,24.44,26538,6702,19836,20853,5685,19503,7035,5793,20745,246,24411,1718,163
许昌市,1156026,4.06,34.60,115247,38746,76501,96375,18872,90515,24732,48635,66612,2289,97515,14578,865
  魏都区,130468,3.43,39.59,12492,11010,1482,11762,730,10938,1554,10180,2312,754,2859,8519,360
  许昌县,206259,4.43,39.14,20731,5056,15675,16054,4677,14606,6125,8519,12212,136,19640,895,60
  鄢陵县,143836,4.37,36.05,14342,4010,10332,13760,582,13444,898,7303,7039,67,13968,275,32
  襄城县,197761,3.63,32.75,19322,3063,16259,14552,4770,13855,5467,6146,13176,334,18332,557,99
  禹州巿,299663,3.92,31.41,30293,5794,24499,23847,6446,21984,8309,5881,24412,799,27472,1827,195
  长葛市,178039,4.55,32.37,18067,9813,8254,16400,1667,15688,2379,10606,7461,199,15244,2505,119
漯河市,662051,3.80,33.40,65489,27427,38062,50947,14542,46335,19154,28110,37379,1094,53070,10539,786
  源汇区,86536,3.75,38.80,8690,5660,3030,7264,1426,6668,2022,5273,3417,351,4849,3352,138
  郾城区,124851,3.78,36.14,12614,5678,6936,10270,2344,9526,3088,6713,5901,213,9129,3140,132
  召陵区,124304,3.95,36.14,12258,5611,6647,9655,2603,8133,4125,5885,6373,320,9835,1930,173
  舞阳县,146113,3.99,28.63,14423,3494,10929,9043,5380,7737,6686,3846,10577,116,13471,756,80
  临颍县,180247,3.60,31.02,17504,6984,10520,14715,2789,14271,3233,6393,11111,94,15786,1361,263
三门峡市,629601,3.53,29.27,61702,31320,30382,44546,17156,32618,29084,17136,44566,4290,43351,13092,969
  湖滨区,105174,2.34,25.95,10180,7176,3004,7808,2372,7050,3130,5787,4393,2051,2267,5513,349
  渑池县,92965,4.30,31.29,9208,2748,6460,5408,3800,3784,5424,1807,7401,359,7461,1167,221
  陕县,96596,3.44,29.43,9427,4257,5170,5282,4145,2859,6568,2263,7164,327,7538,1453,109
  卢氏县,103953,3.47,26.91,10257,3509,6748,7186,3071,3934,6323,1269,8988,334,9241,629,53
  义马巿,43518,3.59,28.01,3904,3064,840,3472,432,2851,1053,1528,2376,369,1436,1981,118
  灵宝市,187395,3.89,31.15,18726,10566,8160,15390,3336,12140,6586,4482,14244,850,15408,2349,119
南阳市,2747972,4.31,31.82,275397,91890,183507,213489,61908,151035,124362,91607,183790,7194,240745,24890,2568
  宛城区,243365,4.33,34.80,24244,12845,11399,19567,4677,14995,9249,12202,12042,1086,16740,5936,482
  卧龙区,246304,4.24,34.08,24666,13595,11071,20462,4204,16205,8461,13129,11537,1280,16268,6679,439
  南召县,154116,3.42,20.47,15665,3666,11999,9338,6327,7219,8446,2834,12831,832,13934,708,191
  方城县,258477,4.71,32.91,25065,4909,20156,19120,5945,11364,13701,5070,19995,302,23773,802,188
  西峡县,123310,4.05,33.21,12649,3562,9087,9978,2671,4585,8064,3859,8790,367,11175,1052,55
  镇平县,230732,4.73,34.03,23137,6272,16865,20988,2149,17998,5139,9117,14020,605,21511,899,122
  内乡县,161421,3.84,34.22,16497,4257,12240,14495,2002,10136,6361,3743,12754,220,15547,637,93
  淅川县,175665,4.05,26.08,17264,5088,12176,12302,4962,6533,10731,3387,13877,444,15616,1077,127
  社旗县,160689,4.27,26.56,16473,3765,12708,10833,5640,6642,9831,3323,13150,105,15924,340,104
  唐河县,331373,4.69,32.77,33366,10432,22934,24774,8592,18687,14679,10191,23175,501,30157,2348,360
  新野县,180935,4.35,34.39,18138,7530,10608,14042,4096,11445,6693,7613,10525,210,16529,1337,62
  桐柏县,114417,3.95,30.49,11637,3311,8326,8286,3351,5145,6492,3627,8010,389,9749,1312,187
  邓州市,367168,4.35,33.24,36596,12658,23938,29304,7292,20081,16515,13512,23084,853,33822,1763,158
商丘市,2198804,4.51,31.55,218720,51330,167390,151037,67683,122647,96073,56455,162265,2283,202611,12895,931
  梁园区,202356,4.88,31.23,19788,9292,10496,13083,6705,10395,9393,7822,11966,515,14054,4766,453
  睢阳区,213987,4.35,35.43,21363,5989,15374,18419,2944,16492,4871,7080,14283,257,18703,2328,75
  民权县,208487,4.23,24.38,20843,3522,17321,9554,11289,6857,13986,2835,18008,71,20259,492,21
  睢县,209412,4.70,27.11,20419,5123,15296,11612,8807,8455,11964,3712,16707,176,19750,435,58
