首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  邯山区,112677,2.92,26.16,11024,9881,1143,10166,858,9296,1728,9052,1972,1098,1861,7737,328
  丛台区,111469,2.60,23.96,10390,9910,480,9635,755,9058,1332,8739,1651,1102,1205,7696,387
  复兴区,58032,2.64,24.31,5690,5511,179,5410,280,5017,673,4694,996,408,733,4365,184
  峰峰矿区,137060,3.11,28.44,13442,12568,874,12850,592,8753,4689,7426,6016,486,5743,6979,234
  邯郸县,118489,5.33,35.43,11983,7516,4467,9982,2001,8433,3550,6095,5888,256,9660,1972,95
  临漳县,148696,8.28,39.54,15049,8025,7024,10964,4085,8225,6824,5532,9517,42,14680,294,33
  成安县,97755,2.71,26.61,9615,8540,1075,8751,864,8583,1032,3900,5715,56,9151,389,19
  大名县,183536,6.62,33.85,18144,5115,13029,15757,2387,13767,4377,6834,11310,93,17474,521,56
  涉县,122001,6.00,31.67,12101,6884,5217,10819,1282,11312,789,2970,9131,510,10174,1172,245
  磁县,168158,4.46,34.01,16990,5732,11258,11828,5162,8729,8261,4742,12248,197,16080,635,78
  肥乡县,85056,5.92,27.66,8499,6708,1791,6756,1743,4822,3677,3064,5435,23,8163,255,58
  永年县,231986,5.57,26.04,23068,14582,8486,19045,4023,18156,4912,8754,14314,117,22056,728,167
  邱县,62902,5.49,36.17,6403,2359,4044,2934,3469,2336,4067,767,5636,109,6075,183,36
  鸡泽县,69422,4.75,27.90,7052,3874,3178,4989,2063,4685,2367,1748,5304,29,6827,184,12
  广平县,63560,3.47,27.69,6635,4716,1919,5945,690,5944,691,2438,4197,43,6362,219,11
  馆陶县,85455,4.95,32.29,8382,5981,2401,6767,1615,6346,2036,2480,5902,178,7812,354,38
  魏县,184480,5.61,25.22,18173,12411,5762,15244,2929,15405,2768,4590,13583,152,17549,447,25
  曲周县,109357,3.73,26.58,10961,3611,7350,7194,3767,4310,6651,2454,8507,41,10748,164,8
  武安市,209363,4.03,37.40,21138,14061,7077,18882,2256,18197,2941,12021,9117,1129,17692,2147,170
邢台市,1916890,4.29,31.31,191020,129405,61615,149800,41220,123832,67188,86211,104809,3808,166075,19233,1904
  桥东区,80650,3.06,29.25,7932,7047,885,6818,1114,5893,2039,5833,2099,1096,1927,4378,531
  桥西区,113827,2.82,32.80,11188,10939,249,10746,442,9594,1594,9820,1368,864,1634,8096,594
  邢台县,131094,4.57,35.42,13320,8176,5144,8864,4456,1892,11428,6389,6931,342,12366,427,185
  临城县,55073,4.49,32.64,5540,1046,4494,2112,3428,696,4844,1064,4476,104,5147,241,48
  内邱县,70240,3.84,39.23,7071,4124,2947,5490,1581,3972,3099,3868,3203,79,6506,433,53
  柏乡县,48063,5.24,30.90,4789,909,3880,3388,1401,2405,2384,1250,3539,20,4603,156,10
  隆尧县,120083,5.74,35.66,11958,7853,4105,9972,1986,8383,3575,6064,5894,13,11723,137,85
  任县,80019,5.90,33.87,8051,2479,5572,3727,4324,2095,5956,2245,5806,38,7843,163,7
  南和县,85892,3.60,24.55,8608,2100,6508,4707,3901,4153,4455,3043,5565,37,8166,386,19
  宁晋县,193646,4.18,24.29,19307,15864,3443,16822,2485,16090,3217,12098,7209,119,18277,849,62
  巨鹿县,103684,4.27,29.36,10127,8745,1382,7661,2466,6764,3363,3804,6323,95,9770,247,15
  新河县,51303,4.43,26.63,5000,3766,1234,4222,778,3692,1308,1780,3220,57,4697,235,11
  广宗县,82776,3.35,32.65,8227,6337,1890,7345,882,7312,915,1580,6647,75,7934,208,10
  平乡县,80347,3.04,25.67,8012,5290,2722,6129,1883,6054,1958,3058,4954,135,7544,326,7
  威县,161699,4.21,32.39,15653,11044,4609,12480,3173,10416,5237,4679,10974,20,15220,316,97
