首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  石首市,49257,37514,236,1364,805,7187,20637,7240,45,11743,2692,2755,279,97,256,39,1245,3399,981
  洪湖市,66079,49019,401,1838,677,5585,33849,6630,39,17060,3598,3618,466,210,294,11,3262,3804,1797
  松滋市,58352,45244,322,1650,735,5413,29360,7725,39,13108,2350,3524,202,212,241,71,1949,3767,792
黄冈市,451048,323658,2304,15172,7002,36962,198035,62736,1447,127390,31983,26428,2537,1608,1675,194,13867,39917,9181
  黄州区,30641,18231,304,2254,1620,3975,5642,4415,21,12410,5052,655,251,223,152,35,2523,2527,992
  团风县,21552,15291,46,702,205,1466,10260,2477,135,6261,1079,1700,196,68,122,22,447,2198,429
  红安县,34603,24218,133,973,601,1974,16958,3579,,10385,2178,2322,175,158,132,11,941,3696,772
  罗田县,33089,23762,152,1188,693,2671,15356,3696,6,9327,2093,1979,158,131,104,13,789,3407,653
  英山县,24825,16954,189,980,394,2074,10639,2673,5,7871,1331,1834,137,181,103,19,757,2783,726
  浠水县,66440,48752,283,2193,804,5401,29301,9879,891,17688,4332,3426,311,196,342,35,1699,5831,1516
  蕲春县,60151,41932,324,1702,528,5258,26476,7303,341,18219,4523,4057,328,106,234,9,1676,5802,1484
  黄梅县,67195,49959,285,1610,795,4857,28302,14098,12,17236,4364,4133,385,198,166,20,1925,5156,889
  麻城市,65684,50864,340,1995,669,4255,38790,4799,16,14820,3993,3776,269,189,140,16,1478,3901,1058
  武穴巿,46868,33695,248,1575,693,5031,16311,9817,20,13173,3038,2546,327,158,180,14,1632,4616,662
咸宁市,182888,121850,1576,7462,4832,20916,59818,26802,444,61038,12626,10481,1940,1062,1159,296,7287,19688,6499
  咸安区,40299,24625,595,2440,1261,5130,9526,5598,75,15674,4324,1702,430,295,298,139,2186,4541,1759
  嘉鱼县,21994,15354,180,684,716,2584,7886,3267,37,6640,1233,1447,197,112,194,21,1021,1896,519
  通城县,27334,16405,247,929,480,2546,8068,4112,23,10929,1354,2098,295,151,227,28,625,4832,1319
  崇阳县,33189,26061,218,1066,799,3341,15866,4765,6,7128,1936,1841,240,143,67,11,661,1839,390
  通山县,26287,17536,108,954,651,3105,8527,4024,167,8751,1457,1509,405,108,155,11,583,3112,1411
  赤壁市,33785,21869,228,1389,925,4210,9945,5036,136,11916,2322,1884,373,253,218,86,2211,3468,1101
随州市,165014,123969,1253,5933,2421,18330,76944,18997,91,41045,8491,9179,1099,752,807,122,5437,12680,2478
  曾都区,49588,35140,894,2892,1135,7820,15976,6405,18,14448,3206,2262,448,462,345,63,3172,3943,547
  随县,61274,49018,135,1392,331,3980,38285,4833,62,12256,2489,3853,337,82,175,18,800,3662,840
  广水市,154152,39811,224,1649,955,6530,22683,7759,11,14341,2796,3064,314,208,287,41,1465,5075,1091
恩施土家族苗族自治州,253500,189061,1547,7216,4373,18017,132836,25026,46,64439,13983,19092,1229,917,697,440,6232,15720,6129
  恩施市,54809,38405,606,2158,1401,5477,22525,6238,,16404,5047,3139,310,317,309,119,2154,3868,1141
  利川市,57569,42449,345,1193,529,3104,32626,4648,4,15120,2850,4973,318,129,112,197,807,4153,1581
  建始县,32848,25908,140,791,553,1993,19101,3322,8,6940,1131,2728,112,144,46,10,732,1452,585
  巴东县,33134,25305,106,886,494,1976,19774,2060,9,7829,1425,2449,112,121,55,50,729,2062,826
  宣恩县,19814,15578,76,590,307,1361,10348,2886,10,4236,755,1741,81,45,56,22,408,848,280
  咸丰县,21808,16702,158,676,355,1435,12209,1859,10,5106,1048,1565,77,77,40,12,544,1196,547
  来凤县,17541,13020,39,411,412,1518,8092,2548,,4521,870,1345,105,23,34,4,388,1022,730
  鹤峰县,15977,11694,77,511,322,1153,8161,1465,5,4283,857,1152,114,61,45,26,470,1119,439
省直辖县级行政区划,286600,220569,1766,9085,4457,30417,131938,42630,276,66031,14756,12736,1694,664,854,236,11372,17205,6514
  仙桃市,92662,69230,578,3828,1353,10870,39640,12706,255,23432,5555,4591,606,210,328,109,2733,7414,1886
  潜江市,74762,55817,854,2716,1692,8683,29875,11987,10,18945,2736,2646,427,275,269,43,5850,3859,2840
  天门市,113466,91610,307,2289,1192,10201,60246,17366,9,21856,6260,5074,615,135,240,74,2551,5314,1593
  神农架林区,5710,3912,27,252,220,663,2177,571,2,1798,205,425,46,44,17,10,238,618,195
,,,,,,,,,,,,,,,,,,,
湖南省,4920101,3389354,39551,184441,109533,540938,1885689,623602,5600,1530747,259413,309523,43487,25586,21018,11041,224112,476996,159571
长沙市,578772,338624,8999,38842,19612,91432,114458,64805,476,240148,56118,29836,5211,4509,4690,3914,43339,67869,24662
  芙蓉区,45464,26187,1803,4982,3294,12985,266,2857,,19277,5094,474,491,698,715,397,6037,3413,1958
  天心区,41308,20533,804,4675,2538,8708,625,3084,99,20775,7766,532,396,776,414,114,6744,2443,1590
  岳麓区,63626,29384,768,6149,2799,10028,3809,5738,93,34242,13932,1897,525,540,599,949,5687,6987,3126
  开福区,45162,24529,1107,4850,2693,10783,1107,3864,125,20633,2728,1064,665,576,641,92,7468,4246,3153
  雨花区,60829,33576,1619,7857,3981,14633,311,5032,143,27253,5747,798,466,893,991,750,9577,4901,3130
  长沙县,86217,52150,752,3733,1318,10847,25810,9689,1,34067,10878,5501,652,266,507,829,1904,11419,2111
  望城县,43453,24678,406,1328,544,5415,11930,5048,7,18775,4374,3780,505,110,226,206,1233,7099,1242
  宁乡县,91022,58661,1058,2306,1043,8535,36702,9014,3,32361,2930,7487,791,382,317,414,2582,13117,4341
  浏阳市,101691,68926,682,2962,1402,9498,33898,20479,5,32765,2669,8303,720,268,280,163,2107,14244,4011
株洲市,306722,208432,4821,12212,7448,37653,92055,53962,281,98290,13738,15442,2629,2316,1660,436,21264,30896,9909
  荷塘区,26312,16631,548,1725,801,5900,1412,6197,48,9681,1592,501,258,411,180,32,3746,2134,827
  芦淞区,19527,11400,174,1912,912,5439,511,2448,4,8127,1060,227,282,387,189,44,3738,1158,1042
  石峰区,23314,12300,694,1522,666,3597,876,4895,50,11014,2434,422,265,391,211,70,4351,1747,1123
  天元区,17118,9958,488,1658,1608,3302,807,2033,62,7160,1181,415,229,203,180,174,1991,1910,877
  株洲县,30531,21847,177,604,376,2237,14836,3603,14,8684,766,2232,237,75,148,19,979,3225,1003
  攸县,52300,36066,721,1235,915,4755,21752,6687,1,16234,1966,3436,399,284,222,34,1632,6738,1523
  茶陵县,46997,36502,282,1045,823,4654,22019,7581,98,10495,1722,2416,284,139,132,15,1084,3697,1006
  炎陵县,13934,9957,133,401,320,979,6416,1706,2,3977,284,943,90,38,106,16,485,1572,443
  醴陵市,76689,53771,1604,2110,1027,6790,23426,18812,2,22918,2733,4850,585,388,292,32,3258,8715,2065
湘潭市,206354,130854,1758,9614,6390,25488,61582,25779,243,75500,12257,11140,1789,1840,933,395,17195,22314,7637
  雨湖区,39015,20003,830,2964,2521,6008,3067,4571,42,19012,4976,890,412,659,268,158,6609,3050,1990
  岳塘区,32779,17071,591,2451,1314,5518,1122,5945,130,15708,2844,718,435,679,280,98,6412,2774,1468
  湘潭县,68934,47831,133,2539,1435,6074,31024,6612,14,21103,2167,5096,480,159,202,40,1783,8914,2262
  湘乡市,58801,41434,127,1345,968,6756,24495,7691,52,17367,2005,4037,405,309,160,94,2077,6637,1643
  韶山市,6825,4515,77,315,152,1132,1874,960,5,2310,265,399,57,34,23,5,314,939,274
衡阳市,519739,370569,3336,17691,8965,55801,216118,67992,666,149170,31063,32470,4437,2430,2129,978,23144,40997,11522
  珠晖区,26655,13476,124,1552,718,4807,2855,3402,18,13179,4242,646,289,411,215,73,4191,2206,906
  雁峰区,17324,7980,122,1205,758,3096,1043,1719,37,9344,2643,316,257,358,216,62,3307,1479,706
  石鼓区,15978,9112,256,1201,839,3820,1203,1791,2,6866,808,442,278,387,133,47,2945,1210,616
  蒸湘区,23746,11913,1054,2367,782,3729,1830,2093,58,11833,4497,517,296,325,193,354,2804,1873,974
  南岳区,4315,2787,22,245,185,1329,690,316,,1528,112,147,69,23,22,18,209,672,256
  衡阳县,83139,64867,402,2041,886,8068,39728,13673,69,18272,4461,6002,642,119,206,34,1173,4823,812
  衡南县,66333,51237,162,1448,360,5439,34002,9723,103,15096,2762,4861,418,67,237,41,903,4767,1040
  衡山县,26639,19073,99,587,489,2585,11692,3594,27,7566,870,2066,212,97,61,14,762,2964,520
  衡东县,43596,33209,201,956,667,4138,22048,5189,10,10387,1673,3269,307,124,171,41,962,2932,908
  祁东县,72639,55585,241,1674,925,7497,36540,8517,191,17054,3515,4887,561,134,245,45,1719,4947,1001
  耒阳市,82824,58660,491,3025,1467,7474,38700,7365,138,24164,3455,6075,707,153,270,194,2513,8291,2506
  常宁巿,56551,42670,162,1390,889,3819,25787,10610,13,13881,2025,3242,401,232,160,55,1656,4833,1277
邵阳市,530704,390420,3196,14082,8290,51741,229412,82439,1260,140284,23275,32259,4718,2407,1587,935,14989,44241,15873
  双清区,22876,11887,329,1014,782,4714,2713,2327,8,10989,1074,794,466,841,220,64,3487,2847,1196
  大祥区,24045,14080,699,1604,1296,2921,5569,1828,163,9965,1706,864,341,387,181,316,2916,1865,1389
  北塔区,7256,4717,34,237,223,1202,1819,1197,5,2539,269,414,98,64,30,95,443,885,241
  邵东县,64755,45207,435,1217,546,9035,25308,8498,168,19548,2585,5091,512,56,178,49,1454,7152,2471
  新邵县,54314,39745,246,1408,404,4928,26028,6672,59,14569,2553,3713,583,104,159,40,875,4897,1645
  邵阳县,69111,52805,543,1442,670,7280,31091,11625,154,16306,3430,4817,521,157,153,91,851,4662,1624
  隆回县,85083,64851,259,2162,1038,7877,31723,21175,617,20232,2796,4967,797,148,296,46,885,7870,2427
  洞口县,58869,45001,292,1323,826,4549,27391,10571,49,13865,3063,3318,409,199,143,65,1140,4243,1288
  绥宁县,27628,21180,79,636,418,1325,16317,2404,1,6448,1183,1421,250,93,48,29,530,2014,880
  新宁县,42152,32308,88,1031,607,2689,22141,5728,24,9844,1370,2742,224,134,73,94,876,2944,1387
  城步苗族自治县,19600,15844,18,437,389,1223,11322,2455,,3756,522,1008,153,75,18,3,492,1008,477
  武冈市,55015,42795,174,1571,1091,3998,27990,7959,12,12220,2724,3110,364,149,88,43,1040,3854,848
岳阳市,394942,263720,2639,13461,7622,48986,144459,46105,448,131222,20200,26748,3721,1854,1553,470,18120,47460,11096
  岳阳楼区,58346,32489,984,4388,2469,12361,4348,7601,338,25857,5113,2613,855,984,498,210,6483,6809,2292
  云溪区,12029,7091,152,554,353,1088,3342,1584,18,4938,858,493,176,73,58,57,1529,1263,431
  君山区,15913,11219,122,479,353,1736,7021,15071,1,4694,709,569,141,65,59,4,2057,891,199
  岳阳县,49458,35048,197,1154,818,5827,20854,618612,12,14410,2225,3608,419,86,154,10,770,5591,1547
  华容县,52371,42457,265,1322,834,6761,29381,3881,13,9914,2074,3244,197,81,101,51,1027,2504,635
  湘阴县,45544,27503,130,1143,533,4246,16731,4700,20,18041,2302,3608,488,101,150,37,1170,8304,1881
  平江县,71356,47588,246,1781,1187,5401,30383,8564,26,23768,2026,6825,579,136,264,25,1283,11140,1490
  汩罗市,51558,33829,386,1516,626,6721,18512,6065,3,17729,2580,3436,441,177,126,54,2419,7146,1350
  临湘市,38367,26496,157,1124,449,4845,13887,6017,17,11871,2313,2352,425,151,143,22,1382,3812,1271
常德市,436990,323698,2633,15485,7803,51587,195554,49959,677,113292,19915,30018,2662,1546,1378,495,18787,29111,9380
  武陵区,47502,28859,689,3790,2388,10494,5284,6155,59,18643,3905,1689,518,535,328,225,6303,3732,1408
  鼎城区,62565,46911,267,1721,574,7035,30633,6267,414,15654,2782,5323,352,97,147,49,1924,3975,1005
  安乡县,39238,30353,142,874,639,5572,19852,3254,20,8885,1642,2393,234,83,81,28,902,2353,1169
  汉寿县,61871,45963,220,1579,745,7762,29609,6046,2,15908,2371,4220,443,125,194,12,2210,4893,1440
  澧县,61672,48184,353,1723,772,6927,33114,5229,66,13488,2504,3695,321,144,161,63,1701,3611,1288
  临澧县,32551,25483,173,945,542,2797,15875,5143,8,7068,1369,1964,205,75,84,19,790,1807,755
  桃源县,66649,49733,399,2453,851,5276,30826,9893,35,16916,2655,6348,277,164,149,11,1539,4749,1024
  石门县,48196,36846,263,1785,635,3835,24396,5876,56,11350,1846,3492,204,171,162,78,1543,2949,905
  津市市,16746,11366,127,615,657,1889,5965,2096,17,5380,841,894,108,152,72,10,1875,1042,386
张家界市,104294,73832,658,3813,2388,9740,47268,9570,395,30462,4801,7119,822,397,270,292,2477,9056,5228
  永定区,31983,18950,253,1131,1144,3854,10087,2474,7,13033,2147,1936,467,202,129,143,967,4281,2761
  武陵源区,3742,2424,66,132,153,915,955,197,6,1318,162,260,47,14,13,44,48,404,326
  慈利县,43967,34438,248,1839,625,3327,23691,4326,382,9529,1734,2712,173,133,84,84,947,2597,1065
  桑植县,24602,18020,91,711,466,1644,12535,2573,,6582,758,2211,135,48,44,21,515,1774,1076
益阳市,323461,210415,2002,11671,5715,35998,121359,33410,260,113046,14608,23647,3045,1916,1638,505,14720,39272,13695
  资阳区,31162,21302,190,878,487,4035,12912,2741,59,9860,1921,1974,310,179,76,52,1752,2934,662
  赫山区,63807,38276,874,3059,1802,6833,19346,6309,53,25531,4501,3741,612,649,348,260,4577,8099,2744
  南县,55276,40237,379,2611,691,9544,22353,4532,127,15039,2080,3641,396,199,301,28,3167,4018,1209
  桃江县,53882,32863,309,1502,874,4580,17321,8271,6,21019,1741,4756,531,296,247,65,1417,10076,1890
  安化县,69645,45846,14,1732,1102,5577,29492,7928,1,23799,2222,6316,688,320,262,49,1468,9089,3385
  沅江市,49689,31891,236,1889,759,5429,19935,3629,14,17798,2143,3219,508,273,404,51,2339,5056,3805
郴州市,341219,244136,2578,10907,8586,30389,147247,44316,113,97083,12640,17908,3045,1730,1321,853,12652,35659,11275
  北湖区,31774,19708,324,1853,2090,6228,5010,4190,13,12066,1330,883,418,539,234,354,3341,3469,1498
  苏仙区,31202,19231,503,1360,1296,4035,7639,4398,,11971,2826,1508,351,289,169,59,2265,3337,1167
  桂阳县,50140,38745,211,1231,881,5034,23156,8227,5,11395,1335,2432,291,132,137,5,1102,4404,1557
  宜章县,41679,30667,342,1185,641,2946,20409,5137,7,11012,1284,2590,401,193,100,33,880,4116,1415
  永兴县,43921,30656,184,1108,861,3084,21441,3968,10,13265,1020,2611,449,104,208,24,1248,5877,1724
  嘉禾县,22391,15959,346,676,463,1603,9016,3855,,6432,790,1377,190,36,146,15,407,2824,647
  临武县,26572,18355,63,630,580,1725,13615,1742,,8217,840,1444,347,76,103,250,517,3741,899
  汝城县,25648,19646,168,532,329,1042,16198,1369,8,6002,683,1702,171,73,52,17,467,2188,649
  桂东县,12716,10362,27,365,306,776,7254,1634,,2354,394,639,63,24,6,6,204,615,403
  安仁县,29118,23462,229,877,477,1482,14809,5525,63,5656,1183,1359,133,65,43,2,343,1987,541
  资兴市,26058,17345,181,1090,662,2434,8700,4271,7,8713,955,1363,231,199,123,88,1878,3101,775
永州市,380141,284297,2114,10749,7257,29091,183273,51481,332,95844,16989,25028,2666,991,1033,477,9285,28862,10513
  零陵区,45339,31846,180,1459,1171,4218,17025,7785,8,13493,3994,2690,302,168,104,60,1369,3553,1253
  冷水滩区,37694,26634,932,1738,1721,5463,10382,6375,23,11060,1853,2091,330,194,129,125,2053,2759,1526
  祁阳县,61139,44469,452,1584,1033,4988,26463,9949,,16670,2707,4228,408,235,195,164,1695,5440,1598
  东安县,38408,29680,158,1491,565,3213,19567,4600,86,8728,1187,2699,218,74,68,13,798,2706,965
  双牌县,14024,9975,56,418,302,924,7298,977,,4049,515,929,207,12,40,9,644,1234,459
  道县,40595,32416,29,677,352,1918,23499,5926,15,8179,1831,2343,209,67,47,18,502,2174,988
  江永县,16991,13742,43,513,356,952,9429,2428,21,3249,431,1091,164,31,26,7,355,812,332
  宁远县,52416,40132,81,1043,612,2508,32756,3132,,12284,1978,3526,359,110,229,33,597,3997,1455
  蓝山县,22217,16580,18,443,467,1389,10458,3805,,5637,647,1480,151,18,58,25,405,2025,828
  新田县,23486,17179,79,622,310,1968,9159,5017,24,6307,894,1672,159,51,58,17,420,2517,519
  江华瑶族自治县,27832,21644,86,761,368,1550,17237,1487,155,6188,952,2279,159,31,79,6,447,1645,590
怀化市,355793,256555,1873,11444,8838,33362,158215,42672,151,99238,12706,24688,3114,1401,1080,672,12110,32396,11071
  鹤城区,38400,22622,504,3321,2550,8457,4931,2790,69,15778,3891,765,568,400,179,444,3304,4060,2167
  中方县,19392,15052,75,317,119,695,12946,896,4,4340,315,1697,196,20,65,47,185,1358,457
  沅陵县,46392,33851,169,1332,1004,3937,18912,8480,17,12541,1475,4600,331,104,97,40,1262,3889,743
  辰溪县,30397,21390,326,975,601,2480,13474,3524,10,9007,693,2389,289,109,100,5,1322,3037,1063
  溆浦县,51878,38130,280,1195,1134,3329,26939,5242,11,13748,1252,3965,353,112,162,42,1049,5707,1106
  会同县,23987,18224,55,525,327,2185,12301,2830,1,5763,523,1425,160,99,60,5,475,2290,726
  麻阳苗族自治县,25923,18481,74,577,514,2095,12082,3132,7,7442,960,1991,289,46,54,9,411,2476,1206
  新晃侗族自治县,25601,20458,55,470,487,2004,13337,4088,17,5143,570,2083,200,96,54,3,558,1225,354
  芷江侗族自治县,23108,17960,58,699,453,1737,12981,2032,,5148,627,1432,175,68,44,6,650,1704,442
  靖州苗族侗族自治县,18280,13332,104,542,339,1610,8098,2631,8,4948,442,1214,136,83,38,2,477,1666,890
  通道侗族自治县,15647,11523,40,470,319,1119,7926,1647,2,4124,356,942,152,53,80,41,260,1574,666
  洪江市,36788,25532,133,1021,991,3714,14288,5380,5,11256,1602,2185,265,211,147,28,2157,3410,1251
娄底市,277583,179149,2039,8999,6665,26587,96582,38116,161,98434,13174,20191,3731,1278,1172,399,11387,36116,10986
  娄星区,37146,20550,811,2484,1948,5842,3971,5487,7,16596,2967,1147,659,475,230,214,3546,5743,1615
  双峰县,65921,46094,428,2064,1125,8067,23535,10790,85,19827,3029,5054,517,153,240,52,1406,7354,2022
  新化县,79341,54362,242,1610,1143,4546,41207,5609,5,24979,2812,6922,979,149,194,31,2028,9216,2648
  冷水江市,25227,13213,298,1081,1057,2853,2608,5256,60,12014,1328,1351,580,274,197,40,2328,4645,1271
  涟源市,69948,44930,260,1760,1392,5279,25261,10974,4,25018,3038,5717,996,227,311,62,2079,9158,3430
湘西土家族苗族自治州,163387,114653,905,5471,3954,13083,78107,12996,137,48734,7929,13029,1897,971,574,220,4643,12747,6724
  吉首市,22284,13840,461,1459,1360,3064,5388,2107,1,8444,1604,1119,364,248,202,85,1747,1788,1287
  泸溪县,17000,11996,25,539,306,1328,7093,2639,66,5004,905,1201,271,110,75,13,394,1444,591
  凤凰县,22303,17186,70,536,444,1867,12989,1267,13,5117,822,1248,216,63,32,11,507,1441,777
  花垣县,20771,14981,29,545,320,1415,11103,1527,42,5790,814,1303,323,112,74,47,293,1514,1310
  保靖县,16698,11659,56,328,280,1066,8597,1332,,5039,671,1716,139,112,77,12,297,1447,568
  古丈县,7935,5721,37,260,240,537,3896,744,7,2214,237,678,68,45,18,3,183,646,336
  永顺县,28180,19867,73,833,521,1921,14629,1889,1,8313,1350,2957,248,134,43,16,657,2083,825
  龙山县,28216,19403,154,971,483,1885,14412,1491,7,8813,1526,2807,268,147,53,33,565,2384,1030
,,,,,,,,,,,,,,,,,,,
广东省,7852679,5525078,152302,404043,383867,1158603,1358469,2063108,4686,2327601,596507,253330,67829,39558,101449,5961,376950,696797,189220
广州市,1072063,693593,32109,80639,74162,210276,56092,239324,991,378470,99015,14430,10191,10538,22067,1765,111274,78536,30654
  荔湾区,75685,41330,302,5228,6810,17660,797,10533,,34355,5192,437,763,2187,3106,87,16908,4654,1021
  越秀区,90024,49044,3953,10755,8723,20526,35,5043,9,40980,6460,476,856,1699,2303,9,21694,4185,3298
  海珠区,145714,90028,1108,13373,12708,31893,455,30489,2,55686,9788,545,1324,2662,4773,70,26222,7912,2390
  天河区,117519,69644,6456,15653,9649,28069,209,9545,63,47875,22566,428,855,807,1666,58,11426,7068,3001
  白云区,207330,145291,9599,11169,12625,46900,8110,56078,810,62039,16787,2543,1875,1265,3397,203,13063,16174,6732
  黄埔区,41383,28767,792,2519,3277,7686,298,14193,2,12616,2178,185,422,223,847,31,3319,4016,1395
  番禺区,144806,101765,6063,9354,8966,22009,9056,46262,55,43041,12904,1757,1008,752,2196,231,9174,10724,4295
  花都区,72835,48700,1652,4250,3147,13898,5808,19925,20,24135,5784,2246,904,344,1032,198,2766,8163,2698
  南沙区,21673,16533,328,966,1137,2999,3091,8008,4,5140,989,297,173,103,252,32,1363,1318,613
  萝岗区,32559,22610,462,2003,1827,3701,1451,13145,21,9949,3000,579,389,115,585,642,808,2629,1202
  增城市,79344,54461,1014,3588,3822,10251,16450,19332,4,24883,6452,2702,1036,216,1188,152,2836,7740,2561
  从化巿,43191,25420,380,1781,1471,4684,10332,6771,1,17771,6915,2235,586,165,722,52,1695,3953,1448
韶关市,199836,128517,2440,9193,6401,19883,67970,22486,144,71319,14718,8775,1439,1461,1581,260,14802,23723,4560
  武江区,23287,14130,481,1913,1331,3615,2898,3892,,9157,1640,449,185,384,307,153,3329,2083,627
  浈江区,26188,13062,489,1648,1005,4074,2743,3073,30,13126,3739,535,270,394,335,18,4326,2750,759
  曲江区,22972,14624,189,1025,633,2841,6815,3094,27,8348,2091,854,184,150,225,21,1762,2589,472
  始兴县,14710,9954,102,495,403,865,6201,1885,3,4756,818,756,73,52,75,31,522,2021,408
  仁化县,14328,9735,130,539,447,1077,6132,1409,1,4593,691,667,87,73,83,2,717,1817,456
  翁源县,22906,16117,199,864,424,1352,11378,1900,,6789,1526,1264,166,55,93,19,595,2723,348
  乳源瑶族自治县,13085,9364,74,516,428,887,5683,1772,4,3721,773,537,98,33,60,1,474,1449,296
  新丰县,13252,8483,117,464,387,1207,4632,1676,,4769,916,829,160,75,140,8,539,1919,183
  乐昌市,26918,18210,305,960,955,2427,11356,2207,,8708,1390,1509,148,167,158,6,1880,2794,656
  南雄市,22190,14838,354,769,388,1538,10132,1578,79,7352,1134,1375,68,78,105,1,658,3578,355
深圳市,921563,753424,29383,76105,81779,204792,2425,358508,432,168139,20419,2600,4196,4385,15610,111,28752,66584,25482
  罗湖区,82286,58130,5500,7992,7926,27223,66,9411,12,24156,2541,334,659,980,2886,5,5884,7801,3066
  福田区,108960,80679,6056,15870,12238,36346,119,9905,145,28281,3867,316,647,845,2439,15,8040,8584,3528
  南山区,94621,71501,5678,15265,11340,19183,274,19550,211,23120,6336,281,403,660,1524,9,3922,6751,3234
  宝安区,412013,360661,6385,21742,32317,77487,1094,221605,31,51352,3781,858,1371,1018,5296,56,5248,24768,8956
  龙岗区,206124,168377,5190,13711,15854,40856,808,91925,33,37747,3513,733,1033,775,3192,24,5010,17149,6318
  盐田区,17559,14076,574,1525,2104,3697,64,6112,,3483,381,78,83,107,273,2,648,1531,380
珠海市,141518,97690,2556,9729,8739,30159,5603,40854,50,43828,13245,1511,1032,1117,2525,120,8545,10648,5085
  香洲区,84463,58443,1391,7248,6083,23348,985,19348,40,26020,7432,496,598,740,1555,63,5437,6409,3290
  斗门区,33458,23973,1019,1356,1475,4138,3071,12914,,9485,1499,792,292,222,629,25,1747,3117,1162
  金湾区,23597,15274,146,1125,1181,2673,1547,8592,10,8323,4314,223,142,155,341,32,1361,1122,633
汕头市,367025,220237,6454,14255,12562,47998,39259,99554,155,146788,42739,20302,3684,2131,3488,79,16237,48798,9330
  龙湖区,40699,26528,2072,3253,2320,6149,2107,10552,75,14171,3605,1385,425,356,499,25,2550,4437,889
  金平区,61043,28815,633,4680,4051,10253,1065,8129,4,32228,6029,1410,1069,1432,1317,18,9732,8749,2472
  濠江区,17864,9190,162,542,399,1739,1765,4583,,8674,2809,1203,311,38,237,3,303,3042,728
  潮阳区,101626,59556,383,1787,2701,12469,12978,29238,,42070,14938,7174,877,105,551,5,1437,15181,1802
  潮南区,79299,51707,1551,1430,1285,8863,10351,28186,41,27592,9557,5643,470,43,482,19,369,9163,1846
  澄海区,61792,41884,1608,2336,1618,7938,9830,18519,35,19908,5478,3210,473,128,368,8,1617,7183,1443
  南澳县,4702,2557,45,227,188,587,1163,347,,2145,323,277,59,29,34,1,229,1043,150
佛山市,586547,429801,17920,39401,34670,104906,23594,208745,565,156746,34585,8669,4262,4320,12336,517,38530,41400,12127
  禅城区,86339,59171,3273,7710,6002,18320,384,23479,3,27168,5148,526,590,1337,1855,37,11316,4621,1738
  南海区,214197,158697,5717,13843,12502,40815,8432,76844,544,55500,12757,2962,1723,1317,5265,188,11605,15015,4668
  顺德区,207280,155698,7699,14020,12380,34358,5449,81774,18,51582,11755,2828,1254,1084,3718,183,11789,14902,4069
  三水区,46647,32613,594,2443,2015,6903,5203,15455,,14034,2995,1382,406,431,956,77,2567,4103,1117
  高明区,32084,23622,637,1385,1771,4510,4126,11193,,8462,1930,971,289,151,542,32,1253,2759,535
江门市,348571,233854,5390,16100,13744,45984,73248,79326,62,114717,25671,14257,3345,1916,4266,225,20143,34793,10101
  蓬江区,56839,36363,1877,4391,3088,9656,2255,15086,10,20476,5476,846,339,566,934,17,6018,4624,1656
  江海区,19905,13884,444,944,1034,3415,1401,6641,5,6021,1543,370,144,125,386,26,1269,1728,430
  新会区,65859,43727,958,3391,2644,8801,10143,17743,47,22132,5025,2543,575,459,1066,28,4609,6254,1573
  台山市,73106,48610,667,1681,2047,7022,28631,8562,,24496,4432,4333,897,210,556,38,2517,8744,2769
  开平市,56597,37194,567,2312,2068,6724,12702,12821,,19403,3990,2683,573,257,694,10,2482,6963,1751
  鹤山市,40385,29735,616,1961,1851,4685,6565,14057,,10650,2335,1531,231,190,367,81,1883,3062,970
  恩平市,35880,24341,261,1420,1012,5681,11551,4416,,11539,2870,1951,586,109,263,25,1365,3418,952
湛江市,452577,298912,2370,14893,9029,37539,201958,33108,15,153665,51584,21414,7420,2238,3828,277,18784,35522,12598
  赤坎区,23528,11151,235,1883,2072,4067,717,2174,3,12377,4014,253,311,479,328,8,3524,2384,1076
  霞山区,38128,19611,718,3455,2190,7040,2154,4054,,18517,4135,425,760,573,580,47,5678,4385,1934
  坡头区,23391,15346,59,579,485,2060,9155,3002,6,8045,2334,1258,463,41,335,10,633,2248,723
  麻章区,33092,21348,56,738,214,2333,16449,1556,2,11744,6058,1476,521,65,252,54,557,1663,1098
  遂溪县,56230,40349,33,1602,671,3752,31758,2531,2,15881,5582,3048,770,161,260,14,1410,3389,1247
  徐闻县,48224,35668,106,1250,844,3698,27810,1958,2,12556,4024,2439,632,212,231,9,1372,2878,759
  廉江市,83540,58330,598,1959,1113,4899,42169,7592,,25210,7513,4402,1508,278,737,74,2771,6427,1500
  雷州市,89635,62290,260,2042,674,4936,50056,4322,,27345,11075,5301,1359,264,448,30,1648,4952,2268
  吴川市,56809,34819,305,1385,766,4754,21690,5919,,21990,6849,2812,1096,165,657,31,1191,7196,1993
茂名市,368203,244576,2117,12438,5922,29853,162228,31988,30,123627,43059,18515,4733,1033,1957,136,11311,33685,9198
