,,,,,,,,,,,,,,,,,,,,,,,
表9--18全国市按年龄和活产子女数分的15--64岁妇女人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位：人,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
,,,    活 产1个,,,    活产2个,,,,,,    年龄别,,,,,,,,,,,
    年龄别,    合计,    无活产,,,,,,,,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,总计,    7 374 393,    917 401,    3 098 324,    2 755 333,    603 335,    4 887 124,    2 922 074,    1 606 025,    759 900,    353 826,    248 719
  43,    1 145 407,    14 881,    132 342,    72 308,    60 034,    465 218,    131 720,    254 123,    79 375,,,  44,    306 486,    39 928,    128 516,    11 1 944,    26 098,    159 425,    57 392,    17 788,    5 421,    1 774,    91 5
  44,    1 053 817,    12 340,    93 695,    50 9 18,    42 777,    398 581,    1 12 689,    218 675,    67 217,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
表9--18全国市按年龄和活产子女数分的15--64岁妇女人数(第二口径)(续01),,,,,,,,,,,,表9--18全国市按年龄和活产子女数分的15--64岁妇女人数(第二口径)(续03),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,    无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
45-49岁,    4 836 387,    50 757,    267 925,    144 127,    123 798,    1 368 263,    389 292,    762 172,    216 799,,,45—49岁,    1 460 523,    198 037,    637 808,    510 793,    113 885,    979 742,    452 911,    171720,    55 591,    18 973,    9 982
  45,    995 269,    1 1 072,    72 174,    39 184,    32 990,    339 221,    96 272,    187 068,    55 881,,,  45,    296 371,    39 195,    127 062,    106 091,    24 023,    174 460,    68 696,    22 930,    6 804,    2 330,    1 211
  46,    941983,    10 139,    58 288,    31 404,    26 884,    291 827,    82 892,    161 263,    47 672,,,  46,    281 660,    37 795,    121 403,    99 743,    22 719,    181 097,    78 103,    27 888,    8 531,    2 886,    1 564
  47,    941 619,    9 700,    49 620,    26 802,    22 818,    266 297,    75 583,    148 826,    41 888,,,  47,    286 739,    38 858,    124 925,    100 318,    22 638,    192 027,    88 593,    32 938,    10 353,    3 486,    1 866
  48,    976 436,    10 043,    45 545,    24 276,    21 269,    247 345,    70 693,    138 560,    38 092,,,  48,    298 252,    41100,    131 406,    103 106,    22 640,    210 594,    103 454,    40 750,    13 529,    4 543,    2 381
  49,    981 080,    9 803,    42 298,    22 461,    19 837,    223 573,    63 852,    126 455,    33 266,,,  49,    297 501,    41 089,    133 012,    101 535,    21 865,    221 564,    114 065,    47 214,    16 374,    5 728,    2 960
50-54岁,    4 837 585,    54 611,    184 256,    99 326,    84 930,    789 668,    224 275,    454 508,    110 885,,,50-54岁,    1 329 268,    185 072,    610 320,    445 619,    88 257,    1 181 874,    708 257,    351 251,    145 104,    58 598,    34 698
  50,    976 856,    10 353,    39 982,    21 335,    18 647,    199 556,    57 238,    113 375,    28 943,,,  50,    291 712,    40 561,    131 523,    98 981,    20 647,    226 547,    123 440,    54 306,    19 739,    7 217,    4 004
  51,    959 871,    10 253,    36 856,    19 902,    16 954,    174 351,    49 839,    99 952,    24 560,,,  51,    279 223,    38 81 5,    127 408,    94 048,    18 952,    229 867,    130 004,    61 634,    23 655,    8 955,    5 073
  52,    974 101,    10 938,    36 51 3,    19 570,    16 943,    156 534,    44 295,    90 537,    21702,,,  52,    271 355,    37 846,    124 921,    90 761,    17 827,    239 842,    142 196,    69 868,    28 621,    11 479,    6 755
  53,    956 338,    11 110,    35 271,    19 127,    16 144,    136 206,    38 447,    78 965,    18 794,,,  53,    250 094,    34 640,    116 182,    83 294,    1 5 978,    239 431,    150 1 51,    77 773,    33 796,    13 963,    8 543
  54,    970 419,    11 957,    35 634,    19 392,    16 242,    123 021,    34 456,    71 679,    16 886,,,  54,    236 884,    33 210,    110 286,    78 535,    14 853,    246 187,    162 466,    87 670,    39 293,    16 984,    10 323
55—59岁,    4 224 583,    71 443,    171 693,    94 315,    77 378,    408 086,    110 622,    241 373,    56 091,,,55-59岁,    794 045,    110 645,    371 322,    264 072,    48 006,    1 003 589,    817 300,    508 761,    251 085,    117 398,    81 183
  55,    942 957,    12 723,    35 596,    19 510,    16 086,    106 849,    29 661,    62 653,    14 535,,,  55,    210 203,    29 401,    98 192,    69 836,    12 774,    238 107,    169 388,    94 754,    43 639,    19 351,    12 347
  56,    907 574,    13 843,    35 093,    19 178,    15 91 5,    92 193,    25 089,    54 600,    12 504,,,  56,    182 514,    25 298,    85 739,    60 425,    11 052,    224 326,    171 979,    102 022,    48 820,    22 214,    14 570
  57,    872 137,    14 722,    34 973,    19 162,    1 5 81 1,    81 480,    22 013,    48 234,    11233,,,  57,    160 504,    22 609,    75 028,    53 392,    9 475,    207 988,    171 672,    107 350,    52 033,    24 483,    16 932
  58,    770 048,    14 571,    32 651,    18 005,    14 646,    67 038,    17 966,    39 705,    9 367,,,  58,    129 005,    17 826,    60 198,    43 071,    7 910,    174 881,    155 616,    101 838,    51 960,    24 922,    17 566
  59,    731 867,    15 584,    33 380,    18 460,    14 920,    60 526,    15 893,    36 181,    8 452,,,  59,    11 1 819,    15 511,    52 165,    37 348,    6 795,    158 287,    148 645,    102 797,    54 633,    26 428,    19 768
60—64岁,    3 225 098,    100 794,    188 776,    105 573,    83 203,    259 140,    65 783,    1 56 171,    37 186,,,60—64岁,    412 580,    55 681,    189 675,    140 996,    26 228,    606 766,    626 084,    482 443,    281 055,    149 643,    117 817
  60,    747 224,    17 772,    36 837,    20 480,    16 357,    59 893,    15 529,    35 930,    8 434,,,  60,    106 003,    14 630,    48 944,    35 888,    6 541,    155 483,    151 969,    108 983,    58 963,    29 626,    21 695
  61,    673 318,    18 509,    36 275,    20 178,    16 097,    53 193,    13 613,    31 999,    7 581,,,  61,    88 138,    11975,    40 802,    29 839,    5 522,    131 615,    134 451,    101 125,    57 889,    29 644,    22 479
  62,    665 100,    20 726,    38 812,    21 610,    17 202,    52 470,    13 352,    31 568,    7 550,,,  62,    82 776,    11 281,    38 083,    28 035,    5 377,    123 112,    128 974,    101 347,    59 799,    31 799,    25 285
  63,    580 443,    20 639,    37 1 89,    20 818,    16 371,    46 325,    11475,    28 083,    6 767,,,  63,    69 144,    9 114,    31 575,    23 936,    4 519,    102 542,    109 724,    88 023,    53 345,    29 726,    23 786
  64,    559 01 3,    23 148,    39 663,    22 487,    17 176,    47 259,    1 1 814,    28 591,    6 854,,,  64,    66 519,    8 681,    30 271,    23 298,    4 269,    94 014,    100 966,    82 965,    51 059,    28 848,    24 572
