表9—10  全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
    24,    27 580,    6 319,    229.12,    2 553,    92.57,    2 561,    92.86,    1 018,    36.91,    154,    5.58,    33,    1．20
  25—29岁,    158 770,    24 088,151.72,    4 843,    30.50,    10 013,    63.07,    6 499,    40.93,    2 123,    13.37,    610,    3.84
    25,    30 192,    6 142,    203.43,    1 823,    60.38,    2 727,    90.32,    1 269,    42.03,    265,    8.78,    58,    1.92
    26,    37 528,    6 679,    177.97,    1 501,    40.00,    2 849,    75.92,    1 780,    47.43,    445,    11.86,    104,    2.77
    27,    29 689,    4 545,    153.09,    719,    24.22,    1 858,    62.58,    1 392,    46.89,    457,    15.39,    119,    4．01
    28,    24 900,    3 071,    123.33,    417,    16.75,    1 183,    47.51,    952,    38.23,    394,    1 5.82,    125,    5.02
    29,    36 461,    3 651,    100.13,    383,    10.50,    1 396,    38.29,    1 106,    30.33,    562,    15.41,    204,    5.60
  30-34岁,    320 573,    17 11 1,    53.38,    1 011,    3．15,    5 747,    17.93,    5 141,    16.04,    3 244,    10．12,    1 968,    6．14
    30,    42 360,    3 406,    80.41,    242,    5.71,    1 283,    30.29,    1 073,    25.33,    562,    13.27,    246,    5.81
    31,    62 049,    4 214,    67.91,    266,    4.29,    1 456,    23.47,    1 322,    21.31,    805,    12.97,    365,    5.88
    32,    66 031,    3 739,    56.62,    207,    3.13,    1 276,    19.32,    1 108,    16.78,    703,    10.65,    445,    6.74
    33,    68 892,    2 948,    42.79,    150,    2.18,    939,    13.63,    848,12.31,    571,    8.29,    440,    6.39
    34,    81 241,    2 804,    34.51,    146,    1.80,    793,    9.76,    790,    9.72,    603,    7.42,    472,    5.81
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  35—39岁,    393 205,    7 145,    18.17,    370,    0.94,    1 659,    4.22,    2 036,    5.18,    1 528,    3.89,    1 552,    3.95
    35,    82 290,    2 285,    27.77,    122,    1.48,    598,    7.27,    662,    8.04,    485,    5.89,    418,    5.08
    36,    81 716,    1 708,    20.90,    81,    0.99,    427,    5.23,    499,    6.11,    362,    4.43,    339,    4.15
    37,    82 419,    1 373,    16.66,    69,    0.84,    329,    3.99,    402,    4.88,    273,    3.31,    300,    3.64
    38,    71 838,    1 009,    14.05,    50,    0.70,    180,    2.51,    282,    3.93,    234,    3.26,    263,    3.66
    39,    74 942,    770,    10.27,    48,    0.64,    125,    1.67,    191,    2.55,    174,    2.32,    232,    3.10
  40—44岁,    310 688,    1 408,    4.53,    87,    0．28,    168,    0.54,    297,    0.96,    321,    1.03,    535,    1.72
    40,    63 245,    458,    7.24,    29,    0.46,    54,    0.85,    104,    1.64,    1 13,    1.79,    158,    2.50
    41,    60 777,    327,    5.38,    21,    0.35,    48,    0.79,    65,    1.07,    78,    1.28,    115,    1.89
    42,    61 180,    254,    4.15,    16,    0.26,    26,    0.42,    61,    1.00,    44,    0．72,    107,    1.75
    43,    60 914,    194,    3.18,    8,    0.13,    25,    0.41,    36,    0.59,    45,    0.74,    80,    1.31
    44,    64 572,    175,    2.71,    13,    0.20,    15,    0.23,    31,    0.48,    41,    0.63,    75,    1.16
  45—49岁,    408 128,    546,    1.34,    23,    0.06,    64,    0.16,    84,    0.21,    134,    0.33,    241,    0.59
    45,    66 743,    153,    2.29,    9,    0.13,    17,    0.25,    19,    0.28,    33,    0.49,    75,    1.12
    46,    69 926,    108,    1.54,    3,    0.04,    18,    0.26,    26,    0.37,    18,    0.26,    43,    0.61
    47,    81 046,    106,    1.31,    4,    0.05,    7,    0.09,    15,    0.19,    36,    0.44,    44,    0.54
    48,    90 375,    92,    1.02,    2,    0．02,    12,    0.13,    9,    0.10,    23,    0.25,    46,    0.51
