表9—16  全国1989年育龄妇女分年龄、行业门类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    32,    5 684 383,    378 893,    66.66,    12 542,    2.21,    127 233,    22.38,    126 231,    22.21,    70 181,    12.35,    42 706,    7.51
    33,    5 536 239,    298 311,    53.88,    9 491,    1.71,    90 884,    16.42,    97 321,    17.58,58 112,    10．50,    42 503,    7.68
    34,    6 135 285,    264 567,    43.12,    7 878,    1.28,    71 178,    11.60,    83 164,    13.56,    54 033,    8.81,    48 314,    7.87
  35—39岁,    26 611 976,    621 200,    23.34,    18 122,    0．68,    118 542,    4.45,    173 955,    6.54,    138288,    5.20,    172 293,    6.47
    35,    5 871 205,    199 366,    33.96,    5 770,    0.98,    46 961,    8．00,    60 809,    10.36,    42 707,    7.27,    43 119,    7.34
    36,    5 625 051,    150 724,    26.80,    4 260,    0．76,    30 418,    5.41,    44 053,    7.83,    33 577,    5.97,    38 416,    6.83
    37,    5 542 437,    119 502,    21.56,    3 430,    0.62,    20 829,    3.76,    33 008,    5.96,27 348,    4.93,    34 887,    6.29
    38,    4 716 576,    81 307,    17.24,    2 423,    0.51,    12 063,    2.56,    20 829,    4.42,    18 986,    4.03,    27 006,    5.73
    39,    4 856 707,    70 301,    14.48,    2 239,    0.46,    8 271,    1.70,    15 256,    3.14,    15 670,    3.23,    28 865,    5.94
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9--16全国1989年育龄妇女分年龄、行业门类和孩次的生育状况(续02),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
,,,,  出生数,    生育率,,,,,,,,
  40-44岁,  18 644 081,    131 305,    7.04,    4 487,    0.24,    11 775,    0.63,    22 245,    1.19,    28 224,    1.51,    64 574,    3.46
    40,    4 153 154,    42 755,    10.29,    1 312,    0.32,    4 222,    1.02,    8 414,    2.03,    9 887,    2.38,    18 920,    4.56
    41,    3 935 984,    32 315,    8.21,    1 025,    0.26,    2 855,    0．73,    5 740,    1.46,    7 038,    1.79,    15 657,    3.98
    42,    3 774 112,    23 707,    6.28,    847,    0.22,    1987,    0．53,    3 697,    0.98,    5 017,    1.33,    12 159,    3.22
    43,    3 506 018,    18 122,    5.17,    766,    0.22,    1 546,    0.44,    2 584,    0.74,    3 611,    1.03,    9 615,    2.74
    44,    3 274 813,    14 406,    4.40,    537,    0.16,    1 165,    0.36,    1 810,    0.55,    2 671,    0.82,    8 223,    2.51
  45-49岁,    13 806 552,    28 361,    2.05,    1 340,    0.10,    2 244,    0.16,    3 540,    0.26,    5 588,    0.40,    15 649,    1.13
