表9—19  全国镇按年龄和活产子女数分的15——64岁妇女人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,
  54,    325 276,    4 628,    9 508,    5 442,    4 066,    25 182,    7 006,    15 132,    3 044,,,  54,    62 440,    8 684,    30 814,    19 764,    3 178,    84 032,    67 034,    40 369,    18 975,    8 200,    4 908
55-59岁,    1 354 165,    27 896,    47 195,    27 299,    19 896,    91 646,    24 538,    55 257,    1 1 851,,,55-59岁,    201 988,    28 194,    98 021,    65 241,    10 532,    302 271,    284 804,    201 144,    107 529,    53 238,    36 454
  55,    307 339,    5 188,    9 302,    5 411,    3 891,    22 149,    6 208,    13 164,    2 777,,,  55,    53 259,    7 517,    26 175,    16 914,    2 653,    76033,    64 678,    41 486,    20 426,    9 139,    5 679
  56,    295 605,    5 462,    9 720,    5 620,    4 100,    20 013,    5 312,    12162,    2 539,,,  56,    46 699,    6 599,    22 751,    14 947,    2 402,    69 314,    62 851,    42 637,    21 914,    10 272,    6 723
  57,    276 246,    5 696,    9 614,    5 487,    4 127,    18 243,    4 927,    10 985,    2 331,,,  57,    40 112,    5 604,    19 528,    12 904,    2 076,    60 642,    58 890,    41 624,    22 519,    11 249,    7 657
  58,    243 054,    5 535,    9 114,    5 282,    3 832,    15 818,    4 148,    9 627,    2 043,,,  58,    32 457,    4 475,    15 580,    10 647,    1 755,    50 806,    50 976,    38 318,    21 341,    10 954,    7 735
  59,    231 921,    6 015,    9 445,    5 499,    3 946,    15 423,    3 943,    9 319,    2 161,,,  59,    29 461,    3 999,    13 987,    9 829,    1 646,    45 476,    47 409,    37 079,    21 329,    11 624,    8 660
60-64岁,    1 003 488,    37 851,    56 815,    33 598,    23 217,    73 231,    18 317,    44 351,    10 563,,,60—64岁,    114 654,    15 286,    52 652,    39 601,    7 115,    171 863,    187 311,    156 369,    98 818,    57 193,    49 383
  60,    233 954,    6 975,    10 921,    6 451,    4 470,    1 5 862,    3 998,    9 607,    2 257,,,  60,    27 944,    3 777,    13 269,    9 365,    1 533,    43 408,    46 347,    37 641,    22 623,    12 323,    9 910
  61,    207 493,    7 012,    10 707,    6 280,    4 427,    14 478,    3 656,    8 788,    2 034,,,  61,    23 676,    3 170,    10 749,    8 267,    1 490,    36 332,    39 983,    33 403,    20 621,    11659,    9 622
  62,    207 973,    7 691,    11 831,    7 028,    4 803,    15 051,    3 650,    9 204,    2 197,,,  62,    23 193,    3 095,    10 612,    7 982,    1 504,    35 101,    38 627,    32 767,    20 759,    12 264,    10 689
  63,    181 906,    7 776,    11 370,    6 731,    4 639,    13 847,    3 463,    8 392,    1 992,,,  63,    20 251,    2 713,    9 157,    7 046,    1 335,    29 581,    32 619,    27 503,    18 211,    10 896,    9 852
  64,    172 162,    8 397,    11986,    7 108,    4 878,    13 993,    3 550,    8 360,    2 083,,,  64,    19 590,    2 531,    8 865,    6 941,    1 253,    27 441,    29 735,    25 055,    16 604,    10 051,    9 310
