表9—11  全国县1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  15—19岁,    22 192 427,    679 300,    30.61,    600 161,    27.04,    74 203,    3.34,    4 449,    0.20,    398,    0.02,    89,    0.00
    15,    4 278 652,    3 756,    0.88,    3 614,    0.84,    113,    0.03,    12,    0.00,    10,    0.00,     7,    0.00
    16,    4 292 971,    18 861,    4.39,    18 108,    4.22,    707,    0.16,    27,    0.01,    10,    0.00,    9,    0.00
    17,    4 286 749,    65 938,    15.38,    61 887,    14.44,    3 861,    0.90,    164,    0.04,    16,    0.00,    10,    0.00
    18,    4 606 066,    180 569,    39.20,    163 990,    35.60,    15 912,    3.45,    608,    0.13,    49,    0.01,    10,    0.00
    19,    4 727 989,    410 176,    86.75,    352 562,    74.57,    53 610,    11.34,    3 638,    0.77,    313,    0.07,    53,    0.01
  20—24岁,    20 306 024,    4 610 005,    227.03,    2 821 761,    138.96,    1 467 282,    72.26,    282 234,    13.90,    34 024,    1.68,    4 704,    0．23
    20,    4 839 011,    779 309,    161.05,    633 211,    130.86,    134 206,    27.73,    11 061,    2.29,    755,    0.16,    76,    0.02
    21,    4 247 451,    942 318,    221．85,    698 556,    164.46,    217 160,    51.13,    24 252,    5.71,    2 075,    0.49,    275,    0.06
    22,    3 847 397,    991 348,    257.67,    621 645,    161.58,    316 599,    82.29,    48 061,    12.49,    4 562,    1.19,    481,    0.13
    23,    3 904 785,    1 037 610,    265.73,    534 158,    136.80,    408 041,    104.50,    84 551,    21.65,    9 695,    2.48,    1 165,    0.30
    24,    3 467 380,    859 420,    247.86,    334 191,96.38,    391 276,    112.84,    114 309,    32.97,    16 937,    4.88,    2 707,    0.78
  25—29岁,    1 1 905 363,    2 053 467,    172.48,    379 562,    31.88,    967 260,    81.25,    525 959,    44.18,    142 867,    12.00,    37 819,    3.18
    25,    3 245 238,    701 080,    216.03,    188 1 10,    57.96,    345 330,    106.41,    137 524,    42.38,    25 951,    8.00,    4 165,    1.28
    26,    3 314 950,    611 739,    184.54,    111 336,    33.59,    298 748,    90.12,    157 580,    47.54,    37 107,    11.19,    6 968,    2.10
    27,    2 073 110,    339 098,    163.57,    45 375,    21.89,    1 53 581,    74.08,    102 041,    49.22,    30 407,    14.67,    7 694,    3.71
    28,    1 430 125,    192 315,    134.47,    19 691,    13.77,    83 180,    58.16,    61 221,    42.81,    21 617,    15.12,    6 606,    4.62
    29,    1 841 940,    209 235,    113.59,    15 050,    8.17,    86 421,    46.92,    67 593,    36.70,    27 785,    15.08,    12 386,    6.72
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30-34岁,    13 672 764,    824 881,    60.33,    31 237,    2.28,    289 986,    21.21,    271 888,    19.89,    143 084,    10.46,    88 686,    6.49
    30,    1 958 818,    183 115,    93.48,    8 927,    4.56,    72 920,    37.23,    60 979,    31.13,    27 679,    14.13,    12 610,    6.44
    31,    2 752 337,    207 726,    75.47,    8 148,    2.96,    78 354,    28.47,    68 590,    24.92,    34 505,    12.54,    18 129,    6.59
    32,    2 834 026,    170 660,    60.22,    5 888,    2.08,    58 888,    20.78,    57 337,    20.23,    30 500,    10.76,    18 047,    6.37
    33,    2 860 053,    138 303,    48.36,    4 420,    1.55,    43 970,    15.37,    45 454,    15.89,    26 003,    9.09,    18 456,    6.45
    34,    3 267 530,    125 077,    38.28,    3 854,    1.18,    35 854,    10.97,    39 528,    12.10,    24 397,    7.47,    21 444,    6.56
  35—39岁,    14 756 271,    294 984,    19.99,    8 982,    0.61,    62 117,    4.21,    86 116,    5.84,    63 430,    4.30,    74 339,    5.04
    35,    3 179 155,    95 097,    29.91,    2 857,    0.90,    24 366,    7.66,    29 855,    9.39,    19 409,    6.11,    18 610,    5.85
    36,    3 067 790,    71 696,    23.37,    2 174,    0.71,    16 119,    5.25,    21 831,    7.12,    15 263,    4.98,    16 309,    5.32
    37,    3 063 433,    56 828,    18.55,    1 726,    0.56,    11 042,    3.60,    16 486,    5.38,    12 482,    4.07,    15 092,    4.93
    38,    2 658 711,    38 054,    14.31,    1 179,    0.44,    6 272,    2.36,    10 339,    3.89,    8 843,    3.33,    11 421,    4.30
    39,    2 787 182,    33 309,    11．95,    1 046,    0．38,    4 318,    1.55,    7 605,    2.73,    7 433,    2.67,    12 907,    4.63
  40-44岁,    10 190 978,    56 964,    5.59,    2 043,    0.20,    5 738,    0.56,    10 783,    1.06,    12 924,    1.27,    25 476,    2.50
    40,    2 388 062,    19 458,    8.15,    626,    0.26,    2 163,    0.91,    4 201,    1.76,    4 674,    1.96,    7 794,    3.26
    41,    2 250 233,    14 141,    6.28,    504,    0.22,    1 403,    0.62,    2 806,    1.25,    3 219,    1.43,    6 209,    2.76
    42,    2 101 194,    10 074,    4.79,    398,    0.19,    951,    0.45,    1 793,    0.85,    2 285,    1.09,    4 647,    2.21
    43,    1 847 420,    7 427,    4.02,    311,    0.17,    700,    0.38,    1 201,    0.65,    1 590,    0．86,    3 625,    1.96
    44,    1 604 069,    5 864,    3.66,    204,    0.13,    521,    0．32,    782,    0．49,    1 156,    0.72,    3 201,    2.00
  45—49岁,    5 765 743,    10 249,    1.78,    461,    0.08,    863,    0.15,    1 435,    0.25,    2 238,    0.39,    5 252,    0．91
    45,    1 389 674,    3 450,    2.48,    135,    0.10,    278,    0.20,    464,0.33,    759,    0.55,    1 814,    1.31
    46,    1 199 272,    2 261,    1.89,    105,    0.09,    185,    0.15,    335,    0.28,    509,    0.42,    1 127,    0.94
    47,    1 153 338,    1 882,    1.63,    82,0.07,    167,    0.14,    271,    0.23,    391,    0.34,    971,    0.84
    48,    1 068 708,    1 430,    1.34,    79,    0.07,    132,    0．12,    211,    0.20,    314,    0．29,    694,    0.65
    49,    954 751,    1 226,    1．28,    60,    0.06,    101,    0.11,    154,    0.16,    265,    0.28,    646,    0．68
初中,    55 719 624,    6 086 776,    109.24,    3 150 689,    56.55,  2 072 554,    37.20,    660 367,    11.85,    152 577,    2.74,    50 589,    0.91
  15-19岁,    16 665 373,    264 804,    15.89,    244 949,    14.70,    18 786,    1．13,    972,    0.06,    70,    0.00,    27,    0.00
    15,    3 607 718,    763,    0．21,    714,    0.20,    34,    0.01,    9,    0.00,    4,    0.00,    2,    0.00
    16,    3 470 097,    4 447,    1.28,    4 314,    1.24,    120,    0.03,    8,    0.00,    2,    0.00,    3,    0.00
    17,    3 174 402,    19 448,    6.13,    18 689,    5.89,    716,    0.23,    36,    0.01,    2,    0.00,    5,    0.00
    18,    3 231 060,    63 804,    19.75,    60 234,    18.64,    3 433,    1.06,    123,    0.04,     7,    0.00,    7,    0.00
    19,    3 182 096,    176 342,    55.42,    160 998,    50.59,    14 483,    4.55,    796,    0.25,    55,    0.02,    10,    0．00
  20—24岁,    16 559 044,    3 447 890,    208.22,    2 394 890,    144.63,    907 088,    54.78,    131 818,    7.96,    12 723,    0.77,    1 371,    0．08
    20,    3 340 261,    408 733,    122.37,    361 352,    108.18,    44 437,    13.30,    2 727,    0.82,    193,    0．06,    24,    0.01
    21,    3 126 611,    581 097,    185.86,    484 316,    154.90,    89 227,    28.54,    7 001,    2.24,    498,    0.16,    55,    0.02
    22,    3 093 090,    726 825,    234.98,    541 130,    174.95,    166 930,    53.97,    17 358,    5.61,    1 271,    0．41,    136,    0.04
    23,    3 546 728,    899 256,    253.55,    581 280,    163.89,    275 987,    77.81,    38 338,    10.81,    3 344,    0.94,    307,    0.09
    24,    3 452 354,    831 979,    240.99,    426 812,    123.63,    330 507,    95.73,    66 394,    19.23,    7 417,    2.15,    849,    0.25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
,,,,  出生数,    生育率,,,,,,,,
  25—29岁,    10 904 860,    1 900 438,    174.27,    488 863,    44.83,    948 314,    86.96,    375 854,    34.47,    74 165,    6.80,    13 242,    1.21
    25,    3 431 165,    714 252,    208.17,    257 956,    75.18,    343 720,    100.18,    97 321,    28.36,    13 599,    3.96,    1 656,    0.48
    26,    3 456 465,    617 838,    178.75,    151 296,    43.77,    318 704,    92.21,    123 512,    35.73,    21 297,    6.16,    3 029,    0.88
    27,    1 806 142,    290 576,    160.88,    49 619,    27.47,    147 691,    81．77,    73 773,    40.85,    16 532,    9.15,    2 961,    1.64
    28,    1 053 065,    141 729,    134.59,    17 891,    16.99,    70 639,    67.08,    40 279,    38.25,    10 685,    10.15,    2 235,    2.12
    29,    1 158 023,    136 043,    117.48,    12 101,    10.45,    67 560,    58.34,    40 969,    35.38,    12 052,    10.41,    3 361,    2.90
  30—34岁,    5 379 345,    388 684,    72.25,    18 338,    3.41,    173 669,    32.28,    126 043,    23.43,    49 858,    9.27,    20 776,    3.86
    30,    1 037 003,    104 834,    101.09,    6 137,    5.92,    50 788,    48.98,    33 103,    31.92,    11 375,    10.97,    3 431,    3.31
    31,    1 261 367,    106 766,    84.64,    4 939,    3.92,    49 879,    39.54,    34 292,    27.19,    12 951,    10.27,    4 705,    3.73
    32,    1 135 463,    78 553,    69.18,    3 339,    2.94,    33 923,    29.88,    25 937,    22.84,    10 784,    9.50,    4 570,    4.02
    33,    987 188,    55 392,    56.11,    2 211,    2.24,    22 624,    22.92,    18 535,    18.78,    8 096,    8.20,    3 926,    3.98
    34,    958 324,    43 139,    45.02,    1 712,    1.79,    16 455,    17.17,    14 176,    14.79,    6 652,    6.94,    4 144,    4.32
  35—39岁,    3 075 190,    73 606,    23.94,    2 940,    0.96,    22 974,    7.47,    23 111,    7.52,    13 210,    4.30,    11 371,    3.70
    35,    801 868,    28 258,    35.24,    1 104,    1.38,    9 832,    12.26,    9 207,    11．48,    4 743,    5.91,    3 372,    4.21
    36,    676 771,    18 435,    27.24,    751,    1.11,    6 034,    8.92,    5 832,    8.62,    3 194,    4.72,    2 624,    3.88
    37,        613 556,    12 927,    21.07,    472,    0.77,    3 772,    6.15,    3 992,    6.51,    2 447,    3.99,    2 244,    3.66
    38,    498 504,    7 855,    15.76,    334,    0．67,    2 060,    4.13,    2 408,    4.83,    1 597,    3.20,    1 456,    2.92
    39,    484 491,    6 131,    12.65,    279,    0．58,    1 276,    2.63,    1 672,    3.45,    1 229,    2.54,    1 675,    3.46
  40—44岁,    1 913 102,    9 435,    4.93,    557,    0.29,    1 491,    0.78,    2 212,    1.16,    2 087,    1.09,    3 088,    1.61
    40,    383 788,    3 217,    8.38,    163,    0.42,    579,    1.51,    850,    2.21,    744,    1.94,    881,    2.30
    41,    365 103,    2 159,    5.91,    98,    0.27,    321,    0.88,    565,    1.55,    459,    1.26,    716,    1.96
    42,    385 924,    1 652,    4.28,    130,    0.34,    246,    0.64,    352,    0.91,    364,    0.94,    560,    1.45
    43,    397 282,    1 323,    3.33,    104,    0.26,    204,    0.51,    253,    0.64,    298,    0.75,    464,    1.17
    44,    381 005,    1 084,    2.85,    62,    0．16,    141,    0.37,    192,    0．50,    222,    0.58,    467,    1.23
  45—49岁,    1 222 710,    1 919,    1.57,    152,    0.12,    232,    0.19,    357,    0.29,    464,    0.38,    714,    0.58
    45,    338 046,    643,    1.90,    49,    0.14,    87,    0.26,    114,    0.34,    135,    0.40,    258,    0.76
    46,    288 890,    451,    1.56,    32,    0.11,    50,    0.17,    94,    0.33,    114,    0.39,    161,    0.56
