表9—8  全国1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    18,    5 086 330,    196 622,    38.66,    178 698,    35.13,    17 202,    3.38,    657,    0.13,    52,    0.01,    13,    0.00
    19,    5 239 002,    447 841,    85.48,    385 715,    73.62,    57 840,    11.04,    3 894,    0.74,    335,    0.06,    57,    0.01
  20-24岁,    22 636 210,    5 069 015,    223.93,    3 136 581,    138.56,    1 589 215,    70.21,    301 960,    13.34,    36 278,    1．60,    4 981,    0.22
    20,    5 378 787,    853 530,    158.68,    695 790,    129.36,    144 984,    26.95,    11 862,    2.21,    811,    0.1 5,    83,    0.02
    21,    4 722 827,    1034 055,    218.95,    771 013,    163.25,    234 639,    49.68,    25 891,    5.48,    2 220,    0.47,    292,    0.06
    22,    4 280 443,    1 088 069,    254.20,    689 005,    160.97,    342 344,    79.98,    51 342,    11．99,    4 865,    1.14,    513,    0.12
    23,    4 364 462,    1 144 425,    262.21,    600 066,    137.49,    442 306,    101.34,    90 486,    20.73,    10 331,    2.37,    1 236,    0.28
    24,    3 889 691,    948 936,    243.96,    380 707,    97.88,    424 942,    109.25,    122 379,    31.46,    18 051,    4.64,    2 857,    0.73
  25-29岁,    1 3 627 395,    2 280 864,    167.37,    446 324,    32.75,    1 072 890,    78.73,    567 720,    41.66,    153 651,    11.28,    40 279,    2.96
    25,    3 656 067,    774 193,    211.76,    217 549,    59.50,    377 111,    103.15,    147 424,    40.32,    27 679,    7.57,    4 430,    1.21
    26,    3 758 039,    676 921,    180.13,    131 434,    34.97,    329 174,    87.59,    169 182,    45.02,    39 719,    10.57,    7 412,    1.97
    27,    2 359 727,    376 265,    1 59.45,    54 029,    22.90,    171 129,    72.52,    110 260,    46.73,    32 633,    13.83,    8 214,    3.48
    28,    1 670 164,    215 937,    129.29,    24 209,    14.49,    94 586,    56.63,    66 665,    39.92,    23 419,    14.02,    7 058,    4.23
    29,    2 183 398,    237 548,    108.80,    19 103,    8.75,    100 890,    46.21,    74 189,    33.98,    30 201,    13.83,    13 165,    6.03
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30-34岁,    16 441 478,    948 333,    57.68,    41 338,    2.51,    354 897,    21.59,    301 101,    18.31,    155 750,    9.47,    95 247,    5.79
    30,    2 338 519,    210 110,    89.85,    11 753,    5.03,    87 398,    37.37,    67 268,    28.77,    30 156,    12.90,    13 535,    5.79
    31,    3 286 817,    238 726,    72.63,    10 675,    3.25,    95 301,    28.99,    75 787,    23.06,    37 522,    11.42,    19 441,    5.91
    32,    3 387 794,    196 177,    57.91,    7 806,    2.30,    72 338,    21.35,    63 385,    18.71,    33 202,    9.80,    19 446,    5.74
    33,    3 452 509,    159 420,    46.18,    5 961,    1.73,    54 798,    15.87,    50 557,    14.64,    28 261,    8.19,    19 843,    5.75
    34,    3 975 839,    143 900,    36.19,    5 143,    1.29,    45 062,    11.33,    44 104,    11.09,    26 609,    6.69,    22 982,    5.78
  35-39岁,    18 470 540,    337 167,    18.25,    12 025,    0.65,    79 825,    4.32,    96 752,    5.24,    69 124,    3.74,    79 441,    4.30
    35,    3 915 668,    109 544,    27.98,    3 872,    0.99,    31 183,    7.96,    33 438,    8.54,    21 169,    5.41,    19 882,    5.08
    36,    3 818 381,    82 299,    21.55,    2 900,    0.76,    20 811,    5.45,    24 465,    6.41,    16 614,    4.35,    17 509,    4.59
    37,    3 822 807,    64 725,    16.93,    2 283,    0．60,    14 215,    3.72,    18 523,    4.85,    13 567,    3.55,    16 137,    4.22
    38,    3 356 564,    43 319,    12.91,    1 602,    0.48,    8 129,    2.42,    11 705,    3.49,    9 674,    2.88,    12 209,    3.64
    39,    3 557 120,    37 280,    10.48,    1 368,    0.38,    5 487,    1.54,    8 621,    2.42,    8 100,    2.28,    13 704,    3.85
  40-44岁,    13 209 732,    63 248,    4.79,    2 621,    0.20,    7 115,    0.54,    12 215,    0．92,    14 276,    1.08,    27 021,    2.05
    40,    3 073 496,    21 726,    7.07,    851,    0.28,    2 750,    0.89,    4 743,    1.54,    5 116,    1.66,    8 266,    2.69
    41,    2 912 422,    15 692,    5.39,    642,    0.22,    1 725,    0．59,    3 162,    1.09,    3 567,    1.22,    6 596,    2.26
    42,    2 730 007,    11 200,    4.10,    506,    0.19,    1 184,    0.43,    2 060,    0.75,    2 527,    0.93,    4 923,    1.80
    43,    2 394 939,    8 230,    3.44,    377,    0.16,    839,    0.35,    1 362,    0.57,    1 785,    0．75,    3 867,    1.61
    44,    2 098 868,    6 400,    3.05,    245,    0.12,    617,    0.29,    888,    0.42,    1 281,    0.61,    3 369,    1.61
  45-49岁,    8 118 314,    11 843,    1.46,    532,    0．07,    1 070,    0.13,    1 824,    0.22,    2 694,0.33,    5 723,    0.70
    45,    1 843 042,    3 861,    2.09,    154,    0.08,    340,    0.18,    548,    0.30,    878,    0.48,    1 941,    1.05
    46,    1 644 648,    2 611,    1.59,    119,    0.07,    236,    0.14,    423,    0.26,    602,    0.37,    1 231,    0.75
    47,    1 626 002,    2 190,    1.35,    99,    0.06,    208,    0.13,    352,    0.22,    474,    0．29,    1 057,    0．65
    48,    1 557 120,    1 695,    1.09,    91,    0．06,    166,    0.11,    279,    0.18,    387,    0.25,    772,    0.50
    49,    1 447 502,    1 486,    1.03,    69,    0.05,    120,    0.08,    222,    0.15,    353,    0.24,    722,    0.50
