表9-7全国县按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表9-7全国县按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,,    1990年 上半年,,,,,,,,,,,
,    合,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,  男,  女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,总计,    450 246,    254 877,    195 369,    303 493,    170 282,    133 211,    10 410 901,  5 545 613,  4 865 288,  4 856 951,  2 485 835, 2 371 116,  3 383 730,  1 847 731,1 535 999,,,总计,    1 410 349,    780 292,    630 057,    472 775,    268 965,    203 810,    287 096,    162 790,    124 306,  8 126 599,  4 356 806,  3 769 793,  3 585 155,  1 840 004,1 745 151,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  27,    2 279 171,    1 247 818,    1 031 353,    821 273,    447 798,    373 475,    188 443,    94 398,    94 045,    405 900,    225 016,    180 884,    180 914,    102 199,    78 715,,,30-34岁,    172 185,    99 108,    73 077,    95 203,    53 989,    41 214,    1 028 761,    566 512,    462 249,    51 189,    23 089,    28 100,    366 039,    199 407,    166 632,,,30-34岁,    338 127,    186 673,    151 454,    174 365,    100 449,    73 916,    99 041,    56 894,    42 147,    778 781,    431 571,    347 210,    36 884,    17 068,    19 816,,,  29,    84 490,    47 196,    37 294,    57 170,    32 587,    24 583,    23 588,    13 607,    9 981,    8 880,    5 034,    3 846
  28,    1 233 739,    677 487,    556 252,    452 325,    247 889,    204 436,    72 056,    35 137,    36 919,    214 096,    118 759,    95 337,    123 531,    69 808,    53 723,,,  30,    32 715,    18 739,    13 976,    14 329,    8 011,    6 318,    251 746,    138 263,    113 483,    19 087,    8 781,    10 306,    102 211,    56 093,  46 118,,,  30,    82 035,    45 862,    36 173,    34 096,    19 494,    14 602,    14 317,    8 033,    6 284,    201 451,    111 849,    89 602,    13 344,    6 266,    7 078,,,30-34岁,    287 857,    158 231,    129 626,    236 448,    131 138,    105 310,    129 570,    75 084,    54 486,    88 022,    50 050,    37 972
  29,    686 647,    378 453,    308 194,    254 847,    139 789,    115 058,    29 807,    14 005,    15 802,    115 575,    64 250,    51 325,    76 883,    43 122,    33 761,,,  31,    32 173,    18 585,    13 588,    14 480,    8 172,    6 308,    212 443,    117 684,    94 759,    10 789,    4 914,    5 875,    80 881,    44 472,  36 409,,,  31,    70 667,    39 379,    31 288,    34 153,    19 790,    14 363,    1 5 953,    9 129,    6 824,    161 141,    89 777,    71 364,    7 458,    3 459,    3 999,,,  30,    86 688,    48 359,    38 329,    59 187,    33 144,    26 043,    27 576,    15 873,    11 703,    14 656,    8 207,    6 449
30-34岁,    2 941 536,    1 623 147,    1 318 389,    1 133 994,    625 064,    508 930,    59 121,    27 040,    32 081,    440 654,    241 370,    199 284,    366 831,    203 557,    163 274,,,  32,    40 496,    23 440,    17 056,    21289,    12 194,    9 095,    232 582,    128 422,    104 160,    9 497,    4 244,    5 253,    81 837,    44 724,  37 113,,,  32,    77 041,    42 585,    34456,    41 235,    23 586,    17 649,    22 972,    13 283,    9 689,    172 185,    95 524,    76 661,    6 918,    3 162,    3 756,,,  31,    64 187,    35 577,    28 610,    49 600,    27 637,    21 963,    25 494,    14 871,    10 623,    14 402,    8 233,    6 169
  30,    726 209,    400 432,    325 777,    273 012,    150 320,    122 692,    22 337,    10 395,    11 942,    118 550,    65 441,    53 109,    85 081,    47 734,    37 347,,,  33,    36 241,    20 860,    15 381,    22 346,    12 686,    9 660,    186 358,    102 61 5,    83 743,    6 702,    2 936,    3 766,    58 875,    31 700,  27 175,,,  33,    61 671,    33 740,    27 931,    35 886,    20 750,    15 136,    23 224,    13 489,    9 735,    136 188,    75 088,    61 100,    5 154,    2 353,    2 801,,,  32,    61 643,    33 709,    27 934,    53 257,    29 654,    23 603,    30 224,    17 597,    12 627,    20 143,    11 402,    8 741
  31,    603 542,    334 721,    268 821,    229 958,    127 260,    102 698,    12 462,    5 729,    6 733,    95 772,    52 638,    43 134,    75 071,    42 136,    32 935,,,  34,    30 560,    17 484,    13 076,    22 759,    12 926,    9 833,    145 632,    79 528,    66 104,    5 114,    2 214,    2 900,    42 235,    22 418,  19 817,,,  34,    46 713,    25 107,    21 606,    28 995,    16 829,    12 166,    22 575,    12 960,    9 615,    107 816,    59 333,    48 483,    4 010,    1 828,    2 182,,,  33,    43 764,    23 659,    20 105,    41 971,    23 118,    18 853,    25 609,    14 705,    10 904,    19 690,    11 253,    8 437
  32,    661 379,    365 929,    295 450,    256 612,    141 983,    1 14 629,    10 883,    4 884,    5 999,    99 917,    54 726,    45 191,    84 027,    46 739,    37 288,,,35-39岁,    96 275,    54 233,    42 042,    107 571,    61 040,    46 531,    393 523,    212 195,    181 328,    12 853,    5 650,    7 203,    85 096,    43 939,  41 157,,,35-39岁,    114 020,    59 430,    54 590,    84 421,    47 636,    36 785,    97 133,    55 540,    41 593,    298 329,    161 359,    136 970,    10 560,    4 673,    5 887,,,  34,    31 575,    16 927,    14 648,    32 433,    17 585,      14 848,    20 667,    12 038,    8 629,    19 131,    10 955,    8 176
  33,    531 302,    292 526,    238 776,    208 756,    114 823,    93 933,    7 739,    3 518,    4 221,    73 471,    39 971,    33 500,    68 959,    37 788,    31 171,,,  35,    28 669,    16 451,    12 218,    26 512,    15 006,    11 506,    128 442,    69 878,    58 564,    4 213,    1 870,    2 343,    33 334,    17 492,  15 842,,,  35,    39 678,    21 078,    18 600,    26 529,    15 308,    11 221,    24 688,    14 130,    10 558,    96 953,    52 756,  44 197,    3 407,    1 563,    1 844,,,35-39岁,    64 596,    33 703,    30 893,    80 585,    42 351,    38 234,    60 917,    34 414,    26 503,    81 671,    46 218,    35 453
  34,    419 104,    229 539,    189 565,    165 656,    90 678,    74 978,    5 700,    2 514,    3186,    52 944,    28 594,    24 350,    53 693,    29 160,    24 533,,,  36,    23 096,    13 199,    9 897,    23 871,    13 641,    10 230,    96 606,    52 328,    44 278,    3 122,    1 393,    1 729,    21 997,    11452,  10 545,,,  36,    28 766,    15 1 11,    13 655,    20 564,    11 686,    8 878,    22 157,    12 686,    9 471,    72 878,    39 594,  33 284,    2 539,    1 132,    1 407,,,  35,    25 021,    13 176,    1 1 845,    27 646,    14 751,    12 895,    19 311,    11 081,    8 230,    21568,    12 185,    9 383
 35-39岁,    1 154 547,    624 518,    530 029,    462 695,    250 964,    211 731,    14 590,    6 603,    7 987,    108 038,    57 569,    50 469,    136 221,    71 519,    64 702,,,  37,    18 535,    10 293,    8 242,    21 377,    12 216,    9 161,    72 601,    38 974,    33 627,    2 350,    1018,    1332,    14 360,    7 246,    7 114,,,  37,    20 470,    10 607,    9 863,    15 814,    8 839,    6 975,    19 607,    1 1 264,    8 343,    55 158,    29 709,  25 449,    1 957,    846,    1 111,,,  36,    16 712,    8 784,    7 928,    20 350,    10 738,    9 612,    14 821,    8 412,    6 409,    18 456,    10 528,    7 928
