表9—9  全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  15-19岁,    1 626 725,    43 809,    26.93,    39 385,    24.21,    4 183,    2.57,    219,    0.13,    18,    0．01,    4,    0．00
    15,    268 618,    256,    0.95,    245,    0.91,    8,    0.03,    2,    0．01,    1,    0．00,-,-
    16,    296 485,    1 068,    3.60,    1 030,    3.47,    37,    0.12,    1,    0.00,-,-,-,-
    17,    318 798,    3 869,    12.14,    3 682,    11.55,    181,    0.57,    3,    0.01,    3,    0.01,-,-
    18,    362 193,    1 1 440,    31.59,    10 482,    28.94,    920,    2.54,    35,    0.10,    1,    0.00,    2,    0.01
    19,    380 631,    27 176,    71.40,    23 946,    62.91,    3 037,    7.98,    178,    0.47,    13,    0.03,    2,    0.01
  20-24岁,    1 690 305,    335 589,    198.54,    230 714,    136.49,    89 041,    52.68,    14 125,    8.36,    1 535,    0．91,    174,    0．10
    20,    398 741,    54 926,    137.75,    46 445,    116.48,    7 860,    19.71,    578,    1.45,    39,    0．10,    4,    0．01
    21,    347 015,    67 922,    195.73,    53 691,    154.72,    12 981,    37.41,    1 140,    3.29,    99,    0.29,    11,    0．03
    22,    312 926,    70 895,    226.56,    49 235,    157.34,    19 018,    60.77,    2 426,    7.75,    199,    0.64,    17,    0.05
    23,    330 768,    77 731,    235.00,    47 935,    144.92,    25 007,    75.60,    4 278,    12.93,    459,    1.39,    52,    0．16
    24,    300 855,    64 115,    213.11,    33 408,    111.04,    24 175,    80.35,    5 703,    18.96,    739,    2.46,    90,    0.30
  25-29岁,    1 213 760,    159 780,    131.64,    46 862,    38.61,    74 940,    61.74,    28 966,    23.86,    7 396,    6.09,    1 616,    1.33
    25,    292 240,    51 921,    177.67,    20 813,    71.22,    22 751,    77.85,    6 966,    23.84,    1 212,    4.15,    179,    0．61
