表9-4全国按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,        单位：人,,,,,,,,,,,,,,,,,,  表9-4全国按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续02),,,,,,,,,,,,,,,,,,表9-4全国按妇女的年龄和生育孩次分出生人口数(1989．1．1．-1990．6．30．)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,    合,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,总计,    489 419,    277 512,    211 907,    324 399,    182 227,    142 172, 12 918 596, 6 868 264,  6 050 332,  6 634 047,  3 402 765,  3 231282,  3 918 236,  2 141 851, 1 776 335,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女
  27,    3 000 345,    1 630 208,    1 370 137,    1 094 213,    591 679,    502 534,    378 311,    191 583,    186 728,    469 297,    260 451,    208 846,    197 030,    111 434,    85 596,,,30-34岁,    187 720,    108 178,    79 542,    102 257,    58 053,    44 204,  1 285 301,    705 282,    580 019,    124 960,    59 742,    65 218,    486 344,    265 665,    220 679,,,  29,    84 249,    47 668,    36 581,    30 321,    17 377,    12 944,    9 297,    5 274,    4 023,    244 871,    135 320,    109 551,    42 161,    20 887,    21 274,,,  29,    104 701,    58 380,    46 321,    63 046,    35 953,    27 093,    25 495,    14 725,    10 770,    9 468,    5 375,    4 093
  28,    1 563 330,    853 474,    709 856,    578 006,    314 436,    263 570,    146 841,    73 107,    73 734,    250 164,    138 877,    111 287,    135 1 56,    76 414,    58 742,,,  30,    35 757,    20 539,    15 218,    15 282,    8 549,    6 733,    320 387,    175 224,    145 163,    46 456,    22 529,    23 927,    130 261,    71 697,    58 564,,,30-34岁,    377 671,    209 054,    168 617,    190 030,    109 607,    80 423,    106 296,    61 214,    45 082,    971 757,    535 655,    436 102,    88 929,    42 839,    46 090,,,30-34岁,    384 556,    211 169,    173 387,    263 654,    146 581,    117 073,    140 568,    81 582,    58 986,    94 050,    53 484,    40 566
  29,    889 808,    486 625,    403 183,    333 186,    181 271,    151 91 5,    72 310,    35 404,    36 906,    140 793,    78 178,    62 615,    84 693,    47 632,    37 061,,,  31,    35 169,    20 308,    14 861,    15 582,    8 823,    6 759,    266 917,    147 176,    1 19 741,    27 168,    13 006,    14 162,    106 333,    58 606,    47 727,,,  30,    91 150,    51 066,    40 084,    37 210,    21 317,    15 893,    15 310,    8 615,    6 695,    254 216,    140 247,    113 969,    31 940,    15 590,    16 350,,,  30,    111 208,    61 921,    49 287,    65 646,    36 806,    28 840,    29 862,    17 230,    12 632,    15 560,    8 700,    6 860
30-34岁,    3 676 977,    2 019 757,    1 657 220,    1 419 919,    778 820,    641 099,    142 839,    68 615,    74 224,    577 888,    316 663,    261 225,    409 215,    227 311,    181 904,,,  32,    44 158,    25 596,    18 562,    22 892,    13 133,    9 759,    289 213,    159 241,    129 972,    23 496,    11 162,    12 334,    109 871,    60 172,    49 699,,,  31,    78 982,    44 120,    34 862,    37 263,    21 596,    15 667,    17 171,    9 848,    7 323,    202 406,    112 105,    90 301,    18 842,    9 123,    9 719,,,  31,    85 070,    47 083,    37 987,    55 284,    30 881,    24 403,    27 769,    16 179,    11 590,    15 441,    8 839,    6 602
  30,    923169,    506 099,    417 070,    348 566,    190 628,    157 938,    53 681,    26 007,    27 674,    149 368,    82 466,    66 902,    94 478,    53 067,    41 41 1,,,  33,    39 457,    22 747,    16 710,    24 021,    13 643,    10 378,    229 855,    126 170,    103 685,    16 198,    7 642,    8 556,    80 833,    43 735,    37 098,,,  32,    86 177,    47 750,    38 427,    45 055,    25 904,    19 1 51,    24 614,    14 253,    10 361,    214 700,    118 555,    96 145,    17 204,    8 237,    8 967,,,  32,    83 610,    45 751,    37 859,    59 543,    33 252,    26 291,    32 812,    19 112,    13 700,    21 531,    12 203,    9 328
  31,    758 706,    418 453,    340 253,    289 383,    159 172,    130 211,    30 663,    14 718,    1 5 945,    124 170,    68 247,    55 923,    83 799,    47 076,    36 723,,,  34,    33 179,    18 988,    14 191,    24 480,    13 905,    10 575,    178 929,    97 471,    81 458,    11 642,    5 403,    6 239,    59 046,    31 455,    27 591,,,  33,    68 868,    37 775,    31 093,    39 003,    22 506,    16 497,    24 953,    14 512,    10 441,    168 071,    92 283,    75 788,    11 951,    5 662,    6 289,,,  33,    60 436,    32 684,    27 752,    46 919,    25 933,    20 986,    27 671,    15 960,    11 71 1,    21 094,    12 044,    9 050
  32,    823 606,    453 941,    369 665,    319 693,    176 145,    143 548,    26 689,    12 801,    13 888,    132 185,    72 426,    59 759,    93 769,    52 189,    41 580,,,35-39岁,    104 643,    59 114,    45 529,    1 14 909,    65 286,    49 623,    471 945,    253 449,    218 496,    25 947,    11 844,    14 103,    122 156,    63 323,    58 833,,,  34,    52 494,    28 343,    24 151,    31 499,    18 284,    13 215,    24 248,    13 986,    10 262,    132 364,    72 465,    59 899,    8 992,    4 227,    4 765,,,  34,    44 232,    23 730,    20 502,    36 262,    19 709,    16 553,    22 454,    13 101,    9 353,    20 424,    11 698,    8 726
  33,    656 036,    359 970,    296 066,    258 110,    141 517,    116 593,    18 439,    8 791,    9 648,    99 131,    54 033,    45 098,    77 062,    42 303,    34 759,,,  35,    31 152,    17 939,    13 213,    28 397,    16 112,    12 285,    156 243,    84 709,    71 534,    9 058,    4 223,    4 835,    47 240,    24 856,    22 384,,,35-39岁,    128 528,    67 203,    61 325,    91 582,    51 695,    39 887,    103 732,    59 384,    44 348,    355 949,    191 889,    164 060,    20 651,    9 482,    11 169,,,35-39岁,    92 347,    48 390,    43 957,    90 527,    47 743,    42 784,    65 771,    37 180,    28 591,    86 653,    49 094,    37 559
  34,    515 460,    281 294,    234 166,    204 167,    111 358,    92 809,    13 367,    6 298,    7 069,    73 034,    39 491,    33 543,    60 107,    32 676,    27 431,,,  36,    25 144,    14 390,    10 754,    25 510,    14 587,    10 923,    116 836,    62 960,    53 876,    6 456,    2 954,    3 502,    31 944,    16 680,    15 264,,,  35,    44 633,    23 805,    20 828,    28 833,    16 643,    12 190,    26 479,    15 182,    11 297,    117 406,    63 667,    53 739,    7 134,    3 353,    3 781,,,  35,    35 433,    18 722,    16 71 1,    31 097,    16 662,    14 435,    20 837,    11 966,    8 871,    22 905,    12 964,    9 941
35-39岁,    1 384 566,    746 237,    638 329,    556 672,    300 899,    255 773,    29 772,    13 875,    15 897,    153 385,    81 671,    71 714,    153 963,    80 953,    73 010,,,  37,    20 107,    11 234,    8 873,    22 835,    13 056,    9 779,    86 794,    46 334,    40 460,    4 693,    2 095,    2 598,    20 913,    10 617,    10 296,,,  36,    32 477,    17 100,    15 377,    22 279,    12 650,    9 629,    23 680,    13 576,    10 104,    87 898,    47 634,    40 264,    5 091,    2 360,    2 731,,,  36,    24 305,    12 825,    11 480,    22 835,    12 101,    10 734,    16 034,    9 129,    6 905,    19 633,    11 219,    8 414
