表9—5  全国市按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表9-5全国市按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续01),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
,,,,,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    年龄别,    合,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    92 189,    52 108,    40 081,    26 171,    1 5 141,    11 030,    13 225,    7 716,    5 509,  1 417 077,    745 748,    671 329,  1 023 624,    527 222,  496 402,,,总计,    291 453,    160 162,    131 291,    71 133,    40 546,    30 587,    20 087,    11690,    8 397,    10 780,    6 128,    4 652
  27,    525 338,    277 029,    248 309,    198 627,    104 189,    94 438,    144 266,    73 741,    70 525,    41 213,    22 906,    18 307,    10 740,    6 171,    4 569,,,  29,    1 492,    893,    599,    370,    206,    164,    52 137,    27 625,    24 512,    30 365,    15 404,    14 961,    14 426,    7 887,    6 539,,,30-34岁,      26 268,    14 968,    11 300,    10 287,    6 027,    4 260,    4 907,    2 924,    1 983,    136 990,    73 388,    63 602,    43 271,    21 459,    21 812,,,30-34岁,    64 093,    34 863,    29 230,    18 169,    10 389,    7 780,    7 302,    4 302,    3 000,    4 155,    2 375,    1 780
  28,    236 582,    125 503,    1 11 079,    90 230,    47 388,    42 842,    57 864,    29 344,    28 520,    22 672,    12 534,    10 138,    7 608,    4 336,    3 272,,,30-34岁,    10 175,    5 939,    4 236,    4 586,    2 668,    1 918,    179 934,    96 821,    83 113,    61 131,    30 416,    30 715,    77 341,    42 486,    34 855,,,  30,    6 061,    3 507,    2 554,    2 101,    1 260,    841,    667,    402,    265,    38 535,    20 671,    17 864,    15 446,    7 779,    7 667,,,  30,    16 597,    9 147,    7 450,    4 356,    2 512,    1 844,    1 529,    903,    626,    607,    330,    277
  29,    148 91 1,    78 801,    70 110,    57 417,    30 160,    27 257,    34 714,    17 481,    17 233,    15 665,    8 575,    7 090,    5 176,    3 005,    2 171,,,  30,    2 028,    1 192,    836,    592,    336,    256,    49 414,    26 602,    22 812,    22 478,    1 1 320,    11 158,    18 107,    10 113,    7 994,,,  31,    5 587,    3 199,    2 388,    2 023,    1 156,    867,    836,    503,    333,    29 464,    15 774,    1 3 690,    9 390,    4 649,    4 741,,,  31,    14 097,    7 701,    6 396,    3 739,    2 128,    1 611,    1 527,    875,    652,    711,    421,    290
30-34岁,    51 5 701,    276 238,    239 463,    198 777,    106 029,    92 748,    68 751,    34 068,    34 683,    87 520,    47 734,    39 786,    27 745,    15 620,    12 125,,,  31,    1 995,    1 149,    846,    754,    440,    314,    38 581,    20 719,    17 862,    13 554,    6 686,    6 868,    16 581,    9 175,    7 406,,,  32,    6 037,    3 413,    2 624,    2 500,    1 530,    970,    1 113,    654,    459,    29 941,    16 109,    13 832,    8 557,    4 242,    4 315,,,  32,    14 528,    7 890,    6 638,    4 175,    2 425,    1 750,    1 708,    1 006,    702,    973,    546,    427
  30,    142 039,    75 820,    66 219,    54 090,    28 547,    25 543,    25 592,    12 705,    12 887,    19 634,    10 764,    8 870,    6 244,    3 550,    2 694,,,  32,    2 334,    1 368,    966,    1 059,    619,    440,    39 446,    21 350,    18 096,    11 693,    5 813,    5 880,    18 103,    9 940,    8 163,,,  33,    4 756,    2 714,    2 042,    2 030,    1 140,    890,    1 157,    672,    485,    22 099,    11 807,    10 292,    5 673,    2 766,    2 907,,,  33,    10 792,    5 807,    4 985,    3 325,    1 880,    1 445,    1346,    810,    536,    963,    544,    419
  31,    109 602,    58 552,    51 050,    41 557,    22 059,    19 498,    14 921,    7 359,    7 562,    18 194,    9 916,    8 278,    5 693,    3 195,    2 498,,,  33,    2 104,    1 262,    842,    1 075,    622,    453,    29 968,    16 136,    13 832,    7 943,    3 929,    4 014,    14 082,    7 681,    6 401,,,  34,    3 827,    2 135,    1 692,    1 633,    941,    692,    1 134,    693,    441,    16 951,    9 027,    7 924,    4 205,    2 023,    2 182,,,  34,    8 079,    4 318,    3 761,    2 574,    1 444,    1 130,    1 192,    708,    484,    901,    534,    367
  32,    112 702,    60 773,    51 929,    43 315,    23 314,    20 001,    12 982,    6 506,    6 476,    20 572,    1 1 242,    9 330,    6 368,    3 579,    2 789,,,  34,    1 714,    968,    746,    1 106,    651,    455,    22 525,    12 014,    10 511,    5 463,    2 668,    2 795,    10 468,    5 577,    4 891,,,35-39岁,    9 418,    5 075,    4 343,    4 671,    2 655,    2 016,    4 473,    2 588,    1 885,    39 321,    20 748,    18 573,    8 427,    4 023,    4 404,,,35-39岁,    17 886,    9 438,    8 448,    6 462,    3 522,    2 940,    3 169,    1 807,    1 362,    3 377,    1 958,    1 419
  33,    85 665,    45 974,    39 691,    33 598,    18 031,    15 567,    8 856,    4 348,    4 508,    16 301,    8 836,    7 465,    5 262,    2 963,    2 299,,,35-39岁,    5 399,    3 192,    2 207,    4 881,    2 843,    2 038,    52 716,    27 623,    25 093,    10 919,    5 158,    5 761,    23 235,    12 147,    11 088,,,  35,    3 238,    1 818,    1 420,    1 486,    864,    622,    1 181,    679,    502,    13 917,    7 367,    6 550,    3 1 17,    1 486,    1 631,,,  35,    6 673,    3 527,    3 146,    2 243,    1 257,    986,    988,    573,    41 5,    896,    524,    372
  34,    65 693,    35 1 19,    30 574,    26 217,    14 078,    12 139,    6 400,    3 150,    3 250,    12 819,    6 976,    5 843,    4 178,    2 333,    1 845,,,  35,    1 605,    991,    614,    1 256,    737,    519,    18 575,    9 893,    8 682,    4 028,    1 963,    2 065,    8 642,    4 569,    4 073,,,  36,    2 388,    1 274,    1 114,    1 100,    623,    477,    1 023,    607,    416,    10 225,    5 457,    4 768,    2 140,    1 042,    1 098,,,  36,    4 897,    2 604,    2 293,    1 606,    885,    721,    797,    465,    332,    785,    461,    324
35-39岁,    154 503,    81 467,    73 036,    62 466,    33 096,    29 370,    12 552,    5 985,    6 567,    28 1 18,    14 889,    13 229,    11516,    6 187,    5 329,,,  36,    1 31 5,    767,    548,    1 100,    646,    454,    13 498,    7 088,    6 410,    2 759,    1 295,    1 464,    6 228,    3 289,    2 939,,,  37,    1 735,    926,    809,    879,    501,    378,    91 1,    524,    387,    7 061,    3 700,    3 361,    1 482,    703,    779,,,  37,    3 147,    1 676,    1 471,    1 167,    611,    556,    590,    324,    266,    675,    386,    289
