,,,,,,,,,,,,,,,,,,,,,,,
表9--17全国按年龄和活产子女数分的15--64岁妇女人数,,,,,,,,,,,,表9--17全国按年龄和活产子女数分的15--64岁妇女人数(续02),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,    无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
  52,    4 313 731,    61 805,    103 202,    58 351,    44 851,    310 613,    89 049,    180 685,    40 879,,,  52,    692 125,    99 084,    330 877,    225 659,    36 505,    973 709,    909 027,    634 320,    340 426,    167 704,    120 800
  53,    4 287 208,    63 993,    104 551,    59 835,    44 716,    281 470,    79 830,    164 204,    37 436,,,  53,    626 638,    89 375,    299 618,    204 481,    33 164,    925 445,    907 933,    665 126,    375 676,    192 703,    143 673
  54,    4 331 942,    66 392,    108 472,    62 852,    45 620,    267 565,    75 159,    156 601,    35 805,,,  54,    589 184,    83 776,    281 704,    191 988,    31 716,    899 354,    911 874,    696 589,    408 184,    215 784,    168 544
55—59岁,    19 869 398,    399 858,    581 456,    344 526,    236 930,    1 109 957,    303 246,    654 622,    152 089,,,55—59岁,    2 210 337,    310 874,    1 039 554,    735 854,    124 055,    3 610 370,    4 052 762,    3 385 165,    2 163 818,    1 250 177,    1 105 498
  55,    4 223 904,    72 547,    111 211,    65 207,    46 004,    247 800,    68 924,    145 571,    33 305,,,  55,    529 752,    75 331,    252 222,    173 648,    28 551,    836 259,    884 470,    698 123,    422 428,    231 523,    189 791
  56,    4 184 241,    77 172,    114 816,    67 489,    47 327,    233 127,    63 841,    137 704,    31 582,,,  56,    481 737,    68 128,    228 292,    158 810,    26 507,    785 686,    866 325,    711 446,    447 559,    252 043,    214 330
  57,    4 095 420,    81 163,    117 448,    69 168,    48 280,    222 917,    60 793,    131 642,    30 482,,,  57,    444 094,    62 775,    208 742,    147 920,    24 657,    735 003,    835 781,    705 288,    454 902,    265 080,    233 744
  58,    3 740 707,    81 825,    1 15 620,    69 232,    46 388,    204 608,    55 405,    120 767,    28 436,,,  58,    388 857,    54 129,    181 205,    130 826,    22 697,    647 622,    752 951,    646 570,    422 614,    250 691,    229 349
  59,    3 625 126,    87 151,    122 361,    73 430,    48 931,    201 505,    54 283,    118 938,    28 284,,,  59,    365 897,    50 511,    169 093,    124 650,    21 643,    605 800,    713 235,    623 738,    416 31 5,    250 840,    238 284
60—64岁,    16 494 306,    549 062,    742 573,    454 232,    288 341,    1 065 250,    282 306,    630 193,    152 751,,,60—64岁,    1 707 620,    227 982,    772 134,    600 008,    107 496,    2 642 960,    3 059 213,    2 681 589,    1809 792,    1114 442,    1 121 805
  60,    3 711 112,    101 289,    140 230,    84 947,    55 283,    217 302,    58 297,    128 307,    30 698,,,  60,    376 261,    51 599,    172 305,    129 406,    22 951,    609 569,    716 035,    629 450,    419 105,    254 489,    247 382
  61,    3 381 291,    100 368,    137 770,    83 506,    54 264,    204 706,    54 480,    120 938,    29 288,,,  61,    339 312,    45 683,    154 623,    117 872,    21 134,    542 640,    640 079,    566 293,    383 364,    234 491,    232 268
  62,    3 424 758,    112 792,    152 248,    92 953,    59 295,    217 735,    57 721,    128 629,    31385,,,  62,    349 015,    46 561,    157 327,    122 822,    22 305,    543 141,    632 438,    559 605,    380 493,    236 766,    240 525
  63,    3 033 614,    111529,    149 611,    91 849,    57 762,    206 714,    54 081,    122 747,    29 886,,,  63,    318 418,    41 923,    142 715,    113 357,    20 423,    479 575,    548 786,    478 942,    326 690,    203 416,    209 933
  64,    2 943 531,    123 084,    162 714,    100 977,    61 737,    218 793,    57 727,    129 572,    31 494,,,  64,    324 614,    42 216,    145 164,    116 551,    20 683,    468 035,    521 875,    447 299,    300 140,    1 85 280,    191 697
