表9—13  全国市1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
,,,,  出生数,    生育率,,,,,,,,
  42,    1 000 642,    1 562,    1.56,    263,    0.26,    323,    0.32,    286,    0.29,    276,    0.28,    414,    0.41
  43,    902 664,    1 121,    1.24,    164,    0.18,    202,    0.22,    204,    0.23,    206,    0.23,    345,    0.38
  44,    824 501,    769,    0.93,    114,    0．14,    125,    0.15,    121,    0．15,    148,    0.18,    261,    0.32
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,    出生数,  生育率,  出生率,  生育率,  出生数,  生育率,  出生数,  生育率
  45—49岁,    3 423 036,    2 035,    0.59,    198,    0.06,    339,    0.10,    418,    0.12,    456,    0.13,    624,    0.18
    45,    757 897,    574,    0.76,    70,    0.09,    97,    0.13,    95,    0.13,    125,    0.16,    187,    0.25
    46,    730 941,    484,    0.66,    39,    0.05,    86,    0．12,    110,    0．15,    89,    0.12,    160,    0.22
    47,    722 472,    392,    0.54,    39,    0.05,    70,    0.10,    89,    0.12,    82,    0.11,    112,    0.16
    48,    682 860,    317,    0.46,    31,    0．05,    43,    0.06,    76,    0.11,    77,    0.1 1,    90,    0.13
    49,    528 866,    268,    0．51,    19,    0.04,    43,    0.08,        48,    0.09,    83,    0.16,    75,    0.14
各类专业、技术人员,    7 751 878,    396 130,    51.10,    366 869,    47.33,    26 634,    3.44,    2 122,    0.27,    385,    0．05,    120,    0.02
  15—19岁,    355 439,    1 117,    3.14,    1 084,    3.05,    32,    0.09,-,-,    1,    0.00,-,-
    15,    6 812,-,-,-,-,-,-,-,-,-,-,-,-
    16,    20 200,    7,    0．35,    7,    0.35,-,-,-,-,-,-,-,-
    17,    52 680,    37,    0.70,    36,    0.68,    1,    0.02,-,-,-,-,-,-
    18,    111 187,    186,    1.67,    181,    1.63,    4,    0.04,-,-,    1,    0.01,-,-
    19,    164 560,    887,    5.39,    860,    5.23,    27,    0.16,-,-,-,-,-,-
  20-24岁,    1 336 232,    127 609,    95.50,    124 859,    93.44,    2 596,    1.94,    135,    0.10,    16,    0.01,    3,    0.00
