表9—12  全国1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    职业和,1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    年龄别,妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,  生育率,  出生率,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    15,    29 498,    10,    0．34,    6,    0.20,    1,    0.03,-,-,-,-,    3,    0.10
    16,    76 258,    50,    0.66,    50,        0．66,-,-,-,-,-,-,-,-
    17,    158 711,    261,    1.64,    247,    1.56,    12,    0.08,    1,    0.01,    1,    0.01,-,-
    18,    293 296,    1 189,    4.05,    1 1 39,    3.88,    47,    0．16,   -,-,    1,    0.00,    2,    0.01
    19,    422 573,    5 091,    12.05,    4 841,    11.46,    238,    0．56,    8,    0.02,    2,    0．00,     2,    0.00
  20-24岁,    3 036 346,    348 722,    114.85,    328 287,    108.12,    18 771,    6.18,    1 466,    0.48,    170,    0.06,    28,    0.01
    20,    543 849,    17 460,    32.10,    16 780,    30.85,    650,    1.20,    28,    0.05,     -,-,    2,    0．00
    21,    547 580,    33 277,    60.77,    31 766,    58.01,    1 407,    2.57,    89,    0.16,    1 5,    0.03,-,-
    22,    543 390,    55 621,    102.36,    52 671,    96.93,    2 774,    5.10,    157,    0.29,    17,    0.03,    2,    0．00
    23,    671 376,    103 631,    1 54.36,    97 674,    145.48,    5 476,    8.16,    431,    0.64,    40,    0.06,    10,    0．01
,,,,,,,,,,,,,
    24,    730 151,    138 733,    190.01,    129 396,    177.22,    8 464,    11.59,    761,    1.04,    98,    0．13,    14,    0.02
  25-29岁,    3 156 096,    409 466,    129.74,    347 204,    110.01,    53 775,    17.04,    6 941,    2.20,    1 237,    0.39,    309,    0．10
    25,    855 683,    154 221,    180.23,    140 712,    164.44,    12 058,    14.09,    1 259,    1.47,171,    0.20,    21,    0.02
    26,    902 567,    134 616,    149.15,    117 481,    130.16,    14 941,    16.55,    1 858,    2.06,    290,    0．32,    46,    0.05
    27,    509 361,    58 118,    114.10,    46 941,    92.16,    9 539,    18.73,    1 338,    2.63,    235,    0.46,    65,    0.13
    28,    417 281,    33 873,    81.18,    24 860,    59.58,    7 689,    18.43,    1 070,    2.56,    205,    0.49,    49,    0.12
    29,    471 204,    28 638,    60.78,    17 210,    36.52,    9 548,    20.26,    1 416,    3．01,    336,    0．71,    128,    0.27
  30—34岁,    2 676 391,    84 177,    31.45,    30 166,    11.27,    45 549,    17.02,    6 434,    2.40,    1 374,    0.51,    654,    0.24
    30,    436 669,    20 416,    46.75,    9 492,    21.74,    9 265,    21.22,    1 291,    2.96,    271,    0.62,    97,    0.22
    31,    575 902,    21 422,    37.20,    8 305,    14.42,11 017,    19.13,    1 596,    2.77,    363,    0.63,    141,    0.24
    32,    558 177,    17 392,    31.16,    5 609,    10．05,    9 935,    17.80,    1 417,    2.54,    279,    0.50,    152,    0．27
    33,    540 401,    13 613,    25.19,    3 984,    7.37,    8 1 19,    15.02,    1 139,    2.11,    236,    0.44,    135,    0.25
    34,    565 242,    11 334,    20.05,    2 776,    4.91,    7 213,    12.76,    991,    1.75,    225,    0.40,    129,    0.23
  35—39岁,    2 112 750,    21 303,    10.08,    5 205,    2.46,    12 978,    6.14,    2 142,    1.01,    493,    0.23,    485,    0.23
    35,    517 704,    8 214,    15.87,    1 962,    3.79,    5 237,    10.12,    751,    1.45,    146,    0.28,    118,    0.23
    36,    441 400,    5 446,    12.34,    1 313,    2.97,    3 406,    7.72,    509,    1.15,    129,    0.29,    89,    0.20
    37,    414 897,    3 739,    9.01,    870,    2.10,    2 264,    5.46,    387,    0.93,    104,    0.25,    1 14,    0.27
    38,    361 537,    2 285,    6.32,    597,    1.65,    1 274,    3.52,    273,    0.76,    69,    0.19,    72,    0．20
    39,    377 212,    1 619,    4.29,    463,    1.23,    797,    2.11,    222,    0.59,    45,    0．12,    92,    0．24
  40-44岁,    1 519 675,    2 285,    1.50,    695,    0.46,    879,    0.58,    380,    0.25,    176,    0.12,    1 55,    0．10
    40,    325 828,    876,    2.69,    286,    0.88,    366,    1.12,    121,    0.37,    54,    0.17,    49,    0．1 5
    41,    31 5 562,    571,    1.81,    174,    0.55,    222,    0.70,    106,    0.34,    37,    0.12,    32,    0.10
    42,    310 878,    378,    1.22,    111,    0.36,    144,    0.46,    66,    0.21,    37,    0．12,    20,    0.06
    43,    291 384,    257,    0.88,    71,    0.24,    92,    0.32,    46,    0.16,    26,    0.09,    22,    0.08
    44,    276 023,    203,    0.74,    53,    0.19,    55,    0.20,    41,    0.15,    22,    0．08,    32,    0.12
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
