42.1981年全国市(不含市辖县)死亡人口的年龄状况,,,,,,
,,,,,,
,,,,,,
4 9,"    6,990","    4,193","    2,797",    0．94,    0.56,    0．38
5 0,"    7,552","    4,591","    2,961",    1.01,    0.62,    0.40
5 1,"    8,312",4994,"    3,318",    1.12,    0．67,    0.45
5 2,"    8,379","    5,009","    3,370",    1.13,    0.67,    0．45
5 3,9305,"    5,623","    3,682",    1.25,    0．75,    0.49
5 4,9020,"    5,465","    3,555",    1.21,    0.73,    0．48
5 5,"    9,717","    5,81 5",3902,    1.30,    0．78,    0.52
5 6,"    10,504","    6,344","    4,160",    1.41,    0.85,    0.56
5 7,"    10,812","    6,545","    4,267",    1.45,    0.88,    0.57
5 8,"    11,373","    6,894","    4,479",    1.53,    0．93,    0．60
5 9,"    12,319","    7,531","    4,788",    1.65,    1.01,    0．64
6 0,"    13,379","    8,21 5","    5,164",    1.80,    1.10,    0.69
6 1,"    13,540","    8,266","    5,274",    1.82,    1.11,    0．71
6 2,    14，254,"    8,640","    5,614",    1.91,    1.16,    0.75
6 3,"    14,612","    8,758","    5,854",    1.96,    1.18,    0.79
6 4,"    15,393","    9,182","    6,211",    2.07,    1.23,    0.83
6 5,"    15,864","    9,513","    6,351",    2.13,    1.28,    0.85
6 6,"    16,785","    9,879","    6,906",    2.25,    1.33,    0.93
6 7,"    18,052","    10,636","    7,416",    2.42,    1.43,    1.00
6 8,"    17,507","    10,302","    7,205",    2.35,    1.38,    0.97
6 9,"    17,469","    10,212","    7,257",    2.35,    1.37,    0．97
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口 总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,    合计,    男,    女
(续),,,,,,
7 0,"    18,735","    10,656","    8,079",    2.52,    1.43,    1.08
7 1,"    19,099","    10,652","    8,447",    2.56,    1.43,    1.13
7 2,"    20,073","    10,876","    9,197",    2.70,    1.46,    1.23
7 3,"    18,903","    10,284","    8,619",    2.54,    1.38,    1.16
7 4,"    18,664","    9,881","    8,783",    2.51,    1.33,    1.18
7 5,"    18,965","    9,770","    9,195",    2.55,    1.31,    1.23
7 6,"    18,286","    9,237","    9,049",    2.46,    1.24,    1.22
7 7,"    18,066","    8,841","    9,225",    2．43,    1.19,    1.24
7 8,"    1 7,559","    8,376","    9,183",    2.36,    1.12,    1.23
7 9,16898,"    8,027","    8,871",    2.27,    1.08,    1.19
8 0,"    16,182","    7,175","    9,007",    2.1 7,    0．96,    1.21
8 1,"    13,359",5757,"    7,602",    1.79,    0.77,    1.02
8 2,"    11,543","    4,868","    6,675",    1.55,    0.65,    0．90
8 3,"    10,698","    4,461","    6,237",    1.44,    0.60,    0.84
8 4,"    9,213","    3,559","    5,654",    1.24,    0.48,    0.76
8 5,"    8,086","    3,018","    5,068",    1.09,    0.41,    0．68
8 6,"    6,964","    2,512","    4,452",    0.94,    0．34,    0．60
8 7,"    5,579","    1,959","    3,620",    0.75,    0．26,    0.49
8 8,4762,"    1,574","    3,188",    0．64,    0．21,    0．43
8 9,"    3,848","    1,238","    2,610",    0.52,    0．1 7,    0．35
9 0,"    2,958",    901,2057,    0．40,    0．12,    0．28
9 1,"    2,277",    675,1602,0.31,    0．09,0.22
9 2,"    1,572",    419,"    1,1 53",    0.21,    0．06,    0．1 5
9 3,"    1,072",    284,    788,    0．14,    0．04,    0．1 1
9 4,    707,    171,    536,    0．09,    0．02,    0．07
9 5,    492,    130,    362,    0.07,    0.02,    0.05
9 6,    342,    64,    278,    0．05,    0．01,    0.04
9 7,    269,    74,    195,    0．04,    0．01,    0．03
9 8,    174,    40,    134,    0．02,    0.01,    0.02
9 9,    124,    29,    95,    0．02,-,    0.01
1 0 0,    75,    22,    53,    0.01,-,    0．01
1 0 1,    45,    15,    30,    0．01,-,-
1 0 2,    26,    7,    19,-,-,-
1 0 3,    11,    2,    9,-,-,-
1 0 4,    12,    5,    7,-,-,-
,,,,,,
,,,,,,
,,,,,,
42．19 8 1年全国市(不含市辖县)死亡人口的年龄状况(续3完),,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,    合计,    男,    女
(续),,,,,,
1 0 5,    11,    3,    8,-,-,-
1 0 6,    7,    1,    6,-,-,-
1 0 7,    4,    1,    3,-,-,-
1 0 8,    2,    2,-,-,-,-
1 0 9,    1,    1,-,-,-,-
1 1 0,    4,    3,    1,-,-,-
1 1 1,    2,    1,    1,-,-,-
1 1 2,-,-,-,-,-,-
1 1 3,    1,    1,-,-,-,-
1 1 4,-,-,-,-,-,-
1 1 5,    2,-,-,-,-,-
1 1 6,    1,-,    1,-,-,-
1 1 7,-,-,-,-,-,-
1 1 8,-,-,-,-,-,-
1 1 9,-,-,-,-,-,-
1 2 0,-,-,-,-,-,-
1 2 1,-,-,-,-,-,-
1 2 2,-,-,-,-,-,-
1 2 3,-,-,-,-,-,-
1 2 4,-,-,-,-,-,-
1 2 5,-,-,-,-,-,-
1 2 6,    1,-,    1,-,-,-
1 2 7,-,-,-,-,-,-
1 2 8,-,-,-,-,-,-
1 2 9,-,-,-,-,-,-
1 3 0,-,-,-,-,-,-
1 3 1,-,-,-,-,-,-
1 3 2,-,-,-,-,-,-
1 3 3,-,-,-,-,-,-
1 3 4,-,-,-,-,-,-
1 3 5,-,-,-,-,-,-
1 3 6,-,-,-,-,-,-
1 3 7,-,-,-,-,-,-
1 3 8,-,-,-,-,-,-
1 3 9,-,-,-,-,-,-
……,,,,,,
1 6 0,-,-,-,-,-,-
