　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—1    省、自治区、直辖市家庭户按住房间数分的户数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,单位:户,,,,,,,,,,,,,,,,,,
地   区   别,总家庭户数,住      房      间      数,,,,,,,,,,,平均每户住房间数,,,,,,,,,,,,,,,,,,
,,0间,一间,二间,三间,四间,五间,六间,七间,八间,九间,十间及十间以上,(间/户),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,5900407,18821,1873373,3093740,791418,89269,15866,8349,6047,1720,488,1316,1.86,,,,,,,,,,,,,,,,,,
吉林省,2826169,11,820179,1489297,436223,62370,10414,3962,1229,762,248,1474,1.93,,,,,,,,,,,,,,,,,,
黑龙江省,4081187,6151,1227081,2230157,551778,51470,7545,3855,1084,728,188,1150,1.87,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,4080617,4131,1801785,1651388,407366,101663,42208,43406,8982,10471,3502,5715,1.82,,,,,,,,,,,,,,,,,,
江苏省,5705987,20451,1401913,2485614,1247316,322354,101130,78853,18334,16431,5463,8128,2.24,,,,,,,,,,,,,,,,,,
浙江省,3939654,1812,1083230,1479948,835663,266198,78286,102703,21930,28173,18352,23359,2.39,,,,,,,,,,,,,,,,,,
安徽省,2504210,6121,598079,1153867,550481,116148,34487,24602,6279,7097,2050,4999,2.20,,,,,,,,,,,,,,,,,,
福建省,2056354,3736,546061,662551,503167,155707,53736,53574,16735,23801,10509,26777,2.56,,,,,,,,,,,,,,,,,,
江西省,1499963,2927,315139,685209,323567,96879,22257,27148,5547,12059,2852,6379,2.36,,,,,,,,,,,,,,,,,,
山东省,6465902,8524,677933,2141728,1928467,1018563,379339,153826,51174,52748,13875,39725,2.93,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,3877580,1077,654034,1513255,1155808,289130,94166,81708,25292,27806,9199,26105,2.58,,,,,,,,,,,,,,,,,,
湖北省,4553562,10755,1126618,1867054,1017478,322912,72884,88796,11609,17921,6528,11007,2.30,,,,,,,,,,,,,,,,,,
湖南省,3073356,5021,636599,1320197,703629,216982,63689,69774,12506,22169,6524,16266,2.43,,,,,,,,,,,,,,,,,,
广东省,6837880,7041,1965551,2190554,1802700,466904,159184,128070,33376,40386,15819,28295,2.36,,,,,,,,,,,,,,,,,,
广西壮族自治区,1682864,3725,466792,650921,345419,110271,36519,31584,8895,13703,4174,10861,2.34,,,,,,,,,,,,,,,,,,
海南省,412962,839,136949,122961,105395,28807,8086,5425,1216,1475,576,1233,2.24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,2030889,980,544692,904576,432936,89739,25015,17896,4937,5274,1550,3294,2.15,,,,,,,,,,,,,,,,,,
四川省,3715936,1777,796726,1547558,967283,226460,64710,52522,15633,18004,8133,17130,2.38,,,,,,,,,,,,,,,,,,
贵州省,1273432,820,400800,549720,249006,48176,11714,6857,1729,1980,614,2016,2.04,,,,,,,,,,,,,,,,,,
云南省,1407295,688,498141,497548,313298,59283,14894,8901,3241,3846,1731,5724,2.08,,,,,,,,,,,,,,,,,,
西藏自治区,65028,496,20229,18967,10216,5636,3650,2922,1228,880,290,514,2.62,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,1973145,19,466165,868376,420953,96341,38793,42606,14476,11550,6324,7542,2.34,,,,,,,,,,,,,,,,,,
甘肃省,1190396,1263,219842,542817,289070,60991,29487,15034,10424,8355,3960,9153,2.45,,,,,,,,,,,,,,,,,,
青海省,303009,299,69426,162095,53922,9483,3154,1609,803,727,288,1203,2.13,,,,,,,,,,,,,,,,,,
宁夏回族自治区,368707,          ,62883,206971,71067,14189,6813,3324,1190,953,362,955,2.25,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,1297989,689,300375,664793,271156,38696,11635,5362,2163,1372,539,1209,2.10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—1b    省、自治区、直辖市家庭户按住房间数分的户数（镇）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,单位:户,,,,,,,,,,,,,,,,,,
地   区   别,总家庭户数,住      房      间      数,,,,,,,,,,,平均每户住房间数,,,,,,,,,,,,,,,,,,
,,0间,一间,二间,三间,四间,五间,六间,七间,八间,九间,十间及十间以上,(间/户),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,46408532,94625,10614124,16339392,10686991,4431515,1769936,1234649,351011,411625,144127,330537,2.58,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,313454,          ,32987,104998,85409,33011,27433,10132,6454,6973,1774,4283,3.16,,,,,,,,,,,,,,,,,,
天津市,517960,306,74022,208011,154829,53531,12584,9577,1567,2115,458,960,2.57,,,,,,,,,,,,,,,,,,
河北省,1579942,2074,183192,563790,409740,193233,106451,48784,18780,21266,5845,26787,3.01,,,,,,,,,,,,,,,,,,
山西省,1162268,871,229138,366384,256005,106204,101070,40909,17675,17209,5786,21017,2.95,,,,,,,,,,,,,,,,,,
内蒙古自治区,1286202,1731,474749,588100,179843,30407,6981,2573,723,420,173,502,1.85,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,1420612,590,352394,713333,275997,57978,11230,5088,1567,1330,390,715,2.08,,,,,,,,,,,,,,,,,,
吉林省,1271769,          ,361207,628560,230100,39714,7448,2852,691,528,159,510,2.00,,,,,,,,,,,,,,,,,,
黑龙江省,1894916,2890,644802,976753,230455,31959,4344,2171,430,417,116,579,1.83,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,590613,1560,133005,183672,136566,61743,26309,31326,4681,5697,3939,2115,2.73,,,,,,,,,,,,,,,,,,
江苏省,3480896,20466,754810,1350237,800084,314995,99009,90596,18365,18892,5599,7843,2.46,,,,,,,,,,,,,,,,,,
浙江省,2817339,2139,717149,878061,499550,316430,104553,157095,35688,48886,20585,37203,2.80,,,,,,,,,,,,,,,,,,
安徽省,2074203,11855,467344,859350,480162,150906,45022,36483,7293,8383,2474,4931,2.34,,,,,,,,,,,,,,,,,,
福建省,1686796,1403,380249,464949,352155,207771,75727,82191,25170,40667,14984,41530,3.04,,,,,,,,,,,,,,,,,,
江西省,1487337,5005,285120,510504,362993,170571,44961,53555,11948,22739,6783,13158,2.74,,,,,,,,,,,,,,,,,,
山东省,3529161,9984,280748,802680,1038554,751020,426267,115916,40995,34546,8779,19672,3.31,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,2085459,1009,423951,725529,553735,200755,76052,57397,14491,17572,4778,10190,2.61,,,,,,,,,,,,,,,,,,
湖北省,2044625,6335,417243,752984,534086,193763,50078,55581,8437,12634,4595,8889,2.53,,,,,,,,,,,,,,,,,,
湖南省,2061858,7287,436943,668681,497797,229653,68399,71668,17270,28402,9802,25956,2.74,,,,,,,,,,,,,,,,,,
广东省,3437089,4740,918827,908744,866710,377750,140002,112712,29989,36224,13863,27528,2.65,,,,,,,,,,,,,,,,,,
广西壮族自治区,1696477,6099,458052,539677,346333,167612,62051,54851,16923,21004,6854,17021,2.60,,,,,,,,,,,,,,,,,,
海南省,343701,963,143173,107662,60456,21459,4965,2936,684,813,187,403,1.99,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,1125279,1142,285057,435004,269058,74282,23143,18829,4972,6471,2042,5279,2.35,,,,,,,,,,,,,,,,,,
四川省,3003000,1922,683972,1097862,823701,234298,70185,46600,13122,14175,4465,12698,2.43,,,,,,,,,,,,,,,,,,
贵州省,1145989,977,324026,442690,253277,77898,20167,13618,3619,4484,1434,3799,2.25,,,,,,,,,,,,,,,,,,
云南省,1503262,794,463849,476117,346876,114133,41678,28466,10074,9084,3622,8569,2.36,,,,,,,,,,,,,,,,,,
西藏自治区,81948,182,22442,21649,16355,9343,5203,3079,1490,1042,389,774,2.77,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,1300736,39,378432,407848,279718,98170,46560,45723,14561,13181,6792,9712,2.54,,,,,,,,,,,,,,,,,,
甘肃省,582338,1578,94220,185347,141502,52872,35189,21889,17416,12572,5743,14010,3.13,,,,,,,,,,,,,,,,,,
青海省,159921,242,33859,71711,29081,8847,5894,3471,2143,1714,823,2136,2.55,,,,,,,,,,,,,,,,,,
宁夏回族自治区,169258,          ,30650,80371,36702,10661,5368,2300,1277,765,389,775,2.43,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,554124,442,128512,218134,139162,40546,15613,6281,2516,1420,505,993,2.35,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—1b    省、自治区、直辖市家庭户按住房间数分的户数（镇）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
