　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
黑龙江省,8400837,1499852,1987258,2751939,2161788,,,,,
,,,,,,,,,,
上海市,2759003,465242,560513,886237,847011,,,,,
江苏省,15895562,2855188,4220736,5477926,3341712,,,,,
浙江省,9819607,2153347,2540645,3004186,2121429,,,,,
安徽省,15231935,3116720,4429267,4738281,2947667,,,,,
福建省,8212671,1512220,2114240,2589491,1996720,,,,,
江西省,10356358,2378349,2690403,3122052,2165554,,,,,
山东省,21267131,4427852,4327243,7531071,4980965,,,,,
,,,,,,,,,,
河南省,24597723,4907715,6079478,8248906,5361624,,,,,
湖北省,14203012,2298265,3889468,4786124,3229155,,,,,
湖南省,15461611,3002598,3600367,5144874,3713772,,,,,
广东省,18871631,4374300,5265244,5142123,4089964,,,,,
广西壮族自治区,11636927,2327630,2778856,3605919,2924522,,,,,
海南省,1999847,424805,532696,552658,489688,,,,,
,,,,,,,,,,
重庆市,7438768,1656492,2077146,2303658,1401472,,,,,
四川省,19909099,4436423,5475450,6355983,3641243,,,,,
贵州省,10218631,2650540,2723835,2830943,2013313,,,,,
云南省,11372458,2941644,2924164,3057200,2449450,,,,,
西藏自治区,770562,182983,198443,203692,185444,,,,,
,,,,,,,,,,
陕西省,9320811,1700015,2496741,3032922,2091133,,,,,
甘肃省,6618021,1417295,1849161,1971480,1380085,,,,,
青海省,1310707,317893,360584,354230,278000,,,,,
宁夏回族自治区,1537613,375142,404238,415548,342685,,,,,
新疆维吾尔自治区,5256369,1200081,1387448,1513201,1155639,,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—3a    省、自治区、直辖市有0-19岁青少年人口的家庭户户数（城市）,,,,,,,,,,
,,,,,,,,,,
,,,,,单位:户,,,,,
地   区   别,合    计,有0-4岁,有5-9岁,有10-14岁,有15-19岁,,,,,
,,人口的户,人口的户,人口的户,人口的户,,,,,
,,,,,,,,,,
合计,57956858,12260994,13878958,17616403,14200503,,,,,
,,,,,,,,,,
北京市,1561966,272733,308162,462369,518702,,,,,
天津市,1026460,142826,189668,323038,370928,,,,,
河北省,2494430,560577,531261,780806,621786,,,,,
山西省,1663145,370333,441652,486905,364255,,,,,
内蒙古自治区,1272159,272776,322421,378620,298342,,,,,
,,,,,,,,,,
辽宁省,3697906,630232,794392,1202186,1071096,,,,,
吉林省,1939096,336727,436716,629137,536516,,,,,
黑龙江省,2659249,473869,624339,868443,692598,,,,,
,,,,,,,,,,
上海市,2133861,341670,404078,681372,706741,,,,,
江苏省,3531179,719933,892087,1115090,804069,,,,,
浙江省,2388439,542033,581698,704283,560425,,,,,
安徽省,1815653,397085,487956,547043,383569,,,,,
福建省,1412984,293386,348387,407600,363611,,,,,
江西省,1134518,272047,291373,332622,238476,,,,,
山东省,4616315,1058085,979033,1487964,1091233,,,,,
,,,,,,,,,,
河南省,3068629,666184,752224,993729,656492,,,,,
湖北省,3382528,624925,888069,1068089,801445,,,,,
