　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1    全国按现住地、户口登记地分的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,2322833,74583,47907,36847,116499,79856,939679,803941,223521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,4494459,,,,10149,201676,621545,1145611,2515478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,5265772,61351,452432,11592,86211,147423,1693618,1550760,1262385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,4401928,149728,411838,32,134672,224935,731595,1103420,1645708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,2080785,31193,34840,29508,129810,141986,948292,651567,113589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,3295220,36752,156149,66256,45354,168917,630921,1117984,1072887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,1491800,56970,44914,37679,112122,90989,617548,424344,107234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,4792208,100243,556297,321094,129156,503762,1453301,1132318,596037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,3405516,91893,148932,50676,201540,61699,1449544,1123882,277350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,4188857,101435,260952,196739,223524,242388,1418343,1312739,432737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,2656802,118573,75848,116406,207074,110650,752954,1061886,213411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,14344919,11273,584589,185185,10576,337599,1822185,4028522,7364990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,1709513,20689,57706,4915,49387,86897,396590,847548,245781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,576952,13437,65272,6345,5028,9544,56572,193154,227600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,1705416,15122,62445,38745,132065,274775,542821,366270,273173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,3311069,55099,124579,9596,241412,313115,893292,1437780,236196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,1406654,19713,64753,50967,44534,83506,351847,549168,242166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,1987663,44529,57386,8802,31779,75093,461877,636151,672046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,94753,5067,3600,3397,3645,960,10380,22454,45250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,1113443,26518,17383,38224,52162,38874,335199,339267,265816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,912788,44884,10971,50207,38159,11763,293483,304586,158735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,295548,2194,1254,9206,5175,5011,87475,101099,84134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,275653,5481,2886,23,13350,4859,94650,67446,86958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,1231826,95678,39687,122231,6259,1831,159860,276008,530272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1b    全国按现住地、户口登记地分的人口（镇）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,27670126,5281044,6353719,510980,265838,475351,666280,5624247,8492667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
