表2-3省自治区直辖市的市按街道乡镇分的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,    合计,    男,    女,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    南宫市,    429 351,    213 711,    215 640,    73 622,    37 155,    36 467,    71 303,    35 588,    35 715,    284 426,    140 968,  143 458
    沙河市,    394 321,    204 382,    189 939,    97 461,    50 047,    47 414,    109 321,    59 301,    50 020,    187 539,    95 034,    92 505
  石家庄地区,    1 267 459,    637 061,    630 398,    134 229,    69 183,    65 046,    347 112,    175 178,    171 934,    786 118,    392 700,  393 418
    辛集市,    581 982,    292 320,    289 662,    134 229,    69 183,    65 046,    112 457,    56 255,    56 202,    335 296,    166 882,  168 414
    藁城市,    685 477,    344 741,    340 736,-,-,-,    234 655,    118 923,    115 732,    450 822,    225 818,  225 004
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表2-3单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,  合计,    男,    女,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  保定地区,    1 511 178,    761 172,    750 006,    230 095,    115 389,    114 706,    187 964,    94 259,    93 705,    1 093 119,    551 524,    541 595
    定州市,    1 024 589,    513 756,    510 833,    130 697,    65 769,    64 928,    145 297,    72 595,    72 702,    748 595,    375 392,    373 203
    涿州市,    486 589,    247 416,    239 173,    99 398,    49 620,    49 778,    42 667,    21 664,    21 003,    344 524,    176 132,    168 392
  沧州地区,    1 417 364,    719 339,    698 025,    138 865,    70 421,    68 444,    342 712,    174 486,    168 226,    935 787,    474 432,    461 355
    泊头市,    494 656,    250 714,    243 942,    54 628,    27 472,    27 156,    149 431,    76 016,    73 415,    290 597,    147 226,    143 371
    任丘市,    569 378,    288 228,    281 150,    84 237,    42 949,    41 288,    128 304,    64 851,    63 453,    356 837,    180 428,    176 409
    黄骅市,    353 330,    180 397,    172 933,-,-,-,    64 977,    33 619,    31 358,    288 353,    146 778,    141 575
  衡水地区,    329 781,    168 288,    161 493,    121 172,    65 020,    56 152,    27 954,    13 716,    14 238,    180 655,    89 552,    91 103
    衡水市,    329 781,    168 288,    161 493,    121 172,    65 020,    56 152,    27 954,    13 716,    14 238,    180 655,    89 552,    91 103
山西省,    8 178 738,    4 304 550,    3 874 188,    4 099 576,    2 190 531,    1 909 045,    1 364 433,711 856,    652 577,    2 714 729,    1 402 163,    1 312 566
  太原市,    2 224 580,    1 180 565,    1 044 015,    1 587 033,    845 880,    741 153,    241 934,    127 631,    114 303,    395 613,    207 054,    188 559
    南城区,    564 675,    295 550,    269 125,    564 675,    295 550,    269 125,-,-,-,-,-,-
    北城区,    573 018,    301 056,    271 962,    573 018,    301 056,    271 962,-,-,-,-,-,-
    河西区,    413 083,    227 544,    185 539,    413 083,    227 544,    185 539,-,-,-,-,-,-
    南郊区,    294 823,    151 838,    142 985,-,-,-,    134 082,    69 591,    64 491,    160 741,    82 247,    78 494
    北郊区,    205 959,    108 020,    97 939,-,-,-,    62 928,    32 736,    30 192,    143 031,    75 284,    67 747
    古交市,    173 022,    96 557,    76 465,    36 257,    21 730,    14 527,    44 924,    25 304,    19 620,    91 841,    49 523,    42 318
  大同市,    1 277 310,    680 916,    596 394,    895 320,    474 439,    420 881,    66 824,    36 266,    30 558,    315 166,    170 211,    144 955
    城区,    420 337,    217 345,    202 992,    420 337,    217 345,    202 992,-,-,-,-,-,-
    矿区,    474 983,    257 094,    217 889,    474 983,    257 094,    217 889,-,-,-,-,-,-
    南郊区,    282 183,    152 505,    129 678,-,-,-,    48 304,    26 469,    21 835,    233 879,    126 036,    107 843
    新荣区,    99 807,    53 972,    45 835,-,-,-,    18 520,    9 797,    8 723,    81 287,    44 175,    37 112
  阳泉市,    574 832,    312 692,    262 140,    321 532,    176 853,    144 679,    73 144,    42 299,    30 845,    180 156,    93 540,    86 616
    城区,    131 564,    69 794,    61 770,    131 564,    69 794,    61 770,-,-,-,-,-,-
    矿区,    189 968,    107 059,    82 909,    189 968,    107 059,    82 909,-,-,-,-,-,-
    郊区,    253 300,    135 839,    117 461,-,-,-,    73 144,    42 299,    30 845,    180 156,    93 540,    86 616
  长治市,    552 255,    292 414,    259 841,    371 486,    199 273,    172 213,    10 781,    5 556,    5 225,    169 988,    87 585,    82 403
    城区,    290 385,    153 196,    137 189,    290 385,    153 196,    137 189,-,-,-,-,-,-
    郊区,    261 870,    139 218,    122 652,    81 101,    46 077,    35 024,    10 781,    5 556,    5 225,    169 988,    87 585,    82 403
  晋城市,    677 045,    349 741,    327 304,    114 323,    64 861,    49 462,    229 990,    117 030,    112 960,    332 732,    167 850,    164 882
    城区,    190 048,    102 964,    87 084,    114 323,    64 861,    49 462,-,-,-,    75 725,    38 103,    37 622
    郊区,    486 997,    246 777,    240 220,-,-,-,    229 990,    117 030,    112 960,    257 007,    129 747,    127 260
  朔州市,    469 903,    247 339,    222 564,    76 778,    41 584,    35 194,    54 672,    28 571,    26 101,    338 453,    177 184,    161 269
    朔城区,    301 966,    159 410,    142 556,    48 799,    27 097,    21 702,    36 681,    19 110,    17 571,    216 486,    113 203,    103 283
    平鲁区,    167 937,    87 929,    80 008,    27 979,    14 487,    13 492,    17 991,    9 461,    8 530,    121 967,    63 981,    57 986
  忻州地区,    434 062,    226 311,    207 751,    127 752,    68 013,    59 739,    102 338,    52 985,    49 353,    203 972,    105 313,    98 659
    忻州市,    434 062,    226 311,    207 751,    127 752,    68 013,    59 739,    102 338,    52 985,    49 353,    203 972,    105 313,    98 659
  晋中地区,    467 127,    241 540,    225 587,    190 626,    97 864,    92 762,    90 392,    47 070,    43 322,    186 109,    96 606,    89 503
    榆次市,    467 127,    241 540,    225 587,    190 626,    97 864,    92 762,    90 392,    47 070,    43 322,    186 109,    96 606,    89 503
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表2-3单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,  合计,    男,    女,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  临汾地区,  1 009 333,    521 973,    487 360,    254 919,    135 941,    118 978,    353 892,    184 754,    169 138,    400 522,    201 278,  199 244
    临汾市,    582 690,    297 736,    284 954,    180 294,    95 597,    84 697,    164 416,    82 444,    81 972,    237 980,    119 695,  118 285
    侯马市,    178 480,    91 977,    86 503,    74 625,    40 344,    34 281,-,-,-,    103 855,    51 633,    52 222
    霍州市,    248 163,    132 260,    115 903,-,-,-,    189 476,    102 310,    87 166,    58 687,    29 950,    28 737
  运城地区,    492 291,    251 059,    241 232,    159 807,    85 823,    73 984,    140 466,    69 694,    70 772,    192 018,    95 542,    96 476
    运城市,    492 291,    251 059,    241 232,    159 807,    85 823,    73 984,    140 466,    69 694,    70 772,    192 018,    95 542,    96 476
内蒙古自治区,  6 446 955,  3 323 731,  3 123 224,    3 582 719,  1 834 936,    1 747 783,    969 832,    502 129,    467 703,    1 894 404,    986 666,    907 738
  呼和浩特市,    938 470,    490 792,    447 678,    626 106,    322 204,    303 902,    27 242,    16 675,    10 567,    285 122,    151 913,    133 209
    新城区,    346 854,    179 628,    167 226,    346 854,    179 628,    167 226,-,-,-,-,-,-
    回民区,    171 776,    87 684,    84 092,    171 776,    87 684,    84 092,-,-,-,-,-,-
    玉泉区,    107 476,    54 892,    52 584,    107 476,    54 892,    52 584,-,-,-,-,-,-
