表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
    江山市,    519 929,    270 848,    249 081,    84 453,    44 518,    39 935,    435 476,    226 330,    209 146
  舟山市,    672 267,    342 748,    329 519,    212 278,    108 692,    103 586,    459 989,    234 056,    225 933
    定海区,    342 831,    173 949,    168 882,    105 228,    52 894,    52 334,    237 603,    121 055,    116 548
    普陀区,    329 436,    168 799,    160 637,    107 050,    55 798,    51 252,    222 386,    113 001,    109 385
  丽水地区,    323 933,    168 842,    155 091,    111 987,    57 358,    54 629,    211 946,    111 484,    100 462
    丽水市,    323 933,    168 842,    155 091,    111 987,    57 358,    54 629,    211 946,    111 484,    100 462
  台州地区,    2 263 688,    1 151 038,    1 112 650,    442 985,    223 798,    219 187,    1 820 703,    927 240,    893 463
    椒江市,    394 516,    199 940,    194 576,    125 306,    64 135,    61 171,    269 210,    135 805,    133 405
    临海市,    980 541,    497 652,    482 889,    178 164,    89 919,    88 245,    802 377,    407 733,    394 644
    黄岩市,    888 631,    453 446,    435 185,    139 515,    69 744,    69 771,    749 116,    383 702,    365 414
安徽省,    10 691 812,    5 535 192,    5 156 620,    4 807 518,    2 519 588,    2 287 930,    5 884 294,    3 015 604,    2 868 690
  合肥市,    1 099 523,    586 848,    512 675,    714 242,    383 151,    331 091,    385 281,    203 697,    181 584
    东市区,    199 067,    104 624,    94 443,    199 067,    104 624,    94 443,-,-,-
    中市区,    195 244,    100 258,    94 986,    195 244,    100 258,    94 986,-,-,-
    西市区,    272 222,    150 679,    121 543,    272 222,    150 679,    121 543,-,-,-
    郊区,    432 990,    231 287,    201 703,    47 709,    27 590,    20 119,    385 281,    203 697,    181 584
  芜湖市,    552 932,    285 000,    267 932,    441 999,    226 911,    215 088,    110 933,    58 089,    52 844
    镜湖区,    152 914,    77 493,    75 421,    152 914,    77 493,    75 421,-,-,-
    新芜区,    191 558,    98 619,    92 939,    191 558,    98 619,    92 939,-,-,-
    马塘区,    75 546,    38 752,    36 794,    57 981,    29 551,    28 430,    17 565,    9 201,    8 364
    鸠江区,    132 914,    70 136,    62 778,    39 546,    21 248,    18 298,    93 368,    48 888,    44 480
  蚌埠市,    695 040,    357 000,    338 040,    447 084,    229 197,    217 887,    247 956,    127 803,    120 153
    东区,    190 369,    98 832,    91 537,    190 369,    98 832,    91 537,-,-,-
    中区,    70 893,    35 463,    35 430,    70 893,    35 463,    35 430,-,-,-
    西区,    183 779,    93 839,    89 940,    183 779,    93 839,    89 940,-,-,-
    郊区,    249 999,    128 866,    121 133,    2 043,    1 063,    980,    247 956,    127 803,    120 153
  淮南市,    1 228 052,    641 220,    586 832,    724 157,    378 038,    346 119,    503 895,    263 182,    240 713
    大通区,    117 108,    60 246,    56 862,    57 863,    29 415,    28 448,    59 245,    30 831,    28 414
    田家庵区,    309 784,    160 885,    148 899,    249 294,    129 241,    120 053,    60 490,    31 644,    28 846
    谢家集区,    258 474,    133 759,    124 715,    222 902,    115 342,    107 560,    35 572,    18 417,    17 155
    八公山区,    164 000,    85 615,    78 385,    129 562,    67 597,    61 965,    34 438,    18 018,    16 420
    潘集区,    378 686,    200 715,    177 971,    64 536,    36 443,    28 093,    314 150,    164 272,    149 878
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  马鞍山市,    444 586,    233 678,    210 908,    327 676,    174 002,    153 674,    116 910,    59 676,    57 234
    金家庄区,    84 525,    46 593,    37 932,    84 525,    46 593,    37 932,-,-,-
    花山区,    111 517,    57 956,    53 561,    111 517,    57 956,    53 561,-,-,-
    雨山区,    101 704,    53 667,    48 037,    101 704,    53 667,    48 037,-,-,-
    向山区,    146 840,    75 462,    71 378,29 930,    1 5 786,    14 144,    116 910,    59 676,    57 234
  淮北市,    535 823,    283 860,    251 963,    290 390,161 513,    128 877,    245 433,    122 347,    123 086
    杜集区,    261 728,    137 145,    124 583,    95 632,    54 374,    41 258,    166 096,    82 771,    83 325
    相山区,    192 837,    102 606,    90 231,    137 832,    74 647,    63 185,    55 005,    27 959,    27 046
    烈山区,    81 258,    44 109,    37 149,    56 926,    32 492,    24 434,    24 332,    11 617,    12 715
  铜陵市,    256 458,    136 835,    119 623,    249 792,    133 466,    116 326,    6 666,    3 369,    3 297
    铜官山区,    179 784,    96 336,    83 448,    179 784,    96 336,    83 448,-,-,-
    狮子山区,    45 978,    24 656,    21 322,    45 978,    24 656,    21 322,-,-,-
    郊区,    30 696,    15 843,    14 853,    24 030,    12 474,11 556,    6 666,    3 369,    3 297
  安庆市,    464 112,    236 639,    227 473,    273 851,    139 992,    1 33 859,    190 261,    96 647,    93 614
    迎江区,    126 731,    64 374,    62 357,    126 731,    64 374,    62 357,-,-,-
    大观区,    144 097,    73 934,    70 163,    144 097,    73 934,    70 163,-,-,-
    郊区,    193 284,    98 331,    94 953,    3 023,    1 684,    1 339,    190 261,    96 647,    93 614
  黄山市,    376 521,    195 999,    180 522,    97 932,    52 866,    45 066,    278 589,    143 133,    135 456
    屯溪区,    128 472,    66 444,    62 028,    70 021,    37 784,    32 237,    58 451,    28 660,    29 791
    黄山区,    155 241,    82 017,    73 224,    17 751,    9 480,    8 271,    137 490,    72 537,    64 953
    徽州区,    92 808,    47 538,    45 270,    10 160,    5 602,    4 558,    82 648,    41 936,    40 712
  阜阳地区,2 073 118,    1 049 677,    1 023 441,    431 522,    216 724,    214 798,    1 641 596,    832 953,    808 643
    阜阳市,    232 349,    119 125,    113 224,142 170,    72 754,    69 416,    90 179,    46 371,    43 808
    毫州市,    1 198 295,    606 825,    591 470,    163 296,    81 069,    82 227,    1 034 999,    525 756,    509 243
    界首市,    642 474,    323 727,    318 747,    126 056,    62 901,    63 155,    516 418,    260 826,    255 592
  宿县地区,    257 705,    130 522,    127 183,    171 526,    87 835,    83 691,    86 179,    42 687,    43 492
    宿州市,    257 705,    130 522,    127 183,    171 526,    87 835,    83 691,    86 179,    42 687,    43 492
  滁县地区,    416 926,    213 884,    203 042,    139 717,    71 626,    68 091,    277 209,    142 258,    134 951
    滁州市,    416 926,    213 884,    203 042,    139 717,    71 626,    68 091,    277 209,    142 258,    134 951
  六安地区,    191 447,    98 818,    92 629,    150 233,    77 506,    72 727,    41 214,      21 312,    19 902
    六安市,    191 447,    98 818,    92 629,    150 233,    77 506,    72 727,    41 214,    21 312,    19 902
  宣城地区,    768 944,    402 401,    366 543,    137 930,    73 610,    64 320,    631 014,    328 791,    302 223
    宣州市,    768 944,    402 401,    366 543,    137 930,    73 610,    64 320,    631 014,    328 791,    302 223
  巢湖地区,    759 557,    389 006,    370 551,    153 002,    81 804,    71 198,    606 555,    307 202,    299 353
    巢湖市,    759 557,    389 006,    370 551,    153 002,    81 804,    71 198,    606 555,    307 202,    299 353
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  池州地区,    571 068,    293 805,    277 263,    56 465,    31 347,    25 118,    514 603,    262 458,    252 145
    贵池市,    571 068,    293 805,    277 263,    56 465,    31 347,    25 118,    514 603,    262 458,    252 145
福建省,    6 319 269,    3 312 276,    3 006 993,    2 692 761,    1 420 555,    1 272 206,    3 626 508,    1 891 721,    1 734 787
  福州市,    1 395 739,    725 333,    670 406,    875 173,    457 114,    418 059,    520 566,    268 219,    252 347
    鼓楼区,    414 444,    217 476,    196 968,    414 444,    217 476,    196 968,-,-,-
    台江区,    296 939,    152 556,    144 383,    296 939,    152 556,    144 383,-,-,-
    仓山区,    123 015,    64 512,    58 503,    123 015,    64 512,    58 503,-,-,-
    马尾区,    45 469,    24 465,    21 004,    29 110,    15 816,    13 294,    16 359,    8 649,    7 710
    郊区,    515 872,    266 324,    249 548,    11 665,    6 754,    4 911,    504 207,    259 570,    244 637
  厦门市,    639 436,    335 690,    303 746,    423 796,    225 954,    197 842,    215 640,    109 736,    105 904
    思明区,    120 155,    64 645,    55 510,    114 980,    62 018,    52 962,    5 175,    2 627,    2 548
    开元区,    223 460,    116 774,    106 686,    223 460,    116 774,    106 686,-,-,-
    杏林区,    63 171,    32 123,    31 048,    24 543,    12 841,    11 702,    38 628,    19 282,    19 346
    湖里区,    76 168,    41 073,    35 095,    34 327,    19 151,      15 176,    41 841,    21 922,    19 919
    集美区,    156 482,    81 075,    75 407,    26 486,    15 170,    11 316,    129 996,    65 905,    64 091
  莆田市,    311 336,    151 448,    159 888,    81 435,    40 861,    40 574,    229 901,    110 587,    119 314
    城厢区,    146 427,    71 314,    75 113,    41 705,    21 102,    20 603,    104 722,    50 212,    54 510
    涵江区,    164 909,    80 134,    84 775,    39 730,    19 759,    19 971,    125 179,    60 375,    64 804
  三明市,    585 646,    316 398,    269 248,    318 893,    173 777,    145 116,    266 753,    142 621,    124 132
    梅列区,    117 478,    63 578,    53 900,    94 061,    51 040,    43 021,    23 417,    12 538,    10 879
    三元区,    149 377,    79 772,    69 605,    89 680,    48 197,    41 483,    59 697,    31 575,    28 122
    永安市,    318 791,    173 048,    145 743,    135 152,    74 540,    60 612,    183 639,    98 508,    85 131
  泉州市,    752 742,    384 163,    368 579,    220 106,    112 579,    107 527,    532 636,    271 584,    261 052
    鲤城区,    479 695,    243 099,    236 596,    173 571,    88 720,    84 851,    306 124,    154 379,    151 745
    石狮市,    273 047,    141 064,    131 983,    46 535,    23 859,    22 676,    226 512,    117 205,    109 307
  漳州市,    341 637,    175 591,    166 046,    182 012,    93 936,    88 076,    159 625,    81 655,    77 970
    芗城区,    341 637,    175 591,    166 046,    182 012,    93 936,    88 076,    159 625,    81 655,    77 970
  南平地区,    972 309,    515 097,    457 212,    315 709,    168 649,    147 060,    656 600,    346 448,    310 152
    南平市,    466 995,    248 199,    218 796,    177 400,    94 612,    82 788,    289 595,    153 587,    136 008
    邵武市,    298 694,    156 983,    141 711,    101 116,    53 235,    47 881,    197 578,    103 748,    93 830
    武夷山市,    206 620,    109 915,    96 705,    37 193,    20 802,    16 391,    169 427,    89 113,    80 314
  宁德地区,    886 803,    477 685,    409 118,    119 727,    62 029,    57 698,    767 076,    415 656,    351 420
    宁德市,    361 223,    193 230,    167 993,    54 982,    28 379,    26 603,    306 241,    164 851,    141 390
    福安市,    525 580,    284 455,    241 125,    64 745,    33 650,    31 095,    460 835,    250 805,    210 030
  龙岩地区,    433 621,    230 871,    202 750,    155 910,    85 656,    70 254,    277 711,    145 215,    132 496
    龙岩市,    433 621,    230 871,    202 750,    155 910,    85 656,    70 254,    277 711,    145 215,    132 496
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
江西省,    8 665 073,    4 473 299,    4 191 774,    2 822 414,    1 461 294,1 361 120,    5 842 659,    3 012 005,    2 830 654
  南昌市,    1 262 031,    648 331,    613 700,    911 872,    467 433,    444 439,    350 159,    180 898,    169 261
    东湖区,    340 929,    175 458,    165 471,    340 929,    175 458,    165 471,-,-,-
    西湖区,    405 090,    205 263,    199 827,    405 090,    205 263,    199 827,-,-,-
    青云谱医,    140 689,    73 329,    67 360,    140 689,    73 329,    67 360,-,-,-
    湾里区,    72 744,    37 688,    35 056,    22 650,    12 077,    10 573,    50 094,    25 611,    24 483
    郊区,    302 579,    156 593,    145 986,    2 514,    1 306,    1 208,    300 065,    155 287,    144 778
  景德镇市,    369 995,    193 714,    176 281,    281 768,    147 634,    134 134,    88 227,    46 080,    42 147
    昌江区,    118 043,    61 624,    56 419,    29 816,    15 544,    14 272,    88 227,    46 080,    42 147
    珠山区,    251 952,    132 090,    119 862,    251 952,    132 090,    119 862,-,-,-
  萍乡市,    1 388 427,    715 382,    673 045,    248 929,    128 651,    120 278,    1 139 498,    586 731,    552 767
    城关区,    321 410,    164 903,    156 507,    186 708,    96 263,    90 445,    134 702,    68 640,    66 062
    上粟区,    422 827,    217 328,    205 499,    6 048,    3 060,    2 988,    416 779,    214 268,    202 511
    芦溪区,    268 076,    139 008,    129 068,    20 573,    10 286,    10 287,    247 503,    128 722,    118 781
    湘东区,    376 114,    194 143,    181 971,    35 600,    19 042,    16 558,    340 514,    175 101,    165 413
  九江市,    791 224,    409 911,    381 313,    315 895,    165 256,    150 639,    475 329,    244 655,    230 674
    庐山区,    213 545,    110 238,    103 307,    45 586,    23 908,    21 678,    167 959,    86 330,    81 629
    浔阳区,    215 934,111 721,    104 213,    215 934,    111 721,    104 213,-,-,-
    瑞昌市,    361 745,    187 952,    173 793,    54 375,    29 627,    24 748,    307 370,    158 325,    149 045
  新余市,    608 213,    316 132,    292 081,    78 951,    42 002,    36 949,    529 262,    274 130,    255 132
    渝水区,    608 213,    316 132,    292 081,    78 951,    42 002,    36 949,    529 262,    274 130,    255 132
  鹰潭市,    135 222,    70 534,    64 688,    79 051,    41 631,    37 420,    56 171,    28 903,    27 268
    月湖区,    1 35 222,    70 534,    64 688,    79 051,    41 631,    37 420,    56 171,    28 903,    27 268
  赣州地区,    391 454,    204 647,    186 807,    187 938,    99 154,    88 784,    203 516,    105 493,    98 023
    赣州市,    391 454,    204 647,    186 807,    187 938,    99 154,    88 784,    203 516,    105 493,    98 023
  宜春地区,    2 344 194,    1 206 210,    1 137 984,    301 456,    155 767,    145 689,    2 042 738,    1 050 443,    992 295
    宜春市,    836 105,    434 592,    401 513,    141 150,    72 410,    68 740,    694 955,    362 182,    332 773
    丰城市,    1 018 911,    520 852,    498 059,    67 393,    35 420,    31 973,    951 518,    485 432,    466 086
    樟树市,489 178,    250 766,    238 412,    92 913,    47 937,    44 976,    396 265,    202 829,    193 436
  上饶地区,    167 570,    84 689,    82 881,    124 168,    62 374,    61 794,    43 402,    22 315,    21 087
    土饶市,    167 570,    84 689,    82 881,    124 168,    62 374,    61 794,    43 402,    22 315,    21 087
  吉安地区,    334 086,    171 536,    162 550,    149 463,    77 604,    71 859,    184 623,    93 932,    90 691
    吉安市,    288 501,    147 647,    140 854,    141 702,    73 416,    68 286,    146 799,    74 231,    72 568
    井冈山市,    45 585,    23 889,    21 696,    7 761,    4 188,    3 573,    37 824,    19 701,    18 123
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  抚州地区,    872 657,    452 213,    420 444,    142 923,    73 788,    69 135,    729 734,    378 425,    351 309
    临川市,    872 657,    452 213,    420 444,    142 923,    73 788,    69 135,    729 734,    378 425,    351 309
山东省,    33 891 359,    17 315 416,    16 575 943,    9 253 905,    4 857 359,    4 396 546,    24 637 454,    12 458 057,    12 179 397
  济南市,    2 403 946,    1 241 904,    1 162 042,    1 437 596,    753 421,    684 175,    966 350,    488 483,    477 867
    历下区,    389 897,    208 564,    181 333,    349 515,    187 922,    161 593,    40 382,    20 642,    19 740
    市中区,    328 443,    168 994,    159 449,    300 734,    153 835,    146 899,    27 709,    15 159,    12 550
    槐荫区,    337 044,    172 737,    164 307,    247 313,    127 344,    119 969,    89 731,    45 393,    44 338
    天桥区,    382 418,    195 134,    187 284,    328 818,    168 109,    160 709,    53 600,    27 025,    26 575
    历城区,    966 144,    496 475,    469 669,    211 216,    116 211,    95 005,    754 928,    380 264,    374 664
  青岛市,    5 124 868,    2 603 627,2 521 241,    1 672 359,    857 661,    814 698,    3 452 509,    1 745 966,    1 706 543
    市南区,    352 148,    177 688,    174 460,    352 148,    177 688,    174 460,-,-,-
    市北区,    163 299,    84 253,    79 046,    163 299,    84 253,    79 046,-,-,-
    台东区,    206 396,    104 282,102 114,    206 396,    104 282,    102 114,-,-,-
    四方区,    277 198,    142 702,    134 496,    277 198,    142 702,    134 496,-,-,-
    沧口区,    288 641,    148 954,    139 687,    254 013,    131 639,    122 374,    34 628,    17 315,    17 313
    黄岛区,    105 253,    54 910,    50 343,    28 888,    16 534,    12 354,    76 365,    38 376,    37 989
    崂山区,    708 873,    356 440,    352 433,    50 132,    27 764,    22 368,    658 741,    328 676,    330 065
    胶州市,    707 536,    357 763,    349 773,    162 603,    80 985,    81 618,    544 933,    276 778,    268 155
    即墨市,    1 018 709,    512 606,    506 103,    62 743,    31 487,    31 256,    955 966,    481 119,    474 847
    平度市,1 296 815,    664 029,    632 786,    114 939,    60 327,    54 612,    1 181 876,    603 702,    578 174
  淄博市,    2 484 206,    1 271 194,    1 213 012,    776 912,    415 876,    361 036,    1 707 294,    855 318,    851 976
    淄川区,    656 773,    336 501,    320 272,    67 454,    41 093,    26 361,        589 319,    295 408,    293 911
    张店区,    525 576,    276 638,    248 938,    287 140,    156 096,    131 044,    238 436,    120 542,    117 894
    博山区,    470 385,    236 662,    233 723,    192 199,981641,93558,    278 186,    138 021,    140 165
    临淄区,    546 583,    279 338,    267 245,    124 674,    65 841,    58 833,    421 909,    213 497,    208 412
    周村区,    284 889,    142 055,    142 834,    105 445,    54 205,    51 240,    179 444,    87 850,    91 594
  枣庄市,    3 191 974,    1 656 817,    1 535 157,    478 203,    261 248,    216 955,    2 713 771,    1 395 569,    1 318 202
    市中区,    395 654,    204 277,    191 377,    167 457,    88 239,    79 218,228 197,    116 038,    112 159
    薛城区,    396 225,    204 572,    191 653,    74 197,    39 275,    34 922,    322 028,    165 297,    156 731
    峄城区,    322 456,    165 599,    156 857,    29 742,    15 276,    14 466,    292 714,    150 323,    142 391
    台儿庄区,    254 893,    130 593,    124 300,    20 281,    10 428,    9 853,    234 612,    120 165,    114 447
    山亭区,    423 875,    221 461,    202 414,    10 964,    5 993,    4 971,    412 911,    215 468,    197 443
    滕州市,    1 398 871,    730 315,    668 556,    175 562,    102 037,    73 525,    1 223 309,    628 278,    595 031
  东营市,    644 494,    340 684,    303 810,    394 996,    215 214,    179 782,    249 498,    125 470,    124 028
    东营区,    465 334,    245 184,    220 150,    291 817,    158 068,    133 749,    173 517,    87 116,    86 401
    河口区,    179 160,    95 500,    83 660,    103 179,    57 146,    46 033,    75 981,    38 354,    37 627
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  省、自治区、直辖市的市按居委会、村委会分的人口数(续19),,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  烟台市,    3 204 669,    1 624 839,    1 579 830,    825 623,    431 809,    393 814,    2 379 046,    1 193 030,    1 186 016
    芝罘区,    547 564,    288 376,    259 188,    389 376,    206 484,    182 892,    158 188,    81 892,    76 296
    福山区,    290 511,    144 847,    145 664,    32 906,    16 416,    16 490,    257 605,    128 431,    129 174
    龙口市,    599 386,    298 930,    300 456,    81 156,    41 967,    39 189,    518 230,    256 963,    261 267
    莱阳市,    896 055,    454 830,    441 225,    173 585,    90 373,    83 212,    722 470,    364 457,    358 013
    莱州市,    871 153,    437 856,    433 297,    148 600,    76 569,    72 031,    722 553,    361 287,    361 266
  潍坊市,    3 037 535,    1 550 501,    1 487 034,    594 023,    315 271,    278 752,    2 443 512,    1 235 230,    1 208 282
    潍城区,    559 239,    288 419,    270 820,    299 411,    157 521,    141 890,    259 828,    130 898,    128 930
    寒亭区,    351 235,    180 047,    171 188,    54 316,    30 034,    24 282,    296 919,    150 013,    146 906
    坊子区,    241 288,    124 088,    117 200,    38 917,    21 668,    17 249,    202 371,    102 420,    99 951
    青州市,    855 115,    434 522,    420 593,    103 833,    55 327,    48 506,    751 282,    379 195,    372 087
    诸城市,    1 030 658,    523 425,    507 233,    97 546,    50 721,    46 825,    933 112,    472 704,    460 408
  济宁市,    1 465 656,    751 681,    713 975,    265 886,    137 116,    128 770,    1 199 770,    614 565,    585 205
    市中区,    286 853,    147 420,    139 433,    151 225,    77 514,    73 711,    135 628,    69 906,    65 722
    市郊区,    584 317,    298 352,    285 965,    31 838,    16 784,    15 054,    552 479,    281 568,    270 911
    曲阜市,    594 486,    305 909,    288 577,    82 823,    42 818,    40 005,    51 1 663,    263 091,    248 572
  泰安市,    3 824 748,    1 961 856,    1 862 892,  1 027 200,    549 953,    477 247,    2 797 548,    1 411 903,    1 385 645
    泰山区,    364 825,    190 009,    174 816,    295 449,    155 855,    139 594,    69 376,    34 154,    35 222
    郊区,    1 047 974,    530 449,    517 525,    70 994,    37 729,    33 265,    976 980,    492 720,    484 260
    莱芜市,    1 105 473,    565 826,    539 647,    320 698,    171 786,    148 912,    784 775,    394 040,    390 735
    新泰市,    1 306 476,    675 572,    630 904,    340 059,    184 583,    155 476,    966 417,    490 989,    475 428
  威海市,    1 733 287,    874 041,    859 246,    327 371,    170 730,    156 641,    1 405 916,    703 311,    702 605
    环翠区,    262 790,    131 726,    131 064,    107 271,    55 220,    52 051,    155 519,    76 506,    79 013
    文登市,    716 211,    361 665,    354 546,    123 836,    65 153,    58 683,    592 375,    296 512,    295 863
    荣成市,    754 286,    380 650,    373 636,    96 264,    50 357,    45 907,    658 022,    330 293,    327 729
  日照市,    1 027 724,    520 978,    506 746,    248 388,    125 394,    122 994,    779 336,    395 584,    383 752
    日照市,    1 027 724,    520 978,    506 746,    248 388,    125 394,    122 994,    779 336,    395 584,    383 752
  惠民地区,    563 064,    285 951,    277 113,    122 686,    65 365,    57 321,    440 378,    220 586,    219 792
    滨州市,    563 064,    285 951,    277 113,    122 686,    65 365,    57 321,    440 378,    220 586,    219 792
  德州地区,    929 162,    474 108,    455 054,    221 578,    115 633,    105 945,    707 584,    358 475,    349 109
    德州市,    321 381,    165 639,    155 742,    186 218,    97 473,    88 745,    135 163,    68 166,    66 997
    乐陵市,    607 781,    308 469,    299 312,    35 360,    18 160,    17 200,    572 421,    290 309,    282 112
  聊城地区,    1 511 068,    756 900,    754 168,    346 491,    176 344,    170 147,    1 164 577,    580 556,    584 021
    聊城市,    838 309,    420 364,    417 945,    220 060,    113 671,    106 389,    618 249,    306 693,    311 556
    临清市,    672 759,    336 536,    336 223,    126 431,    62 673,    63 758,    546 328,    273 863,    272 465
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
   表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  临沂地区,    1 590 160,    813 972,    776 188,    260 558,    135 718,    124 840,    1 329 602,    678 254,    651 348
    临沂市,    1 590 160,    813 972,    776 188,    260 558,    135 718,    124 840,    1 329 602,    678 254,    651 348
  菏泽地区,    1 154 798,    586 363,    568 435,    254 035,    130 606,    123 429,    900 763,    455 757,    445 006
    菏泽市,    1 1 54 798,    586 363,    568 435,    254 035,    130 606,    123 429,    900 763,    455 757,    445 006
河南省,    14 764 841,    7 659 727,    7 105 114,    6 116 902,    3 250 276,    2 866 626,    8 647 939,    4 409 451,    4 238 488
  郑州市,    1 752 374,    911 159,    841 215,    1 134 174,    597 103,    537 071,    618 200,    314 056,    304 144
    中原区,    419 533,    216 386,    203 147,    275 466,    143 849,    131 617,    144 067,    72 537,    71 530
    二七区,    377 543,    196 702,    180 841,    269 585,    141 327,    128 258,    107 958,    55 375,    52 583
    管城回族区,    267 241,    136 454,    130 787,    172 015,    88 065,    83 950,    95 226,    48 389,    46 837
    金水区,    487 259,    257 187,    230 072,    357 687,    190 921,    166 766,    129 572,    66 266,    63 306
    上街区,    56 865,    30 428,    26 437,    41 350,    22 642,    18 708,    15 515,    7 786,    7 729
    邙山区,    132 685,    67 375,    65 310,    6 823,    3 672,    3 151,    125 862,    63 703,    62 159
    郑州矿区管委,    11 248,    6 627,    4 621,    11 248,    6 627,    4 621,-,-,-
  开封市,    693 148,    346 968,    346 180,    497 911,    248 493,    249 418,    195 237,    98 475,    96 762
    龙亭区,    87 996,    43 969,    44 027,    87 996,    43 969,    44 027,-,-,-
    顺河回族区,    172 917,    87 797,    85 120,    172 917,    87 797,    85 120,-,-,-
    古楼区,    118 111,    57 999,    60 112,    118 111,      57 999,    60 112,-,-,-
    南关区,    118 887,    58 728,    60 159,    118 887,    58 728,    60 159,-,-,-
    郊区,    195 237,    98 475,    96 762,-,-,-,    195 237,    98 475,    96 762
  洛阳市,    1 202 192,    622 754,    579 438,    725 360,    384 948,    340 412,    476 832,    237 806,    239 026
    老城区,    84 334,    42 900,    41 434,    84 334,    42 900,    41 434,-,-,-
    西工区,    216 330,    113 932,    102 398,    216 330,    113 932,    102 398,-,-,-
    廛河回族区,    96 497,    51 778,    44 719,    96 497,    51 778,    44 719,-,-,-
    涧西区,    273 576,    145 402,128 174,    273 576,    145 402,    128 174,-,-,-
    吉利区,    56 003,    29 275,    26 728,    18 669,    10 747,    7 922,    37 334,    18 528,    18 806
    郊区,    475 452,    239 467,    235 985,    35 954,    20 189,    15 765,    439 498,    219 278,    220 220
  平顶山市,    1 827 593,    970 368,    857 225,    493 655,    285 424,    208 231,    1 333 938,    684 944,    648 994
    新华区,    249 348,    146 966,    102 382,    249 348,    146 966,    102 382,-,-,-
    卫东区,    181 493,    105 220,    76 273,    181 493,    105 220,    76 273,-,-,-
    郊区,    269 198,    135 958,    133 240,-,-,-,    269 198,    135 958,    133 240
    舞钢区,    296 653,    156 177,140 476,    46 636,    25 074,    21 562,    250 017,    131 103,    118 914
    汝州市,    830 901,    426 047,    404 854,    16 178,    8 164,    8 014,    814 723,    417 883,    396 840
  安阳市,    616 803,    323 193,    293 610,    410 367,    220 587,    189 780,    206 436,    102 606,    103 830
    文峰区,    122 319,    62 586,    59 733,    122 319,    62 586,    59 733,-,-,-
    北关区,    147 662,    75 504,    72 158,    147 662,    75 504,    72 158,-,-,-
    铁西区,    140 386,    82 497,    57 889,    140 386,    82 497,    57 889,-,-,-
    郊区,    206 436,    102 606,    103 830,-,-,-,    206 436,    102 606,    103 830
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  鹤壁市,    377 346,    204 433,    172 913,    198 209,    109 708,    88 501,    179 137,    94 725,    84 412
    鹤山区,    68 044,    38 815,    29 229,    68 044,    38 815,    29 229,-,-,-
    山城区,    128 467,    69 694,    58 773,    128 467,    69 694,    58 773,-,-,-
    郊区,    180 835,    95 924,    84 911,    1 698,    1 199,    499,    179 137,    94 725,    84 412
  新乡市,    1 770 370,    906 613,    863 757,    537 788,    283 217,    254 571,    1 232 582,    623 396,    609 186
    红旗区,    235 425,    122 025,    113 400,    235 425,    122 025,    113 400,-,-,-
    新华区,    184 556,    95 146,    89 410,    184 556,    95 146,    89 410,-,-,-
    北站区,    86 042,    49 180,    36 862,    30 366,    20 656,    9 710,    55 676,    28 524,    27 152
    郊区,    107 334,    54 336,    52 998,-,-,-,    107 334,    54 336,    52 998
    卫辉市,    439 565,    222 058,    217 507,    70 376,    36 555,    33 821,    369 189,    185 503,    183 686
    辉县市,    717 448,    363 868,    353 580,    17 065,    8 835,    8 230,    700 383,    355 033,    345 350
  焦作市,    1 578 461,    815 113,    763 348,    497 538,    270 632,    226 906,    1 080 923,    544 481,    536 442
    解放区,    216 624,    114 484,    102 140,    176 479,    93 706,    82 773,    40 145,    20 778,    19 367
