表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
    定州市,    1 024 589,    513 756,    510 833,    170 104,    85 842,    84 262,    854 485,    427 914,    426 571
    涿州市,    486 589,    247 416,    239 173,    107 087,    53 650,    53 437,    379 502,    193 766,    185 736
  沧州地区,    1 417 364,    719 339,    698 025,    182 171,    93 161,    89 010,    1 235 193,    626 178,    609 015
    泊头市,    494 656,    250 714,    243 942,    70 002,    35 328,    34 674,    424 654,    215 386,    209 268
    任丘市,    569 378,    288 228,    281 150,    92 670,    47 473,    45 197,    476 708,    240 755,    235 953
    黄骅市,    353 330,    180 397,    172 933,    19 499,    10 360,    9 139,    333 831,    170 037,    163 794
  衡水地区,    329 781,    168 288,    161 493,    124 872,    66 839,    58 033,    204 909,    101 449,    103 460
    衡水市,    329 781,    168 288,    161 493,    124 872,    66 839,    58 033,    204 909,    101 449,    103 460
山西省,    8 178 738,    4 304 550,    3 874 188,    4 298 560,    2 313 450,    1 985 110,    3 880 178,    1 991 100,    1 889 078
  太原市,    2 224 580,    1 180 565,    1 044 015,    1 636 409,    875 062,    761 347,    588 171,    305 503,    282 668
    南城区,    564 675,    295 550,    269 125,    564 675,    295 550,    269 125,-,-,-
    北城区,    573 018,    301 056,    271 962,    573 018,    301 056,    271 962,-,-,-
    河西区,    413 083,    227 544,    185 539,    413 083,    227 544,    185 539,-,-,-
    南郊区,    294 823,    151 838,    142 985,    20 917,    12 489,    8 428,    273 906,    139 349,    134 557
    北郊区,    205 959,    108 020,    97 939,    5 947,    3 129,    2 818,    200 012,    104 891,    95 121
    古交市,    173 022,      96 557,    76 465,    58 769,    35 294,    23 475,    114 253,    61 263,    52 990
  大同市,    1 277 310,    680 916,    596 394,    917 288,    486 415,    430 873,    360 022,    194 501,    165 521
    城区,    420 337,    217 345,    202 992,    420 337,    217 345,    202 992,-,-,-
    矿区,    474 983,    257 094,    217 889,    474 983,    257 094,    217 889,-,-,-
    南郊区,    282 183,    152 505,    129 678,    12 462,    6 900,    5 562,    269 721,    145 605,    124 116
    新荣区,    99 807,    53 972,    45 835,    9 506,    5 076,    4 430,    90 301,    48 896,    41 405
  阳泉市,    574 832,    312 692,    262 140,    343 965,    193 071,    150 894,    230 867,    119 621,    111 246
    城区,    131 564,    69 794,    61 770,    131 564,    69 794,    61 770,-,-,-
