表2-4省自治区直辖市的市按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  济南市,  2 403 946,    1 241 904,    1 162 042,    1 361 068,    721 526,  639 542,    1 032 276,    515 302,    516 974,    10 602,    5 076,    5 526,    56.62
    历下区,    389 897,  208 564,    181 333,    330 981,    177 156,  153 825,    56 722,    30 286,    26 436,    2 194,    1 122,    1 072,    84.89
    市中区,    328 443,  168 994,    159 449,    284 449,    145 197,  139 252,    42 472,    23 110,    19 362,    1 522,    687,    835,    86.61
    槐荫区,    337 044,  172 737,    164 307,    225 575,    117 623,  107 952,    109 056,    53 948,    55 108,    2 413,    1 166,    1 247,    66.93
    天桥区,    382 418,  195 134,    187 284,    322 030,    166 918,  155 112,    58 838,    27 517,    31 321,    1 550,    699,    851,    84.21
    历城区,966 144,  496 475,    469 669,    198 033,    114 632,    83 401,    765 188,    380 441,    384 747,    2 923,    1 402,    1 521,    20.50
  青岛市,    5 124 868,  2 603 627,  2 521 241,  1 540 194,    811 641,    728 553,    3 569 817,  1 784 824,  1 784 993,    14 857,    7 162,    7 695,    30.05
    市南区,    352 148,    177 688,    174 460,    335 850,    168 394,    167 456,    14 728,    8 475,    6 253,    1 570,    819,    751,    95.37
    市北区,    163 299,    84 253,    79 046,    155 021,    78 931,    76 090,    7 663,    4 960,    2 703,    615,    362,    253,    94.93
    台东区,    206 396,    104 282,    102 114,    197 561,    99 584,    97 977,    8 144,    4 323,    3 821,    691,    375,    316,    95.72
    四方区,    277 198,    142 702,    134 496,    262 702,  134 207,  128 495,    13 576,    7 978,    5 598,    920,    517,    403,    94.77
    沧口区,    288 641,    148 954,    139 687,    251 944,  129 759,  122 185,    35 871,    18 762,    17 109,    826,    433,    393,    87.29
    黄岛区,    105 253,    54 910,    50 343,    20 155,    12 356,    7 799,    84 324,    42 197,    42 127,    774,    357,    417,    19.15
    崂山区,    708 873,    356 440,    352 433,    94 232,    58 527,    35 705,    612 469,    296 810,    315 659,    2 172,    1 103,    1 069,    13.29
    胶州市,    707 536,    357 763,    349 773,    81 596,    44 658,    36 938,    624 305,    312 383,    311 922,    1 635,    722,    913,    11.53
    即墨市,  1 018 709,    512 606,    506 103,    65 166,    39 379,    25 787,    951 234,    472 191,    479 043,    2 309,    1 036,    1 273,    6.40
    平度市,  1 296 815,    664 029,    632 786,    75 967,    45 846,    30 121,    1 217 503,    616 745,    600 758,    3 345,    1 438,    1 907,    5.86
  淄博市,  2 484 206,  1 271 194,  1 213 012,    864 191,  491 711,  372 480,    1 614 427,    776 893,    837 534,    5 588,    2 590,    2 998,    34.79
    淄川区,    656 773,    336 501,    320 272,    151 522,    95 751,    55 771,    503 391,    239 861,    263 530,    1 860,    889,    971,    23.07
    张店区,    525 576,    276 638,    248 938,    276 800,    155 665,    121 135,    247 343,    120 287,    127 056,    1 433,    686,    747,    52.67
    博山区,    470 385,    236 662,    233 723,    199 044,    107 570,    91 474,    270 845,    128 890,    141 955,    496,    202,    294,    42.32
    临淄区,    546 583,    279 338,    267 245,    142 330,    79 999,    62 331,    402 946,    198 732,    204 214,    1 307,    607,    700,    26.04
    周村区,    284 889,    142 055,    142 834,    94 495,    52 726,    41 769,    189 902,    89 123,    100 779,    492,    206,    286,    33.17
  枣庄市,  3 191 974,  1 656 817,1 535 157,    465 960,  267 899,  198 061,    2 685 662,    1 373 123,    1 312 539,    40 352,    15 795,    24 557,    14.60
    市中区,    395 654,    204 277,    191 377,    168 314,    90 892,    77 422,    220 446,    110 108,    110 338,    6 894,    3 277,    3 617,    42.54
    薛城区,    396 225,    204 572,    191 653,    84 610,    47 659,    36 951,    303 721,    153 249,    150 472,    7 894,    3 664,    4 230,    21.35
    峄城区,    322 456,    165 599,    156 857,    26 430,    14 870,    11 560,    293 248,    149 482,    143 766,    2 778,    1 247,    1 531,    8.20
    台儿庄区,    254 893,    130 593,    124 300,    20 048,    11 488,    8 560,    229 633,    116 697,    112 936,    5 212,    2 408,    2 804,    7.87
    山亭区,    423 875,    221 461,    202 414,    9 993,    6 742,    3 251,    411 266,    213 667,    197 599,    2 616,    1 052,    1 564,    2.36
    滕州市,    1 398 871,    730 315,    668 556,    156 565,    96 248,    60 317,    1 227 348,    629 920,    597 428,    14 958,    4 147,    10 811,    11.19
  东营市,    644 494,    340 684,    303 810,    256 552,    154 286,    102 266,    384 889,    184 930,    199 959,    3 053,    1 468,    1 585,    39.81
    东营区,    465 334,    245 184,    220 150,    196 836,    117 464,    79 372,    266 455,    126 725,    139 730,    2 043,    995,        1 048,    42.30
    河口区,    179 160,    95 500,    83 660,    59 716,    36 822,    22 894,    118 434,    58 205,    60 229,    1 010,    473,    537,    33.33
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    的比例
  烟台市,  3 213 879,  1 630 253,  1 583 626,    640 708,  359 704, 281 004,  2 561 070,  1 264 586,  1 296 484,    12 101,    5 963,    6 138,    19.94
    芝罘区,    547 564,  288 376,    259 188,    356 359,  189 839, 166 520,    189 285,    97 414,    91 871,    1 920,    1 123,    797,    65.08
    福山区,    299 721,  150 261,    149 460,    43 586,    24 171,  19 415,    255 561,    125 811,    129 750,    574,    279,    295,    14.54
    龙口市,    599 386,  298 930,    300 456,    84 428,    50 290,  34 138,    513 051,    247 754,    265 297,    1 907,    886,    1 021,    14.09
    莱阳市,    896 055,  454 830,    441 225,    77 191,    45 980,  31 211,    814 817,    406 901,    407 916,    4 047,    1 949,    2 098,    8.61
    莱州市,    871 153,  437 856,    433 297,    79 144,    49 424,  29 720,    788 356,    386 706,    401 650,    3 653,    1 726,    1 927,    9.08
  潍坊市,  3 037 535,  1 550 501,  1 487 034,    520 023,  290 443, 229 580,  2 501 821,  1 252 644,  1 249 177,    15 691,    7 414,    8 277,    17.12
    潍城区,    559 239,    288 419,  270 820,    282 691,  151 927, 130 764,    274 405,    135 436,    138 969,    2 143,    1 056,    1 087,    50.55
    寒亭区,    351 235,    180 047,  171 188,    38 252,    22 714,  15 538,    311 780,    156 781,    154 999,    1 203,    552,    651,    10.89
    坊子区,    241 288,    124 088,  117 200,    37 631,    23 144,  14 487,    202 639,    100 483,    102 156,    1 018,    461,    557,    15.60
    青州市,855 115,    434 522,  420 593,    96 308,    53 802,  42 506,    757 016,    379 927,    377 089,    1 791,    793,    998,    11.26
    诸城市,  1 030 658,    523 425,  507 233,    65 141,    38 856,  26 285,    955 981,    480 017,    475 964,    9 536,    4 552,    4 984,    6.32
  济宁市,  1 465 656,    751 681,  713 975,    306 044,  166 284,  139 760,  1 146 303,    580 127,    566 176,    13 309,    5 270,    8 039,    20.88
    市中区,    286 853,    147 420,  139 433,    227 966,  119 895,  108 071,    55 439,    25 818,    29 621,    3 448,    1 707,    1 741,    79.47
    市郊区,    584 317,    298 352,  285 965,    20 339,    12 925,    7 414,    556 551,    282 775,    273 776,    7 427,    2 652,    4 775,    3.48
    曲阜市,    594 486,    305 909,  288 577,    57 739,    33 464,  24 275,    534 313,    271 534,    262 779,    2 434,    911,    1 523,    9.71
  泰安市,  3 824 748,  1 961 856,  1 862 892,    640 274,  378 167,  262 107,  3 170 662,  1 576 817,  1 593 845,    13 812,    6 872,    6 940,    16.74
    泰山区,    364 825,    190 009,    174 816,    209 488,  118 009,  91 479,    152 189,    70 293,    81 896,    3 148,    1 707,    1 441,    57.42
    郊区,  1 047 974,    530 449,    517 525,    36 521,    25 320,  11 201,  1 008 154,    503 578,    504 576,    3 299,    1 551,    1 748,    3.48
    莱芜市,  1 105 473,    565 826,    539 647,    186 196,  111 979,  74 217,    918 020,    453 225,    464 795,    1 257,    622,    635,    16.84
    新泰市,  1 306 476,    675 572,    630 904,    208 069,  122 859,  85 210,  1 092 299,    549 721,    542 578,    6 108,    2 992,    3 116,    15.93
  威海市,  1 733 287,    874 041,    859 246,    193 089,  110 501,  82 588,  1 536 219,    761 712,    774 507,    3 979,    1 828,    2 151,    11.14
    环翠区,    262 790,    131 726,    131 064,    83 051,  44 482,  38 569,    179 097,    86 935,    92 162,    642,    309,    333,    31.60
    文登市,    716 211,    361 665,    354 546,    54 739,  32 045,  22 694,    659 140,    328 604,    330 536,    2 332,1 016,    1 316,    7.64
    荣成市,    754 286,    380 650,    373 636,    55 299,  33 974,  21 325,    697 982,    346 173,    351 809,    1 005,    503,    502,    7.33
  日照市,  1 027 724,    520 978,    506 746,    108 876,  61 550,  47 326,    914 238,    457 438,    456 800,    4 610,    1 990,    2 620,    10.59
    日照市,  1 027 724,    520 978,    506 746,    108 876,  61 550,  47 326,    914 238,    457 438,    456 800,    4 610,    1 990,    2 620,    10.59
  惠民地区,    563 064,    285 951,    277 113,    128 629,  72 217,  56 412,    430 668,    211 984,    218 684,    3 767,    1 750,    2 017,    22.84
    滨州市,    563 064,    285 951,    277 113,    128 629,  72 217,  56 412,    430 668,    211 984,    218 684,    3 767,    1 750,    2 017,    22.84
  德州地区,    929 162,    474 108,    455 054,    217 169,  118 092,  99 077,    704 835,    352 475,    352 360,    7 158,    3 541,    3 617,    23.37
    德州市,    321 381,    165 639,    155 742,    183 243,    97 931,  85 312,    134 166,    65 790,    68 376,    3 972,    1 918,    2 054,    57.02
    乐陵市,    607 781,    308 469,    299 312,    33 926,    20 161,  13 765,    570 669,    286 685,    283 984,    3 186,    1 623,    1 563,    5.58
  聊城地区,  1 511 068,    756 900,    754 168,    244 108,  132 707,  111 401,  1 243 442,    612 803,    630 639,    23 518,    11 390,    12 128,    16.15
    聊城市,    838 309,    420 364,    417 945,    148 971,    81 965,  67 006,    679 428,    333 743,    345 685,    9 910,    4 656,    5 254,    17.77
    临清市,    672 759,    336 536,    336 223,    95 137,    50 742,  44 395,    564 014,    279 060,    284 954,    13 608,    6 734,    6 874,    14.14
  临沂地区,  1 590 160,    813 972,    776 188,    209 821,  121 003,  88 818,  1 365 952,    686 912,    679 040,    14 387,    6 057,    8 330,    13.19
    临沂市,  1 590 160,    813 972,    776 188,    209 821,  121 003,  88 818,  1 365 952,    686 912,    679 040,    14 387,    6 057,    8 330,    13.19
  菏泽地区,  1 154 798,    586 363,    568 435,    154 591,    86 579,  68 012,    938 417,    468 097,    470 320,    61 790,    31 687,    30 103,    13.39
    菏泽市,  1 154 798,    586 363,    568 435,    154 591,    86 579,  68 012,    938 417,    468 097,    470 320,    61 790,    31 687,    30 103,    13.39
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
河南省,  14 843 217,  7 717 057,  7 126 160,  6 128 386, 3 327 508, 2 800 878,    8 540 267,  4 302 962,  4 237 305,    174 564,    86 587,    87 977,    41.29
  郑州市,    1 796 843,    944 397,    852 446,  1 138 638,  608 197,    530 441,    640 319,    326 974,    313 345,    17 886,    9 226,    8 660,    63.37
    中原区,    419 533,    216 386,    203 147,  265 104,  139 759,    125 345,    150 740,    74 778,    75 962,    3 689,    1 849,    1 840,    63.19
    二七区,    377 543,    196 702,    180 841,  263 219,  137 745,    125 474,    110 701,    56 994,    53 707,    3 623,    1 963,    1 660,    69.72
    管城回族区,    267 241,    136 454,    130 787,  159 306,    82 440,    76 866,    104 822,    52 374,    52 448,    3 113,    1 640,    1 473,    59.61
    金水区,    487 259,    257 187,    230 072,  349 187,  185 652,  163 535,    133 794,    69 198,    64 596,    4 278,    2 337,    1 941,    71.66
    上街区,    56 865,    30 428,    26 437,    42 171,    23 313,    18 858,    13 818,    6 657,    7 161,    876,    458,    418,    74.16
    邙山区,    132 685,    67 375,    65 310,    17 240,    10 654,    6 586,    113 849,    56 078,    57 771,    1 596,    643,    953,    12.99
    郑州矿区管委,    55 717,    39 865,    15 852,    42 411,    28 634,    13 777,    12 595,    10 895,    1 700,    711,    336,    375,    76.12
  开封市,    700 435,    354 236,    346 199,    502 681,    258 965,  243 716,    193 929,    93 398,    100 531,    3 825,    1 873,    1 952,    71.77
    龙亭区,    87 996,    43 969,    44 027,    83 696,    42 015,    41 681,    3 680,    1 640,    2 040,    620,    314,    306,    95.11
    顺河回族区,    172 917,    87 797,    85 120,    162 084,    82 866,    79 218,    10 068,    4 561,    5 507,    765,    370,    395,    93.74
    古楼区,    125 398,    65 267,    60 131,    119 951,    62 949,    57 002,    4 636,    1 912,    2 724,    811,    406,    405,    95.66
    南关区,    118 887,    58 728,    60 159,    111 718,    55 709,    56 009,6 190,    2 530,    3 660,    979,    489,    490,    93.97
    郊区,    195 237,    98 475,    96 762,    25 232,    15 426,    9 806,    169 355,    82 755,    86 600,    650,    294,    356,    12.92
  洛阳市,  1 202 192,    622 754,    579 438,    729 509,  393 144,    336 365,    461 570,    223 306,    238 264,    11 113,    6 304,    4 809,    60.68
    老城区,    84 334,    42 900,    41 434,    76 920,    39 266,    37 654,    6 058,    2 557,    3 501,    1 356,    1 077,    279,    91.21
    西工区,    216 330,    113 932,    102 398,    202 447,  106 008,    96 439,    12 531,    7 053,    5 478,    1 352,    871,    481,    93.58
    廛河回族区,    96 497,    51 778,    44 719,    90 966,    48 776,    42 190,    4 828,    2 543,    2 285,    703,    459,    244,    94.27
    涧西区,    273 576,    145 402,    128 174,    259 804,  137 258,  122 546,    12 407,    7 283,    5 124,1 365,    861,    504,    94.97
    吉利区,    56 003,    29 275,    26 728,    20 529,    11 879,    8 650,    35 131,    17 218,    17 913,    343,    178,    165,    36.66
    郊区,    475 452,    239 467,    235 985,    78 843,    49 957,    28 886,    390 615,    186 652,    203 963,    5 994,    2 858,    3 136,    16.58
  平顶山市,  1 845 280,    982 934,    862 346,    502 537,  290 881,  211 656,    1 310 445,    676 626,    633 819,    32 298,    15 427,    16 871,    27.23
    新华区,    249 348,    146 966,    102 382,    203 694,  118 098,    85 596,    43 609,    27 874,    15 735,    2 045,    994,    1 051,    81.69
    卫东区,    181 493,    105 220,    76 273,    157 333,    88 689,    68 644,    22 964,    15 880,    7 084,    1 196,    651,    545,    86.69
    郊区,    269 198,    135 958,    133 240,    24 942,    14 582,    10 360,    234 424,    116 899,    117 525,    9 832,    4 477,    5 355,    9.27
    舞钢区,    296 653,    156 177,    140 476,    56 322,    31 422,    24 900,    233 478,    121 295,    112 183,    6 853,    3 460,    3 393,    18.99
    汝州市,    848 588,    438 613,    409 975,    60 246,    38 090,    22 156,    775 970,    394 678,    381 292,    12 372,    5 845,    6 527,    7.10
  安阳市,    616 803,    323 193,    293 610,    395 224,  214 337,  180 887,    214 003,    104 853,    109 150,    7 576,    4 003,    3 573,    64.08
    文峰区,    122 319,    62 586,    59 733,    115 759,    59 395,    56 364,    5 448,    2 568,    2 880,    1 112,    623,    489,    94.64
    北关区,    147 662,    75 504,    72 158,    137 500,    70 522,    66 978,    8 638,    4 051,    4 587,    1 524,    931,    593,    93.12
    铁西区,    140 386,    82 497,    57 889,    115 690,    68 669,    47 021,    23 138,    13 044,    10 094,    1 558,    784,    774,    82.41
    郊区,    206 436,    102 606,    103 830,    26 275,    15 751,    10 524,    176 779,    85 190,    91 589,    3 382,    1 665,    1 717,    12.73
  鹤壁市,    377 346,    204 433,    172 913,    196 101,  108 451,    87 650,    173 913,    92 519,    81 394,    7 332,    3 463,    3 869,    51.97
    鹤山区,    68 044,    38 815,    29 229,    57 742,    32 792,    24 950,    8 917,    5 356,    3 561,    1 385,    667,    718,    84.86
    山城区,    128 467,    69 694,    58 773,  116 344,    62 454,    53 890,    9 624,    5 995,    3 629,    2 499,    1 245,1 254,    90.56
    郊区,    180 835,    95 924,    84 911,    22 015,    13 205,    8 810,    155 372,    81 168,    74 204,    3 448,    1 551,    1 897,    12.17
  新乡市,    1 770 370,    906 613,    863 757,    572 963,  311 044,  261 919,    1 180 893,    587 427,    593 466,    16 514,    8 142,    8 372,    32.36
    红旗区,    235 425,    122 025,    113 400,    219 243,  114 193,  105 050,    14 865,    7 195,    7 670,    1 317,    637,    680,    93.13
    新华区,    184 556,    95 146,    89 410,    174 604,    90 092,    84 512,    8 734,    4 458,    4 276,    1 218,    596,    622,    94.61
    北站区,    86 042,    49 180,    36 862,    30 687,    21 199,    9 488,    53 005,    26 872,    26 133,    2 350,    1 109,    1 241,    35.67
    郊区,    107 334,    54 336,    52 998,    28 058,    16 224,    11 834,    77 747,    37 347,    40 400,    1 529,    765,    764,    26.14
    卫辉市,    439 565,    222 058,    217 507,    73 483,    40 078,    33 405,    361 342,    179 594,    181 748,    4 740,    2 386,    2 354,    16.72
    辉县市,    717 448,    363 868,    353 580,    46 888,    29 258,    17 630,    665 200,    331 961,    333 239,    5 360,    2 649,    2 711,    6.54
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  焦作市,  1 578 461,    815 113,    763 348,    501 073,281 739,  219 334,    1 053 256,    521 622,    531 634,    24 132,    11 752,    12 380,    31.74
    解放区,    216 624,  114 484,    102 140,    174 632,    93 659,    80 973,    39 189,    19 466,    19 723,    2 803,    1 359,    1 444,    80.62
    中站区,    113 049,    60 232,    52 817,    60 143,    34 253,    25 890,    51 113,    25 138,    25 975,    1 793,    841,    952,    53.20
    马村区,    120 244,    66 643,    53 601,    47 525,    28 490,    19 035,    70 534,    37 078,    33 456,    2 185,    1 075,    1 110,    39.52
    郊区,    154 587,    81 765,    72 822,    103 287,    55 131,    48 156,    49 075,    25 620,    23 455,    2 225,    1 014,    1 211,    66.81
    济原市,    574 878,    292 001,    282 877,    70 263,    44 383,    25 880,    500 021,    245 357,    254 664,    4 594,    2 261,    2 333,    12.22
    沁阳市,    399 079,    199 988,    199 091,    45 223,    25 823,    19 400,    343 324,    168 963,    174 361,    10 532,    5 202,    5 330,    11.33
  濮阳市,    302 077,    156 602,    145 475,    119 629,    64 070,    55 559,    180 366,    91 497,    88 869,    2 082,    1 035,    1 047,    39.60
    市区,    302 077,    156 602,    145 475,    119 629,    64 070,    55 559,    180 366,    91 497,    88 869,    2 082,1 035,    1 047,    39.60
  许昌市,    1 368 850,    706 957,    661 893,    272 467,  155 670,  116 797,    1 078 326,    542 702,    535 624,    18 057,    8 585,    9 472,    19.90
    魏都区,    295 890,    152 656,    143 234,    195 589,  105 442,    90 147,    98 255,    46 264,    51 991,    2 046,    950,    1 096,    66.10
    禹州市,  1 072 960,    554 301,    518 659,    76 878,    50 228,    26 650,    980 071,    496 438,    483 633,    16 011,    7 635,    8 376,    7.17
  漯河市,    187 792,    94 175,    93 617,    121 562,    63 635,    57 927,    64 427,    29 657,    34 770,    1 803,    883,    920,    64.73
    源汇区,    187 792,    94 175,    93 617,    121 562,    63 635,    57 927,    64 427,    29 657,    34 770,    1 803,    883,    920,    64.73
  三门峡市,    309 543,    167 141,    142 402,    175 015,    96 683,    78 332,    131 938,    69 178,    62 760,    2 590,    1 280,    1 310,    56.54
    湖滨区,    198 569,    103 353,    95 216,    113 594,    59 511,    54 083,    84 135,    43 428,    40 707,    840,    414,    426,    57.21
    义马市,    110 974,    63 788,    47 186,    61 421,    37 172,    24 249,    47 803,    25 750,    22 053,    1 750,    866,    884,    55.35
  商丘地区,    244 581,    125 604,    118 977,    159 221,    85 447,    73 774,    83 106,    39 064,    44 042,    2 254,    1 093,    1 161,    65.10
    商丘市,    244 581,    125 604,    118 977,    159 221,    85 447,    73 774,    83 106,    39 064,    44 042,    2 254,    1 093,    1 161,    65.10
  周口地区,    254 651,    127 548,    127 103,    136 342,    69 526,    66 816,    116 585,    57 134,    59 451,    1 724,    888,    836,    53.54
    周口市,    254 651,    127 548,    127 103,    136 342,    69 526,    66 816,    116 585,    57 134,    59 451,    1 724,    888,    836,    53.54
  驻马店地区,    249 162,    126 191,    122 971,    121 003,    63 169,    57 834,    118 354,    58 086,    60 268,    9 805,    4 936,    4 869,    48.56
    驻马店市,    249 162,    126 191,    122 971,    121 003,    63 169,    57 834,    118 354,    58 086,    60 268,    9 805,    4 936,    4 869,    48.56
  南阳地区,  1 765 656,    919 868,    845 788,    299 674,    167 266,  132 408,    1 452 793,    746 240,    706 553,    13 189,    6 362,    6 827,    16.97
    南阳市,    374 600,    194 700,    179 900,    228 623,    124 155,  104 468,    140 059,    67 763,    72 296,    5 918,    2 782,    3 136,    61.03
    邓州市,  1 391 056,    725 168,    665 888,    71 051,    43 111,    27 940,    1 312 734,    678 477,    634 257,    7 271,    3 580,    3 691,    5.11
  信阳地区,    273 175,    139 298,    133 877,    184 747,    95 284,    89 463,    86 044,    42 679,    43 365,    2 384,    1 335,    1 049,    67.63
    信阳市,    273 175,    139 298,    133 877,    184 747,    95 284,    89 463,    86 044,    42 679,    43 365,    2 384,    1 335,    1 049,    67.63
湖北省, 25 086 802, 12 913 374, 12 173 428,    7 178 237, 3 878 121,3 300 116,  17 763 971,  8 960 974,  8 802 997,    144 594,    74 279,    70 315,    28.61
  武汉市,  4 040 113,  2 106 108,    1 934 005,    3 176 873, 1 665 815, 1 511 058,    806 826,    410 906,    395 920,    56 414,    29 387,    27 027,    78.63
    江岸区,    619 505,    314 389,    305 116,    545 368,  275 023,  270 345,    65 288,    34 817,    30 471,    8 849,    4 549,    4 300,    88.03
    江汉区,    451 103,    239 388,    211 715,    398 524,  211 400,  187 124,    45 999,    24 612,    21 387,    6 580,    3 376,    3 204,    88.34
    桥口区,    553 615,    283 898,    269 717,    490 342,  251 765,  238 577,    55 901,    28 360,    27 541,    7 372,    3 773,    3 599,    88.57
    汉阳区,    405 731,    210 807,    194 924,    326 419,  170 769,  155 650,    73 251,    36 902,    36 349,    6 061,    3 136,    2 925,    80.45
    武昌区,    770 471,    400 041,    370 430,    710 795,  368 965,  341 830,    51 671,    26 644,    25 027,    8 005,    4 432,    3 573,    92.25
    青山区,    381 607,    200 047,    181 560,    353 192,  184 149,  169 043,    26 878,    15 057,    11 821,    1 537,    841,    696,    92.55
    洪山区,    559 040,    305 350,    253 690,    319 710,  185 289,  134 421,    230 228,    115 271,    114 957,    9 102,    4 790,    4 312,    57.19
    东西湖区,    203 581,    103 425,    100 156,    25 643,    14 382,    11 261,    172 187,    86 149,    86 038,    5 751,    2 894,    2 857,    12.60
    汉南区,    95 460,    48 763,    46 697,    6 880,    4 073,    2 807,    85 423,    43 094,    42 329,    3 157,    1 596,    1 561,    7.21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  黄石市,    546 290,    289 608,    256 682,    432 479,  237 497,  194 982,    107 403,    48 845,    58 558,    6 408,    3 266,    3 142,    79.17
    黄石港区,    152 351,    78 917,    73 434,    133 787,    71 035,  62 752,    17 309,    7 244,    10 065,    1 255,    638,    617,    87.81
    石灰窑区,    181 532,    94 900,    86 632,    149 459,    79 395,  70 064,    29 600,    14 242,    15 358,    2 473,    1 263,    1 210,    82.33
    下陆区,    151 642,    82 975,    68 667,    104 462,    61 595,  42 867,    45 088,    20 321,    24 767,    2 092,    1 059,    1 033,    68.89
    铁山区,    60 765,    32 816,    27 949,    44 771,    25 472,  19 299,    15 406,    7 038,    8 368,    588,    306,    282,    73.68
  十堰市,    400 823,    213 371,    187 452,    241 130,  132 721,  108 409,    153 399,77 465,      75 934,    6 294,    3 185,    3 109,    60.16
    茅箭区,    172 230,    93 089,    79 141,    109 622,    61 034,  48 588,    60 043,    30 754,    29 289,    2 565,    1 301,    1 264,    63.65
    张湾区,    228 593,    120 282,    108 311,    131 508,    71 687,  59 821,    93 356,    46 711,    46 645,    3 729,    1 884,    1 845,    57.53
  沙市市,    372 216,    189 398,    182 818,    276 718,  140 782,  135 936,    91 956,    46 793,    45 163,    3 542,    1 823,    1 719,    74.34
    市辖区,    372 216,    189 398,    182 818,    276 718,  140 782,  135 936,    91 956,    46 793,    45 163,    3 542,    1 823,    1 719,    74.34
  宜昌市,    492 286,    258 541,    233 745,    363 920,  194 338,  169 582,    118 889,    59 321,    59 568,    9 477,    4 882,    4 595,    73.92
    西陵区,    314 064,    165 353,    148 711,    261 212,  139 555,  121 657,    47 673,    23 134,    24 539,    5 179,    2 664,    2 515,    83.17
    伍家岗区,    132 734,    69 487,    63 247,    92 503,    48 758,    43 745,    37 894,    19 544,    18 350,    2 337,    1 185,    1 152,    69.69
    点军区,    45 488,    23 701,    21 787,    10 205,    6 025,    4 180,    33 322,    16 643,    16 679,    1 961,    1 033,    928,    22.43
  襄樊市,  3 426 488,  1 754 859,  1 671 629,    707 557,  387 722,  319 835,    2 704 776,    1 359 805,  1 344 971,    14 155,    7 332,    6 823,    20.65
    襄城区,    147 582,    80 255,    67 327,    127 001,    69 294,  57 707,    19 222,    10 251,    8 971,    1 359,    710,    649,    86.05
    樊东区,    133 650,    68 927,    64 723,    114 220,    59 054,  55 166,    18 654,    9 503,    9 151,    776,    370,    406,    85.46
    樊西区,    124 261,    64 040,    60 221,    108 256,    56 552,  51 704,    15 109,    7 022,    8 087,    896,    466,    430,    87.12
    郊区,    148 553,    75 777,    72 776,    40 795,    24 967,  15 828,    103 543,    48 609,    54 934,    4 215,    2 201,    2 014,    27.46
    随州市,  1 439 770,    736 830,    702 940,    138 968,    78 982,  59 986,    1 297 468,    656 084,    641 384,    3 334,    1 764,1 570,    9.65
    老河口市,    454 362,    229 704,    224 658,    107 899,    56 599,  51 300,    344 538,    172 101,    172 437,    1 925,1 004,    921,    23.75
    枣阳市,    978 310,    499 326,    478 984,    70 418,    42 274,  28 144,    906 242,    456 235,    450 007,    1 650,    817,    833,    7.20
  鄂州市,    906 426,    461 159,    445 267,    136 500,    80 579,  55 921,    762 035,    376 578,    385 457,    7 891,    4 002,    3 889,    15.06
    梁子湖区,    158 168,    81 200,    76 968,    4 333,    3 030,    1 303,    153 563,    78 037,    75 526,    272,    133,    139,    2.74
    华容区,    249 722,    124 704,    125 018,    9 498,    6 185,    3 313,    239 103,    117 925,    121 178,    1 121,    594,    527,    3.80
    鄂城区,    498 536,    255 255,    243 281,    122 669,    71 364,  51 305,    369 369,    180 616,    188 753,    6 498,    3 275,    3 223,    24.61
  荆门市,  1 042 987,    531 239,    511 748,    157 869,    87 675,  70 194,    882 193,    441 959,    440 234,    2 925,    1 605,    1 320,    15.14
    东宝区,    439 130,    226 043,    213 087,    116 366,    64 531,51 835,    320 796,    160 416,    160 380,    1 968,    1 096,    872,    26.50
    沙洋区,    603 857,    305 196,    298 661,    41 503,    23 144,  18 359,    561 397,    281 543,    279 854,    957,    509,    448,    6.87
  黄冈地区,  1 717 836,    887 749,    830 087,    136 442,    82 542,  53 900,    1 576 495,    802 719,    773 776,    4 899,    2 488,    2 411,    7.94
