表2-8省自治区直辖市的县(不含县辖镇)的户数和人口数,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,    2 499 775,    10 542 366,    5 533 704,    5 008 662,    2 416 191,    10 172 297,    5 327 230,    4 845 067,,,内蒙古自治区,    4 113,    34 471,    28 420,    6 051,    79 116,    323 459,    166 925,    156 534,    355,    12 139,    11 129,    1 010
辽宁省,    2 722 192,    10 458 385,    5 374 912,    5 083 473,    2 706 260,    10 371 571,    5 317 218,    5 054 353,,,辽宁省,    1 433,    20 996,    16 983,    4 013,    14 265,    50 127,    25 284,    24 843,    234,    15 691,    15 427,    264
吉林省,    1 546 557,    6 358 019,    3 286 281,    3 071 738,    1 529 536,    6 269 635,    3 230 297,    3 039 338,,,吉林省,    1 319,    18 494,    14 570,    3 924,    15 528,    58 457,    29 985,    28 472,    174,    11 433,    11 429,    4
黑龙江省,    2 447 236,    10 129 223,    5 234 208,    4 895 015,    2 013 995,    8 557 020,    4 413 711,    4 143 309,,,黑龙江省,    1 410,    17 086,    14 436,    2 650,    429 947,    1 521 230,    777 386,    743 844,    1 884,    33 887,    28 675,    5 212
上海市,    1 325 884,    4 213 401,    2 068 658,    2 144 743,    1 266 570,    3 893 270,    1 869 842,    2 023 428,,,上海市,    7 507,    130 427,    94 038,    36 389,    50 711,    149 937,    75 412,    74 525,    1 096,    39 767,    29 366,    10 401
江苏省,    7 868 711,    30 513 937,    15 475 862,    15 038 075,    7 710 704,    29 633 055,    14 922 350,    14 710 705,,,江苏省,    19 480,    313 227,    232 574,    80 653,    136 448,    480 100,    241 299,    238 801,    2 079,    87 555,    79 639,    7 916
浙江省,    4 203 446,    15 165 681,    7 889 085,    7 276 596,    4 169 399,    14 940 148,    7 735 995,    7 204 153,,,浙江省,    16 545,    142 641,    100 297,    42 344,    16 720,    51 897,    25 657,    26 240,    782,    30 995,    27 136,    3 859
安徽省,    8 540 943,    36 814 055,      19 000 281,    17 813 774,    8 461 289,    36 309 335,    18 648 236,    17 661 099,,,安徽省,    24 810,    252 401,    204 837,    47 564,    54 063,    210 300,    107 021,    103 279,    781,    42 019,    40 187,    1 832
福建省,    2 960 199,    13 806 100,    7 092 123,    6 713 977,2 900 454,    13 415 772,    6 825 202,    6 590 570,,,福建省,    21 881,    226 446,    180 597,    45 849,    37 441,    153 956,    78 131,    75 825,    423,    9 926,    8 193,    1 733
江西省,    4 858 073,    22 433 407,    11 585 010,    10 848 397,    4 690 835,    21 484 185,    10 966 351,    10 517 834,,,江西省,    32 067,    377 226,    304 237,    72 989,    133 363,    519 103,    266 979,    252 124,    1 808,    52 893,    47 443,    5 450
山东省,    7 573 352,    30 100 388,    15 242 199,    14 858 189,    7 554 007,    29 826 199,    15 008 604,    14 817 595,,,山东省,    19 259,    272 358,    231 851,    40 507,    50,    169,    87,    82,    36,    1 662,    1 657,    5
河南省,12 511 834,    54 646 790,    27 850 558,    26 796 232,    12 403 008,    53 688 953,    27 145 344,    26 543 609,,,河南省,    36 129,    654 493,    541 291,    113 202,    71 660,    265 817,    132 373,    133 444,    1 037,    37 527,    31 550,    5 977
湖北省,    2 541 778,    10 577 520,    5 527 527,    5 049 993,2 382 915,    9 822 899,    5 056 035,    4 766 864,,,湖北省,    19 304,    161 421,    134 323,    27 098,    137 182,    507 978,    258 951,    249 027,    2 377,    85 222,    78 218,    7 004
湖南省,    8 660 654,    33 699 024,    17 517 039,    16 181 985,    8 501 126,    32 799 174,    16 924 560,    15 874 614,,,湖南省,    33 715,    414 069,    332 991,    81 078,    124 877,    458 019,    236 010,    222 009,    936,    27 762,    23 478,    4 284
广东省,    1 110 797,    5 301 747,    2 766 859,    2 534 888,    904 344,    4 384 817,    2 227 283,    2 157 534,,,广东省,    7 198,    70 017,    60 378,    9 639,    195 650,    750 242,    391 303,    358 939,    3 605,    96 671,    87 895,    8 776
广西壮族自治区,    4 675 888,    22 742 934,    11 897 909,    10 845 025,    4 556 915,    22 072 077,    11 450 085,    10 621 992,,,广西壮族自治区,    22 523,    268 078,    219 761,    48 317,    94 825,    357 013,    185 526,    171 487,    1 625,    45 766,    42 537,    3 229
海南省,    435 959,    1 912 313,    1 008 627,    903 686,    183 160,    902 805,    464 457,    438 348,,,海南省,    1 552,    16 710,    14 710,    2 000,    247 036,    944 464,    491 748,    452 716,    4 211,    48 334,    37 712,    10 622
四川省,    18 803 399,    71 311 584,    36 901 051,    34 410 533,    18 650 984,    70 172 423,    36 045 586,    34 126 837,,,四川省,    63 403,    767 569,    636 298,    131 271,    87 285,    283 824,    140 847,    142 977,    1 727,    87 768,    78 320,    9 448
贵州省,    4 704 834,    21 508 642,    11 103 553,    10 405 089,    4 666 490,    21 300 410,    10 955 563,    10 344 847,,,贵州省,    13 248,    113 280,    96 553,    16 727,    24 836,    83 780,    42 498,    41 282,    260,    11 172,    8 939,    2 233
云南省,    4 486 336,    21 603 156,    11 079 022,    10 524 134,    4 367 344,    21 002 782,    10 673 462,    10 329 320,,,云南省,    32 708,    271 727,    228 354,    43 373,    84 342,    296 464,    149 404,    147 060,    1 942,    32 183,    27 802,    4 381
西藏自治区,    322 783,    1 795 539,    886 842,    908 697,    320 537,    1 748 381,    848 711,    899 670,,,西藏自治区,    2 246,    47 158,    38 131,    9 027,-,-,-,-,-,-,-,-
陕西省,    4 166 431,    17 923 070,    9 263 993,    8 659 077,    4 141 235,    17 622 991,    9 01 5 619,    8 607 372,,,陕西省,    24 740,    298 288,    247 483,    50 805,    455,    1 787,    887,    900,    1,    4,    4,-
甘肃省,    2 677 789,    13 131 274,    6 772 365,    6 358 909,2 644 658,    12 910 608,    6 603 303,    6 307 305,,,甘肃省,    13 610,    139 377,    123 041,    16 336,    19 229,    68 225,    34 585,    33 640,    292,    13 064,    11 436,    1 628
青海省,    553 127,    2 881 538,    1 484 125,    1 397 413,    492 369,    2 605 727,    1 311 858,    1 293 869,,,青海省,    4 295,    48 155,    41 690,    6 465,    55 251,    188 336,    96 992,    91 344,    1 212,    39 320,    33 585,    5 735
宁夏回族自治区,    534 652,    2 717 777,    1 386 628,    1 331 149,    517 245,    2 638 160,    1 337 947,    1 300 213,,,宁夏回族自治区,    2 722,    19 707,    17 843,    1 864,    14 625,    58 239,    29 243,    28 996,    60,    1 671,    1 595,    76
新疆维吾尔自治区,    1 771 251,    8 419 552,    4 348 767,    4 070 785,    1 438 186,    6 964 983,    3 575 835,    3 389 148,,,新疆维吾尔自治区,    2 396,    18 916,    15 832,    3 084,    326 725,    1 368 700,    700 161,    668 539,    3 944,    66 953,    56 939,    10 014
