表1-3省自治区直辖市按农业户口和非农业户口分的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表1-3单位：人,,,,,,,,,,,,,,,,,,表1-3单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    农业户口,,,    非农业户口,,,,,,,,,,,,,,,    其它,,,,,
,,,,    农业户口,,,,,,,,,,,,    人住本县、市不满一年，,,,,,,    常住本县、市，户口在本县3市,,,    常住本县、市一年以上，,,,    人住本县、市不满一年，,,,,,,,,,    原住本县、市，现在国外,,
,    合计,,,,,,,,,,,,,,    地区别,,,,    合计,,,,,,    户口在外县、市,,,    离开户口登记地一年以上,,,,,    地区别,    人住本县、市，户口待定,,,,,
    地区别,,,,    合计,,,    常住本县、市，户口在本县、市,,,    常住本县、市一年以上，,,,,,,    离开户口登记地一年以上,,,,,,,,,,,,,,,,,,,,,    工作或学习，暂无户口,,
,,,,,,,,,,    户口在外县、市,,,,,,  小计,    男,    女,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    合计,    男,    女,    小计,    男,    女,  小汁,    男,    女,,,总计,1 370 669,  933 107,  437 562, 219 931 980, 120 821 432, 99 110 548, 215 402 531, 118 209 494, 97 193 037, 4 350 276, 2 495 551,1 854 725,  179 173,  116 387,  62 786,,,总计,8 535 536, 4 169 619, 4 365 917,  237 024,  155 470,    81 554
广东省,    62 829 741,  32 151 260,    30 678 481,  48 728 262,    24 412 575,    24 315 687,    45 900 229,    23 024 601,  22 875 628,    2 559 511,  1 240 652,    1 318 859,,,广西壮族自治区,    34 812,    23 857,    10 955,  5 484 006,  3 125 072,  2 358 934,  5 384 169,  3 071 621,  2 312 548,    95 162,    50 410,  44 752,    4 675,    3 041,    1 634,,,广西壮族自治区,  215 732,  110 730,  105 002,    1 835,    1 320,    515
广西壮族自治区,    42 244 884,  22 156 180,    20 088 704,  36 543 311,    18 919 058,    17 624 253,    36 026 050,    18 658 199,  17 367 851,    482 449,    237 002,    245 447,,,海南省,    16 643,    12 443,    4 200,  1 248 462,    706 856,    541 606,  1 198 965,    676 915,    522 050,    46 667,    27 972,  18 695,    2 830,    1 969,    861,,,海南省,    57 315,    29 468,    27 847,    580,    413,    167
海南省,    6 558 076,    3 418 860,    3 139 216,    5 251 719,    2 682 123,    2 569 596,    5 081 338,    2 579 930,    2 501 408,    153 738,    89 750,    63 988,,,四川省,    73 539,    50 477,    23 062,  15 248 834,  8 677 874,  6 570 960,  14 949 470,  8 501 555,  6 447 915,    287 348,  168 517,  118 831,    12 016,    7 802,    4 214,,,四川省,  455 639,  219 051,  236 588,    6 084,    4 667,    1 417
四川省,  107 218 310,    55 545 645,  51 672 665,    91 507 753,  46 644 053,  44 863 700,    90 598 927,    46 164 373,    44 434 554,    835 287,    429 203,    406 084,,,贵州省,    35 247,    25 780,    9 467,  3 856 691,  2 180 665,  1 676 026,  3 763 750,  2 128 796,  1 634 954,    89 002,    49 244,    39 758,    3 939,    2 625,    1 314,,,贵州省,  194 216,    94 051,  100 165,    859,    710,    149
贵州省,    32 391 051,    16 768 810,  15 622 241,    28 339 285,  14 493 384,  13 845 901,    27 974 924,    14 290 254,    13 684 670,    329 114,    177 350,    151 764,,,云南省,    41 205,    32 190,    9 015,  4 507 803,  2 603 488,  1 904 315,  4 389 930,  2 529 796,  1 860 134,    110 777,    67 980,    42 797,    7 096,    5 712,    1 384,,,云南省,    58 210,    29 072,    29 138,    1 277,    939,    338
云南省,    36 972 587,    18 995 900,  17 976 687,    32 405 297,  16 362 401,  16 042 896,    31 981 893,    16 092 727,    15 889 166,    382 199,    237 484,    144 715,,,西藏自治区,    3 677,    2 834,    843,    279 147,    156 302,    122 845,    262 854,    146 756,    116 098,    15 685,    9 134,    6 551,    608,    412,    196,,,西藏自治区,    8 026,    4 298,    3 728,    159,    84,    75
西藏自治区,    2 196 029,    1 098 912,    1 097 117,    1 908 697,    938 228,    970 469,    1 862 494,    908 583,    953 911,    42 526,    26 811,    15 715,,,陕西省,    25 889,    18 823,    7 066,    5 811 276,  3 303 267,  2 508 009,  5 645 572,  3 202 507,  2 443 065,    158 282,    95 302,    62 980,    7 422,    5 458,    1 964,,,陕西省,  259 709,  130 323,  129 386,    3 250,    2 389,    861
陕西省,    32 882 286,    17 070 054,  15 812 232,  26 808 051,  13 634 075,    13 173 976,    26 489 031,    13 443 352,    13 045 679,    293 131,    171 900,    121 231,,,甘肃省,    15 800,    11 236,    4 564,    3 591 048,  2 014 492,  1 576 556,  3 522 860,  1 974 596,  1 548 264,    65 216,    37 760,    27 456,    2 972,    2 136,    836,,,甘肃省,  115 541,    55 574,    59 967,    1 080,    814,    266
甘肃省,    22 371 085,    11 591 905,  10 779 180,  18 663 416,  9 521 025,    9 142 391,    18 414 109,    9 375 780,    9 038 329,    233 507,    134 009,    99 498,,,青海省,    44 733,    38 704,    6 029,    1 239 764,    665 287,    574 477,  1 193 005,    639 264,    553 741,    43 479,    23 953,    19 526,    3 280,    2 070,    1 210,,,青海省,    56 629,    28 170,    28 459,    223,    153,    70
青海省,    4 456 952,    2 310 183,    2 146 769,    3 160 336,  1 616 573,    1 543 763,    3 024 371,    1 523 342,    1 501 029,    91 232,    54 527,    36 705,,,宁夏回族自治区,    7 138,    5 195,    1 943,    1 086 866,    583 136,    503 730,  1 067 548,    572 914,    494 634,    18 641,    9 863,    8 778,    677,    359,    318,,,宁夏回族自治区,    32 220,    15 512,    16 708,    456,    418,    38
宁夏回族自治区,    4 655 445,    2 389 470,    2 265 975,    3 535 903,  1 790 404,    1 745 499,    3 456 747,    1 742 118,    1 714 629,    72 018,    43 091,    28 927,,,新疆维吾尔自治区,    41 590,    30 558,    11 032,    4 282 932,    2 223 311,  2 059 621,  4 161 794,  2 160 749,  2 001 045,    117 951,    60 691,    57 260,    3 187,    1 871,    1 316,,,新疆维吾尔自治区,  134 565,    68 622,    65 943,    1 152,    873,    279
新疆维吾尔自治区,  15 156 883,    7 823 195,    7 333 688,  10 738 234,  5 530 389,    5 207 845,    10 283 298,    5 255 642,    5 027 656,    413 346,    244 189,    169 157,,,,,,,,,,,,,,,,,,,,,,,,,,,
