,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
45-49岁,    795 578,    379 548,    545 394,    753 008,    1 013 972,    1 361 512,    1 608 833,    1 794 406,    1 840 282,    1 716 734,    1 443 266,,,45-49岁,    854 008,    489 075,    266 135,    136 085,    69 285,    36 961,    22 910,    1 5 069,    10 586,    27 478
  45,    149 410,    72 789,    108 798,    158 970,    200 211,    311 224,    341 672,    387 621,    410 248,    387 127,    323 536,,,  45,    180 958,    98 283,    54 409,    27 241,    13 088,    5 898,    3 738,    2 531,    1 687,    4 635
  46,    153 655,    77 272,    114 335,    145 715,    225 869,    266 708,    326 390,    382 602,    399 035,    361 551,    298 646,,,  46,    168 608,    100 039,    55 071,    25 454,    11 473,    6 932,    4 171,    2 732,    1 948,    5 063
  47,    155 557,    75 751,    98 624,    153 212,    183 639,    250 522,    316 213,    350 070,    356 262,    331 306,    269 456,,,  47,    170 981,    101 861,    52 343,    23 987,    12 896,    7 134,    4 570,    2 980,    2 080,    5 557
  48,    169 636,    70 683,    1 15 901,    144 660,    198 101,    269 569,    319 560,    344 695,    351 521,    315 368,    278 461,,,  48,    176 895,    101 704,    48 705,    27 005,    15 101,    8 503,    4 960,    3 220,    2 401,    6 150
  49,    167 320,    83 053,    107 736,    150 451,    206 152,    263 489,    304 998,    329 418,    323 216,    321 382,    273 167,,,  49,    156 566,    87 188,    55 607,    32 398,    16 727,    8 494,    5 471,    3 606,    2 470,    6 073
50-54岁,    898 775,    390 307,    546 071,    721 041,    916 252,    1 142 068,    1311 871,    1398 821,    1 461 860,    1 393 547,    1 236 032,,,50-54岁,    824 492,    559 661,    353 111,    205 393,    117 840,    66 715,    39 422,    25 997,    16 810,    36 920
  50,    180 814,    74 102,    107 799,    149 513,    193 572,    248 179,    279 567,    290 677,    322 233,    291 907,    239 132,,,  50,    148 078,    101 531,    61 964,    34 553,    18 658,    10 581,    6 652,    4 439,    3 142,    7 121
  51,    169 206,    77 324,    111 700,    146 845,    187 587,    231 863,    259 344,    285 425,    288 594,    275 796,    242 370,,,  51,    163 283,    105 307,    66 334,    38 150,    21 671,    1 3 067,    7 372,    5 250,    3 459,    7 299
  52,    185 568,    84 423,    114 352,    150 774,    190 941,    220 754,    266 760,    291 874,    297 662,    275 386,    248 489,,,  52,    167 370,    114 426,    72 188,    44 024,    26 075,    13 798,    8 300,    5 536,    3 346,    7 874
  53,    182 719,    78 771,    109 039,    142 844,    168 935,    224 122,    263 712,    272 148,    272 776,    273 707,    249 241,,,  53,    172 803,    115 066,    75 643,    47 594,    24 704,    13 208,    8 624,    5 173,    3 611,    7 571
  54,    180 468,    75 687,    103 181,    131 065,    175 217,    217 150,    242 488,    258 697,    280 595,    276 751,    256 800,,,  54,    172 958,    123 331,    76 982,    41 072,    26 732,    16 061,    8 474,    5 599,    3 252,    7 055
55-59岁,    832 179,    345 923,    466 247,    601 555,    743 283,    917 838,    1 058 596,    1 155 737,    1 215 487,    1 201923,    1 121 423,,,55-59岁,    798 718,    575 425,    381 435,    230 498,    124 481,    65 609,    39 696,    24 016,    15 487,    30 463
  55,    178 867,    72 033,    94 495,    130 398,    162 144,    198 659,    221 507,    248 974,    262 347,    269 460,    251 118,,,  55,    164 428,    111 827,    73 690,    48 257,    29 247,    13 510,    8 533,    4 729,    3 106,    6 789
