表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续13),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,单位：人,,,,,,,,,,,,
    和年龄别,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
  45—49岁,    34 990 374,    18 405 928,    16 584 446,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
    45,    7 524 864,    3 913 416,    3 611 448,,,  45—49岁,    1 179 550,    1 153 412,    26 138,    32 033 597,    16 331 989,    15 701 608,    1 466 990,    648 843,    818 147,    310 237,    271 684,    38 553
    46,    7 179 714,    3 776 831,    3 402 883,,,    45,    255 723,    250 223,    5 500,    6 963 067,    3 498 227,    3 464 840,    241 843,    109 760,    132 083,    64 231,    55 206,    9 025
    47,    6 712 509,    3 544 461,    3 168 048,,,    46,    238 490,    233 297,    5 193,    6 616 538,    3 370 005,    3 246 533,    263 367,    119 875,    143 492,    61 319,    53 654,    7 665
    48,    6 863 562,    3 620 595,    3 242 967,,,    47,    225 397,    220 440,    4 957,    6 148 226,    3 147 258,    3 000 968,    279 684,    124 705,    154 979,    59 202,    52 058,    7 144
    49,    6 709 725,    3 550 625,    3 159 100,,,    48,    235 092,    229 702,    5 390,    6 240 322,    3 193 302,    3 047 020,    324 830,    141 987,    182 843,    63 318,    55 604,    7 714
  50—54岁,    31 889 005,    16 906 593,    14 982 412,,,    49,    224 848,    219 750,    5 098,    6 065444,    3 123 197,    2 942 247,    357 266,    152 516,    204 750,    62 167,    55 162,    7 005
    50,    6 452 390,    3 410 425,    3 041 965,,,  50—54岁,    966 908,    941 476,    25 432,    28 088 623,    14 670 978,    13 417 645,    2 508 815,    1 005 457,    1 503 358,    324 659,    288 682,    35 977
    51,    6 228 628,    3 325 532,    2 903 096,,,    50,    212 424,    207 475,    4 949,    5 777 591,    2 983 898,    2 793 693,    397 542,    162 504,    235 038,    64 833,    56 548,    8 285
    52,    6 450 801,    3 451 783,    2 999 018,,,    51,    194 089,    189 586,    4 503,    5 541 934,    2 902 835,    2 639 099,    431 216,    178 298,    252 918,    61 389,    54 813,    6 576
    53,    6 371 611,    3 369 525,    3 002 086,,,    52,    199 945,    194 253,    5 692,    5 681 584,    2 993 850,    2 687 734,    503 311,    204 606,    298 705,    65 961,    59 074,    6 887
    54,    6 385 575,    3 349 328,    3 036 247,,,    53,    185 525,    179 911,    5 614,    5 564 786,    2 911 330,    2 653 456,    556 030,    219 950,    336 080,    65 270,    58 334,    6 936
  55-59岁,    29 689 475,    15 398 825,    14 290 650,,,    54,    174 925,    170 251,    4 674,    5 522 728,    2 879 065,    2 643 663,    620 716,    240 099,    380 617,    67 206,    59 913,    7 293
    55,    6 192 449,    3 218 841,    2 973 608,,,  55—59岁,    687 716,    663 080,    24 636,    24 680 536,    12 982 635,    11 697 901,    4 001 999,    1 472 674,    2 529 325,    319 224,    280 436,    38 788
    56,    6 227 979,    3 246 917,    2 981 062,,,    55,    162 443,    157 568,    4 875,    5 287 944,    2 748 569,    2 539 375,    675 257,    253 700,    421 557,    66 805,    59 004,    7 801
    57,    6 145 079,    3 198 042,    2 947 037,,,    56,    153 407,    148 273,    5 134,    5 251 722,    2 754 346,    2 497 376,    755 498,    284 476,    471 022,    67 352,    59 822,    7 530
    58,    5 628 546,    2 900 941,    2 727 605,,,    57,    139 515,    134 333,    5 182,    5 116 029,    2 698 836,    2 417 193,    823 904,    307 028,    516 876,    65 631,    57 845,    7 786
    59,    5 495 422,    2 834 084,    2 661 338,,,    58,    120 836,    116 184,    4 652,    4 608 047,    2 429 001,    2 179 046,    838 995,    302 862,    536 133,    60 668,    52 894,    7 774
  60岁及以上,    72 837 618,    34 373 345,    38 464 273,,,    59,    111 515,    106 722,    4 793,    4 416 794,    2 351 883,    2 064 911,    908 345,    324 608,    583 737,    58 768,    50 871,    7 897
文盲、半文盲,    154 082 595,    47 071 222,    107 011 373,,,  60岁及以上,    1 046 147,    952 881,    93 266,    42 429 075,  24 180 711,    18 248 364,    28 776 893,    8 768 193,    20 008 700,    585 503,    471 560,    113 943
  15—19岁,    5 977 950,    1 694 729,    4 283 221,,,文盲、半文盲,    12 701 716,    7 323 934,    5 377 782,  110 059 622,  32 005 438,    78 054 184,    30 205 095,    6 905 340,    23 299 755,    1 116 162,    836 510,    279 652
    15,    1 021 773,    290 503,    731 270,,,  15—19岁,    5 344 207,    1 608 387,    3 735 820,    624 027,    83 756,    540 271,    2 155,    954,    1 201,    7 561,    1 632,    5 929
    16,    1 154 342,    328 474,    825 868,,,    15,    1 010 761,    287 737,    723 024,    10 665,    2 635,    8 030,    169,    83,    86,    178,    48,    130
    17,    1 215 034,    343 618,    871 416,,,    16,    1 122 319,    322 654,    799 665,    31 381,    5 628,    25 753,    200,    114,    86,    442,    78,    364
    18,    1 259 500,    359 003,    900 497,,,    17,    1 134 547,    331 319,    803 228,    79 100,    11 900,    67 200,    403,    186,    217,    984,    213,    771
    19,    1 327 301,    373 131,    954 170,,,    18,    1 081 221,    335 003,    746 218,    175 178,    23 288,    151 890,    616,    256,    360,    2 485,    456,    2 029
  20—24岁,    7 188 561,    1 788 791,    5 399 770,,,    19,    995 359,    331 674,    663 685,    327 703,    40 305,    287 398,    767,    315,    452,    3 472,    837,    2 635
    20,    1 399 085,    375 200,    1 023 885,,,  20—24岁,    2 489 951,    1 171 434,    1 318 517,    4 653 832,    601 688,    4 052 144,    10 348,    3 150,    7 198,    34 430,    12 519,    21 911
    21,    1 478 799,    381 860,    1 096 939,,,    20,    815 877,    304 541,    511 336,    576 036,    68 548,    507 488,    1 370,    468,    902,    5 802,    1 643,    4 159
    22,    1 419 345,    353 535,    1 065 810,,,    21,    647 556,    279 439,    368 117,    823 662,    100 032,    723 630,    1 513,    439,    1 074,    6 068,    1 950,    4 118
    23,    1 390 911,    334 348,    1 056 563,,,    22,    452 378,    225 948,    226 430,    957 644,    124 318,    833 326,    2 064,    594,    1 470,    7 259,    2 675,    4 584
    24,    1 500 421,    343 848,    1 156 573,,,    23,    318 595,    188 220,    130 375,    1 062 471,    142 434,    920 037,    2 414,    733,    1 681,    7 431,    2 961,    4 470
,,,,,,    24,    255 545,    173 286,    82 259,    1 234 019,    166 356,    1 067 663,    2 987,    916,    2 071,    7 870,    3 290,    4 580
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续15),,,,,,,,,,,,
    婚姻状况(第二口径)(续02)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,,,,,,
  25—29岁,    6 661 925,    1 327 764,    5 334 161,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,    小计,    男,    女
    25,    1 459 303,    320 884,    1 138 419,,,  25—29岁,    632 701,    518 775,    113 926,    5 971 899,    784 222,    5 187 677,    21 030,    6 329,    14 701,    36 295,    18 438,    17 857
    26,    1 479 617,    305 336,    1 174 281,,,    25,    193 620,    146 050,    47 570,    1 253 097,    169 681,    1 083 416,    3 707,    1 121,    2 586,    8 879,    4 032,    4 847
    27,    1 639 176,    310 302,    1 328 874,,,    26,    158 289,    129 702,    28 587,    1 309 111,    170 565,    1 138 546,    4 082,    1 211,    2 871,    8 135,    3 858,    4 277
    28,    1 206 524,    222 748,    983 776,,,    27,    139 870,    119 573,    20 297,    1 485 924,    184 990,    1 300 934,    5 167,    1 465,    3 702,    8 215,    4 274,    3 941
    29,    877 305,    168 494,    708 811,,,    28,    83 708,    72 742,    10 966,    1 111 996,    145 121,    966 875,    4 440,    1 365,    3 075,    6 380,    3 520,    2 860
  30-34岁,    9 089 623,    2 039 622,    7 050 001,,,    29,    57 214,    50 708,    6 506,    811 771,    113 865,    697 906,    3 634,    1 167,    2 467,    4 686,    2 754,    1 932
    30,    1 205 658,    258 598,    947 060,,,  30-34岁,    554 470,    526 849,    27 621,    8 431 542,    1 459 779,    6 971 763,    55 353,    19 235,    36 118,    48 258,    33 759,    14 499
    31,    1 378 757,    308 793,    1 069 964,,,    30,    78 964,    72 654,    6 310,    1 112 969,    178 990,    933 979,    5 822,    1 948,    3 874,    7 903,    5 006,    2 897
    32,    2 067 249,    474 11 5,    1 593 134,,,    31,    90 967,    85 697,    5 270,    1 273 403,    215 591,    1 057 812,    7 011,    2 474,    4 537,    7 376,    5 031,    2 345
    33,    2 197 148,    493 218,    1 703 930,,,    32,    131 444,    125 415,    6 029,    1 913 189,    336 898,    1 576 291,    11 903,    4 199,    7 704,    10 713,    7 603,    3 110
    34,    2 240 811,    504 898,    1 735 913,,,    33,    127 261,    121 994,    5 267,    2 044 839,    358 494,    1 686 345,    14 177,    4 931,    9 246,    10 871,    7 799,    3 072
  35-39岁,    13 333 413,    3 296 400,    10 037 013,,,    34,    125 834,    121 089,    4 745,    2 087 142,    369 806,    1 717 336,    16 440,    5 683,    10 757,    11 395,    8 320,    3 075
    35,    2 636 487,    608 310,    2 028 177,,,  35-39岁,    721 269,    696 907,    24 362,    12 373 857,    2 484 724,    9 889 133,    158 086,    54 087,    103 999,    80 201,    60 682,    19 519
    36,    2 684 656,    633 314,    2 051 342,,,    35,    147 007,    141 828,    5 179,    2 452 241,    447 928,    2 004 313,    22 363,    7 731,    14 632,    14 876,    10 823,    4 053
    37,    2 748 629,    678 127,    2 070 502,,,    36,    145 651,    140 711,    4 940,    2 497 249,    472 151,    2025 098,    26 445,    9 124,    17 321,    15 311,    11 328,    3 983
    38,    2 829 481,    729 785,    2 099 696,,,    37,    148 527,    143 661,    4 866,    2 551 996,    511 251,    2 040 745,    31 962,    10 984,    20 978,    16 144,    12 231,    3 913
    39,    2 434 160,    646 864,    1 787 296,,,    38,    151 099,    146 100,    4 999,    2 622 895,    557 077,    2 065 818,    37 862,    13 073,    24 789,    17 625,    13 535,    4 090
  40-44岁,    11 268 486,    3 030 365,    8 238 121,,,    39,    128 985,    124 607,    4 378,    2 249 476,    496 317,    1 753 159,    39 454,    13 175,    26 279,    16 245,    12 765,    3 480
    40,    2 605 091,    731 491,    1 873 600,,,  40-44岁,    610 421,    587 735,    22 686,    10 256 553,    2 282 672,    7 973 881,    311 104,    88 833,    222 271,    90 408,    71 125,    19 283
    41,    2 267 511,    623 769,    1 643 742,,,    40,    146 561,    141 530,    5 031,    2 384 180,    555 940,    1 828 240,    53 016,    17 361,    35 655,    21 334,    16 660,    4 674
    42,    2 187 942,    589 364,    1 598 578,,,    41,    123 393,    119 058,    4 335,    2 073 105,    474 145,    1 598 960,    53 418,    16 541,    36 877,    17 595,    14 025,    3 570
    43,    2 131 493,    556 729,    1 574 764,,,    42,    119 363,    114 854,    4 509,    1 990 895,    443 160,    1 547 735,    60 129,    17 569,    42 560,    17 555,    13 781,    3 774
    44,    2 076 449,    529 012,    1 547 437,,,    43,    113 948,    109 395,    4 553,    1 932 456,    415 394,    1 517 062,    67 874,    18 404,    49 470,    17 215,    13 536,    3 679
  45-49岁,    11 890 724,    3 388 500,    8 502 224,,,    44,    107 156,    102 898,    4 258,    1 875 917,    394 033,    1 481 884,    76 667,    18 958,    57 709,    16 709,    13 123,    3 586
    45,    2 153 466,    567 772,    1 585 694,,,  45—49岁,    538 852,    518 523,    20 329,    10 592 975,    2 623 084,    7 969 891,    657 036,    164 774,    492 262,    101 861,    82 119,    19 742
    46,    2 244 691,    611 182,    1 633 509,,,    45,    106 804,    102 598,    4 206,    1 936 856,    428 489,    1 508 367,    91 241,    22 254,    68 987,    18 565,    14 431,    4 134
    47,    2 286 888,    651 070,    1 635 818,,,    46,    103 997,    100 024,    3 973,    2 014 791,    469 649,    1 545 142,    107 528,    26 757,    80 771,    18 375,    14 752,    3 623
    48,    2 548 806,    754 223,    1 794 583,,,    47,    103 017,    99 160,    3 857,    2 041 219,    505 258,    1 535 961,    123 353,    31 007,    92 346,    19 299,    15 645,    3 654
    49,    2 656 873,    804 253,    1 852 620,,,    48,    112 838,    108 610,    4 228,    2 259 180,    588 029,    1 671 151,    154 304,    39 356,    114 948,    22 484,    18 228,    4 256
  50-54岁,    15 377 741,    4 946 312,    10 431 429,,,    49,    112 196,    108 131,    4 065,    2 340 929,    631 659,    1 709 270,    180 610,    45 400,    135 210,    23 138,    19 063,    4 075
    50,    2 764 923,    859 617,    1 905 306,,,  50—54岁,    534 410,    514 848,    19 562,    13 167 930,    3 936 312,    9 231 618,    1 529 942,    374 651,    1155 291,    145 459,    120 501,    24 958
    51,    2 813 557,    891 553,    1 922 004,,,    50,    110 987,    106 936,    4 051,    2 408 497,    677 453,    1 731 044,    218 470,    53 533,    164 937,    26 969,    21 695,    5 274
    52,    3 108 864,    1 014 328,    2 094 536,,,    51,    102 696,    99 118,    3 578,    2 438 046,    709 309,    1 728 737,    246 810,    61 509,    185 301,    26 005,    21 617,    4 388
    53,    3 250 015,    1 055 145,    2 194 870,,,    52,    110 089,    106 109,    3 980,    2 664 912,    807 336,    1 857 576,    304 428,    76 224,    228 204,    29 435,    24 659,    4 776
    54,    3 440 382,    1 125 669,    2 314 713,,,    53,    105 905,    101 903,    4 002,    2 762 615,    842 477,    1 920 138,    351 041,    85 353,    265 688,    30 454,    25 412,    5 042
,,,,,,    54,    104 733,    100 782,    3 951,    2 893 860,    899 737,    1 994 123,    409 193,    98 032,    311 161,    32 596,    27 118,    5 478
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续03)单位：人,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  55—59岁,    18 152 471,    6 229 022,    11 923 449,,,  55—59岁,    458 116,    437 872,    20 244,    14 602 952,  4 948 794,    9 654 158,    2 915 926,    698 920,    2 217 006,    175 477,    143 436,    32 041
    55,    3 533 893,    1 177 002,    2 356 891,,,    55,    101 981,    97 853,    4 128,    2 932 465,    940 389,    1 992 076,    464 975,    110 437,    354 538,    34 472,    28 323,    6 149
    56,    3 705 560,    1 259 209,    2 446 351,,,    56,    99 851,    95 809,    4 042,    3 033 627,    1 004 012,    2 029 615,    536 364,    129 765,    406 599,    35 718,    29 623,    6 095
    57,    3 769 528,    1 296 660,    2 472 868,,,    57,    93 056,    88 912,    4 144,    3 042 017,    1 033 208,    2 008 809,    598 326,    144 846,    453 480,    36 129,    29 694,    6 435
    58,    3 571 964,    1 238 552,    2 333 412,,,    58,    83 746,    79 888,    3 858,    2 827 735,    981 672,    1 846 063,    626 022,    149 118,    476 904,    34 461,    27 874,    6 587
