表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续13),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,单位：人,,,,,,,,,,,,
    和年龄别,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    41,    213 684,    176 596,    37 088,,,    40,    3 870,    3 735,    135,    268 747,    220 930,    47 817,    2 465,    1 939,    526,    1 712,    1 400,    312
    42,    183 982,    151 201,    32 781,,,    41,    2 835,    2 719,    116,    207 313,    171 096,    36 217,    2 193,    1 670,    523,    1 343,    1 11 1,    232
    43,    158 241,    128 963,    29 278,,,    42,    2 402,    2 281,    121,    178 433,    146 467,    31 966,    1 959,    1 480,    479,    1 188,    973,    215
    44,    141 374,    114 226,    27 148,,,    43,    2 046,    1 932,    114,    153 217,    124 741,    28 476,    1 966,    1 445,    521,    1012,    845,    167
  45—49岁,    751 356,    622 363,    128 993,,,    44,    1 806,    1 733,    73,    136 568,    110 263,    26 305,    1 991,    1 384,    607,    1 009,    846,    163
    45,    139 970,    113 409,    26 561,,,  45—49岁,    10 095,    9 822,    273,    719 246,    595 945,    123 301,    16 373,    11 752,    4 621,    5 642,    4 844,    798
    46,    145 941,    1 19 567,    26 374,,,    45,    1 860,    1 809,    51,    134 690,    109 096,    25 594,    2 385,    1 658,    727,    1 035,    846,    189
    47,    154 882,    127 929,    26 953,,,    46,    1 961,    1 888,    73,    140 170,    114 869,    25 301,    2 787,    1 940,    847,    1 023,    870,    153
    48,    161 895,    135 612,    26 283,,,    47,    1 990,    1 940,    50,    148 344,    122 576,    25 768,    3 393,    2 420,    973,    1 155,    993,    162
    49,    148 668,    125 846,    22 822,,,    48,    2 150,    2 099,    51,    154 527,    129 512,    25 015,    3 948,    2 895,    1 053,    1 270,    1 106,    164
  50—54岁,    421 402,    369 877,    51 525,,,    49,    2 134,    2 086,    48,    141 515,    119 892,    21 623,    3 860,    2 839,    1 021,    1 159,    1 029,    130
    50,    122 751,    104 962,    17 789,,,  50—54岁,    7 769,    7 564,    205,    394 374,    346 580,    47 794,    14 813,    1 1 570,    3 243,    4 446,    4 163,    283
    51,    95 224,    82 792,    12 432,,,    50,    1 980,    1 931,    49,    115 974,    99 309,    16 665,    3 700,    2 728,    972,    1 097,    994,    103
    52,    81 484,    72 023,    9 461,,,    51,    1 702,    1 643,    59,    89 472,    77 871,    11601,    3 077,    2 366,    711,    973,    912,    61
    53,    65 821,    59 148,    6 673,,,    52,    1 589,    1 546,    43,    76 067,    67 295,    8 772,    2 937,    2 343,    594,    891,    839,    52
    54,    56 122,    50 952,    5 170,,,    53,    1374,    1 344,    30,    61 063,    54 976,    6 087,    2 644,    2 124,    520,    740,    704,    36
  55—59岁,    204 312,    190 112,    14 200,,,    54,    1 124,    1 100,    24,    51 798,    47 129,    4 669,    2 455,    2 009,    446,    745,    714,    31
    55,    47 300,    43 296,    4 004,,,  55—59岁,    4 231,    4 147,    84,    184 480,    172 142,    12 338,    12 376,    10 722,    1 654,    3 225,        3 101,    124
    56,    42 776,    39 650,    3126,,,    55,    1 018,    1 000,    18,    43 345,    39 780,    3 565,    2 280,    1 894,    386,    657,    622,    35
    57,    40 043,    37 343,    2 700,,,    56,    897,    882,    15,    38 978,    36 197,    2 781,    2 293,    1 983,    310,    608,    588,    20
    58,    36 578,    34 378,    2 200,,,    57,    859,    835,    24,    36 112,    33 767,    2 345,    2 411,    2 098,    313,    661,    643,    18
    59,    37 615,    35 445,    2 170,,,    58,    786,    772,    14,    32 656,    30 790,    1 866,    2 481,    2 187,    294,    655,    629,    26
,,,,,,    59,    671,    658,    13,    33 389,    31 608,    1 781,    2 911,    2 560,    351,    644,    619,    25
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7—8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续21),,,,,,,,,,,,
    婚姻状况(第二口径)(续08)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,,,,,    男,    女
  60岁及以上,    410 021,    386428,    23 593,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,,
中专,    3 998 417,    2 921 034,    1 077 383,,,  60岁及以上,    5 944,    5 507,    437,    312 832,    298 935,    13 897,    84 049,    75 010,    9 039,    7 196,    6 976,    220
  15-19岁,    358 536,    185 864,    172 672,,,中专,    999 834,    617 626,    382 208,    2 930 243,    2 252 414,    677 829,    48 934,    37 515,    11 419,    19 406,    13 479,    5 927
    15,    9 427,    4 368,    5 059,,,  15-19岁,    355 693,    184 440,    171 253,    2 81 1,    1 413,    1 398,    4,    3,    1,    28,    8,    20
    16,    37 254,    18 013,    19 241,,,    15,    9 400,    4 346,    5 054,    27,    22,    5,-,-,-,-,-,-
    17,    76 742,    38 733,    38 009,,,    16,    37 195,    17 969,    19 226,    58,    44,    14,-,-,-,    1,    -,    1
    18,    102 868,    53 533,    49 335,,,    17,    76 620,    38 655,    37 965,    118,    75,    43,    1,    1,-,    3,    2,    1
    19,    132 245,    71 217,    61 028,,,    18,    102 383,    53 254,    49 129,    475,    275,    200,    2,    2,-,    8,    2,    6
  20—24岁,    778 198,    485 281,    292 917,,,    19,    130 095,    70 216,      59 879,    2 133,    997,    1 136,    1,-,    1,    16,    4,    12
    20,    159 396,    90 663,    68 733,,,  20—24岁,    548 968,    358 539,    190 429,    228 192,    126 161,    102 031,    186,    116,    70,    852,    465,    387
    21,    172 977,    104 583,    68 394,,,    20,    149 620,    86 893,    62 727,    9 725,    3 747,    5 978,    8,    6,    2,    43,    17,    26
    22,    152 970,    97 240,    55 730,,,    21,    147 835,    93 878,    53 957,    25 042,    10 656,    14 386,    27,    15,    12,    73,    34,    39
    23,    143 042,    93 575,    49 467,,,    22,    110 735,    75 346,    35 389,    42 057,    21 802,    20 255,    25,    15,    10,    153,    77,    76
    24,    149 813,    99 220,    50 593,,,    23,    80 263,    57 678,    22 585,    62 504,    35 751,    26 753,    46,    26,    20,    229,    120,    109
  25—29岁,    590 030,    411 531,    178 499,,,    24,    60 515,    44 744,    1 5 771,    88 864,    54 205,    34 659,    80,    54,    26,    354,    217,    137
    25,    144 745,    97 407,    47 338,,,  25—29岁,    79 791,    61 553,    18 238,    506 646,    347 827,    158 819,    640,    392,    248,    2 953,    1 759,    1 194
    26,    147 935,    101 491,    46 444,,,    25,    37 595,    28 396,    9 199,    106 499,    68 635,    37 864,    109,    65,    44,    542,    311,    231
    27,    155 698,    110 576,    45 122,,,    26,    22 047,    17 158,    4 889,    125 070,    83 866,    41 204,    148,    91,    57,    670,    376,    294
    28,    85 565,    62 059,    23 506,,,    27,    13 303,    10 576,    2 727,    141 391,    99 377,    42 014,    174,    114,    60,    830,    509,    321
    29,    56 087,    39 998,    16 089,,,    28,    4 745,    3 796,    949,    80 171,    57 848,    22 323,    125,    73,    52,    524,    342,    182
  30—34岁,    450 062,    337 248,    112 814,,,    29,    2 101,    1 627,    474,    53 515,    38 101,    15 414,    84,    49,    35,    387,    221,    166
    30,    68 663,    49 992,    18 671,,,  30-34岁,    5 107,    3 983,    1 124,    441 169,    330 977,    110 192,    949,    586,    363,    2 837,    1 702,    1 135
    31,    69 528,    51 674,    17 854,,,    30,    1 516,    1 168,    348,    66 487,    48 444,    18 043,    140,    84,    56,    520,    296,    224
    32,    100 487,    75 702,    24 785,,,    31,    1 085,    842,    243,    67 824,    50 440,    17 384,    130,    80,        50,    489,    312,    177
    33,    106 397,    80 474,    25 923,,,    32,    1 016,    790,    226,    98 676,    74 430,    24 246,    186,    119,    67,    609,    363,    246
    34,    104 987,    79 406,    25 581,,,    33,    805,    632,    173,    104 764,    79 340,    25 424,    223,    141,    82,    605,    361,    244
  35—39岁,    436 570,    330 925,    105 645,,,    34,    685,    551,    134,    103 418,    78 323,    25 095,    270,    162,    108,    614,    370,    244
    35,    113 024,    85 400,    27 624,,,  35—39岁,    2 113,    1 653,    460,    430 231,    326 797,    103 434,    1 628,    990,    638,    2 598,    1 485,    1 113
    36,    98 179,    73 565,    24 614,,,    35,    586,    464,    122,    111 401,    84 308,    27 093,    356,    228,    128,    681,    400,    281
    37,    83 192,    62 965,    20 227,,,    36,    516,    403,    113,    96 736,    72 643,    24 093,    336,    191,    145,    591,    328,    263
    38,    76 222,    58 044,    18 178,,,    37,    385,    298,    87,    81 971,    62 167,    19 804,    314,    199,    115,    522,    301,    221
    39,       65 953,    50 951,    15 002,,,    38,    355,    275,    80,    75 131,    57 349,    17 782,    304,    177,    127,    432,    243,    189
  40-44岁,    356 210,    284 752,    71 458,,,    39,    271,    213,    58,    64 992,    50 330,    14 662,    318,    195,    123,    372,    213,    159
    40,    77 290,    61 010,    16 280,,,  40—44岁,    1 624,    1 374,    250,    350 002,    280 464,    69 538,    2 520,    1 612,    908,    2 064,    1 302,    762
    41,    71 216,    56 682,    14 534,,,    40,    343,    275,    68,    76 089,    60 205,    15 884,    429,    263,    166,    429,    267,    162
    42,    72 653,    58 257,    14 396,,,    41,    339,    287,    52,    70 035,    55 853,    14 182,    430,    278,    152,    412,    264,    148
    43,    71 421,    57 479,    13 942,,,    42,    322,    267,    55,    71 379,    57 405,    13 974,    506,    320,    186,    446,    265,    181
    44,    63 630,    51 324,    12 306,,,    43,    332,    287,    45,    70 138,    56 567,    13 571,    549,    371,    178,    402,    254,    148
,,,,,,    44,    288,    258,    30,    62 361,    50 434,    11 927,    606,    380,    226,    375,    252,    123
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续09)单位：人,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,,,,  小计,,,,,,,,,,,
  45—49岁,    381 655,    308 468,    73 187,,,  45—49岁,    2 136,    1 983,    153,    370 817,    300 717,    70100,    6 263,    3 968,    2 295,    2 439,    1 800,    639
   45,    61 674,    49 614,    12 060,,,    45,    319,    288,    31,    60 198,    48 585,    11 613,    730,    447,    283,    427,    294,    133
   46,    66 665,    53 243,    13 422,,,    46,    378,    339,    39,    65 001,    52 071,    12 930,872,    525,    347,    414,    308,    106
   47,    77 529,    62 184,        15 345,,,    47,    448,    424,    24,    75 322,    60 599,    14 723,    1 252,    783,    469,    507,    378,    129
   48,    86 373,    69 848,    16 525,,,    48,    498,    469,    29,    83 738,    67 992,    15 746,        1 602,    1 010,    592,    535,    377,    158
   49,    89 414,    73 579,    15 835,,,    49,    493,    463,    30,    86 558,    71 470,    15 088,    1 807,    1 203,    604,    556,    443,    113
  50—54岁,    342 792,    296 479,    46 313,,,  50—54岁,    2 306,    2 199,    107,    329 648,    286 033,    43 615,    8 498,    6 280,    2 218,    2 340,    1 967,    373
   50,    83 850,    69 995,    13 855,,,    50,    545,    519,    26,    80 993,    67 844,    13 149,    1 755,    1 185,    570,    557,    447,    1 10
   51,    73 779,    62 890,    10 889,,,    51,    493,    467,    26,    71 119,    60 813,    10 306,    1 695,    1 214,    481,    472,    396,    76
   52,    70 175,    61 148,    9 027,,,    52,    459,    438,    21,    67 428,    58 941,    8 487,    1 817,    1 366,    451,    471,    403,    68
   53,    61 137,    54 140,    6 997,,,    53,    419,    400,    19,    58 624,    52 098,    6 526,    1 672,    1 286,    386,    422,    356,    66
   54,    53 851,    48 306,    5 545,,,    54,    390,    375,    15,    51 484,    46 337,    5 147,    1 559,    1 229,    330,    418,    365,    53
  55—59岁,    166 355,    153 509,    12 846,,,  55—59岁,    1 087,    1 035,    52,    156 751,    145 237,    11 514,    6 974,    5 828,    1 146,    1 543,    1 409,    1 34
   55,    45 381,    41 218,    4 163,,,    55,    298,    288,    10,    43 096,    39 310,    3 786,    1 596,    1 271,    325,    391,    349,    42
   56,    39 515,    36 489,    3 026,,,    56,    257,    241,    16,    37 448,    34 698,    2 750,    1 485,    1 251,    234,    325,    299,    26
   57,    32 936,    30 628,    2 308,,,    57,    222,    213,    9,    31 047,    28 976,    2 071,    1 344,    1 147,    197,    323,    292,    31
   58,    26 005,    24 226,    1 779,,,    58,    169,    161,    8,    24 348,    22 783,    1 565,    1 224,    1 042,    182,    264,    240,    24
   59,    22 518,    20 948,    1 570,,,    59,    141,    132,    9,    20 812,    19 470,    1 342,    1 325,    1 117,    208,    240,    229,    11
  60岁及以上,    138 009,    126 977,    11 032,,,  60岁及以上,    1 009,    867,    142,    113 976,    106 788,    7 188,    21272,    17 740,    3 532,    1 752,    1 582,    170
大学专科,    1 126 991,    914 912,    212 079,,,大学专科,    301135,    215 382,    85 753,    808 564,    684 613,    123 951,    1 1 108,    9 814,    1 294,    6 184,    5 103,    1 081
  15—19岁,    20 419,    11152,    9 267,,,  15—19岁,    20 260,    11 038,    9 222,    157,    114,    43,-,-,-,       2,-,     2
    16,    459,    224,    235,,,    16,    454,    219,    235,    5,    5,       -,-,-,-,-,-,-
    17,    1 602,    804,    798,,,    17,    1 585,    790,    795,    17,    14,3,-,-,-,-,-,-
    18,    5 150,    2 735,    2 415,,,    18,    5 114,    2 710,    2 404,    35,    25,    10,-,-,-,    1,-,    1
    19,    13 208,    7 389,    5 819,,,    19,    13 107,    7 319,    5 788,    100,    70,    30,-,-,-,    1,-,    1
  20—24岁,    285 993,    193 445,    92 548,,,  20—24岁,    218 802,    152 017,    66 785,    66 950,    41 277,    25 673,    50,        38,    12,    191,    113,    78
    20,    27 290,    16 166,    11 124,,,    20,    26 658,    15 830,    10 828,    628,    333,    295,    1,    1,   -,    3,    2,    1
    21,    50 510,    31 981,    18 529,,,    21,    47 284,    30 373,    16 911,    3 214,    1 602,    1 612,    1,    1,     -,    11,    5,    6
    22,    62 749,    41 931,    20 818,,,    22,    53 814,    36 974,    16 840,    8 902,    4 940,    3 962,    7,    4,    3,    26,    13,    13
    23,    68 458,    47 797,    20 661,,,    23,    48 956,    36 081,    12 875,    19 432,    11 676,    7 756,    1 5,    1 1,    4,    55,    29,    26
    24,    76 986,    55 570,    21 416,,,    24,    42 090,    32 759,    9 331,    34 774,    22 726,    12 048,    26,    21,    5,    96,    64,    32
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续10)单位：人,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  25—29岁,    267 045,    214 237,    52 808,,,  25—29岁,    55 041,    46 067,    8 974,    210 829,    167 321,    43 508,    158,    110,    48,    1 017,    739,    278
    25,    70 097,    53 051,    17 046,,,    25,    25 866,    21 127,    4 739,    44 067,    31 813,    12 254,    17,    12,    5,    147,    99,    48
    26,    70 018,    55 072,    14 946,,,    26,    15 487,    13 039,    2 448,    54 226,    41 815,    12 411,    42,    29,    13,    263,    189,    74
    27,    71 349,    58 974,    12 375,,,    27,    9 294,    8 063,    1 231,    61 701,    50 639,    11062,    48,    38,    10,    306,    234,    72
    28,    35 476,    30 100,    5 376,,,    28,    3 190,    2 795,    395,    32 091,    27 164,    4 927,    28,    19,    9,    167,    122,    45
    29,    20 105,    17 040,    3 065,,,    29,    1 204,    1 043,    161,    18 744,    15 890,    2 854,    23,    12,    11,    134,    95,    39
  30—94岁,    120 368,    104 314,    16 054,,,  30—34岁,    2 353,    1 962,    391,    117 005,    101 585,    15 420,    148,    110,    38,    862,    657,    205
    30,    20 602,    17 722,    2 880,,,    30,    790,    683,    107,    19 631,    16 889,    2 742,    24,    17,    7,    157,    133,    24
    31,    18 991,    16 578,    2 413,,,    31,    489,    423,    66,    18 339,    16 030,    2 309,    18,    12,    6,    145,    113,    32
    32,    26 511,    23 239,    3 272,,,    32,    458,    374,    84,    25 838,    22 701,    3 137,    30,    26,    4,    185,    138,    47
    33,    27 283,    23 675,    3 608,,,    33,    340,    268,    72,    26 715,    23 232,    3 483,    37,    30,    7,    191,    145,    46
    34,    26 981,    23 100,    3 881,,,    34,    276,    214,    62,    26 482,    22 733,    3 749,    39,    25,    14,    184,    128,    56
  35—39岁,    116 794,    99 358,    17 436,,,  35—39岁,    790,    635,    155,    115 006,    97 999,    17 007,    249,    170,    79,    749,    554,    195
    35,    29 496,    25 054,    4 442,,,    35,    217,    173,    44,    29 032,    24 690,    4 342,    53,    44,    9,    194,    147,    47
    36,    25 444,    21 393,    4 051,,,    36,    181,    140,    41,    25 067,    21 116,    3 951,50,    30,    20,    146,    107,    39
    37,    22 073,    18 778,    3 295,,,    37,    134,    114,    20,    21 738,    18 526,    3 212,    52,    36,    16,    149,    102,    47
    38,    20 771,    17 719,    3 052,,,    38,    137,    108,    29,    20 464,    17 486,    2 978,    54,    38,    16,    116,    87,    29
    39,    19 010,    16 414,    2 596,,,    39,    121,    100,    21,    18 705,    16 181,    2 524,    40,    22,    18,    144,    111,    33
  40-44岁,    95 718,    85 557,    10 161,,,    40-44岁,    545,    467,    78,    94 279,    84 424,    9 855,    363,    274,    89,    531,    392,    139
    40,    22 657,    19 829,    2 828,,,    40,    115,    97,    18,    22 329,    19 572,    2 757,    71,    51,    20,    142,    109,    33
    41,    20 186,    17 958,    2 228,,,    41,    111,    97,    14,    19 906,    17 733,    2 173,    71,        63,    8,    98,    65,    33
    42,    20 130,    18 115,    2 015,,,    42,    88,    69,    19,    19 837,    17 892,    1 945,    84,    58,    26,    121,    96,    25
    43,    18 068,    16 348,    1 720,,,    43,    115,    96,    19,    17 799,    16 143,    1 656,    67,    51,    16,    87,    58,    29
    44,    14 677,    13 307,    1 370,,,    44,    116,    108,    8,    14 408,    13 084,    1 324,    70,    51,    19,    83,    64,    19
  45—49岁,    65 134,    59 273,    5 861,,,  45-49岁,    596,    557,    39,    63 445,    57 838,    5 607,    601,    457,    144,    492,    421,    71
    45,    13 075,    11 872,    1 203,,,    45,    107,    96,    11,    12 797,    11 646,    1 151,    80,    54,    26,    91,    76,    15
    46,    12 085,    10 972,    1 113,,,    46,    109,    103,    6,    11 795,    10 732,    1 063,    101,    74,    27,    80,    63,    17
    47,    12 331,    11 246,    1 085,,,    47,    88,    81,    7,    12 009,    10 967,    1 042,    120,    92,    28,    114,    106,    8
    48,    13 218,    11 999,    1 219,,,    48,    136,    129,    7,    12 856,    11 688,    1 168,    127,    100,    27,    99,    82,    17
    49,    14 425,    13 184,    1 241,,,    49,    156,    148,    8,    13 988,    12 805,    1 183,    173,    137,    36,    108,    94,    14
  50—54岁,    72 488,    67 669,    4 819,,,  50—54岁,    908,    876,    32,    69 646,    65 116,    4 530,    1 301,    1 102,    199,    633,    575,    58
    50,    14 899,    13 744,    1 155,,,    50,    152,    149,    3,    14 407,    13 303,    1 104,    222,    184,    38,    118,    108,    10
    51,    15 077,    13 926,    1 151,,,    51,    198,    185,    13,    14 508,    13 428,    1 080,    247,    203,    44,    124,    110,    14
    52,    15 735,    14 738,    997,,,    52,    174,    171,    3,    15 151,    14 212,    939,    277,    236,    41,    133,    119,    14
    53,    14 128,    13 297,    831,,,    53,    193,    187,    6,    13 525,    12 749,    776,    278,    238,    40,    132,    123,    9
    54,    12 649,    11 964,    685,,,    54,    191,    184,    7,    12 055,    11 424,    631,    277,    241,    36,    126,    115,    11
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7—8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续11)单位：人,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  55—59岁,    37 366,    35 909,    1 457,,,,,,,,,,,,,,,
    55,    10 350,    9 864,    486,,,  55—59岁,    611,    600,    11,    35 122,    33 805,    1 317,    1 149,    1 045,    104,    484,    459,    25
    56,    8 689,    8 350,    339,,,    55,    1 52,    150,    2,    9 845,    9 396,    449,    248,    218,    30,    105,    100,    5
    57,    7 162,    6 876,    286,,,    56,    135,    133,    2,    8 191,    7 883,    308,    257,    234,    23,    106,    100,    6
    58,    5 819,    5 621,    198,,,    57,    119,    117,    2,    6 742,    6 488,    254,    213,    188,    25,    88,    83,    5
    59,    5 346,    5 198,    148,,,    58,    92,    90,    2,    5 442,    5 264,    178,    203,    190,    13,    82,    77,    5
  60岁及以上,    45 666,    43 998,    1 668,,,    59,    113,    110,    3,    4 902,    4 774,    128,    228,    215,    13,    103,    99,    4
大学本科,    241 325,    206 371,    34 954,,,  60岁及以上,    1 229,    1 163,    66,    36 125,    35 134,    991,    7 089,    6 508,    581,    1 223,    1 193,    30
  15-19岁,    2 784,    1 710,    1 074,,,大学本科,    57 330,    46 537,    10 793,    178 233,    154 780,    23 453,    3 746,    3 330,    416,    2 016,    1 724,    292
    16,    53,    33,    20,,,  1 5-19岁,    2 767,    1 700,    1 067,    17,    10,    7,-,-,-,-,-,-
    17,    175,    106,    69,,,    16,    52,    32,    20,    1,    1,-,-,-,-,-,-,-
    18,    734,    464,    270,,,    17,    173,    104,    69,    2,    2,-,-,-,-,-,-,-
    19,    1 822,    1 107,    715,,,    18,    731,    463,    268,     3,    1,    2,-,-,-,-,-,-
  20-24岁,    45 408,    34 148,    11 260,,,    19,    1 81 1,    1 101,    710,    11,    6,    5,-,-,-,-,-,-
    20,    2 979,    1 951,    1 028,,,  20-24岁,    36 359,    28 410,    7 949,    9 005,    5 713,    3 292,    8,      7,    1,    36,    18,    18
    21,    4 685,    3 158,    1 527,,,    20,    2 941,    1 935,    1 006,    37,    15,    22,    1,    1,-,-,-,-
    22,    7 676,    5 555,    2 121,,,    21,    4 555,    3 095,    1 460,    129,    62,    67,    -,    -,-,    1,    1,-
    23,    12 576,    9 640,    2 936,,,    22,    6 975,    5 165,    1 810,    696,    385,    31 1,    1,    1,-,    4,    4,-
    24,    17 492,    13 844,    3 648,,,    23,    10 152,    8 206,    1 946,    2 408,    1 425,    983,    1,    1,-,    15,    8,        7
  25—29岁,    55 049,    46 692,    8 357,,,    24,    11736,    10 009,    1 727,    5 735,    3 826,    1 909,    5,    4,    1,    16,      5,    1 1
    25,    16 823,    13 791,    3 032,,,  25-29岁,    16 206,    14 641,    1 565,    38 583,    31 841,    6 742,    26,    20,    6,    234,    190,    44
    26,    14 743,    12 445,    2 298,,,    25,    8 190,    7 261,    929,    8 603,    6 504,    2 099,   5,    4,    1,    25,    22,     3
    27,    13 441,    11 736,    1 705,,,    26,    4 509,    4 143,    366,    10 175,    8 261,    1 914,    6,    3,    3,    53,    38,    15
    28,    6 552,    5 710,    842,,,    27,    2 451,    2 278,    173,    10 903,    9 382,    1 521,    5,    4,    1,    82,    72,    10
    29,    3 490,    3 010,    480,,,    28,    801,    733,    68,    5 695,    4 934,    761,     7,    6,    1,    49,    37,    12
  30—34岁,    15 916,    13 914,    2 002,,,    29,    255,    226,    29,    3 207,    2 760,    447,    3,    3,-,    25,    21,    4
    30,    3 177,    2 734,    443,,,  30—34岁,    448,    375,    73,    15 297,    13 407,    1 890,    9,    8,    1,    162,    124,    38
    31,    2 546,    2 224,    322,,,    30,    172,    143,    29,    2 980,    2 573,    407,-,-,-,    25,    18,     7
    32,    3 370,    2 996,    374,,,    31,    98,    87,    11,    2 422,    2 120,    302,    3,    3,     -,    23,    14,    9
    33,    3 537,    3 104,    433,,,    32,    76,    64,    12,    3 255,    2 902,    353,    1,    1,    -,    38,    29,    9
    34,    3 286,    2 856,    430,,,    33,    53,    42,    11,    3 440,    3 023,    417,    4,    3,    1,    40,    36,    4
  35—39岁,    13 183,    11 322,    1 861,,,    34,    49,    39,    10,    3 200,    2 789,    411,    1,    1,    -,    36,    27,    9
    35,    3 347,    2 900,    447,,,  35—39岁,    115,    88,    27,    12 930,    11 132,    1 798,    27,    18,    9,    11 1,    84,    27
    36,    2 778,    2 336,    442,,,    35,    32,    25,    7,    3 288,    2 855,    433,    2,    1,    1,    25,    19,    6
    37,    2 479,    2 126,    353,,,    36,    18,    9,    9,    2 720,    2 300,    420,    12,      7,     5,    28,    20,    8
    38,    2 367,    2 035,    332,,,    37,        21,    17,    4,    2 440,    2 093,    347,    2,      2,    -,    16,    14,    2
    39,    2 212,    1 925,    287,,,    38,    26,    22,    4,    2 309,    1 989,    320,    6,    5,    1,    26,    19,     7
,,,,,,    39,    18,    15,     3,    2 173,    1 895,    278,    5,    3,    2,    16,    12,    4
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7—8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续25),,,,,,,,,,,,
    婚姻状况(第二口径)(续1 2)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,    小计,    男,    女,    小计,    男,    女
  40-44岁,    19 276,    16 865,    2 411,,,,  小计,    男,    女,    小计,    男,    女,,,,,,
    40,    2 901,    2 591,    310,,,  40—44岁,    166,    136,    30,    18 888,    16 576,    2 312,    74,    45,    29,    148,    108,    40
    41,    2 764,    2 489,    275,,,    40,    16,    14,    2,    2 850,    2 549,    301,    5,    4,    1,    30,    24,    6
    42,    3 208,    2 902,    306,,,    41,    25,    20,    5,    2 711,    2 447,    264,    10,    7,    3,    18,    15,    3
    43,    4 289,    3 676,    613,,,    42,    28,    21,    7,    3 150,    2 859,    291,    11,    9,    2,    19,    13,    6
    44,    6 114,    5 207,    907,,,,,,,,,,,,,,,
  45—49岁,    28 790,    25 023,    3 767,,,    43,    37,    33,    4,    4 194,    3 605,    589,    17,    9,    8,    41,    29,    12
    45,    6 117,    5 261,    856,,,    44,    60,    48,    12,    5 983,    5 116,    867,    31,    16,    15,    40,    27,    13
    46,    5 595,    4 850,    745,,,  45—49岁,    204,    183,    21,    28 174,    24 529,    3 645,    162,    113,    49,    250,    198,    52
    47,    5 337,    4 652,    685,,,,,,,,,,,,,,,
    48,    5 650,    4 924,    726,,,    45,    39,    31,    8,    5 998,    5 169,    829,    25,    16,    9,    55,    45,    10
    49,    6 091,    5 336,    755,,,    46,    36,    34,    2,    5 481,    4 761,    720,    32,    21,    11,    46,    34,    12
