,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    64,    26 631,    22 468,    4 163,    395,    378,    17,    21 826,    18 785,    3 041,    4 050,    2 979,    1 071,,,    64,    360,    326,    34
  65岁及以上,    157 036,    135 449,    21 587,    1 959,    1 780,    179,    117 920,    105 093,    12 827,    35 142,    26 710,    8 432,,,  65岁及以上,    2 015,    1 866,    149
服务性工作人员,    4 110 552,    2 552 314,    1 558 238,    1 021 645,    606 186,    415 459,    2 912 067,    1 818 741,    1 093 326,    129 843,    90 238,    39 605,,,服务性工作人员,    46 997,    37 149,    9 848
  15-19岁,    448 202,    218 577,    229 625,    434 435,    212 617,    221 818,    13 611,    5 888,    7 723,    27,    17,    10,,,  15-19岁,    129,    55,    74
    15,    27 590,    12 799,    14 791,    27 514,    12 762,    14 752,    71,    34,    37,    1,-,    1,,,    15,    4,    3,    1
    16,    58 328,    27 709,    30 619,    58 061,    27 590,    30 471,    261,    116,    145,    1,-,    1,,,    16,    5,    3,    2
    17,    95 646,    46 283,    49 363,    94 646,    45 880,    48 766,    987,    397,    590,    5,    5,-,,,    17,    8,    1,    7
    18,    120 844,    59 197,    61 647,    117 623,    57 879,    59 744,    3 181,    1 304,    1 877,    9,    4,    5,,,    18,    31,    10,    21
    19,    145 794,    72 589,    73 205,    136 591,    68 506,    68 085,    9 111,    4 037,    5 074,    11,    8,3,,,    19,    81,    38,    43
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续09),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续25)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  20-24岁,    689 627,    382 771,    306 856,    406 665,    229 980,    176 685,    280 234,    151 558,    128 676,    483,    208,    275,,,  20-24岁,    2 245,    1 025,    1 220
    20,    150 251,    76 466,    73 785,    128 325,    66 949,    61 376,    21 746,    9 438,    12 308,    16,    8,    8,,,    20,    164,    71,    93
    21,    156 735,    84 045,    72 690,    115 044,    64 022,    51 022,    41 341,    19 879,    21 462,    48,    18,    30,,,    21,    302,    126,    176
    22,    133 999,    75 314,    58 685,    77 264,    44 755,    32 509,    56 235．,    30 359,    25 876,    73,    28,    45,,,    22,    427,    172,    255
    23,    119 502,    69 879,    49 623,    49 003,    30 074,    18 929,    69 827,    39 485,    30 342,    131,    60,    71,,,    23,    541,    260,    281
    24,    129 140,    77 067,    52 073,    37 029,    24 180,    12 849,    91 085,    52 397,    38 688,    215,    94,    121,,,    24,    811,    396,    415
  25-29岁,    518 238,    306 632,    21 1 606,    61 614,    47 135,    14 479,    450 239,    256 565,    193 674,    1 450,        532,    918,,,  25-29岁,    4 935,    2 400,    2 535
    25,    124 483,    74 233,    50 250,    23 500,    16 442,    7 058,    99 772,    57 265,    42 507,    244,    83,    161,,,    25,    967,    443,    524
    26,    124 946,    73 923,    51 023,    15 785,    12 026,    3 759,    107 690,    61 218,    46 472,    301,    120,    181,,,    26,    1 170,    559,    611
    27,    134 095,    79 493,    54 602,    12 450,    10 122,    2 328,    119 906,    68 598,    51 308,    416,    159,    257,,,    27,    1 323,    614,    709
    28,    77 632,    45 749,    31 883,    6 056,    5 189,    867,    70 451,    40 014,    30 437,    290,    102,    188,,,    28,    835,    444,    391
    29,    57 082,    33 234,    23 848,    3 823,    3 356,    467,    52420,    29 470,    22 950,    199,    68,    131,,,    29,    640,    340,    300
  30-34岁,    441 352,    256 583,    184 769,    22 573,    21 502,    1 071,    411 252,    231 002,    180 250,    2 731,    1 062,    1 669,,,  30-34岁,    4 796,    3 017,    1 779
    30,    74 952,    44 293,    30 659,    4 479,    4 143,    336,    69 238,    39 467,    29 771,    340,    151,    189,,,    30,    895,    532,    363
    31,    75 821,    44 798,    31 023,    4 179,    3 960,    219,    70 371,    40 145,    30 226,    404,    158,    246,,,    31,    867,    535,    332
    32,    100 960,    59 379,    41 581,    5 152,    4 941,    211,    94 148,    53 518,    40 630,    595,    257,    338,,,    32,    1 065,    663,    402
    33,    96 232,    54 979,    41 253,    4 546,    4 401,    145,    90 006,    49 665,    40 341,    673,    245,    428,,,    33,    1 007,    668,    339
    34,    93 387,    53 134,    40 253,    4 217,    4 057,    160,    87 489,    48 207,    39 282,    719,    251,    468,,,    34,    962,    619,    343
  35-39岁,    503 275,    279 560,    223 715,    21 228,    20 763,    465,    470 953,    253 048,    217 905,    5 692,    2 010,    3 682,,,  35-39岁,    5 402,    3 739,    1 663
    35,    107 059,    60 049,    47 010,    4 632,    4 508,    124,    100 301,    54 385,    45 916,    956,    352,    604,,,    35,    1 170,    804,    366
    36,    103 294,    56 929,    46 365,    4 367,    4 264,    103,    96 799,    51 555,    45 244,    1 008,    364,    644,,,    36,    1 120,    746,    374
    37,    100 627,    55 211,    45 416,    4 223,    4 140,    83,    94 170,    49 975,    44 195,    1 148,    365,    783,,,    37,    1086,    731,    355
    38,    102 650,    57 293,    45 357,    4 292,    4 210,    82,    95 978,    51 855,    44 123,    1 303,    461,    842,,,    38,    1 077,    767,    310
    39,    89 645,    50 078,    39 567,    3 714,    3 641,    73,    83 705,        45 278,    38 427,    1 277,    468,    809,,,    39,    949,    691,    258
  40-44岁,    422 188,    244 128,    178 060,    18 988,    18 758,    230,    389 286,    217 870,    171 416,    8 604,    3 345,    5 259,,,  40-44岁,    5 310,    4 155,    1 155
    40,    99 918,    57 016,    42 902,    4 338,    4 276,    62,    92 791,    51 235,    41 556,    1 597,    607,    990,,,    40,    1 192,    898,    294
    41,    86 821,    49 188,    37 633,    3 689,    3 650,    39,    80 421,    44 095,    36 326,    1 648,    627,    1 021,,,    41,    1 063,    816,    247
    42,    83 067,    47 668,    35 399,    3 702,    3 655,    47,    76 590,    42 524,    34 066,    1 740,    691,    1 049,,,    42,    1 035,    798,    237
    43,    80 256,    46 967,    33 289,    3 617,    3 572,    45,    73 722,    41 797,    31 925,    1 849,    744,    1 105,,,    43,    1 068,    854,    214
    44,    72 126,    43 289,    28 837,    3 642,    3 605,    37,    65 762,    38 219,    27 543,    1 770,    676,    1 094,,,    44,    952,    789,    163
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续26)单位：人,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    年龄别,,,,,,,,,,,,,,,    职业和,    离婚,,
,  合计,    男,    女,  小计,    男,  女,  小计,    男,    女,    小计,    男,    女,,,    年龄别,,,
  45-49岁,    316 857,    206 356,    110 501,    17 629,    17 481,    148,    283 242,    179 308,    103 934,    10 946,    5 190,    5 756,,,,    小计,    男,    女
    45,    69 418,    42 890,    26 528,3 544,    3 507,    37,    62 959,    37 742,    25 217,    1 985,    855,    1 130,,,  45-49岁,    5 040,    4 377,    663
    46,    65 560,    41 743,    23 817,    3 542,    3 515,    27,    59 010,    36 478,    22 532,    1 981,    873,    1 108,,,    45,    930,    786,    144
    47,    60 522,    39 410,    21 112,    3 363,    3 335,    28,    54 151,    34 295,    19 856,    2 067,    966,    1 101,,,    46,    1 027,    877,    150
    48,    61 517,    41 026,    20 491,    3 676,    3 651,    25,    54 382,    35 287,    19 095,    2 382,    1 140,    1 242,,,    47,    941,    814,    127
    49,    59 840,    41 287,    18 553,    3 504,    3 473,    31,    52 740,    35 506,    17 234,    2 531,    1 356,    1 175,,,    48,    1 077,    948,    129
  50-54岁,    265 145,    209 145,    56 000,    16 583,    16 442,    141,    226 562,    176 742,    49 820,    15 985,    10 279,    5 706,,,    49,    1 065,    952,    113
    50,    55 205,    40 817,    14 388,    3 400,    3 378,    22,    48 133,    34 948,    13 185,    2 619,    1 525,    1 094,,,  50-54岁,    6 015,    5 682,    333
    51,    53 422,    41 417,    12 005,    3 367,    3 332,    35,    46 078,    35 266,    10 812,    2 854,    1 765,    1 089,,,    50,    1 053,    966,    87
    52,    54 401,    43 362,    11 039,    3 468,    3 444,    24,    46 258,    36 528,    9 730,    3 446,    2 215,    1 231,,,    51,    1 123,    1 054,    69
    53,    51 097,    41 475,    9 622,    3 220,    3 184,    36,    43 233,    34 813,    8 420,    3 339,    2 239,    1 100,,,    52,    1 229,    1 175,    54
    54,    51 020,    42 074,    8 946,    3 128,    3 104,    24,    42 860,    35 187,    7 673,    3 727,    2 535,    1 192,,,    53,    1 305,    1 239,    66
  55-59岁,    218 525,    188 087,    30 438,    11 805,    11 691,    114,    177 885,    153 424,    24 461,    22 720,    17 067,    5 653,,,    54,    1 305,    1 248,    57
    55,    48 073,    40 409,    7 664,    2 809,    2 779,    30,    39 755,    33 375,    6 380,    4 195,    2 992,    1 203,,,  55-59岁,    6 115,    5 905,    210
    56,    46 804,    39 995,    6 809,    2 703,    2 676,    27,    38 320,    32 779,    5 541,    4 491,    3 304,    1 187,,,    55,    1 314,    1 263,    51
    57,    45 800,    39 437,    6 363,    2 418,    2 397,    21,    37 342,    32 230,    5 112,    4 751,    3 565,    1 186,,,    56,    1 290,    1 236,    54
    58,    40 760,    35 552,    5 208,    2 085,    2 066,    19,    32 883,    28 805,    4 078,    4 626,    3 548,    1 078,,,    57,    1 289,    1 245,    44
    59,    37 088,    32 694,    4 394,    1 790,    1 773,    17,    29 585,    26 235,    3 350,    4 657,    3 658,    999,,,    58,    1 166,    1 133,    33
  60-64岁,    150 429,    134 626,    15 803,    5 830,    5 720,    1 10,    115 635,    105 118,    10 517,    25 002,    19 955,    5 047,,,    59,    1 056,    1 028,    28
    60,    35 556,    31 587,    3 969,    1 548,    1 527,    21,    28 094,    25 187,    2 907,    4 950,    3 938,    1 012,,,  60-64岁,    3 962,    3 833,    129
    61,    31 773,    28 242,    3 531,    1 216,    1 196,    20,    24 642,    22 261,    2 381,    5 039,    3 942,    1 097,,,    60,    964,    935,    29
    62,    31 852,    28 469,    3 383,    1 235,    1 213,    22,    24 376,    22 137,    2 239,    5 428,    4 329,    1 099,,,    61,    876,    843,    33
    63,    26 518,    23 916,    2 602,    947,    919,    28,    20 161,    18 543,    1 618,    4 745,    3 814,    931,,,    62,    813,    790,    23
    64,    24 730,    22 412,    2 318,    884,    865,    19,    18 362,    16 990,    1 372,    4 840,    3 932,    908,,,    63,    665,    640,    25
  65岁及以上,    136 714,    125 849,    10 865,    4 295,    4 097,    198,    93 168,    88 218,    4 950,    36 203,    30 573,    5 630,,,    64,    644,    625,    19
农、林、牧、渔业劳动者,  419 465 686,  218 918 474,  200 547 212,  102 221 128,  60 173 479, 42 047 649,    303 171 525,    150 350 908,    152 820 617,    11 731 775,    6 442 955,    5 288 820,,,  65岁及以上,    3 048,    2 961,    87
  15-19岁,    59 245 158,    28 493 572,    30 751 586,    56 203 340,  27 602 226, 28 601 114,    3 007 297,    882 258,    2 125 039,    4 099,    1 869,    2 230,,,农、林、牧、渔业劳动者,    2 341 258,    1 951 132,    390 126
    15,    7 363 468,    3 147 481,    4 215 987,    7 335 319,    3 138 595,  4 196 724,    27 426,    8 641,    18 785,    158,    91,    67,,,  15-19岁,    30 422,    7 219,    23 203
    16,    10 620 285,    4 946 854,    5 673 431,    10 528 836,    4 923 091,  5 605 745,    89 713,    23 351,    66 362,    260,    154,    106,,,    15,    565,    154,    411
    17,    12 800 350,    6 240 254,    6 560 096,    12 515 474,    6 165 506,  6 349 968,    280 878,    73 792,    207 086,    533,    291,    242,,,    16,    1 476,    258,    1 218
    18,    13 639 160,    6 765 880,    6 873 280,    12 847 286,    6 547 815,  6 299 471,    780 113,    215 601,    564 512,    1 063,    433,    630,,,    17,    3 465,    665,    2 800
    19,    14 821 895,    7 393 103,    7 428 792,    12 976 425,    6 827 219,  6 149 206,    1 829 167,    560 873,    1 268 294,    2 085,    900,    1 185,,,    18,    10 698,    2 031,    8 667
  20-24岁,    74 574 386,    37 070 414,    37 503 972,    33 054 690,  20 458 656,  12 596 034,    41 267 671,    16 474 590,    24 793 081,    60 409,    33 084,    27 325,,,    19,    14 218,    4 111,    10 107
    20,    15 039 672,    7 375 912,    7 663 760,    11 083 608,    6 169 779,  4 913 829,    3 925 034,    1 194 122,    2 730 912,    4 427,    1 919,    2 508,,,  20-24岁,    191 616,    104 084,    87 532
    21,    15 853 116,    7 847 003,    8 006 113,    9 154 832,    5 534 941,  3 619 891,    6 660 958,    2 294 096,    4 366 862,    7 817,    3 713,    4 104,,,    20,    26 603,    10 092,    16 511
    22,    14 659 235,    7 334 272,    7 324 963,    6 109 918,    3 954 881,  2 155 037,    8 499 533,    3 352 932,    5 146 601,    11 442,    5 979,    5 463,,,    21,    29 509,    14 253,    15 256
    23,    13 950 412,    6 973 198,    6 977 214,    3 878 880,    2 693 387,  1 185 493,    10 012 996,    4 245 493,    5 767 503,    15 391,    8 796,    6 595,,,    22,    38 342,    20 480,    17 862
    24,    15 071 951,    7 540 029,    7 531 922,    2 827 452,    2 105 668,    721 784,    12 169 150,    5 387 947,    6 781 203,    21 332,    12 677,    8 655,,,    23,    43 145,    25 522,    17 623
,,,,,,,,,,,,,,,    24,    54 017,    33 737,    20 280
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续11),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续27)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,    男,    女,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,,,,,,    小计,    男,    女
  25-29岁,    58 154 283,    28 886 055,    29 268 228,    4 846 099,    4 136 489,    709 610,    52 910 841,    24 479443,    28 431 398,    141 919,    87 405,    54 514,,,  25-29岁,    255 424,    182 718,    72 706
    25,    14 149 099,    7 036 118,    7 112 981,    1 798 465,    1 439 472,    358 993,    12 265 066,    5 542 022,    6 723 044,    25 784,    15 409,    10 375,,,    25,    59 784,    39 215,    20 569
    26,    14 044 382,    6 959 992,    7 084 390,    1 251 083,    1 069 895,    181 188,    12 702 129,    5 828 989,    6 873 140,    30 954,    19 073,    11 881,,,    26,    60 216,    42 035,    18 181
    27,    15 028 475,    7 524 547,    7 503 928,    1 000 849,    892 528,    108 321,    13 923 969,    6 560 567,    7 363 402,    38 809,    24 101,    14 708,,,    27,    64 848,    47 351,    17 497
    28,    9 065 519,    4 473 441,    4 592 078,    498 234,    455 945,    42 289,    8 498 699,    3 969 446,    4 529 253,    26 868,    16 651,    10 217,,,    28,    41 718,    31 399,    10 319
    29,    5 866 808,    2 891 957,    2 974 851,    297 468,    278 649,    18 819,    5 520 978,    2 578 419,    2 942 559,    19 504,    12 171,    7 333,,,    29,    28 858,    22 718,    6 140
  30-34岁,    45 857 224,    23 366 065,    22 491 159,    2 093 597,    2 048 888,    44 709,    43 277 203,    20 955 568,    22 321 635,    245 730,    158 238,    87 492,,,  30-34岁,    240 694,    203 371,    37 323
    30,    7 478 662,    3 816 747,    3 661 915,    363 327,    349 514,    13 813,    7 043 521,    3 414 562,    3 628 959,    29 783,    19 039,    10 744,,,    30,    42 031,    33 632,    8 399
    31,    7 672 818,    3 943 439,    3 729 379,    377 865,    368 464,    9 401,    7 219 813,    3 518 161,    3 701 652,    35 067,    22 986,    12 081,,,    31,    40 073,    33 828,    6 245
    32,  10 449 912,    5 370 551,    5 079 361,    491 694,    482 877,    8 817,    9 849 677,    4 806 264,    5 043 413,    54 522,    35 375,    19 147,,,    32,    54 019,    46 035,    7 984
    33,  10 298 266,    5 221 926,    5 076 340,    444 578,    437 468,    7 110,    9 741 433,    4 700 980,    5 040 453,    60 159,    38 790,    21 369,,,    33,    52 096,    44 688,    7 408
    34,    9 957 566,    5 013 402,    4 944 164,    416 133,    410 565,    5 568,    9 422 759,    4 515 601,    4 907 158,    66 199,    42 048,    24 151,,,    34,    52 475,    45 188,    7 287
  35-39岁,    50 189 313,    25 216 247,    24 973 066,    1 920 722,    1 899 326,    21 396,    47 429 068,    22 728 508,    24 700 560,    528 179,    318 344,    209 835,,,  35-39岁,    31 1 344,    270 069,    41 275
    35,    11099 314,    5 608 741,    5 490 573,    451 936,    446 547,    5 389,    10 497 800,    5 053 758,    5 444 042,    85 975,    54 053,    31 922,,,    35,    63 603,    54 383,    9 220
    36,    10 565 403,    5 310 151,    5 255 252,    417 931,    413 339,    4 592,    9 990 009,    4 784 054,    5 205 955,    94 811,    58 682,    36 129,,,    36,    62 652,    54 076,    8 576
    37,    10 107 807,    5 065 848,    5 041 959,    388 725,    384 495,    4 230,    9 549 563,    4 561 932,    4 987 631,    106 942,    65 070,    41 872,,,    37,    62 577,    54 351,    8 226
    38,    9 962 955,    4 997 347,    4 965 608,    363 782,    359 860,    3 922,    9 413 793,    4 509 098,    4 904 695,    120444,    71 693,    48 751,,,    38,    64 936,    56 696,    8 240
    39,    8 453 834,    4 234 160,    4 219 674,    298 348,    295 085,    3 263,    7 977 903,    3 819 666,    4 158 237,    120 007,    68 846,    51 161,,,    39,    57 576,    50563,    7 013
  40-44岁,    37 058 683,    18 894 647,    18 164 036,    1 310 641,    1 293 823,    16 818,    34 618 377,    16 900 012,    17 718 365,    832 618,    439 269,    393 349,,,  40-44岁,    297 047,    261 543,    35 504
    40,    8 892 599,    4 536 360,    4 356 239,    319 367,    315 766,    3 601,    8 351 509,    4 075 375,    4 276 134,    152 349,    85 038,    67 311,,,    40,    69 374,    60 181,    9 193
    41,    7 612 687,    3 884 855,    3 727 832,    266 156,    263 038,    3 118,    7 137 511,    3 487 337,    3 650 174,    149 773,    82 090,    67 683,,,    41,    59 247,    52 390,    6 857
    42,    7 240 935,    3 704 838,    3 536 097,    255 085,    251 387,    3 698,    6 763 785,    3 314 827,    3 448 958,    164 301,    87 653,    76 648,,,    42,    57 764,    50 971,    6 793
    43,    6 922 929,    3 532 288,    3 390 641,    243 114,    239 520,    3 594,    6 444 124,    3 150 017,    3 294 107,    178 726,    92 353,    86 373,,,    43,    56 965,    50 398,    6 567
    44,    6 389 533,    3 236 306,    3 153 227,    226 919,    224 112,    2 807,    5 921 448,    2 872 456,    3 048 992,    187 469,    92 135,    95 334,,,    44,    53 697,    47 603,    6 094
  45-49岁,    28 083 773,    14 867 797,    13 215 976,    1 004 581,    990 833,    13 748,    25 602 771,    13 057 848,    12 544 923,    1 214 349,    584 274,    630 075,,,  45-49岁,    262 072,    234 842,    27 230
    45,  6 095 544,    3 144 552,    2 950 992,    218 122,    215 319,    2 803,    5 618 309,    2 782 464,    2 835 845,    204 812,    99 000,    105 812,,,    45,    54 301,    47 769,    6 532
    46,  5 803 488,    3 049 429,    2 754 059,    203 132,    200 361,    2 771,    5 326 783,    2 694 378,    2 632 405,    221 828,    108 365,    113 463,,,    46,    51 745,    46 325,    5 420
    47,  5 395 115,    2 865 166,    2 529 949,    192 214,    189 544,    2 670,    4 919 964,    2 518 078,    2 401 886,    232 857,    112 505,    120 352,,,    47,    50 080,    45 039,    5 041
    48,  5 481 041,    2 933 676,    2 547 365,    200 327,    197 444,    2 883,    4 960 598,    2 560 453,    2 400 145,    266 581,    127 628,    138 953,,,    48,    53 535,    48 151,    5 384
    49,  5 308 585,    2 874 974,    2 433 611,    190 786,    188 165,    2 621,    4 777 117,    2 502 475,    2 274 642,    288 271,    136 776,    151 495,,,    49,    52 411,    47 558,    4 853
  50-54岁,    23 994 029,    13 733 847,    10 260 182,    801 643,    788 447,    13 196,    21 116 112,    11 823 275,    9 292 837,    1 809 798,    878 513,    931 285,,,  50-54岁,    266 476,    243 612,    22 864
    50,    4 988 733,    2 753 477,    2 235 256,    178 413,    175 922,    2 491,    4 450 244,    2 385 096,    2 065 148,    306 019,    144 080,    161 939,,,    50,    54 057,    48 379,    5 678
    51,    4 745 879,    2 695 844,    2 050 035,    161 811,    159 577,    2 234,    4 210 254,    2 332 227,    1 878 027,    322 903,    157 411,    165 492,,,    51,    50 911,    46 629,    4 282
    52,    4 851 838,    2 804 213,    2 047 625,    165 918,    162 782,    3 1 36,    4 266 724,    2 412 693,    1854 031,    365 019,    178 826,    186 193,,,    52,    54 177,    49 912,    4 265
    53,    4 739 919,    2 750 022,    1 989 897,    152 993,    149 885,    3 108,    4 141 419,    2 359 842,    1 781 577,    392 420,    191 464,    200 956,,,    53,    53 087,    48 831,    4 256
    54,    4 667 660,    2 730 291,    1 937 369,    142 508,    140 281,    2 227,    4 047 471,    2 333 417,    1 714 054,    423 437,    206 732,    216 705,,,    54,    54 244,    49 861,    4 383
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续12),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续28)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
  55-59岁,    19 794 352,    12 193 994,  7 600 358,    531 259,    519 950,    11 309,    16 710 167,    10 266 305,    6 443 862,    2 312 538,    1 187 185,    1 125 353,,,  55-59岁,    240 388,    220 554,    19 834
    55,    4 386 168,    2 613 557,  1 772 611,    130 330,    128 063,    2 267,    3 768 287,    2 222 160,    1 546 127,    434 472,    214 764,    219 708,,,    55,    53 079,    48 570,    4 509
    56,    4 292 007,    2 609 840,  1 682 167,    121 290,    118 803,    2 487,    3 653 264,    2 206 357,    1 446 907,    465 342,    236 654,    228 688,,,    56,    52 111,    48 026,    4 085
    57,    4 109 147,    2 538 948,  1 570 199,    107 943,    105 490,    2 453,    3 467 873,    2 138 182,    1 329 691,    483 728,    249 610,    234 118,,,    57,    49 603,    45 666,    3 937
    58,    3 624 308,    2 267 411,  1 356 897,    91 003,    88 897,    2 106,    3 025 962,    1 898 491,    1 127 471,    462 970,    239 394,    223 576,,,    58,    44 373,    40 629,    3 744
    59,    3 382 722,    2 164 238,  1 218 484,    80 693,    78 697,    1 996,    2 794 781,    1 801 115,    993 666,    466 026,    246 763,    219 263,,,    59,    41 222,    37 663,    3 559
  60-64岁,    12 522 120,    8 607 565,  3 914 555,    263 236,    254 683,    8 553,    10 075 338,    7 054 964,    3 020 374,    2 037 410,    1 164 967,    872 443,,,  60-64岁,    146 136,    132 951,    13 185
    60,    3 129 852,    2 065 960,  1 063 892,    71 107,    69 278,    1 829,    2 563 966,    1 713 670,    850 296,    455 701,    247 844,    207 857,,,    60,    39 078,    35 168,    3 910
    61,    2 694 392,    1 818 772,    875 620,    56 077,    54 559,    1 518,    2 189 570,    1 501 226,    688 344,    417 271,    234 219,    183 052,,,    61,    31 474,    28 768,    2 706
    62,    2 591 708,    1 793 788,    797 920,    53 739,    51 479,    2 260,    2 082 158,    1 470 529,    611 629,    426 105,    244 596,    181 509,,,    62,    29 706,    27 184,    2 522
    63,    2 166 529,    1 532 065,    634 464,    43 928,    42 198,    1 730,    1 719 098,    1 244 591,    474 507,    379 019,    222 887,    156 132,,,    63,    24 484,    22 389,    2 095
    64,    1 939 639,    1 396 980,    542 659,    38 385,    37 169,    1 216,    1 520 546,    1 124 948,    395 598,    359 314,    215 421,    143 893,,,    64,    21 394,    19 442,    1 952
  65岁及以上,    9 992 365,    7 588 271,    2 404 094,    191 320,    180 158,    11 162,    7 156 680,    5 728 137,    1 428 543,    2 544 726,    1 589 807,    954 919,,,  65岁及以上,    99 639,    90 169,    9 470
生产工人、运输工人和有关人员,    34 726 024,    23 653 808,  11 072 216,  11 731 850,    7 098 818,    4 633 032,    22 611 043,    16 275 897,    6 335 146,    245 265,    168 938,    76 327,,,生产工人，运输工人和有关人员,    137 866,    110 155,    27 711
  15-19岁,    5 365 098,    2 799 676,    2 565 422,    5 241 701,    2 731 340,    2 510 361,    122 555,    67 971,    54 584,    155,    97,    58,,,  15-19岁,    687,    268,    419
    15,    340 499,    137 014,    203 485,    339 500,    136 393,    203 107,    985,    612,    373,    6,    4,    2,,,    15,    8,    5,    3
    16,    695 867,    327 834,    368 033,    692 806,    326 208,    366 598,    3 022,    1 604,    1 418,    11,    10,    1,,,    16,    28,    12,    16
    17,    1 125 325,    572 187,    553 138,    1 116 007,    567 463,    548 544,    9 220,    4 686,    4 534,    21,    14,    7,,,    17,    77,    24,    53
    18,    1 436 419,    771 110,    665 309,    1 407 850,    756 016,    651 834,    28 311,    15 000,    13 311,    41,    22,    19,,,    18,    217,    72,    145
    19,    1 766 988,    991 531,    775 457,    1 685 538,    945 260,    740 278,    81 017,    46 069,    34 948,    76,    47,    29,,,    19,    357,    155,    202
  20-24岁,    8 802 669,    5 667 740,    3 134 929,    5 438 279,    3 465 217,    1 973 062,    3 348 242,    2 192 175,    1 156 067,    3 832,    2 659,    1 173,,,  20-24岁,    12 316,    7 689,    4 627
    20,    1 865 040,    1 094 253,    770 787,    1 660 528,    979 764,    680 764,    203 480,    113 915,    89 565,    188,    120,    68,,,    20,    844,    454,    390
    21,    1 983 259,    1 230 929,    752 330,    1 545 386,    969 399,    575 987,    436 002,    260 425,    175 577,    437,    284,    153,,,    21,    1 434,    821,    613
    22,    1 717 874,    1 118 328,    599 546,    1 059 348,    689 884,    369 464,    655 630,    426 638,    228 992,    656,    449,    207,,,    22,    2 240,    1 357,    883
    23,    1 542 349,    1 046 182,    496 167,    673 683,    463 660,    210 023,    864 631,    579 873,    284 758,    990,    713,    277,,,    23,    3 045,    1 936,    1 109
    24,    1 694 147,    1 178 048,    516 099,    499 334,    362 510,    136 824,    1 188 499,    811 324,    377 175,    1 561,    1 093,    468,,,    24,    4 753,    3 121,    1 632
  25-29岁,    6 267 341,    4 488 349,    1 778 992,    687 069,    550 227,    136 842,    5 541 387,    3 91 1 350,    1 630 037,    10 722,    7 518,    3 204,,,  25-29岁,    28 163,    19 254,    8 909
    25,    1 591 567,    1 125 477,    466 090,    297 495,    227 300,    70 195,    1 286 200,    892 891,    393 309,    2 006,    1 409,    597,,,    25,    5 866,    3 877,    1 989
    26,    1 536 245,    1 093 674,    442 571,    178 007,    143 367,    34 640,    1 349 166,    944 142,    405 024,    2 335,    1 652,    683,,,    26,    6 737,    4 513,    2 224
    27,    1 617 167,    1 169 051,    448 116,    124 823,    104 098,    20 725,    1 481 701,    1 057 647,    424 054,    3 036,    2 130,    906,,,    27,    7 607,    5 176,    2 431
