,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    57,    4 424 305,    2 821 915,    1 602 390,    114 874,    112 21 8,    2 656,    3 751 553,    2 394 725,    1 356 828,    504 163,    265 360,    238 803,,,    58,    47 939,    44 063,    3 876
    58,    3 884 660,    2 500 751,    1 383 909,    96 843,    94 528,    2 315,   3 257 640,    2 107 986,    1 149 654,    482 238,    254 174,    228 064,,,    59,    44 398,    40 704,    3 694
    59,    3 606 669,    2 365 596,    1 241 073,    85 764,    83 580,    2 184,    2 991 838,    1 980 034,    1 011 804,    484 669,    261 278,    223 391,,,  60-64岁,    157 068,    143 328,    13 740
  60—64岁,    13 212 606,    9 218 006,    3 994 600,    280 935,    271 149,    9 786,    10 651 782,    7 572 810,    3 078 972,    2 122 821,    1 230 719,    892 102,,,    60,    41 838,    37 794,    4 044
    60,    3 319 182,    2 235 060,    1 084 122,    75 742,    73 692,    2 050,    2 727 296,    1 861 250,    866 046,    474 306,    262 324,    211 982,,,    61,    33 914,    31 102,    2 812
    61,    2 843 588,    1 950 167,    893 421,    59 698,    57 962,    1 736,    2 315 448,    1 613 705,    701 743,    434 528,    247 398,    187 130,,,    62,    31 989,    29 342,    2 647
    62,    2 730 882,    1 916 316,    814 566,    57 511,    54 941,    2 570,    2 197 386,    1 573 760,    623 626,    443 996,    258 273,    185 723,,,    63,    26 246,    24 059,    2 187
    63,    2 278 439,    1 630 509,    647 930,    46 865,    44 865,    2 000,    1 810 454,    1 326 498,    483 956,    394 874,    235 087,    159 787,,,    64,    23 081,    21 031,    2 050
    64,    2 040 515,    1 485 954,    554 561,    41 119,    39 689,    1 430,    1 601 198,    1 197 597,    403 601,    375 117,    227 637,    147 480,,,  65岁及以上,    107 775,    97 846,    9 929
  65岁及以上,    10 512 876,    8 049 939,    2 462 937,    209 307,    195 133,    14 174,    7 532 566,    6 073 817,    1 458 749,    2 663 228,    1 683 143,    980 085,,,各类专业、技术人员,    47 827,    29 122,    18 705
各类专业、技术人员,    11 134 052,    7 594 612,    3 539 440,    1 892 330,    1 022 043,    870 287,    9 089 126,    6 467 439,    2 621 687,    104 769,    76 008,    28 761,,,  15-19岁,    121,    63,    58
  1 5-19岁,    429 178,    171 871,    257 307,    41 3 320,    164 393,    248 927,    15 719,    7 402,    8 317,    18,    13,    5,,,    15,    3,    3,   -
    15,    11 496,    6 102,    5 394,    11 380,    6 027,    5 353,    110,    69,    41,    3,        3,         -,,,    16,    4,    -,    4
    16,    29 169,    11 780,    17 389,    28 907,    11 623,    17 284,    258,    157,    101,         -,    -,    -,,,    17,    13,    7,    6
    17,    65 706,    24 618,    41 088,    64 816,    24 140,    40 676,    874,    469,    405,    3,    2,    1,,,    18,    27,    15,    12
    18,    118 007,    45 001,    73 006,    114 748,    43 483,    71265,    3 228,    1 499,    1 729,    4,    4,    -,,,    19,    74,    38,    36
    19,    204 800,    84 370,    120 430,    193 469,    79 120,    114 349,    11 249,    5 208,    6 041,    8,    4,    4,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
            单位：人,,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续18)单位：人,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    年龄别,,,,,,,,,,,,    女,,,    职业和,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,,,,    年龄别,,,
  20-24岁,    1 960 479,    1 048 986,    911 493,    1 178 759,    642 170,    536 589,    778 008,    404 969,    373 039,    739,    379,    360,,,,    小计,    男,    女
    20,    299 363,    136 392,    162 971,    263 105,    121 393,    141 712,    36 074,    14 915,    21 159,    22,    11,    11,,,  20-24岁,    2 973,    1 468,    1 505
    21,    386 337,    193 170,    193 167,    302 134,    156 554,    145 580,    83 815,    36 434,    47 381,    89,    43,    46,,,    20,    162,    73,    89
