,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况,,,,,,,,,,,,,,,    婚姻状况(续08)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    离婚,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    和地区别,,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
海南省,    1 283 133,    646 476,    636 657,    364 508,    204 195,    160 313,    872 025,    411 841,    460 184,    37 790,    23 159,    14 631,,,广西壮族自治区,    80 114,    69 952,    10 162
四川省,    35 998 956,    19 446 272,    16 552 684,    10 147 892,    5 696 612,    4 451 280,  24 506 275,    12 793 993,    1 1 712 282,    1 160 990,    808 440,    352 550,,,海南省,    8 810,    7 281,    1 529
贵州省,    7 768 139,    4 717 348,    3 050 791,    2 760 361,    1 642 235,    1 118 126,    4 778 011,    2 902 751,    1 875 260,    188 934,    139 454,    49 480,,,四川省,    183 799,    147 227,    36 572
云南省,    9 209 778,   5 544 645,    3 665 133,    2 981 518,    1 793 030,    1 188 488,    5 983 066,    3 584 258,    2 398 808,    191 389,    129 819,    61 570,,,贵州省,    40 833,    32 908,    7 925
西藏自治区,    294 763,    218 793,    75 970,    103 656,    76 187,    27 469,    178 995,    134 307,    44 688,    7 826,    5 975,    1 851,,,云南省,    53 805,    37 538,    16 267
陕西省,    6 303 909,    3 336 515,    2 967 394,    1 555 235,    886 624,    668 611,    4 512 154,    2 283 888,    2 228 266,    197 872,    133 339,    64 533,,,西藏自治区,    4 286,    2 324,    1 962
甘肃省,    4 218 603,    2 467 871,    1 750 732,    1 247 676,    718 490,    529 186,    2 851 232,    1 662 494,    1 188 738,    96 286,    67 370,    28 916,,,陕西省,    38 648,    32 664,    5 984
青海省,    683 688,    451 625,    232 063,    198 161,    137 906,    60 255,    460 692,    296 649,    164 043,    17 991,    12 057,    5 934,,,甘肃省,    23 409,    19 517,    3 892
宁夏回族自治区,    734 164,    422 271,    311 893,    186 961,    109 977,    76 984,    530 851,    301 937,    228 914,    12 896,    7 927,    4 969,,,青海省,    6 844,    5 013,    1 831
新疆维吾尔自治区,    3 459 521,    1 805 436,    1 654 085,    751 809,    498 252,    253 557,    2 490 798,    1 208 525,    1 282 273,    89 575,    33 855,    55 720,,,宁夏回族自治区,    3 456,    2 430,    1 026
,,,,,,,,,,,,,,,新疆维吾尔自治区,    127 339,    64 804,    62 535
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-1省、自治区、直辖市各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(续11)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    和地区别,,,,,,,,,,,,,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
初中,  247 845 535,    151 072 547,    96 772 988,    89 617 314,    55 083 210,  34 534 104,  154 934 196,    93 807 581,    61 126 615,    2 123 915,    1 412 351,    711 564,,,,    小计,    男,    女
北京市,    3 170 483,    1 798 426,    1 372 057,    833 532,    504 016,    329 516,    2 282 948,    1 266 834,    1 016 114,    32 161,    15 587,    16 574,,,初中,    1 170 110,    769 405,    400 705
天津市,    2 463 687,    1 400 882,    1 062 805,    623 039,    360 971,    262 068,    1 797 764,    1 014 237,    783 527,    29 069,    17 857,    11 212,,,北京市,    21 842,    11 989,    9 853
河北省,    14 469 676,    8 595 705,    5 873 971,    4 545 409,    2 612 848,    1 932 561,    9 769 168,    5 872 864,    3 896 304,    103 773,    72 257,    31 516,,,天津市,    13 815,    7 817,    5 998
山西省,    7 809 661,    4 542 871,    3 266 790,    2 642 377,    1 577 855,    1 064 522,    5 069 569,    2 896 563,    2 173 006,    57 363,    37 906,    19 457,,,河北省,    51 326,    37 736,    13 590
内蒙古自治区,    5 069 097,    3 045 570,    2 023 527,    1 856 853,    1 105 992,    750 861,    3 147 367,    1 897 212,    1 250 155,    39 790,    26 062,    13 728,,,山西省,    40 352,    30 547,    9 805
