,,,,,,,,,,,,,,,,,,,,,,,,
表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数,,,,,,,,,,,,,,表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数(续03),,,,,,,,,,
        单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
  43,    165 683,    79 813,    140 423,    210 516,    310 678,    443 850,    527 073,    690 395,    676 079,    656 224,    555 401,,,  43,    295 244,    142 803,    67 486,    31 631,    16 613,    9 784,    5 129,    2 778,    1 908,    5 109
  44,    169 381,    90 796,    137 909,    206 683,    301 311,    382 416,    545 401,    573 976,    618 109,    578 112,    460 449,,,  44,    258 820,    133 745,    65 287,    31 964,    16 758,    8 049,    3 847,    2 755,    1 840,    4 958
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数(续04),,,,,,,,,,
,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,    丈夫年龄别,,,,,,,,,,
  45-49岁,    1 047 047,    510 274,    746 691,    1 052 294,    1 435 320,    1 922 316,    2 260 684,    2 496 484,    2 537 633,    2 350 648,    1 943 717,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
    45,    191 991,    96 423,    145 373,    214 416,    276 630,    432 815,    477 476,    538 421,    566 546,    527 301,    430 436,,,45-49岁,    1 131 195,    630 010,    332 695,    165 328,    82 595,    43 373,    26 679,    17 331,    12 007,    30 844
    46,    200 372,    101 982,    152 443,    199 748,    314 956,    373 713,    454 255,    527 469,    539 866,    485 423,    393 714,,,  45,    236 564,    125 655,    67 516,    33 082,    15 609,    6 863,    4 306,    2 904,    1 910,    5 247
    47,205 544,    100 572,    134 909,    216 026,    263 020,    355 295,    445 055,    486 363,    490 657,    450 403,    365 392,,,  46,    219 537,    126 911,    68 228,    30 850,    13 539,    8 034,    4 825,    3 152,    2 229,    5 672
    48,    223 607,    95 663,    160 825,    205 265,    282 194,    382 442,    449 196,    481 260,    483 571,    437 481,    379 505,,,  47,    227 745,    131 766,    65 730,    29 314,    15 416,    8 349,    5 372,    3 453,    2 385,    6 260
    49,    225 533,    115 634,    153 141,    216 839,    298 520,    378 051,    434 702,    462 971,    456 993,    450 040,    374 670,,,  48,    235497,    131 373,    61 515,    32 802,    17 968,    9 968,    5 795,    3 696,    2 702,    6 863
  50-54岁,    1 259 516,    555 812,    784 228,    1 052 143,    1 346 668,    1 674 405,    1 923 120,    2 044 440,    2 104 061,    1 972 485,    1 702 846,,,  49,    211 852,    114 305,    69 706,    39 280,    20 063,    10 159,    6 381,    4 126,    2 781,    6 802
    50,    246 329,    105 664,    155 157,    218 116,    281 515,    356 678,    399 954,    419 905,    457 276,    413 516,    332 542,,,50-54岁,    1 101 580,    720 951,    442 578,    251 578,    142 255,    79 209,    46 169,    30 070,    19 291,    41 753
    51,    236 647,    109 162,    159 105,    211 157,    272 307,    333 722,    379 125,    415 227,    416 808,    391 889,    333 778,,,  50,    199 938,    130 902,    77 287,    42 287,    22 657,    12 555,    7 792,    5 109,    3 662,    7 975
    52,    260 308,    119 812,    163 457,    218 818,    277 960,    328 074,    393 550,    426 605,    429 719,    390 638,    341 991,,,  51,    217 880,    135 417,    83 170,    46 711,    26 132,    15 416,    8 571,    6 051,    3 969,    8 205
