,,,,,,,,,,,,,,,,,,
  表7-4省、自治区、直辖市的县各科文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
福建省,    4 071 788,    970 002,    3 101 786,    292 262,    131 995,    160 267,    2 922 657,    676 185,    2 246 472,    826 133,    136 015,    690118,,,福建省,    30 736,    25 807,    4 929
江西省,    5 540 429,    1 470 480,    4 069 949,    387 044,    167 787,    219 257,    4 066 729,    1 064 341,    3 002 388,    1 042 196,    201 672,    840 524,,,江西省,    44 460,    36 680,    7 780
山东省,    11 479 669,    3 420 519,    8 059 150,    715 114,    441 448,    273 666,    8 317 685,    2 391 972,    5 925 713,    2 390 261,    544 172,    1 846 089,,,山东省,    56 609,    42 927,    13 682
河南省,    12 810 541,    4 021 464,    8 789 077,    1 015 175,    673 749,    341 426,    8 965 555,    2 643 482,    6 322 073,    2 743 451,    631 881,    2 1 11 570,,,河南省,    86 360,    72 352,    14 008
湖北省,    7 125163,    2 119 754,    5 005 409,    434 385,    310 276,    124 109,    5 154 096,    1 379 578,    3 774 518,    1 483 524,    385 129,    1 098 395,,,湖北省,    53 158,    44 771,    8 387
湖南省,    6 646 268,    1 883 120,    4 763 148,    362 283,    247 233,    115 050,    4 615 903,    1 253 368,    3 362 535,    1 618 217,    340 337,    1 277 880,,,湖南省,    49 865,    42 182,    7 683
广东省,    4 802 717,    956 224,    3 846 493,    274 738,    164 431,    110 307,    3 031 605,    626 290,    2 405 315,    1 468 208,    145 281,    1 322 927,,,广东省,    28 166,    20 222,    7 944
广西壮族自治区,    4 183 635,    1 028 628,    3 155 007,    330 806,    174 700,    156 106,    2 737 498,    642 748,    2 094 750,    1 087 382,    190 245,    897 137,,,广西壮族自治区,    27 949,    20 935,    7 014
海南省,    793 016,    196 653,    596 363,    62 385,    28 039,    34 346,    546 842,    138 073,    408 769,    177 261,    26 035,    151 226,,,海南省,    6 528,    4 506,    2 022
四川省,    15 299 725,    4 831 180,    10 468 545,    1 195 785,    792 672,    403 113,    10 687 808,    3 187 002,    7 500 806,    3 323 846,    788 993,    2 534 853,,,四川省,    92 286,    62 513,    29 773
贵州省,    7 051 364,    2 126 529,    4 924 835,    1 045 378,    383 669,    661 709,    5 076 755,    1 447 274,    3 629 481,    898 690,    274 934,    623 756,,,贵州省,    30 541,    20 652,    9 889
云南省,    8 800 076,    2 968 739,    5 831 337,    1 113 226,    482 500,    630 726,    6 469 702,    2 137 307,    4 332 395,    1 161 279,    318 205,    843 074,,,云南省,    55 869,    30 727,    25 142
西藏自治区,    924 337,    370 676,    553 661,    287 798,    126 032,    161 766,    521 407,    215 318,    306 089,    87 073,    23 998,    63 075,,,西藏自治区,    28 059,    5 328,    22 731
陕西省,    5 383 781,    1 855 873,    3 527 908,    466 163,    319 932,    146 231,    3 915 957,    1 208 344,    2 707 613,    958 674,    290 454,    668 220,,,陕西省,    42 987,    37 143,    5 844
甘肃省,    5 719 722,    2 020 367,    3 699 355,    784 072,    391 137,    392 935,    4 251 325,    1 402 619,    2 848 706,    639 730,    193 666,    446 064,,,甘肃省,    44 595,    32 945,    1 1 650
青海省,    1 119 822,    400 985,    718 837,    204 779,    97 657,    107 122,    787 301,    269 146,    518 155,    109 939,    27 766,    82 173,,,青海省,    17 803,    6 416,    11 387
宁夏回族自治区,    924 400,    323 886,    600 514,    118 057,    54 908,    63 149,    710 631,    239 318,    471 313,    91 523,    26 661,    64 862,,,宁夏回族自治区,    4 189,    2 999,    1 190
新疆维吾尔自治区,    1 550 072,    685 302,    864 770,    97 111,    69 692,    27 419,    1 129 132,    520 258,    608 874,    251 527,    52 343,    199 184,,,新疆维吾尔自治区,    72 302,    43 009,    29 293
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续10)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    和地区别,,,,,,,,,,,,,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
小学,    232 093 205,    121 388 847,  110 704 358,    61 874 765,    33 767 637,  28 107 128,    161 793 082,    81 574 084,  80 218 998,    7 082 148,    4 906 264,    2 175 884,,,,    小计,    男,    女
北京市,    530 638,    288 874,    241 764,    54 500,    39 094,    15 406,    448 858,    228 713,    220 145,    23 457,    17 852,    5 605,,,小学,    1 343 210,    1 140 862,    202 348
天津市,    777 217,    387 505,    389 712,    118 030,    66 941,    51 089,    627 474,    296 906,    330 568,    28 452,    20 859,    7 593,,,北京市,    3 823,    3 215,    608
河北省,    12 470 689,    6 431 987,    6 038 702,    2 572 906,    1 446 384,    1 126 522,    9 404 801,    4 615 177,    4 789 624,    426 225,    311 119,    115 106,,,天津市,    3 261,    2 799,    462
山西省,    5 383 455,    2 681 866,    2 701 589,    1 166 985,    716 525,    450 460,    3 950 663,    1 781 067,    2 169 596,    211 580,    135 058,    76 522,,,河北省,    66 757,    59 307,    7 450
内蒙古自治区,    3 433 877,    1 836 030,    1 597 847,    1 013 512,    594 154,    419 358,    2 323 260,    1 166 975,    1 156 285,    79 480,    59 977,    19 503,,,山西省,    54 227,    49 216,    5 011
辽宁省,    6 158 629,    3 097 962,    3 060 667,    1 139 721,    673 063,    466 658,    4 776 509,    2 249 069,    2 527 440,    206 343,    147 342,    59 001,,,内蒙古自治区,    17 625,    14 924,    2 701
吉林省,    4 496 810,    2 249 252,    2 247 558,    950 610,    550 987,    399 623,    3 390 965,    1 590 660,    1 800 305,    126 048,    84 385,    41 663,,,辽宁省,    36 056,    28 488,    7 568
黑龙江省,    5 344 928,    2 687 644,    2 657 284,    1 243 685,    709 991,    533 694,    3 928 009,    1 852 825,    2 075 184,    140 906,    98 570,    42 336,,,吉林省,    29 187,    23 220,    5 967
上海市,    1 023 951,    557 781,    466 170,    72 252,    47 375,    24 877,    911 542,    485 406,    426 136,    34 516,    21 019,    13 497,,,黑龙江省,    32 328,    26 258,    6 070
江苏省,    13 898 083,    7 042 188,    6 855 895,    2 643 186,    1 325 148,    1 318 038,    10 774 964,    5 372 658,    5 402 306,    423 414,    294 566,    128 848,,,上海市,    5 641,    3 981,    1 660
浙江省,    9 124 393,    5 080 162,    4 044 231,    1 946 546,    1 110 155,    836 391,    6 844 724,    3 734 327,    3 110 397,    270 807,    178 587,    92 220,,,江苏省,    56 519,    49 816,    6 703
安徽省,    11 011 562,    6 024 220,    4 987 342,    4 007 150,    2 062 781,    1 944 369,    6 723 872,    3 732 943,    2 990 929,    226 280,    178 020,    48 260,,,浙江省,    62 316,    57 093,    5 223
福建省,    7 387 702,    3 880 492,    3 507 210,    1 924 356,    1 025 156,    899 200,    5 224 186,    2 687 933,    2 536 253,    195 470,    127 444,    68 026,,,安徽省,    54 260,    50 476,    3 784
江西省,    8 697 950,    4 554 652,    4 143 298,    2 550 940,    1 306 642,  1 244 298,    5 877 379,    3 044 710,    2 832 669,    218 852,    157 064,    61 788,,,福建省,    43 690,    39 959,    3 731
山东省,    16 513 686,    7 897 239,    8 616 447,    3 827 641,    1 778 634,  2 049 007,    12 111 868,    5 705 106,    6 406 762,    510 971,    356 772,    154 199,,,江西省,    50 779,    46 236,    4 543
河南省,    16 555 454,    7 942 242,    8 613 212,    4 783 291,    2 420 413,  2 362 878,    11 196 184,    5 117 965,    6 078 219,    487 886,    324 529,    163 357,,,山东省,    63 206,    56 727,    6 479
湖北省,    10 245 260,    5 285 292,    4 959 968,    2 781 071,    1 412 650,  1 368 421,    7 080 406,    3 569 995,    3 510 411,    326 087,    250 737,    75 350,,,河南省,    88 093,    79 335,    8 758
湖南省,    15 799 622,    8 262 497,    7 537 125,    3 781 047,    2 098 768,  1 682 279,    11 276 206,    5 635 831,    5 640 375,    638 683,    433 485,    205 198,,,湖北省,    57 696,    51 910,    5 786
广东省,    11993 571,    5 901 063,    6 092 508,    3 133 820,    1 668 306,  1 465 514,    8 327 454,    3 911 017,    4 416 437,    465 740,    261 150,    204 590,,,湖南省,    103 686,    94 413,    9 273
广西壮族自治区,    11 548 952,    6 019 607,    5 529 345,    3 730 305,    2 113 106,  1 617 199,    7 293 901,    3 561189,    3 732 712,    454 991,    281 967,    173 024,,,广东省,    66 557,    60 590,    5 967
海南省,    1 062 302,    538 789,    523 513,    312 874,    174 854,    138 020,    712 614,    338 079,    374 535,    29 365,    19 424,    9 941,,,广西壮族自治区,    69 755,    63 345,    6 410
四川省,    30 908 492,    16 595 722,    14 312 770,    9 221 601,    5 138 554,  4 083 047,  20 612 874,    10 645 343,    9 967 531,    940 956,    698 507,    242 449,,,海南省,    7 449,    6 432,    1 017
贵州省,    6 624 565,    4 036 168,    2 588 397,    2 469 422,    1 454 846,  1 014 576,    3 976 702,    2 435 216,    1 541 486,    150 216,    121 778,    28 438,,,四川省,    133 061,    113 318,    19 743
云南省,    8 053 554,    4 871 630,    3 181 924,    2 765 063,    1 652 819,  1 112 244,    5 097 095,    3 077 477,    2 019 618,    152 243,    112 988,    39 255,,,贵州省,    28 225,    24 328,    3 897
西藏自治区,    246 461,    188 490,    57 971,    89 277,    66 473,    22 804,    146 817,    114 507,    32 310,    6 820,    5 516,    1 304,,,云南省,    39 153,    28 346,    10 807
陕西省,    5 476473,    2 892 277,    2 584 196,    1 465 306,    829 428,    635 878,    3 823 500,    1 920 679,    1 902 821,    155 435,    113 877,    41 558,,,西藏自治区,    3 547,    1 994,    1 553
甘肃省,    3 452 088,    2 027 516,    1 424 572,    1 107 073,    635 136,    471 937,    2 257 236,    1 322 257,    934 979,    69 173,    53 888,    15 285,,,陕西省,    32 232,    28 293,    3 939
青海省,    523 929,    358 348,    165 581,    173 442,    120 298,    53 144,    332 698,    224 270,    108 428,    12 694,    9 811,    2 883,,,甘肃省,    18 606,    16 235,    2 371
宁夏回族自治区,    583 742,    339 688,    244 054,    168 428,    97 767,    70 661,    405 440,    234 459,    170 981,    7 765,    5 827,    1 938,,,青海省,    5 095,    3 969,    1 126
