表7—15  全国镇按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,        单位：人,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,总计,    1 256 673,    661 982,    310 836,    130 995,    57 221,    26 695,    14 217,    8 107,    5 051,    13 764
70-74岁,    60 873,    15 291,    16 300,    16 248,    16 615,    18 124,    18 609,    18 068,    18 381,    17 365,    15 327,,,  70,    2 882,    2 212,    1 505,    900,    468,    269,    136,    80,    39,    97
  70,    1 5 398,    4 141,    4 667,    4 426,    4 538,    5 113,    4 999,    4 759,    5 152,    5 031,    4 645,,,  71,    2 405,    1 891,    1 146,    591,    363,    170,    119,    60,    44,    79
  71,    12 553,    3 471,    3 464,    3 430,    3 601,    3 984,    4 172,    4 074,    4 067,    3 842,    3 262,,,  72,    2 201,    1 465,    770,    493,    305,    181,    96,    46,    17,    46
  72,    12 320,    2 851,    2 932,    3 222,    3 270,    3 482,    3 631,    3 602,    3 630,    3 179,    2 969,,,  73,    1 658,    1 060,    769,    465,    243,    116,    72,    45,    21,    54
  73,    10 873,    2 526,    2 846,    2 796,    2 697,    3 103,    3 065,    3 225,    3 071,    3 004,    2 498,,,  74,    1 385,    1 134,    660,    340,    202,    113,    42,    34,    14,    35
  74,    9 729,    2 302,    2 391,    2 374,    2 509,    2 442,    2 742,    2 408,    2 461,    2 309,    1 953,,,75-79岁,    4 010,    2 764,    1 656,    895,    468,    232,    131,    85,    62,    79
75-79岁,    36 593,    7 124,    7 315,    7 485,    7 091,    7 445,    7 606,    7 285,    6 935,    6 900,    6 002,,,  75,    1 290,    871,    484,    286,    156,    76,    39,    25,    17,    23
  75,    9 217,    1 937,    1 976,    2 162,    2 041,    2 245,    2 168,    2 066,    1 877,    1 897,    1 745,,,  76,    1 035,    748,    446,    258,    121,    64,    31,    25,    12,    21
  76,    8 765,    1 764,    1 879,    1 898,    1 857,    1 739,    1 783,    1 706,    1 788,    1 776,    1 584,,,  77,    740,    448,    352,    164,    86,    37,    31,    11,    16,    24
  77,    7 014,    1 381,    1 476,    1 472,    1 293,    1 367,    1 414,    1 422,    1 384,    1 390,    1 150,,,  78,    566,    404,    216,    100,    60,    37,    21,    9,    9,    6
  78,    6 298,    1 122,    1 115,    1 080,    1 046,    1 132,    1 242,    1 151,    1 126,    1 033,    876,,,  79,    379,    293,    158,    87,    45,    18,    9,    15,    8,    5
  79,    5 299,    920,    869,    873,    854,    962,    999,    940,    760,    804,    647,,,80-84岁,    992,    599,    373,    210,    115,    58,    28,    22,    6,    5
80-84岁,    15 112,    2 236,    2 472,    2 260,    2 140,    2 306,    2 252,    1 990,    1 844,    1 667,    1 372,,,  80,    345,    218,    122,    60,    46,    21,    11,    11,    3,    3
  80,    4 388,    663,    746,    716,    726,    771,    767,    660,    620,    492,    446,,,  81,    258,    154,    113,    67,    31,    13,    9,    4,    2,    2
  81,    3 510,    578,    575,    564,    538,    622,    539,    512,    432,    449,    389,,,  82,    172,    109,    69,    37,    17,    15,    5,    2,-,-
  82,    2 954,    398,    461,    420,    388,    415,    407,    360,    339,    332,    247,,,  83,    128,    68,    41,    22,    13,    6,    3,    5,    1,-
  83,    2 285,    336,    387,    309,    261,    275,    322,    251,    265,    229,    165,,,  84,    89,    50,    28,    24,    8,    3,-,-,-,-
  84,    1 975,    261,    303,    251,    227,    223,    217,    207,    188,    165,    125,,,85-89岁,    142,    79,    44,    22,    5,    3,    1,-,-,    1
85-89岁,    4 904,    565,    562,    457,    427,    434,    461,    389,    291,    271,    236,,,  85,    51,    22,    17,    10,    2,      2,-,-,-,-
  85,    1 548,    198,    199,    164,    152,    187,    178,    153,    92,    128,    94,,,  86,    36,    36,    15,    5,    1,-,    1,-,-,-
  86,    1 165,    148,    152,    122,    124,    104,    112,    93,    91,    63,    57,,,  87,    28,    10,    5,    3,-,-,-,-,-,-
  87,    908,    99,    94,    88,    65,    74,    83,    65,    48,    43,    35,,,  88,    15,    7,    3,   2,    2,    1,-,-,-,    1
  88,    748,    66,    69,    50,    57,    43,    51,    45,    33,    23,    30,,,  89,    12,    4,    4,   2,-,-,-,-,-,-
  89,    535,    54,    48,    33,    29,    26,    37,    33,    27,    14,    20,,,90-94岁,    8,    5,-,    1,-,-,-,-,-,-
90-94岁,    803,    50,    45,    51,    43,    41,    40,    31,    16,    22,    20,,,  90,    4,    2,-,-,-,-,-,-,-,-
  90,    366,    23,    20,    26,    20,    22,    24,    13,    9,    11,    12,,,  91,    1,    2,-,-,-,-,-,-,-,-
  91,    169,    15,    11,    13,    7,    9,    4,    12,     2,    7,    5,,,  92,-,    1,-,    1,-,-,-,-,-,-
  92,    127,    5,    8,    8,    11,    4,    6,    3,    2,    1,    2,,,  93,    1,-,-,-,-,-,-,-,-,-
  93,    77,    5,    4,    4,    4,    5,    4,    2,2,    3,    1,,,  94,    2,-,-,-,-,-,-,-,-,-
  94,    64,    2,    2,    -,    1,    1,    2,    1,    1,    -,    -,,,95-99岁,    1,-,-,-,-,-,-,-,-,-
95-99岁,    142,    4,    7,    4,    4,    3,    1,   2,    1,    1,    1,,,  95,-,-,-,-,-,-,-,-,-,-
  95,    54,    1,    2,    3,    1,    2,    1,-,-,-,-,,,  96,-,-,-,-,-,-,-,-,-,-
  96,    28,    2,    2,    1,    3,-,-,-,-,    1,-,,,  97,    1,-,-,-,-,-,-,-,-,-
  97,    26,-,-,-,-,-,-,    1,    1,-,    1,,,  98,-,-,-,-,-,-,-,-,-,-
  98,    23,    1,    2,-,-,-,-,    1,-,-,-,,,  99,-,-,-,-,-,-,-,-,-,-
  99,    11,-,    1,-,-,    1,-,-,-,-,-,,,100岁及以上,-,-,-,-,-,-,-,-,-,-
100岁及以上,    7,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
