表7—7  全国镇15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表7-7全国镇15岁及15岁以上人口分年龄和文化程度的,,,
        单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续13)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和年龄别,,,,,,,,,,,,,,,    和年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    45,    871 161,    494 550,    376 611,    9 536,    8 796,    740,    837 261,    476 710,    360 551,    17 122,    4 402,    12 720,,,  46,    6 744,    4 403,    2 341
    46,    820 980,    462 905,    358 075,    8 786,    8 157,    629,    787 164,    445 517,    341 647,    18 286,    4 828,    13 458,,,  47,    6 420,    4 216,    2 204
    47,    796 970,    443 798,    353 172,    8 265,    7 768,    497,    762 230,    426 648,    335 582,    20 055,    5 166,    14 889,,,  48,    6 443,    4 278,    2 165
    48,    807 264,    445 147,    362 117,    8 462,    7 899,    563,    768 885,    427 091,    341 794,    23 474,    5 879,    17 595,,,  49,    6 192,    4 179,    2 013
    49,    818 773,    457 540,    361 233,    8 064,    7 565,    499,    778 083,    439 262,    338 821,    26 434,    6 534,    19 900,,,50—54岁,    29 030,    20 629,    8 401
  50—54岁,    3 806 606,    2 117 399,    1 689 207,    39 473,    36 931,    2 542,    3 542 505,    2 011 819,    1 530 686,    195 598,    48 020,    147 578,,,  50,    6 147,    4 156,    1 991
    50,    798 566,    444 662,    353 904,    8 331,    7 760,    571,    753 238,    425 243,    327 995,    30 850,    7 503,    23 347,,,  51,    5 729,    4 020,    1 709
    51,    763 830,    423 199,    340 631,    7 749,    7 288,    461,    716 013,    403 559,    312 454,    34 339,    8 332,    26 007,,,  52,    5 982,    4 344,    1 638
    52,    773 708,    433 096,    340 612,    8 263,    7 749,    514,    720 203,    411 197,    309 006,    39 260,    9 806,    29 454,,,  53,    5 587,    4 008,    1 579
    53,    744 392,    415 608,    328 784,    7 641,    7 102,    539,    688 012,    393 916,    294 096,    43 152,    10 582,    32 570,,,  54,    5 585,    4 101,    1 484
    54,    726 110,    400 834,    325 276,    7 489,    7 032,    457,    665 039,    377 904,    287 135,    47 997,    11 797,    36 200,,,55—59岁,    25 587,    19 204,    6 383
  55—59岁,    3 130 029,    1 775 864,    1 354 165,    32 218,    29 841,    2 377,    2 778 327,    1 649 733,    1 128 594,    293 897,    77 086,    216 811,,,  55,    5 418,    4 020,    1 398
    55,    683 307,    375 968,    307 339,    7 222,    6 758,    464,    619 228,    352 374,    266 854,    51 439,    12 816,    38 623,,,  56,    5 457,    4 079,    1 378
    56,    679 679,    384 074,    295 605,    7 082,    6 592,    490,    609 874,    358 569,    251 305,    57 266,    14 834,    42 432,,,  57,    5 254,    3 891,    1 363
    57,    641 521,    365 275,    276 246,    6 445,    5 994,    451,    570 092,    339 622,    230 470,    59 730,    15 768,    43 962,,,  58,    4 743,    3 602,    1 141
    58,    572 360,    329 306,    243 054,    5 923,    5 447,    476,    501 440,    304 286,    197 154,    60 254,    15 971,    44 283,,,  59,    4 715,    3 612,    1 103
    59,    553 162,    321 241,    231 921,    5 546,    5 050,    496,    477 693,    294 882,    182 811,    65 208,    17 697,    47 511,,,60岁及以上,    47 21 5,    34 486,    12 729
  60岁及以上,    6 004 168,    2 958 569,    3 045 599,    66 359,    52 553,    13 806,    3 775 333,    2 336 083,    1 439 250,    2 115 261,    535 447,    1 579 814,,,文盲、半文盲,    58 437,    35 350,    23 087
文盲、半文盲,    7 413 213,    1 923 799,    5 489 414,    343 446,    239 185,    104 261,    5 119 152,    1 377 014,    3 742 138,    1 892 178,    272 250,    1 619 928,,,  15-19岁,    187,    39,    148
  15—19岁,    99 931,    40 664,    59 267,    91 207,    39 298,    51 909,    8 458,    1 300,    7 158,    79,    27,    52,,,    15,    11,    2,    9
    15,    15 092,    5 963,    9 129,    14 936,    5 934,    9 002,    138,    25,    113,    7,    2,    5,,,    16,    11,    2,    9
    16,    17 348,    6 737,    10 611,    16 963,    6 660,    10 303,    367,    71,    296,    7,    4,    3,,,    17,    28,    6,    22
    17,    19 917,    8 150,    11 767,    18 946,    7 991,    10 955,    929,    149,    780,    14,    4,    10,,,    18,    59,    13,    46
    18,    22 490,    9 341,    13 149,    20 080,    8 984,    11 096,    2 328,    332,    1 996,    23,    12,    11,,,    19,    78,    16,    62
    19,    25 084,    10 473,    14 611,    20 282,    9 729,    10 553,    4 696,    723,    3 973,    28,    5,    23,,,  20-24岁,    1 104,    482,    622
  20-24岁,    162 594,    58 707,    103 887,    72 178,    43 156,    29 022,    89 012,    14 983,    74 029,    300,    86,    214,,,    20,    143,    47,    96
    20,    28 376,    11 368,    17 008,    19 091,    9 989,    9 102,    9 100,    1 316,    7 784,    42,    16,    26,,,    21,    143,    49,    94
    21,    31 079,    11 953,    19 126,    17 172,    9 814,    7 358,    13 731,    2 077,    11 654,    33,    13,    20,,,    22,    208,    89,    119
    22,      32 038,    11 629,    20 409,    14 228,    8 628,    5 600,    17 540,    2 897,    14 643,    62,    15,    47,,,    23,    271,    131,    140
    23,    33 007,    11 329,    21 678,    11 403,    7 465,    3 938,    21 263,    3 713,    17 550,    70,    20,    50,,,    24,    339,    166,    173
    24,    38 094,    12 428,    25 666,    10 284,    7 260,    3 024,    27 378,    4 980,    22 398,    93,    22,    71,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-7全国镇15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续02),,,,,,,,,,,,,,,表7-7全国镇15岁及15岁以上人口分年龄和文化程度的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续15)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和年龄别,,,,,,,,,,,,,,,    和年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
