,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
广东省,    1 283 151,    244 079,    1 039 072,    61 353,    39 662,    21 691,    779 352,    167 708,    611 644,    435 445,    32 511,    402 934,,,广东省,    7 001,    4 198,    2 803
广西壮族自治区,    203 602,    38 075,    165 527,    7 866,    5 026,    2 840,    124 796,    27 170,    97 626,    69 168,    5 216,    63 952,,,广西壮族自治区,    1 772,    663,    1 109
海南省,    78 763,    17 082,    61 681,    4 634,    2 333,    2 301,    51 882,    12 322,    39 560,    21 702,    2 220,    19 482,,,海南省,    545,    207,    338
四川省,    1 745 826,    545 367,    1 200 459,    88 378,    68 631,    19 747,    1 171 784,    380 878,    790 906,    471 882,    87 122,    384 760,,,四川省,    13 782,    8 736,    5 046
贵州省,    738 302,    234 921,    503 381,    86 911,    36 178,    50 733,    536 137,    167 950,    368 187,    109 752,    27 388,    82 364,,,贵州省,    5 502,    3 405,    2 097
云南省,    278 053,    87 556,    190 497,    23 459,    13 210,    10 249,    190 623,    63 032,    127 591,    61 148,    9 784,    51 364,,,云南省,    2 823,    1 530,    1 293
西藏自治区,    37 405,    13 254,    24 151,    8 318,    3 166,    5 152,    23 177,    9 002,    14 175,    4 866,    895,    3 971,,,西藏自治区,    1 044,    191,    853
陕西省,    359 386,    92 439,    266 947,    10 493,    8 037,    2 456,    243 308,    67 117,    176 191,    103 160,    15 794,    87 366,,,陕西省,    2 425,    1 491,    934
甘肃省,    504 896,    151 108,    353 788,    33 197,    16 843,    16 354,    381 933,    112 369,    269 564,    86 461,    19 664,    66 797,,,甘肃省,    3 305,    2 232,    1 073
青海省,    78 960,    21 805,    57 155,    4 438,    3 135,    1 303,    61 415,    16 447,    44 968,    12 183,    1 812,    10 371,,,青海省,    924,    411,    513
宁夏回族自治区,    76 914,    24 107,    52 807,    3 286,    2 511,    775,    60 627,    19 012,    41 615,    12 366,    2 217,    10 149,,,宁夏回族自治区,    635,    367,    268
新疆维吾尔自治区,    327 557,    109 675,    217 882,    15 041,    11 538,    3 503,    249 244,    84 866,    164 378,    55 51 1,    9 168,    46 343,,,新疆维吾尔自治区,    7 761,    4 103,    3 658
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续10)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,        丧偶,,,,,,,,
    和地区别,,,,,,    女,    小计,    男,    女,  小计,    男,    女,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,    和地区别,,,
小学,    36 312 055,    19 000 584,    17 311 471,    5 442 722,    3 195 368,  2 247 354,  28 680 260,    14 730 866,    13 949 394,    1 894 940,    880 486,    1 014 454,,,,    小计,    男,    女
北京市,    866 046,    460 924,    405 122,    70 302,    48 495,    21 807,    716 271,    376 117,    340 154,    72 638,    32 461,    40 177,,,小学,    294 133,    193 864,    100 269
天津市,    908 919,    465 394,    443 525,    71 000,    47 455,    23 545,    758 755,    381 328,    377 427,    72 726,    32 818,    39 908,,,北京市,    6 835,    3 851,    2 984
河北省,    1 411 811,    773 821,    637 990,    132 151,    86 066,    46 085,    1 205 086,    645 125,    559 961,    66 417,    36 771,    29 646,,,天津市,    6 438,    3 793,    2 645
山西省,    1 053 152,    554 212,    498 940,    133 553,    87 852,    45 701,    861 586,    433 890,    427 696,    49 670,    25 894,    23 776,,,河北省,    8 157,    5 859,    2 298
内蒙古自治区,    691 420,    356 617,    334 803,    89 803,    57 832,    31 971,    566 502,    279 566,    286 936,    30 380,    16 010,    14 370,,,山西省,    8 343,    6 576,    1 767
辽宁省,    2 503 113,    1 285 460,    1 217 653,    181 779,    127 282,    54 497,    2 130 854,    1 064 630,    1 066 224,    168 360,    79 776,    88 584,,,内蒙古自治区,    4 735,    3 209,    1 526
吉林省,    873 193,    437 679,    435 514,    100 524,    66 934,    33 590,    706 704,    338 795,    367 909,    56 195,    25 938,    30 257,,,辽宁省,    22 120,    13 772,    8 348
黑龙江省,    1 577 348,    813 825,    763 523,    187 338,    126 169,    61 169,    1 281 532,    635 375,646 157,    92 812,    42 930,    49 882,,,吉林省,    9 770,    6 012,    3 758
上海市,    898 225,    430 750,    467 475,    39 018,    28 131,    10 887,    725 665,    362 810,    362 855,    121 328,    34 640,    86 688,,,黑龙江省,    15 666,    9 351,    6 315
江苏省,    1 594 232,    837 794,    756 438,    175 955,    104 089,    71 866,    1 317 464,    685 442,    632 022,    89 535,    40 857,    48 678,,,上海市,    12 214,    5 169,    7 045
浙江省,    1 612 602,    879 339,    733 263,    208 226,    131 251,    76 975,    1 321 107,    704 858,    616 249,    68 243,    31 860,    36 383,,,江苏省,    11 278,    7 406,    3 872
安徽省,    1 140 496,    616 948,    523 548,    235 511,    131 538,    103 973,    855 790,    458 099,    397 691,    40 417,    20 795,    19 622,,,浙江省,    15 026,    11 370,    3 656
福建省,    823 469,    422 080,    401 389,    141 056,    82 245,    58 811,    635 657,    320 191,    315 466,    41 132,    15 853,    25 279,,,安徽省,    8 778,    6 516,    2 262
江西省,    1 075 215,    542 295,    532 920,    187 642,    100 519,    87 123,    830 193,    412 050,    418 143,    49 772,    24 340,    25 432,,,福建省,    5 624,    3 791,    1 833
山东省,    3 303 299,    1 647 778,    1 655 521,    502 221,    252 595,    249 626,    2 657 828,    1307 648,    1 350 180,    128 696,    76 882,    51 814,,,江西省,    7 608,    5 386,    2 222
