表7——6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
45—49岁,    9 982 419,    5 146 032,    4 836 387,,,  45—49岁,    129 729,    117 697,    12 032,    9 478 694,    4 891 789,    4 586 905,    269 845,    73 242,    196 603,    104 151,    63 304,    40 847
  45,    2 069 085,    1 073 816,    995 269,,,    45,    29 285,    26 055,    3 230,    1 974 390,    1 022 151,    952 239,    42 683,    12 032,    30 651,    22 727,    13 578,    9 149
  46,    1 952 720,    1 010 737,    941 983,,,    46,    26 946,    24 319,    2 627,    1 858 368,    960 659,    897 709,    46 219,    12 890,    33 329,    21 187,    12 869,    8 318
  47,    1 936 082,    994 463,    941 619,,,    47,    24 663,    22 457,    2 206,    1 839 899,    945 769,    894 130,    50 837,    13 648,    37 189,    20 683,    12 589,    8 094
  48,    1 999 541,    1 023 105,    976 436,,,    48,    24 940,    22 848,    2 092,    1 893 648,    971 578,    922 070,    60 689,    16 315,    44 374,    20 264,    12 364,    7 900
  49,    2 024 991,    1 043 911,    981 080,,,    49,    23 895,    22 018,    1 877,    1 912 389,    991 632,    920 757,    69 417,    18 357,    51 060,    19 290,    11 904,    7 386
50—54岁,    9 923 948,    5 086 363,    4 837 585,,,  50—54岁,    111 338,    102 433,    8 905,    9 184 622,    4 789 439,    4 395 183,    534 763,    134 460,    400 303,    93 225,    60 031,    33 194
  50,    1 997 242,    1 020 386,    976 856,,,    50,    23 852,    22 000,    1 852,    1 872 768,    965 779,    906 989,    81 038,    20 418,    60 620,    19 584,    12 189,    7 395
  51,    1 950 093,    990 222,    959 871,,,    51,    22 163,    20 456,    1 707,    1 817 592,    935 296,    882 296,    92 065,    22 874,    69 191,    18 273,    11 596,    6 677
  52,    2 008 507,    1 034 406,    974 101,,,    52,    22 595,    20 798,    1 797,    1 860 049,    974 299,    885 750,    107 199,    27 098,    80 101,    18 664,    12 211,    6 453
  53,    1 982 1 16,    1 025 778,    956 338,,,    53,    21 659,    19 820,    1 839,    1 822 986,    963 671,    859 315,    119 015,    30 219,    88 796,    18 456,    12 068,    6 388
  54,    1 985 990,    1 015 571,        970 419,,,    54,    21 069,    19 359,    1 710,    1 811 227,    950 394,    860 833,    135 446,    33 851,    101595,    18 248,    11 967,    6 281
55—59岁,    8 889 831,    4 665 248,    4 224 583,,,  55—59岁,    87 102,    79 314,    7 788,    7 850 255,    4 306 586,    3 543 669,    869 158,    223 327,    645 831,    83 316,    56 021,    27 295
  55,    1 928 604,    985 647,    942 957,,,    55,    19 696,    18 131,    1 565,    1 741 064,    918 604,    822 460,    149 985,    37 144,    112 841,    17 859,    11 768,    6 091
  56,    1 894 860,    987 286,    907 574,,,    56,    19 177,    17 535,    1 642,    1 690 968,    915 024,    775 944,    166 750,    42 615,    124 135,    17 965,    12 112,    5 853
  57,    1 834 144,    962 007,    872 137,,,    57,    17 756,    16 157,    1 599,    1 619 227,    888 066,    731 161,    179 913,    46 192,    133 721,    17 248,    11 592,    5 656
  58,    1 646 009,    875 961,    770 048,,,    58,    15 978,    14 495,    1 483,    1 434 995,    804 555,    630 440,    179 751,    46 565,    133 186,    15 285,    10 346,    4 939
  59,    1 586 214,    854 347,    731 867,,,    59,    14 495,    12 996,    1 499,    1 364 001,    780 337,    583 664,    192 759,    50 811,    141 948,    14 959,    10 203,    4 756
60岁及以上,    18 127 860,    8 811 151,    9 316 709,,,  60岁及以上,    160 547,    126 794,    33 753,    11 670 321,    7 002 921,    4 667 400,    6 143 627,    1 585 351,    4 558 276,    153 365,    96 085,    57 280
文盲、半文盲,    20 113 289,    5 364 710,    14 748 579,,,文盲、半文盲,    885 818,    615 230,    270 588,    13 760 247,    3 843 465,    9 916 782,    5 320 689,    818 840,    4 501 849,    146 535,    87 175,    59 360
  15-19岁,    263 578,    96 999,    166 579,,,  15—19岁,    244 111,    95 019,    149 092,    19 088,    1 874,    17 214,    172,    68,    104,    207,    38,    169
    15,    41 769,    14 733,    27 036,,,    15,    41 502,    14 682,    26 820,    232,    38,    194,    27,    11,    16,    8,    2,    6
    16,    47 615,    17 047,    30 568,,,    16,    46 870,    16 945,    29 925,    701,    90,    611,    28,    9,    19,    16,    3,    13
    17,    53 113,    19 520,    33 593,,,    17,    50 927,    19 270,    31 657,    2 135,    236,    1 899,    24,    12,    12,    27,    2,    25
    18,    56 877,    21 387,    35 490,,,    18,    51 695,    20 892,    30 803,    5 077,    462,    4 615,    48,    25,    23,    57,    8,    49
    19,    64 204,    24 312,    39 892,,,    19,    53 117,    23 230,    29 887,    10 943,    1 048,    9 895,    45,    11,    34,    99,    23,    76
