表7——6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
中专,    8 846 477,    4 610 270,    4 236 207,,,中专,    3 137 947,    1 650 939,    1 487 008,    5 576 450,    2 913 139,    2 663 311,    78 609,    22 611,    55 998,    53 471,    23 581,    29 890
  15—19岁,    1 604 756,    758 066,    846 690,,,  15—19岁,    1 603 285,    757 519,    845 766,    1 429,    515,    914,    18,    16,    2,    24,    16,    8
    15,    51 410,    21 838,    29 572,,,    15,    51 384,    21 819,    29 565,    25,    18,    7,-,-,-,    1,    1,     -
    16,    212 31 1,    93 385,118 926,,,    16,    212 231,    93 328,    118 903,    76,    54,    22,    1,    1,-,    3,    2,    1
    17,    401 212,    184 926,    216 286,,,    17,    401 066,    184 849,    216 217,    137,    70,    67,    4,    4,-,    5,    3,    2
    18,    467 851,    222 884,    244 967,,,    18,    467 552,    222 757,    244 795,    289,    119,    170,    5,    4,    1,    5,    4,    1
    19,    471 972,    235 033,    236 939,,,    19,    471 052,    234 766,    236 286,    902,    254,    648,    8,    7,    1,    10,    6,    4
  20—24岁,    1 505 972,    788 339,    717 633,,,  20-24岁,    1 259 747,    706 914,    552 833,    245 320,    81 120,    164200,    136,    53,    83,    769,    252,    517
    20,    412 745,    213 274,    199 471,,,    20,    407 513,    212 342,    195 171,    5 192,    91 1,    4 281,    13,    9,    4,    27,    12,    15
    21,    355 213,    183 485,    171 728,,,    21,    337 812,    180 580,    157 232,    17 334,    2 885,    14449,    7,    4,    3,    60,    16,    44
    22,    268 684,    139 458,    129 226,,,    22,    233 122,    130 547,    102 575,    35 428,    8 874,    26 554,    22,    10,    12,    112,    27,    85
    23,    218 933,    116 991,    101 942,,,    23,    151 946,    95 360,    56 586,    66 766,    21 564,    45 202,    31,    11,    20,    190,    56,    134
    24,    250 397,    135 131,    115 266,,,    24,    129 354,    88 085,    41 269,    120 600,    46 886,    73 714,    63,    19,    44,    380,    141,    239
  25—29岁,    1 170 965,    619 934,    551 031,,,  25—29岁,    229 339,    162 125,    67 214,    935 022,    455 168,    479 854,    788,    270,    518,    5 816,    2 371,    3 445
    25,    271 843,    148 283,    123 560,,,    25,    93 818,    66 989,    26 829,    177 209,    80 974,    96 235,    112,    41,    71,    704,    279,    425
    26,    307 434,    163 252,    144 182,,,    26,    66 266,    47 460,    18 806,    239 700,    115 212,    124 488,    177,    63,    114,    1 291,    517,    774
    27,    307 841,    163 859,    143 982,,,    27,    43 272,    30 544,    12 728,    262 711,    132 550,    130 161,    219,    79,    140,    1 639,    686,    953
    28,    158 577,    82 355,    76 222,,,    28,    16 341,    11 009,    5 332,    141 017,    70 887,    70 130,    145,    40,    105,    1 074,    419,    655
    29,    125 270,    62 185,    63 085,,,    29,    9 642,    6 123,    3 519,    114 385,    55 545,    58 840,    135,    47,    88,    1 108,    470,    638
  30—34岁,    761 315,    381 889,    379 426,,,  30—34岁,    21 348,    12 034,    9 314,    730 535,    366 150,    364 385,    1 276,    367,    909,    8 156,    3 338,    4 818
    30,    134 516,    68 837,    65 679,,,    30,    6 787,    4 181,    2 606,    126 284,    64 069,    62 215,    155,    52,    103,    1 290,    535,    755
    31,    121 850,    62 302,    59 548,,,    31,    4 308,    2 505,    1 803,    116 079,    59 203,    56 876,    175,    59,    116,    1 288,    535,    753
    32,    162 363,    82 637,    79 726,,,    32,    4 155,    2 346,    1 809,    156 230,    79 511,    76 719,    266,    66,    200,    1 712,    714,    998
    33,    166 150,    82 854,    83 296,,,    33,    3 254,    1 684,    1 570,    160 726,    80 308,    80 418,    315,    99,    216,    1 855,    763,    1 092
    34,    176 436,    85 259,    91 177,,,    34,    2 844,    1 318,    1 526,    171 216,    83 059,    88 157,    365,    91,    274,    2 011,    791,    1 220
  35—39岁,    853 717,    401 282,    452 435,,,  35—39岁,    8 529,        3 145,    5 384,    833 526,    394 403,    439 123,    2 697,    507,    2 190,    8 965,    3 227,    5 738
    35,    202 117,    94 581,    107 536,,,    35,    2 531,    1 057,    1 474,    196 830,    92 583,    104 247,    460,    92,    368,    2 296,    849,    1 447
    36,    192 950,    89482,    103 468,,,    36,    1 894,    694,    1 200,    188 530,    87 983,    100 547,    520,    86,    434,    2 006,    719,    1 287
    37,    166 598,    77 980,    88 618,,,    37,    1 528,    549,    979,    162 753,    76 710,    86 043,    558,    100,        458,    1 759,    621,    1 138
    38,    158 164,    74 389,    83 775,,,    38,    1 424,    450,    974,    154 544,    73 282,    81 262,    595,    107,    488,    1 601,    550,    1 051
    39,    133 888,    64 850,    69 038,,,    39,    1 152,    395,    757,    130 869,    63 845,    67 024,    564,    122,    442,    1 303,    488,    815
  40—44岁,    991 726,    535 819,    455 907,,,  40—44岁,    7 112,    3 910,    3 202,    966 973,    525 505,    441 468,    6 644,    1 462,    5 182,    10 997,    4 942,    6 055
    40,    168 755,    87 610,    81 145,,,    40,    1 353,    616,    737,    164 750,    86 057,    78 693,    903,    202,    701,    1 749,    735,    1 014
    41,    225 594,    121 304,    104 290,,,    41,    1 940,    1 069,    871,    219 725,    118 836,    100 889,    1 286,    257,    1 029,    2 643,    1 142,    1 501
    42,    239 341,    132 662,    106 679,,,    42,    1 702,    992,    710,    233 455,    130 117,    103 338,    1 565,    358,    1 207,    2 619,    1 195,    1 424
    43,    204 461,    113 134,    91 327,,,    43,    1 268,    743,    525,    199 376,    110 969,    88 407,    1 500,    328,    1 172,    2 317,    1 094,    1 223
    44,    153 575,    81 109,    72 466,,,    44,    849,    490,    359,    149 667,    79 526,    70 141,    1 390,    317,    1 073,    1 669,    776,    893
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,    单位：人,,,,,,,,,,,,
    婚姻状况(第二口径)(续09)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    文化程度,    合计,,,,,    和年龄别,,,,,,,,,,,,
    和年龄别,,,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,,,  45—49岁,    3 320,    2 115,    1 205,    765 822,    396 924,    368 898,    11 066,    2 423,    8 643,    7 806,    3 661,    4 145
  45—49岁,    788 014,    405 123,    382 891,,,    45,    739,    428,    311,    139 330,    69 879,    69 451,    1 576,    295,    1 281,    1 559,    678,    881
    45,    143 204,    71 280,    71 924,,,    46,    714,    454,    260,    146 417,    73 153,    73 264,    1 883,    385,    1 498,    1 649,    774,    875
    46,    150 663,    74 766,    75 897,,,    47,    668,    416,    252,    161 754,    83 347,    78 407,    2 328,    513,    1 815,    1 632,    783,    849
    47,    166 382,    85 059,    81 323,,,    48,    578,    388,    190,    163 329,    86 287,    77 042,    2 550,    599,    1 951,    1 548,    735,    813
    48,    168 005,    88 009,    79 996,,,    49,    621,    429,    192,    154 992,    84 258,    70 734,    2 729,    631,    2 098,    1 418,    691,    727
    49,    159 760,    86 009,    73 751,,,  50—54岁,    2 494,    1 762,    732,    660 878,    398 147,    262 731,    15 958,    4 470,    11 488,    5 826,    3 050,    2 776
  50—54岁,    685 156,    407 429,    277 727,,,    50,    535,    368,    167,    145 660,    80 800,    64 860,    2 990,    754,    2 236,    1 369,    667,    702
    50,    150 554,    82 589,    67 965,,,    51,    544,    371,    173,    139 012,    81 064,    57 948,    3 092,    822,    2 270,    1 251,    637,    614
    51,    143 899,    82 894,    61 005,,,    52,    530,    385,    145,    138 112,    85 139,    52 973,    3 286,    933,    2 353,    1 149,    616,    533
    52,    143 077,    87 073,    56 004,,,    53,    469,    339,    130,    126 555,    79 742,    46 813,    3 274,    972,    2 302,    1 106,    638,    468
    53,    131 404,    81 691,    49 713,,,    54,    416,    299,    117,    111 539,    71 402,    40 137,    3 316,    989,    2 327,    951,    492,    459
    54,    116 222,    73 182,    43 040,,,  55—59岁,    1 206,    840,    366,    300 030,    201 944,    98 086,    12 750,    4 096,    8 654,    2 818,    1 635,    1 183
  55—59岁,    316 804,    208 515,    108 289,,,    55,    353,    256,    97,    90 967,    58 897,    32 070,    3 006,    979,    2 027,    800,    460,    340
    55,    95 126,    60 592,    34 534,,,    56,    277,    197,    80,    73 026,    48 958,    24 068,    2 864,    908,    1 956,    689,    386,    303
    56,    76 856,    50 449,    26 407,,,    57,    267,    194,    73,    57 446,    39 198,    18 248,    2 617,    800,    1 817,    536,    317,    219
    57,    60 866,    40 509,    20 357,,,    58,    173,    1 12,    61,    43 191,    29 984,    13 207,    2 238,    726,    1 512,    416,    247,    169
    58,    46 018,    31 069,    14 949,,,    59,    136,    81,    55,    35 400,    24 907,    10 493,    2 025,    683,    1 342,    377,    225,    152
    59,    37 938,    25 896,    12 042,,,  60岁及以上,    1 567,    575,    992,    136 915,    93 263,    43 652,    27 276,    8 947,    18 329,    2 294,    1 089,    1 205
  60岁及以上,    168 052,    103 874,    64 178,,,大学专科,    1 911 195,    1 132 915,    778 280,    4 562 443,    3 011 832,    1 550 611,    45 149,    22 539,    22 610,    44 611,    24 633,    19 978
大学专科,    6 563 398,    4 191 919,    2 371 479,,,  15—19岁,    276 814,    141 443,    135 371,    208,    104,    104,    1,    1,-,    7,    6,    1
  15-19岁,    277 030,    141 554,    135 476,,,    15,    1,-,    1,-,-,-,-,-,-,-,-,-
    15,    1,    -,    1,,,    16,    1 792,    802,    990,    14,     7,    7,-,-,-,-,-,-
    16,    1 806,    809,    997,,,    17,    13 131,    6 068,    7 063,    23,    15,    8,    1,      1,-,-,-,-
    17,    13 155,    6 084,    7 071,,,    18,    71 171,    34 836,    36 335,    40,    26,    14,-,-,-,    2,    1,    1
    18,    71 213,    34 863,    36 350,,,    19,    190 719,    99 737,    90 982,    131,    56,    75,-,-,-,    5,    5,  -
    19,    190 855,    99 798,    91 057,,,  20—24岁,    1 231 956,    722 509,    509 447,    138 288,    53 476,    84 812,    83,    45,    38,    359,    134,    225
  20—24岁,    1 370 686,    776 164,    594 522,,,    20,    300 002,    165 883,    134 119,    841,    304,    537,    8,    7,    1,    14,    10,    4
    20,    300 865,    166 204,    134 661,,,    21,    348 229,    198 684,    149 545,    4 140,    1 034,    3 106,    17,    14,    3,    26,    14,    12
    21,    352 412,    199 746,    152 666,,,    22,    267 397,    155 688,    111 709,    14 385,    4 582,    9 803,    11,    3,    8,    46,    24,    22
    22,    281 839,    160 297,    121 542,,,    23,    170 085,    106 048,    64 037,    36 817,    13 417,    23 400,    14,    6,    8,    77,    23,    54
    23,    206 993,    119 494,    87 499,,,    24,    146 243,    96 206,    50 037,    82 105,    34 139,    47 966,    33,    15,    18,    196,    63,    133
    24,    228 577,    130 423,    98 154,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,    表7—6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续23),,,,,,,,,,,,
    婚姻状况(第二口径)(续10)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  25—29岁,    1 312 644,    784 273,    528 371,,,  25—29岁,    329 843,    230 445,    99 398,    977 231,    551 026,    426 205,    552,    256,    296,    5 018,    2 546,    2 472
    25,    251 813,    146 281,    105 532,,,    25,    111 642,    77 585,    34 057,    139 650,    68 468,    71 182,    64,    29,    35,    457,    199,    258
    26,    334 800,    195 666,    139 134,,,    26,    96 965,    68 636,    28 329,    236 788,    126 550,    110 238,    113,    42,    71,    934,    438,    496
    27,    367 488,    221 255,    146 233,,,    27,    72 503,    51 109,    21 394,    293 328,    169 302,    124 026,    168,    80,    88,    1 489,    764,    725
    28,    200 075,    122 186,    77 889,,,    28,    30 778,    21 130,    9 648,    168 201,    100 497,    67 704,    105,    52,    53,    991,    507,    484
    29,    158 468,    98 885,    59 583,,,    29,    17 955,    11 985,    5 970,    139 264,    86 209,    53 055,    102,    53,    49,    1 147,    638,    509
  30—34岁,    882 901,    582 783,    300 118,,,  30—34岁,    42 487,    24 747,    17 740,    830 161,    552 652,    277 509,    993,    429,    564,    9 260,    4 955,    4 305
    30,    158 601,    103 978,    54 623,,,    30,    12 994,    8 478,    4 516,    144 160,    94 696,    49 464,    132,    64,    68,    1 315,    740,    575
    31,    138 525,    92 651,    45 874,,,    31,    8 406,    5 159,    3 247,    128 513,    86 636,    41 877,    132,    56,    76,    1 474,    800,    674
    32,    191 664,    128 902,    62 762,,,    32,    8 785,    5 044,    3 741,    180 644,    122 668,    57 976,    211,    90,    121,    2 024,    1 100,    924
    33,    195 856,    129 328,    66 528,,,    33,    6 839,    3 523,    3 316,    186 567,    124 504,    62 063,    246,    114,    132,    2 204,    1 187,    1 017
    34,    198 255,    127 924,    70 331,,,    34,    5 463,    2 543,    2 920,    190 277,    124 148,    66 129,    272,    105,    167,    2 243,    1 128,    1 115
  35—39岁,    909 695,    591 256,    318 439,,,  35—39岁,    15 606,    5 944,    9 662,    881 909,    579 716,    302 193,    1 890,    617,    1 273,    10 290,    4 979,    5 311
    35,    212 364,    136 161,    76 203,,,    35,    4 702,    1 964,    2 738,    204 776,    132 839,    71 937,    365,    128,    237,    2 521,    1 230,    1 291
    36,    201 830,    128 342,    73 488,,,    36,    3 745,    1 408,    2 337,    195 332,    125 674,    69 658,    368,    116,    252,    2 385,    1 144,    1 241
    37,    170 526,    110 661,    59 865,,,    37,    2 777,    1 025,    1 752,    165 509,    108 630,    56 879,    354,    116,    238,    1 886,    890,    996
    38,    166 419,    109 718,    56 701,,,    38,    2 422,    842,    1 580,    161 727,    107 817,    53 910,    389,    127,    262,    1 881,    932,    949
    39,    158 556,    106 374,    52 182,,,    39,    1 960,    705,    1 255,    1 54 565,    104 756,    49 809,    414,    130,    284,    1 617,    783,    834
  40—44岁,    623 896,    429 691,    194 205,,,  40-44岁,    6 393,    2 427,    3 966,    608 849,    423 208,    185 641,    2 407,    793,    1 614,    6 247,    3 263,    2 984
    40,    170 245,    116 443,    53 802,,,    40,    1 960,    699,    1 261,    166 128,    114 730,    51 398,    494,    165,    329,    1 663,    849,    814
    41,    133 362,    91 857,    41 505,,,    41,    1 479,    502,    977,    130 100,    90 536,    39 564,    455,    153,    302,    1 328,    666,    662
    42,    121 367,    84 296,    37 071,,,    42,    1 265,    486,    779,    118 488,    83 055,    35 433,    461,    150,    311,    1 153,    605,    548
    43,    107 846,    74 933,    32 913,,,    43,    944,    377,    567,    105 288,    73 790,    31 498,    489,    157,    332,    1 125,    609,    516
    44,    91 076,    62 162,    28 914,,,    44,    745,    363,    382,    88 845,    61 097,    27 748,    508,    168,    340,    978,    534,    444
  45—49岁,    376 288,    263 423,    112 865,,,  45—49岁,    2 249,    1 314,    935,    366 941,    258 784,    108 157,    3 286,    1 116,    2 170,    3 812,    2 209,    1 603
    45,    79 636,    54 766,    24 870,,,    45,    589,    283,    306,    77 670,    53 843,    23 827,    531,    161,    370,    846,    479,    367
    46,    73 634,    51 509,    22 125,,,    46,    469,    255,    214,    71 914,    50 704,    21 210,    551,    177,    374,    700,        373,    327
    47,    73 658,    51 566,    22 092,,,    47,    435,    264,    171,    71 848,    50 640,    21 208,    600,    220,    380,    775,    442,    333
    48,    74 394,    52 220,    22 174,,,    48,    376,    245,    131,    72 486,    51 246,    21 240,    721,    241,    480,    811,    488,    323
    49,    74 966,    53 362,    21 604,,,    49,    380,    267,    113,    73 023,    52 351,    20 672,    883,    317,    566,    680,    427,    253
  50—54岁,    354 154,    259 826,    94 328,,,  50—54岁,    1 983,    1 469,    514,    342 723,    253 657,    89 066,    6 007,    2 465,    3 542,    3 441,    2 235,    1 206
    50,    75 426,    53 487,    21 939,,,    50,    397,    282,    115,    73 262,    52 348,    20 914,    1 010,    380,    630,    757,    477,    280
    51,    73 447,    52 956,    20 491,,,    51,    413,    306,    107,    71 180,    51 785,    19 395,    1 136,    417,    719,    718,    448,    270
    52,    72 485,    53 645,    18 840,,,    52,    373,    283,    90,    70 197,    52 379,    17 818,    1 220,    518,    702,    695,    465,    230
    53,    67 975,    50 814,    17 161,,,    53,    407,    293,    114,    65 630,    49 524,    16 106,    1 275,    544,    731,    663,    453,    210
    54,    64 821,    48 924,    15 897,,,    54,    393,    305,    88,    62 454,    47 621,    14 833,    1 366,    606,    760,    608,    392,    216
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,  表7-6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续24),,,,,,,,,,,,
    婚姻状况(第二口径)(续11)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,,,,,,,
  55-59岁,    239 599,    186 464,    53 135,,,  55—59岁,    1 488,    1 119,    369,    228 470,    180 414,    48 056,    7 112,    3 184,    3 928,    2 529,    1 747,    782
    55,    59 595,    45 293,    14 302,,,    55,    344,    252,    92,    57 242,    44 058,    13 184,    1 417,    595,    822,    592,    388,    204
    56,    53 729,    41 593,    12 136,,,    56,    317,    238,    79,    51 401,    40 318,    11 083,    1 433,    637,    796,    578,    400,    178
    57,    47 815,    37 262,    10 553,,,    57,    284,    210,    74,    45 608,    36 083,    9 525,    1 437,    636,    801,    486,    333,    153
    58,    41555,    32 882,    8 673,,,    58,    287,    230,    57,    39 446,    31 720,    7 726,    1 396,    629,    767,    426,    303,    123
    59,    36 905,    29 434,    7 471,,,    59,    256,    189,    67,    34 773,    28 235,    6 538,    1 429,    687,    742,    447,    323,    124
  60岁及以上,    216 505,    176 485,    40 020,,,  60岁及以上,    2 376,    1 498,    878,    187 663,    158 795,    28 868,    22 818,    13 633,    9 185,    3 648,    2 559,    1 089
大学本科,    5 211755,    3 652 521,    1 559 234,,,大学本科,    2 000 865,    1 382 908,    617 957,    3 128 026,    2 223 564,    904 462,    51 917,    27 613,    24 304,    30 947,    18 436,    12 511
  15-19岁,    321 526,    202 633,    118 893,,,  15-19岁,    321 421,    202 558,    1 18 863,    83,    59,    24,    8,    8,-,    14,    8,    6
    15,    18,    15,    3,,,    15,    18,    15,      3,-,-,-,-,-,-,-,-,-
    16,    1 632,    1 027,    605,,,    16,    1 626,    1 023,    603,    5,    4,    1,-,-,-,    1,-,    1
    17,    19 584,    11 663,    7 921,,,    17,    19 560,    1 1 644,    7 916,    24,    19,    5,-,-,-,-,-,-
    18,    94 846,    58 692,    36 154,,,    18,    94 818,    58 673,    36 145,    22,    14,    8,    3,    3,-,    3,    2,    1
    19,    205 446,    131 236,    74 210,,,    19,    205 399,    131 203,    74 196,    32,    22,    10,    5,    5,-,    10,    6,    4
  20—24岁,    1 410 089,    946 428,    463 661,,,  20-24岁,    1 327 099,    908 057,    419 042,    82 744,    38 228,    44 516,    58,    45,    13,    188,    98,    90
    20,    286 368,    188 764,    97 604,,,    20,    286 209,    188 686,    97 523,    143,    65,    78,    6,    6,    -,    10,    7,    3
    21,    350 229,    233 007,    117 222,,,    21,    349 525,    232 760,    116 765,    676,    225,    451,    16,    13,    3,    12,    9,    3
    22,    304 606,    204 059,    100 547,,,    22,    300 379,    202 475,    97 904,    4 196,    1 559,    2 637,    9,    9,    -,    22,    16,    6
    23,    227 703,    155 255,    72 448,,,    23,    208 214,    147 306,    60 908,    19 442,    7 922,    11 520,    12,    9,    3,    35,    18,    17
    24,    241 183,    165 343,    75 840,,,    24,    182 772,    136 830,    45 942,    58 287,    28 457,    29 830,    15,    8,    7,    109,    48,    61
  25—29岁,    927 424,    652 701,    274 723,,,  25—29岁,    307 845,    245 319,    62 526,    616 378,    405 508,    210 870,    287,    157,    130,    2 914,    1 717,    1 197
    25,    235 134,    164 364,    70 770,,,    25,    127 401,    101 129,    26 272,    107 393,    63 054,    44 339,    42,    19,    23,    298,    162,    136
    26,    247 793,    173 314,    74479,,,    26,    88 523,    71 418,    17 105,    158 615,    101 515,    57 100,    50,    33,    17,    605,    348,    257
    27,    234 670,    167 594,    67 076,,,    27,    57 478,    46 372,    11 106,    176 288,    120 659,    55 629,    79,    45,    34,    825,    518,    307
    28,    120 238,    85 285,    34 953,,,    28,    22 112,    17 217,    4 895,    97 472,    67 680,    29 792,    66,    39,    27,    588,    349,    239
    29,    89 589,    62 144,    27 445,,,    29,    12 331,    9 183,    3 148,    76 610,    52 600,    24 010,    50,    21,    29,    598,    340,    258
  30-34岁,    359 080,    251 780,    107 300,,,  30—34岁,    23 863,    15 760,    8 103,    331 348,    233 758,    97 590,    311,    145,    166,    3 558,    2 117,    1 441
    30,    80 231,    56 107,    24 124,,,    30,    8 350,    5 999,    2 351,    71 182,    49 717,    21 465,    53,    22,    31,    646,    369,    277
    31,    57 114,    39 773,    17 341,,,    31,    4 576,    3 095,    1 481,    51 913,    36 309,    15 604,    49,    22,    27,    576,    347,    229
    32,    73 635,    52 376,    21 259,,,    32,    4 414,    2 921,    1 493,    68 470,    48 999,    19 471,    71,    35,    36,    680,    421,    259
    33,    76 553,    53 960,    22 593,,,    33,    3 667,    2 226,    1 441,    71 996,    51 210,    20 786,    52,    27,    25,    838,    497,    341
    34,    71 547,    49 564,    21 983,,,    34,    2 856,    1 519,    1 337,    67 787,    47 523,    20 264,    86,    39,    47,    818,    483,    335
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,    单位：人,,,,,,,,,,,,
    婚姻状况(第二口径)(续12)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    文化程度,    合计,,,,,    和年龄别,,,,,,,,,,,,
    和年龄别,,,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,,,  35—39岁,    6 595,    2 961,    3 634,    232 760,    158 762,    73 998,    448,    144,    304,    2 983,    1 639,    1 344
  35—39岁,    242 786,    163 506,    79 280,,,    35,    2 130,    1 042,    1 088,    62 447,    43 014,    19 433,    90,    38,    52,    778,    443,    335
    35,    65 445,    44 537,    20 908,,,    36,    1 643,    773,    870,    52 305,    35 303,    17 002,    94,    33,    61,    678,    378,    300
    36,    54 720,    36 487,    18 233,,,    37,    1 122,    475,    647,    42 322,    28 640,    13 682,    76,    19,    57,    568,    311,    257
    37,    44 088,    29445,    14 643,,,    38,    905,    350,    555,    38 947,    26 546,    12 401,    91,    25,    66,    522,    273,    249
    38,    40 465,    27 194,    13 271,,,    39,    795,    321,    474,    36 739,    25 259,    11 480,    97,    29,    68,    437,    234,    203
    39,    38 068,    25 843,    12 225,,,  40—44岁,    3 143,    1 291,    1 852,    274 804,    192 461,    82 343,    1 111,    365,    746,    3 072,    1 625,    1 447
  40-44岁,    282 130,    195 742,    86 388,,,    40,    799,    310,    489,    41 684,    29 823,    11 861,    107,    41,    66,    519,    311,    208
    40,    43 109,    30 485,    12 624,,,    41,    631,    231,    400,    35 546,    26 237,    9 309,    107,    40,    67,    445,    228,    217
    41,    36 729,    26 736,    9 993,,,    42,    559,    206,    353,    37 958,    28 245,    9 713,    145,    57,    88,    443,    248,    195
    42,    39 105,    28 756,    10 349,,,    43,    556,    243,    313,    63 494,    43 418,    20 076,    292,    85,    207,    707,    360,    347
    43,    65 049,    44 106,    20 943,,,    44,    598,    301,    297,    96 122,    64 738,    31 384,    460,    142,    318,    958,    478,    480
    44,    98 138,    65 659,    32 479,,,  45-49岁,    2 197,    1 320,    877,    476 611,    332 307,    144 304,    3 507,    1 168,    2 339,    4 459,    2 319,    2 140
  45—49岁,    486 774,    337 114,    149 660,,,    45,    486,    261,    225,    92 047,    63 730,    28 317,    540,    175,    365,    916,    449,    467
    45,    93 989,    64 615,    29 374,,,    46,    421,    231,    190,    84 947,    59 309,    25 638,    541,    187,    354,    836,    426,    410
    46,    86 745,    60 153,    26 592,,,    47,    416,    261,    155,    87 315,    60 701,    26 614,    605,    186,    419,    844,    427,    417
    47,    89 180,    61 575,    27 605,,,    48,    408,    252,    156,    98 989,    68 395,    30 594,    832,    280,    552,    905,    467,    438
    48,    101 134,    69 394,    31 740,,,    49,    466,    315,    151,    113 313,    80 172,    33 141,    989,    340,    649,    958,    550,    408
    49,    115 726,    81 377,    34 349,,,  50—54岁,    2 602,    1 814,    788,    560 998,    420 878,    140 120,    7 049,    2 951,    4 098,    4 850,    2 995,1 855
  50—54岁,    575 499,    428 638,    146 861,,,    50,    486,    302,    184,    122 693,    88 675,    34 018,    1 227,    450,777,    1 095,    620,    475
    50,    125 501,    90 047,    35 454,,,    51,    483,    329,    154,    122 430,    91 504,    30 926,    1 400,    592,    808,    999,    616,    383
    51,    125 312,    93 041,    32 271,,,    52,    563,    409,    154,    119 758,    91 264,    28 494,    1 540,    677,    863,    1 011,    638,    373
    52,    122 872,    92 988,    29 884,,,    53,    530,    380,    150,    105 754,    80 601,    25 153,    1 445,    607,    838,    935,    574,    361
    53,    108 664,    82 162,    26 502,,,    54,    540,    394,    146,    90 363,    68 834,    21 529,    1 437,    625,    812,    810,    547,    263
    54,        93 150,    70 400,    22 750,,,  55—59岁,    2 057,    1 508,    549,    277 278,    213 047,    64 231,    6 897,    3 047,    3 850,    3 341,    2 206,    1 135
  55—59岁,    289 573,    219 808,    69 765,,,    55,    450,    325,    125,    73 649,    55 998,    17 651,    1 360,    596,    764,    769,    502,    267
    55,    76 228,    57 421,    18 807,,,    56,    452,    330,    122,    61 820,    47 369,    14 451,    1 403,    631,    772,    734,    466,    268
    56,    64 409,    48 796,    15 613,,,    57,    389,    296,    93,    53 719,    40 941,    12 778,    1 347,    580,    767,    667,    442,    225
    57,    56 122,    42 259,    13 863,,,    58,    396,    293,    103,    46 535,    36 172,    10 363,    1 352,    582,    770,    598,    424,    174
    58,    48 881,    37 471,    11 410,,,    59,    370,    264,    106,    41 555,    32 567,    8 988,    1 435,    658,    777,    573,    372,    201
    59,    43 933,    33 861,    10 072,,,  60岁及以上,    4 043,    2 320,    1 723,    275 022,    228 556,    46 466,    32 241,    19 583,    12 658,    5 568,    3 712,    1 856
  60岁及以上,    316 874,    254 171,    62 703,,,,,,,,,,,,,,,
