　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表2—1    全国各民族分性别、行业的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,        ,                  ,                      ,                  ,      ,                ,    ,,                    ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
民     族,合      计,,,一、农、林、牧、渔业,,,二、采掘业,,,三、制造业,,,四、电力、煤气及水的生产和供应业,,,五、建筑业,,,六、地质堪查业、水利管理业,,,七、交通运输、仓储及邮电通信业,,,八、批发和零售贸易、餐饮业,,,九、金融、保险业,,,十、房地产业,,,十一、社会服务业,,,十二、卫生、体育和社会福利业,,,十三、教育、文化艺术及广播电影电视业,,,十四、科学研究和综合技术服务业,,,十五、国家机关、政党机关和社会团体,,,十六、其他行业,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合      计,66874889,36550882,30324007,43051661,22175507,20876154,697862,573387,124475,8333044,4532607,3800437,418822,292141,126681,1794657,1595308,199349,84500,63891,20609,1724636,1411870,312766,4474040,2252730,2221310,394752,210056,184696,154814,98278,56536,1438738,823340,615398,709875,316536,393339,1710824,864574,846250,149861,95588,54273,1572764,1136260,436504,164039,108809,55230
  羌族                        ,18132,9306,8826,15335,7650,7685,56,50,6,416,239,177,101,71,30,71,61,10,4,3,1,266,231,35,574,221,353,76,48,28,11,9,2,232,120,112,147,68,79,386,215,171,20,15,5,426,298,128,11,7,4
  布朗族                      ,5429,2879,2550,5091,2661,2430,6,5,1,70,44,26,4,3,1,9,8,1,          ,          ,          ,26,23,3,47,18,29,4,4,          ,2,1,1,18,5,13,13,5,8,61,38,23,          ,          ,          ,73,62,11,5,2,3
  撒拉族                      ,5441,2863,2578,4463,2140,2323,11,11,          ,126,88,38,30,27,3,54,49,5,4,4,          ,139,132,7,317,208,109,15,13,2,2,1,1,46,28,18,33,18,15,59,31,28,          ,          ,          ,138,110,28,4,3,1
  毛南族                      ,6297,3386,2911,5012,2653,2359,93,66,27,329,170,159,20,14,6,68,56,12,2,          ,2,76,59,17,175,56,119,21,13,8,4,3,1,56,21,35,53,20,33,231,136,95,5,4,1,146,110,36,6,5,1
  仡佬族                      ,31831,17255,14576,26677,14025,12652,110,98,12,1364,790,574,93,63,30,312,287,25,18,13,5,315,260,55,858,370,488,79,41,38,14,13,1,213,102,111,233,114,119,768,489,279,15,11,4,736,564,172,26,15,11
  锡伯族                      ,11278,6396,4882,7274,4145,3129,88,69,19,1012,559,453,100,69,31,155,137,18,24,22,2,347,275,72,639,260,379,125,59,66,19,12,7,251,152,99,173,58,115,498,190,308,47,27,20,491,336,155,35,26,9
  阿昌族                      ,1906,959,947,1710,830,880,4,3,1,43,35,8,3,3,          ,4,4,          ,          ,          ,          ,14,13,1,30,16,14,          ,          ,          ,1,1,          ,10,3,7,10,4,6,36,20,16,          ,          ,          ,40,27,13,1,          ,1
  普米族                      ,2040,1032,1008,1795,868,927,14,13,1,19,11,8,1,1,          ,          ,          ,          ,2,2,          ,21,19,2,48,22,26,3,3,          ,          ,          ,          ,20,11,9,15,8,7,45,30,15,2,          ,2,53,42,11,2,2,          
  塔吉克族                    ,2343,1328,1015,1879,1004,875,2,2,          ,35,20,15,10,7,3,4,4,          ,3,1,2,13,11,2,44,29,15,8,5,3,          ,          ,          ,10,4,6,46,27,19,136,85,51,1,          ,1,151,128,23,1,1,          
  怒族                        ,1655,844,811,1462,747,715,4,4,          ,11,5,6,2,1,1,4,4,          ,          ,          ,          ,13,11,2,43,15,28,2,1,1,          ,          ,          ,10,2,8,15,6,9,37,22,15,          ,          ,          ,49,24,25,3,2,1
