　　,,,,,,,,,,,,,,,,,,,,,
表8—1   省、自治区、直辖市家庭户按住房用途、是否合住户、建筑层数、外墙墙体材料分的户数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位:户,,,,,,,,,
地   区   别,总家庭户数,住房用途,,本住房中有无其他合住户,,建筑层数,,,住宅外墙墙体材料,,,,,,,,,,,,
,,生活用房,兼做生产经营用房,有,无,平房,6层以下楼房,7层以上楼房,钢筋混凝土,砖、石,木、竹、草,其他,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
四川省,2277609,2042680,39751,195178,333647,61531,584831,1276264,21336,637644,1639965,5172,304262,287797,1680378,234597,11897,1652988,91042,287085,
贵州省,890975,609442,16208,265325,65272,18911,511207,292547,3038,231920,659055,1841,48332,26837,813965,71807,3632,528242,90457,196837,
云南省,1064719,738126,12825,313768,158508,62633,284873,546755,11950,583734,480985,9076,117871,19503,918269,87176,2929,300374,57385,616855,
西藏自治区,53686,18353,362,34971,8316,1425,426,23728,19791,9528,44158,227,690,189,52580,2496,231,13884,1248,35827,
,,,,,,,,,,,,,,,,,,,,,
陕西省,923822,674734,10333,238755,179014,5213,313309,418667,7619,271045,652777,15316,74378,14853,819275,132313,8534,520538,39357,223080,
甘肃省,600643,530216,4739,65688,103013,10831,206092,270499,10208,196903,403740,8040,35166,8741,548696,90716,3717,329574,14525,162111,
青海省,115724,93213,629,21882,23309,9077,27502,41640,14196,49026,66698,3413,3786,736,107789,22334,958,54529,4345,33558,
宁夏回族自治区,137746,123800,893,13053,35717,2096,72520,26494,919,60175,77571,2354,17956,8040,109396,28778,579,80760,6398,21231,
新疆维吾尔自治区,498689,329421,3510,165758,145244,704,188853,156948,6940,289985,208704,10002,67184,10791,410712,105535,2666,183602,23517,183369,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,
表8—3a   省、自治区、直辖市家庭户住房设施状况（城市）,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位:户,
地   区   别,家庭户数,住房中有无厨房,,,主  要  炊  事  燃  料,,,,,是否饮用自来水,,住房内有无洗澡设施,,,,本住房中有无厕所,,,,,
,,本户独立使用  ,本户与其他户合用 ,    无    ,   燃气   ,    电    ,   煤炭   ,   柴草   ,   其他   ,    是    ,    否    ,统一供热水,家庭自装热水器 ,   其他   ,    无    ,独立使用抽水式 , 邻居合用抽水式 ,独立使用其他式样 ,邻居合用其他式样,    无    ,
,,,,,,,,,,,,,,,,,,,,,
合计,8154917,6961907,233020,959990,5702614,154010,1674875,542898,80520,7132038,1022879,199130,3308117,604204,4043466,4121383,155336,1689936,350828,1837434,
,,,,,,,,,,,,,,,,,,,,,
北京市,284938,221020,8112,55806,255562,860,26247,326,1943,283255,1683,7575,166710,4168,106485,171858,7079,12547,6087,87367,
天津市,167689,135201,8936,23552,150692,198,15009,682,1108,166717,972,6083,87642,3077,70887,106904,9056,10951,4620,36158,
河北省,324638,288926,3343,32369,218999,1138,86461,16882,1158,310081,14557,14055,109363,27400,173820,174271,3297,75273,8247,63550,
山西省,203371,167453,2122,33796,112470,1493,88083,212,1113,188749,14622,7754,33244,3510,158863,105226,1904,35850,12506,47885,
内蒙古自治区,174758,139935,1409,33414,74236,6748,89611,3465,698,143638,31120,9209,26761,2655,136133,76375,801,8298,4227,85057,
,,,,,,,,,,,,,,,,,,,,,
辽宁省,577983,547967,20658,9358,453600,4583,92844,25420,1536,537942,40041,8201,166937,7261,395584,383811,17787,75661,51715,49009,
吉林省,264044,243699,7014,13331,156053,6913,77091,23553,434,223965,40079,20496,38572,5091,199885,131745,4034,31090,5494,91681,
黑龙江省,377506,354466,11978,11062,195985,20553,128350,31754,864,330815,46691,18749,50290,7630,300837,184185,6261,40823,21504,124733,
,,,,,,,,,,,,,,,,,,,,,
上海市,396982,303627,37745,55610,377803,4158,4672,4274,6075,395208,1774,2746,241507,22007,130722,269220,24012,13010,3497,87243,
江苏省,545080,469210,11067,64803,445571,2801,35981,55285,5442,498240,46840,3146,261673,64328,215933,319778,5288,66426,13332,140256,
浙江省,384466,332465,9277,42724,330819,2070,8797,34677,8103,355149,29317,1518,182719,47149,153080,234766,6525,45252,14695,83228,
安徽省,241106,203752,2332,35022,153771,1063,65398,18804,2070,191993,49113,1092,83444,13695,142875,111711,1361,43368,8975,75691,
福建省,188540,153919,10936,23685,139570,6100,27430,9185,6255,166884,21656,3059,110315,21690,53476,102994,4958,20586,11069,48933,
江西省,141554,120302,5330,15922,101440,1078,31195,6688,1153,122983,18571,1940,65113,17256,57245,67602,1551,29868,5708,36825,
山东省,631226,554936,6466,69824,389851,2690,152313,81198,5174,462994,168232,16710,224783,39174,350559,266842,6343,267672,25785,64584,
,,,,,,,,,,,,,,,,,,,,,
河南省,372092,319215,3385,49492,165642,1715,196085,5778,2872,319548,52544,7806,119288,20620,224378,185512,6344,90204,11096,78936,
湖北省,433649,356805,14076,62768,295389,1991,83499,49830,2940,356644,77005,10901,155252,42280,225216,169874,10227,112600,19721,121227,
湖南省,291734,248443,7249,36042,149761,1660,124936,12963,2414,226103,65631,6760,117058,59253,108663,109912,4346,105615,13143,58718,
广东省,649775,564953,28402,56420,568570,6513,16289,49207,9196,586522,63253,10104,450450,92695,96526,304550,10291,210599,23957,100378,
广西壮族自治区,161589,135317,6070,20202,121645,4164,9008,24684,2088,133891,27698,1787,91647,30624,37531,60783,1959,53052,7772,38023,
海南省,39341,31097,1617,6627,30685,391,277,7309,679,33273,6068,755,18072,8051,12463,16058,839,10384,1628,10432,
,,,,,,,,,,,,,,,,,,,,,
重庆市,190205,158375,7145,24685,122988,6668,37550,20489,2510,152375,37830,855,88692,13309,87349,35411,872,84657,14378,54887,
四川省,354501,305067,9672,39762,206948,17476,97926,27123,5028,286086,68415,2138,180899,30573,140891,139737,6728,130579,22262,55195,
贵州省,116654,86856,1249,28549,45620,12383,54855,2588,1208,103299,13355,1183,30636,9621,75214,48597,1669,27155,12195,27038,
