　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表5—1    省、自治区、直辖市分性别、婚姻状况的15岁及15岁以上人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地   区   别,15岁及15岁以上人口,,,未      婚,,,初婚有配偶,,,再婚有配偶,,,离      婚,,,丧      偶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,580219,290786,289433,166955,90095,76860,376272,189024,187248,7394,3794,3600,5705,2902,2803,23893,4971,18922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,401409,201458,199951,94866,54983,39883,276574,136081,140493,8589,4601,3988,5188,2463,2725,16192,3330,12862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,1744812,863713,881099,410110,214875,195235,1220533,609373,611160,31143,15776,15367,12309,6078,6231,70717,17611,53106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,1045107,520914,524193,233767,125528,108239,740799,369112,371687,20908,11522,9386,11346,5243,6103,38287,9509,28778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,1218727,614432,604295,280359,160107,120252,847489,420018,427471,26271,14134,12137,14437,7118,7319,50171,13055,37116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,799830,401433,398397,189884,107888,81996,542194,268208,273986,21513,11321,10192,12395,5963,6432,33844,8053,25791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,2317059,1153502,1163557,807554,410796,396758,1405752,711917,693835,17649,10312,7337,15703,7188,8515,70401,13289,57112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,465459,234113,231346,137377,76803,60574,292416,144828,147588,9122,5298,3824,7580,3338,4242,18964,3846,15118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,120668,60497,60171,35307,19106,16201,79074,39265,39809,1574,965,609,949,423,526,3764,738,3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,501818,253009,248809,97654,58192,39462,343590,171545,172045,20703,10322,10381,14622,7306,7316,25249,5644,19605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,948437,475718,472719,190600,109787,80813,664547,328885,335662,33826,17867,15959,19753,9327,10426,39711,9852,29859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,315916,160278,155638,74721,43706,31015,209972,104011,105961,11577,6440,5137,7640,3533,4107,12006,2588,9418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,360730,184710,176020,97677,55136,42541,234408,118321,116087,9817,5322,4495,7218,3307,3911,11610,2624,8986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,15858,7934,7924,4450,2332,2118,10217,5093,5124,489,284,205,278,126,152,424,99,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,516824,260383,256441,125099,70871,54228,354319,175124,179195,12639,6751,5888,6265,3162,3103,18502,4475,14027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,308456,157505,150951,71377,41345,30032,215044,107558,107486,6864,3860,3004,4500,2109,2391,10671,2633,8038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,76899,38690,38209,15179,8764,6415,54379,26791,27588,2881,1628,1253,1738,845,893,2722,662,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
