表3-5全国各民族分年龄性别的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙占族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  49,    9 553 489,    5 052 076,    4 501 413,    8 857 107,    4 691 271,    4 165 836,    30 075,    15 444,    14 631,    68 242,    34 890,    33 352
50—54岁,    45 619 559,    24 110 355,    21 509 204,    42 292 227,    22 380 678,    19 911 549,    151 197,    78 836,    72 361,    319 715,    164 168,    155 547
  50,    9 248 199,    4 875 474,    4 372 725,    8 493 644,    4 489 885,    4 003 759,    30 675,    15 964,    14 711,    69 368,    35 363,    34 005
  51,    8 942 550,    4 738 952,    4 203 598,    8 289 996,    4 397 680,    3 892 316,    31 805,    16 525,    15 280,    62 542,    31 938,    30 604
  52,    9 233 016,    4 919 285,    4 313 731,    8 561 039,    4 565 777,    3 995 262,    30 692,    16 072,    14 620,    65 732,    34 077,    31 655
  53,    9 098 119,    4 810 911,    4 287 208,    8 463 663,    4 479 223,    3 984 440,    29 460,    15 356,    14 104,    62 247,    32 142,    30 105
  54,    9 097 675,    4 765 733,    4 331 942,    8 483 885,    4 448 113,    4 035 772,    28 565,    14 919,    13 646,    59 826,    30 648,    29 178
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
  全国各民族分年龄、性别的人口数(续02),,,,,,,,,,,,
表3-5单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,    小计,    男,    女
55—59岁,    41 709 335,    21 839 937,    19 869 398,    38 910 561,    20 389 168,    18 521 393,    119 923,    63 489,    56 434,    273 744,    141 432,    132 312
  55,    8 804 360,    4 580 456,    4 223 904,    8 183 103,    4 261 514,    3 921 589,    27 261,    14 229,    13 032,    58 906,    30 124,    28 782
  56,    8 802 518,    4 618 277,    4 184 241,    8 223 426,    4 316 911,    3 906 515,    26 766,    14 033,    12 733,    58 648,    30 019,    28 629
  57,    8 620 744,    4 525 324,    4 095 420,    8 059 732,    4 231 707,    3 828 025,    24 093,    12 786,    11 307,    55 457,    28 573,    26 884
  58,    7 846 915,    4 106 208,    3 740 707,    7 322 895,    3 835 328,    3 487 567,    21 130,    11 293,    9 837,    49 184,    25 777,    23 407
  59,    7 634 798,    4 009 672,    3 625 126,    7 121 405,    3 743 708,    3 377 697,    20 673,    11 148,    9 525,    51 549,    26 939,    24 610
60—64岁,    33 976 254,    17 481 948,    16 494 306,    31 736 497,    16 339 481,    15 397 016,    97 482,    52 697,    44 785,    210 151,    107 889,    102 262
  60,    7 730 945,    4 019 833,    3 711 112,    7 149 777,    3 724 074,    3 425 703,    21 769,    11 765,    10 004,    50 281,    25 923,    24 358
  61,    6 966 479,    3 585 188,    3 381 291,    6 521 888,    3 357 980,    3 163 908,    19 515,    10 604,    8 911,    41 708,    21 448,    20 260
  62,    7 060 132,    3 635 374,    3 424 758,    6 603 158,    3 401 092,    3 202 066,    20 734,    11 209,    9 525,    43 003,    21 915,    21 088
  63,    6 233 873,    3 200 259,    3 033 614,    5 839 585,    2 998 522,    2 841 063,    18 055,    9 800,    8 255,    37 644,    19 333,    18 311
  64,    5 984 825,    3 041 294,    2 943 531,    5 622 089,    2 857 813,    2 764 276,    17 409,    9 319,    8 090,    37 515,    19 270,    18 245
65—69岁,    26 332 520,    12 917 485,    13 415 035,    24 674 265,    12 101 019,    12 573 246,    69 468,    37 447,    32 021,    155 664,    76 612,    79 052
  65,    6 169 042,    3 058 844,    3 110 198,    5 770 784,    2 862 476,    2 908 308,    16 241,    8 633,    7 608,    37 562,    18 269,    19 293
  66,    5 696 874,    2 813 087,    2 883 787,    5 347 758,    2 639 896,    2 707 862,    14 386,    7 780,    6 606,    32 413,    16 060,    16 353
  67,    4 989 630,    2 448 512,    2 541 118,    4 677 135,    2 294 256,    2 382 879,    13 627,    7 367,    6 260,    29 878,    14 787,    15 091
  68,    4 885 527,    2 384 722,    2 500 805,    4 575 316,    2 231 877,    2 343 439,    13 381,    7 258,    6 123,    28 888,    14 271,    14 617
  69,    4 591 447,    2 212 320,    2 379 127,    4 303 272,    2 072 514,    2 230 758,    11 833,    6 409,    5 424,    26 923,    13 225,    13 698
70—74岁,    18 050 580,    8 344 204,    9 706 376,    16 887 166,    7 793 432,    9 093 734,    40 492,    21 825,    18 667,    111 239,    52 951,    58 288
  70,    4 452 357,    2 108 722,    2 343 635,    4 139 250,    1 958 813,    2 180 437,    10 920,    5 967,    4 953,    27 032,    13 004,    14 028
  71,    3 732 596,    1 741 629,    1 990 967,    3 502 021,    1 631 829,    1 870 192,    7 935,    4 198,    3 737,    23 079,    10 992,    12 087
  72,    3 529 123,    1 630 231,    1 898 892,    3 305 214,    1 523 565,    1 781 649,    7 750,    4 251,    3 499,    22 343,    10 666,    11 677
  73,    3 301 436,    1 506 451,    1 794 985,    3 096 196,    1 410 141,    1 686 055,    7 255,    3 878,    3 377,    20 075,    9 474,    10 601
  74,    3 035 068,    1 357 171,    1 677 897,    2 844 485,    1 269 084,    1 575 401,    6 632,    3 531,    3 101,    18 710,    8 815,    9 895
75—79岁,    10 933 924,    4 689 104,    6 244 820,    10 217 080,    4 362 656,    5 854 424,    24 580,    12 580,    12 000,    68 471,    31 736,    36 735
  75,    2 736 912,    1 209 315,    1 527 597,    2 551 652,    1 123 107,    1 428 545,    6 050,    3 079,    2 971,    16 708,    7 791,    8 917
  76,    2 614 032,    1 140 595,    1 473 437,    2 450 811,    1 065 117,    1 385 694,    6 015,    3 206,    2 809,    16 661,    7 803,    8 858
  77,    2 123 063,    906 767,    1 216 296,    1 985 564,    844 283,    1 141 281,    4 718,    2 392,    2 326,    13 654,    6 345,    7 309
  78,    1 846 321,    774 071,    1 072 250,    1 720 364,    717 636,    1 002 728,    4 191,    2 100,    2 091,    11 498,    5 317,    6 181
  79,    1 613 596,    658 356,    955 240,    1 508 689,    612 513,    896 176,    3 606,    1 803,    1 803,    9 950,    4 480,    5 470
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
  表3-5单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,    小计,    男,    女
80—84岁,    5 352 690,    1 993 954,    3 358 736,    5 001 096,    1 845 877,    3 155 219,    10 290,    4 934,    5 356,    35 514,    15 175,    20 339
  80,    1 494 781,    586 258,    908 523,    1 382 919,    537 494,    845 425,    3 071,    1 490,    1 581,    10 167,    4 461,    5 706
  81,    1 236 185,    469 224,    766 961,    1 160 396,    437 320,    723 076,    2 288,    1 083,    1 205,    7 855,    3 353,    4 502
  82,    1 029 258,    380 639,    648 619,    964 416,    353 525,    610 891,    1 943,    965,    978,    6 695,    2 867,    3 828
  83,    852 655,    304 110,    548 545,    799 521,    282 440,    517 081,    1 650,    765,    885,    5 686,    2 392,    3 294
  84,    739 811,    253 723,    486 088,    693 844,    235 098,    458 746,    1 338,    631,    707,    5 111,      2 102,    3 009
85—89岁,    1 907 544,    605 746,    1 301 798,    1 784 943,    557 217,    1 227 726,    2 868,    1 284,    1 584,    13 716,    5 536,    8 180
  85,    593 736,    197 370,    396 366,    554 183,    181 174,    373 009,    913,    426,    487,    4 049,    1 633,    2 416
  86,    467 819,    150 705,    317 114,    438 623,    139 214,    299 409,    718,    308,    410,    3 221,    1 323,    1 898
  87,    362 274,    113 341,    248 933,    339 653,    104 567,    235 086,    579,    264,    315,    2 560,    1 015,    1 545
  88,    277 790,    84 378,    193 412,    259 932,    77 393,    182 539,    396,    182,    214,    2 236,    907,    1 329
  89,    205 925,    59 952,    145 973,    192 552,    54 869,    137 683,    262,    104,    158,    1 650,    658,    992
90—94岁,    351 602,    94 520,    257 082,    323 869,    82 920,    240 949,    401,    172,    229,    2 843,    1 086,    1 757
  90,    139 173,    39 602,    99 571,    125 788,    33 786,    92 002,    170,    76,    94,    1 140,    465,    675
  91,    80 713,    21 629,    59 084,    75 843,    19 778,    56 065,    92,    37,    55,    608,    228,    380
  92,    60 818,    15 724,    45 094,    56 764,    14 076,    42 688,    70,    28,    42,    467,    168,    299
  93,    41 841,    10 510,    31 331,    38 891,    9 288,    29 603,    49,    23,    26,    345,    107,    238
  94,    29 057,    7 055,    22 002,    26 583,    5 992,    20 591,    20,    8,    12,    283,    118,    165
95—99岁,    57 851,    14 549,    43 302,    48 909,    10 303,    38 606,    39,    16,    23,    643,    249,    394
  95,    21 397,    5 387,    16 010,    18 501,    4 011,    14 490,    15,    3,    12,    200,    77,    123
  96,    14 184,    3 462,    10 722,    12 340,    2 583,    9 757,    13,    7,    6,    169,    70,    99
  97,    9 641,    2 358,    7 283,    8 219,    1 701,    6 518,    4,    1,    3,    96,    31,    65
  98,    7 525,    2 006,    5 519,    5 901,    1 209,    4 692,    6,    4,    2,    110,    48,    62
  99,    5 104,    1 336,    3 768,    3 948,    799,    3 149,    1,    1,-,    68,    23,    45
100岁及以上,    6 681,    1 555,    5 126,    5 015,    894,    4 121,    3,    2,    1,    155,    56,    99
