,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--22全国各民族不在业人口状况,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失劳动能力,,,    其它,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,    民族别,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  5 740 225,  2 923 090,  2 817 135,  21 510 485,    13 072 035,  8 438 450,  28 111 328,  12 862 794,  15 248 534,  4 442 300,  3 018 594,  1 423 706
京族,    2 770,    1 007,    1 763,    896,    549,    347,    836,    103,    733,    55,    34,    21,,,京族,    196,    95,    101,    363,    106,    257,    341,    79,    262,    83,    41,    42
塔塔尔族,    1 112,    398,    714,    417,    185,    232,    321,    17,    304,    43,    23,    20,,,塔塔尔族,    99,    56,    43,    136,    74,    62,    65,    28,    37,    31,    15,    16
独龙族,    475,    219,    256,    168,    103,    65,    78,    3,    75,    32,    18,    14,,,独龙族,    8,    2,    6,    41,    31,    10,    140,    56,    84,    8,    6,    2
鄂伦春族,    1 615,    474,    1 141,    516,    216,    300,    672,    6,    666,    16,    4,    12,,,鄂伦春族,    88,    50,    38,    69,    45,    24,    104,    51,    53,    150,    102,    48
赫哲族,    809,    278,    531,    256,    129,    127,    344,    1,    343,    8,    5,    3,,,赫哲族,    31,    18,    13,    77,    59,    18,    51,    39,    12,    42,    27,    15
门巴族,    726,    257,    469,    97,    50,    47,    418,    122,    296,     -,     -,  -,,,门巴族,    10,    3,    7,    17,    9,    8,    176,    69,    107,    8,    4,    4
珞巴族,    215,    75,    140,    38,    16,    22,    98,    22,    76,    1,    1,     -,,,珞巴族,    2,    1,    1,    19,    13,    6,    56,    21,    35,    1,    1,    -
基诺族,    2 563,    1 061,    1 502,    1 003,    567,    436,    1 124,    278,    846,    78,    41,    37,,,基诺族,    91,    44,    47,    68,    36,    32,    181,    81,    100,    18,    14,    4
其他未识别的民族,    70 061,    36 195,    33 866,    23 733,    16 612,    7 121,    17 813,    4 835,    12 978,    3 122,    2 147,    975,,,其他未识别的民族,    1 101,    568,    533,    1 924,    1 676,    248,    20 750,    9 275,    11 475,    1 618,    1 082,    536
外国人加入中国籍,    2 081,    182,    1 899,    54,    31,    23,    936,    14,    922,    6,    1,    5,,,外国人加入中国籍,    29,    20,    9,    482,    60,    422,    528,    40,    488,    46,    16,    30
