,,,,,,,,,,,,
表3--34省、自治区、直辖市的市、镇、县少数民族迁入人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    迁入人口合计,,,,  本省其他县、市迁入,,,,    外省迁入,,,
    地区别,,,,,,,,,,,,
,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡
  镇,    7 513,    345,    694,    6 474,    4 786,    163,    553,    4 070,    2 727,    182,    141,    2 404
  县,    10 402,    140,    343,    9 919,    2 724,    36,    180,    2 508,    7 678,    104,    163,    7 411
四川省,    96 346,    13 434,    15 214,    67 698,    65 250,    7 546,    11 675,    46 029,    31 096,    5 888,    3 539,    21 669
  市,    30 003,    8 156,    5 660,    16 187,    18 986,    4 119,    3 799,    11 068,    11 017,    4 037,    1 861,    5 119
  镇,    21 549,    3 097,    7 209,    11 243,    17 521,    2113,    6 384,    9 024,    4 028,    984,    825,    2 219
  县,    44 794,    2 181,    2 345,    40 268,    28 743,    1 314,    1 492,    25 937,    16 051,    867,    853,    14 331
贵州省,    133 291,    17 899,    28 310,    87 082,    118 446,    13 624,    25 359,    79 463,    14 845,    4 275,    2 951,    7 619
  市,    75 057,    9 786,    17 141,    48 130,    69 440,    7 691,    16 177,    45 572,    5 617,    2 095,    964,    2 558
  镇,    27 963,    4 845,    7 793,    15 325,    23 729,    3 718,    6 509,    13 502,    4 234,    1 127,    1 284,    1 823
  县,    30 271,    3 268,    3 376,    23 627,    25 277,    2 215,    2 673,    20 389,    4 994,    1 053,    703,    3 238
云南省,    200 380,    25 879,    39 882,    134 619,    183 407,    21 496,    37 503,    124 408,    16 973,    4 383,    2 379,    10 211
  市,    61 842,    12 094,    12 159,    37 589,    56 626,    10 261,    11 540,    34 825,    5 216,    1 833,    619,    2 764
  镇,    69 531,    7 711,    18 925,    42 895,    63 759,    6 273,    17 825,    39 661,    5 772,    1 438,    1 100,    3 234
  县,    69 007,    6 074,    8 798,    54 135,    63 022,    4 962,    8 138,    49 922,    5 985,    1 112,    660,    4 213
西藏自治区,-,-,-,-,-,-,-,-,-,-,-,-
  市,-,-,-,-,-,-,-,-,-,-,-,-
  镇,-,-,-,-,-,-,-,-,-,-,-,-
  县,-,-,-,-,-,-,-,-,-,-,-,-
陕西省,    11579,    4 361,    2 854,    4 364,    3 910,    1 309,    1 332,    1 269,    7 669,    3 052,    1 522,    3 095
  市,    8 324,    3 445,    1 815,    3 064,    2 582,    876,    851,    855,    5 742,    2 569,    964,    2 209
  镇,    2 236,    728,    911,    597,    913,    324,    406,    183,    1 323,    404,    505,    414
  县,    1 019,    188,    128,    703,    415,    109,    75,    231,    604,    79,    53,    472
甘肃省,    41 043,    8 059,    5 631,    27 353,    30 432,    4 914,    4 086,    21 432,    10 611,    3 145,    1 545,    5 921
  市,    21 295,    5 789,    2 859,    12 647,    14 881,    3 142,    1 894,    9 845,    6 414,    2 647,    965,    2 802
  镇,    8 054,    1 413,    1 779,    4 862,    6 361,    1 099,    1 396,    3 866,    1 693,    314,    383,    996
  县,    11 694,    857,    993,    9 844,    9 190,    673,    796,    7 721,    2 504,    184,    197,    2 123
青海省,    54 456,    5 601,    11 413,    37 442,    44 637,    4 240,    10 435,    29 962,    9 819,    1 361,    978,    7 480
  市,    20 237,    1 766,    4 821,    13 650,    17 055,    1 208,    4 524,    11 323,    3 182,    558,    297,    2 327
