表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    24,    11 296 692,    1 189 296,    751 501,    369 760,    61 614,    5 923,    498,    1 541 411,    956 498,    480 592,    93 773,    9 670,    878
  25-29岁,    46 978 830,    4 101 387,    1 709 568,    1 648 123,    605 422,    118 887,    19 387,    4 341 194,    1 717 371,    1 714 890,    724 032,    156 998,    27 903
    25,    10 968 639,    1 180 958,    654 574,    418 332,    95 178,    11 573,    1 301,    1 363 693,    718 079,    491 560,    134 129,    17 874,    2 051
    26,    11 410 61 1,    1 091 754,    496 436,    436 441,    135 337,    20 990,    2 550,    1 165 091,    491 297,    467 749,    172 146,    30 017,    3 882
    27,    12 149 347,    1 004 093,    354 429,    433 330,    177 103,    34194,    5 037,    1 014 614,    325 701,    426 525,    208 631,    46 089,    7 668
    28,    7 213 108,    524 967,    136 847,    231 277,    121 583,    29 824,    5 436,    515 301,    123 287,    214 808,    132 586,    36 989,    7 631
    29,    5 237 125,    299 615,    67 282,    128 743,    76 221,    22 306,    5 063,    282 495,    59 007,    114 248,    76 540,    26 029,    6 671
  30-34岁,    37 364 498,    1 269 991,    132 143,    536 477,    374 441,    159 632,    67 298,    1 159 320,    116 076,    452 31 1,    346 720,    165 501,    78 712
    30,    6 384 736,    307 220,    49 459,    136 479,    84 568,    28 740,    7 974,    286 488,    43 008,    119 355,    82 520,    31 450,    10 155
    31,    6 347 146,    259 803,    28 410,    115 020,    76 423,    29 662,    10 288,    241 311,    25 319,    98 720,    72 230,    32 292,    12 750
