表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    35,    2 348,    70,    3,    4,    7,    16,    40,    84,    3,    2,    4,    18,    57
    36,    1 895,    53,    3,   -,    6,    15,    29,    57,    -,    4,    6,    9,    38
    37,    1 828,    56,    5,    3,    3,    12,    33,    56,    1,    3,    8,    8,    36
    38,    1 943,    58,    2,    5,    3,    10,    38,    35,    3,    2,    6,    4,    20
    39,    1 857,    38,    2,    1,    3,    8,    24,    37,    1,    3,    3,    3,    27
  40-44岁,    9 701,    147,    2,    6,        6,    11,    122,    124,    1,    4,    8,    19,    92
    40,    2 493,    48,-,2,    3,    2,    41,    39,    1,    1,    3,    5,    29
    41,    1 819,    28,    1,    3,    2,    3,    19,    29,-,    1,    2,    4,    22
    42,    1847,    29,-,-,-,    3,    26,    24,-,-,    1,    4,    19
    43,    1 932,    30,    1,    1,-,    1,    27,    22,-,    1,    1,    6,    14
    44,    1 610,    12,-,-,    1,    2,    9,    10,-,    1,    1,-,    8
  45-49岁,    7 660,    38,    1,    2,    1,    5,    29,    37,    1,     2,     2,    3,    29
    45,    1 720,    16,-,    2,-,    2,    12,    10,-,-,-,    1,    9
    46,    1 438,        8,-,-,-,    1,    7,    8,-,    1,    1,-,    6
    47,    1 448,    5,    1,-,    1,-,    3,    7,    1,-,-,-,    6
    48,    1 643,    5,-,-,-,-,    5,    9,-,-,    1,    2,    6
    49,    1 41 1,    4,-,-,-,    2,    2,    3,-,    1,-,-,    2
  50岁,    1 839,    2,-,-,-,-,    2,    3,-,-,-,-,    3
水族,    83 373,    4 391,    1 531,    1 076,    701,    426,    657,    4 179,    1 495,    1 152,    686,    372,    474
  15-19岁,    20 286,    90,    79,    10,    1,-,-,    146,    129,    17,-,-,-
    15,    4 654,-,-,-,-,-,-,    1,    1,-,-,-,-
    16,    4 134,    1,    1,-,-,-,-,    2,    1,    1,-,-,-
    17,    3 949,    4,    3,    1,-,-,-,    10,    9,    1,-,-,-
    18,    3 813,    24,    21,    3,-,-,-,    34,    30,    4,-,-,-
    19,    3 736,    61,    54,    6,    1,-,-,    99,    88,    11,-,-,-
  20-24岁,    17 864,    1 559,    994,    453,    99,    12,    1,    1 585,    964,    490,    118,    13,-
    20,    4 021,    175,    157,    15,    3,-,-,    187,    1 51,    32,    4,-,-
    21,    3 686,    258,    194,    58,    4,    1,    1,    294,    220,    66,    8,-,-
    22,    3 526,    348,    234,    97,    15,        2,-,    342,    225,    106,    11,-,-
    23,    3 227,    392,    223,    133,    34,       2,-,    323,    167,    116,    36,    4,-
    24,    3 404,    386,    186,    150,    43,      7,-,    439,    201,    170,    59,    9,-
  25-29岁,    12 352,    1 448,    387,    485,    393,    150,    33,    1 416,    361,    525,    370,    122,    38
    25,    3 320,    386,    150,    141,    78,    15,       2,    433,    147,    187,    84,    11,    4
    26,    3 162,    418,    108,    159,    114,    32,      5,    354,    94,    133,    90,    27,    10
    27,    2 832,    324,    70,    102,    97,    45,    10,    326,    72,    108,104,    33,    9
    28,    1 808,    200,    42,    54,    68,    29,     7,    204,    30,    67,    62,    34,    11
    29,    1 230,    120,    17,    29,    36,    29,    9,    99,    18,    30,    30,    17,    4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  30-34岁,    8 111,    568,    44,    71,    140,    144,    169,    547,    30,    84,    139,    144,    150
    30,    1 309,    112,    17,    18,    35,    23,    19,    111,    13,    28,    33,    21,    16
    31,    1 433,    94,    4,    13,    26,    22,    29,    110,    4,    17,    39,    27,    23
    32,    1 847,    137,    8,    19,    40,    38,    32,    123,    5,    19,    29,    40,    30
    33,    1 825,    123,    8,    14,    21,    33,    47,    111,    4,    12,    20,    35,    40
    34,    1 697,    102,    7,    7,    18,    28,    42,    92,    4,    8,    18,    21,    41
  35-39岁,    8 558,    433,    12,    39,    47,    83,    252,    307,    6,    26,    48,    67,    160
    35,    1 852,    119,    6,    10,    10,    35,    58,    75,    2,    9,    14,    22,    28
    36,    1 904,    109,    2,    10,    17,    19,    61,    66,    1,    5,    12,    13,    35
    37,    1 724,    77,    3,    8,    8,    9,    49,    68,    -,    6,    7,    15,    40
    38,    1 611,    65,    1,    5,    7,    11,    41,    53,2,    3,    10,    8,    30
    39,    1 467,    63,    -,    6,    5,    9,    43,    45,    1,    3,    5,    9,    27
  40-44岁,    7 430,    261,    12,    15,    18,    34,    182,    156,    3,    9,    9,    23,    112
    40,    1 660,    75,    2,    7,    3,    16,    47,    40,    1,    1,    3,    7,    28
    41,    1 487,    58,    3,    3,    6,    6,    40,    35,-,    3,    -,    6,    26
    42,    1 480,    49,    2,    1,    5,    5,    36,    38,  2,    4,    4,    6,    22
    43,    1 457,    42,    2,    2,    4,    1,    33,    27,-,    1,    1,    2,    23
    44,    1 346,    37,    3,    2,     -,    6,    26,    16,-,-,    1,   2,    13
  45-49岁,    7 183,    30,    3,    3,    3,    3,    18,    22,    2,    1,    2,    3,    14
    45,    1 461,    14,-,    1,    2,    1,    10,    4,-,-,-,    1,    3
    46,    1 525,    6,-,-,    1,    1,    4,    6,-,    1,-,    1,    4
    47,    1 349,    4,    2,-,-,    1,    1,    7,-,-,    2,    1,    4
    48,    1 404,    3,    1,    1,-,-,    1,    4,    2,-,-,-,    2
    49,    1 444,    3,-,    1,-,-,    2,    1,-,-,-,-,    1
  50岁,    1 589,    2,-,-,-,-,    2,-,-,-,-,-,-
东乡族,    95 050,    6 160,    1 985,    1 515,    1 094,    659,    907,    4 047,    1 442,    1 006,    698,    406,    495
  15-19岁,    22 212,    195,    165,    28,    2,-,-,    242,    226,    15,    1,-,-
    15,    4 417,-,-,-,-,-,-,    1,    1,-,-,-,-
    16,    4 523,    4,    3,    1,-,-,-,    7,     7,-,-,-,-
    17,    4 162,    14,    13,    1,-,-,-,    27,    27,-,-,-,-
    18,    4 821,    57,    47,    8,    2,-,-,    65,    59,    6,-,-,-
    19,    4 289,    120,    102,    18,-,-,-,    142,    132,    9,    1,-,-
  20-24岁,    23 109,    2 703,    1 478,    874,    293,    54,    4,    1 918,    1 019,    640,    204,    40,    15
    20,    5 782,    389,    316,    67,    6,-,-,    338,    274,    60,    3,-,    1
    21,    4 578,    497,    332,    138,    25,    2,-,    365,    228,    115,    20,    1,    1
    22,    4 647,    591,    355,    184,    43,    9,-,    451,    235,    170,    39,    5,    2
    23,    4 046,    607,    264,    234,    88,    21,-,    396,    170,    146,    62,    14,    4
    24,    4 056,    619,    211,    251,    131,    22,    4,    368,112,    149,    80,    20,    7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    14 660,    1 938,    302,    537,    603,    341,    155,    1 162,    175,    310,    376,    216,    85
    25,    3 708,    551,    140,    189,    158,    50,    14,    331,    86,    106,    100,    30,    9
    26,    3 359,    451,    72,    134,    150,    72,    23,    316,    50,    93,    1 17,    50,    6
    27,    3 090,    413,    53,    99,    133,    88,    40,    232,    23,    56,    82,    53,    18
    28,    2 691,    328,    27,    79,    107,    74,    41,    166,    5,    39,    47,    46,    29
    29,    1 812,    195,    10,    36,    55,    57,    37,    117,    11,    16,    30,    37,    23
  30-34岁,    7 559,    561,    29,    51,    116,    1 57,    208,    346,    16,    30,    84,    93,    123
    30,    1 854,    169,    11,    23,    49,    49,    37,    110,    6,    12,    39,    25,    28
    31,    1 312,    102,    6,    12,    21,    26,    37,    75,    2,    9,    17,    20,    27
    32,    1 432,    99,    6,    7,    20,    26,    40,    58,    4,    3,    9,    20,    22
    33,    1 422,    100,    1,    4,    19,    28,    48,    51,    3,    4,    9,    14,    21
    34,    1 539,    91,    5,    5,    7,    28,    46,    52,    1,    2,    10,    14,    25
  35-39岁,    8 826,    444,    7,    15,    60,    76,    286,    219,    2,    8,    18,    48,    143
    35,    1 853,    1 12,    5,    8,    15,    21,    63,    58,-,     2,    3,    18,    35
    36,    1 692,    91,-,    2,    10,    13,    66,    49,    1,    2,    7,    7,    32
    37,    1 770,    91,    1,    1,    1 5,    15,    59,    41,-,-,    2,    10,    29
    38,    1 775,    84,    1,    2,    11,    13,    57,    29,-,    1,    1,    9,    18
    39,    1 736,    66,-,    2,    9,    14,    41,    42,    1,    3,    5,    4,    29
  40-44岁,    8 601,    226,     2,    9,    12,    24,    179,    108,    1,    1,    10,    7,    89
    40,    1 983,    69,    1,    3,    4,    10,    51,    31,-,-,    2,    3,    26
    41,    1 559,    48,-,    3,    6,    3,    36,    22,    1,-,    4,    1,    16
    42,    1 608,    31,    1,    1,-,    4,    25,    21,-,-,    2,-,    19
    43,    1 680,    33,-,    1,-,    4,    28,    21,-,    1,     2,   2,    16
    44,    1 771,    45,-,    1,    2,    3,    39,    13,-,-,-,    1,    12
  45-49岁,    8 356,    85,     2,    1,    6,    7,    69,    47,    3,    1,    4,    2,    37
    45,    1 893,    29,-,    1,    1,-,    27,    15,    1,-,    2,    1,    11
    46,    1 665,    20,    1,-,    1,    4,    14,    11,    1,    1,-,-,    9
    47,    1 671,    16,    1,-,    3,    1,    11,    10,-,-,    1,-,    9
    48,    1 678,    10,-,-,    1,    1,    8,    5,-,-,    1,    1,    3
    49,    1 449,    10,-,-,-,    1,    9,    6,    1,-,-,-,    5
  50岁,    1 727,    8,-,-,    2,-,    6,    5,-,    1,    1,-,    3
纳西族,    76 080,    2 886,    1 200,    1 157,    356,    111,    62,    3 379,    1 630,    1 237,    350,    109,    53
  15-19岁,    16 737,    67,    60,    7,-,-,-,    120,    11 1,    8,    1,-,-
    15,    3 289,-,-,-,-,-,-,-,-,-,-,-,-
    16,    3 447,    1,    1,-,-,-,-,-,-,-,-,-,-
    17,    3 493,    1,    1,-,-,-,-,    12,    12,-,-,-,-
    18,    3 303,    19,    18,    1,-,-,-,    45,    43,    2,-,-,-
    19,    3 205,    46,    40,    6,-,-,-,    63,    56,    6,    1,-,-
  20-24岁,    16 030,    1 204,    740,    392,    65,    6,    1,    1 689,    1 081,    528,    71,    8,    1
    20,    3 354,    116,    94,    20,    2,-,-,    172,    138,    32,    2,-,-
    21,    3 662,    215,    154,    60,    1,-,-,    313,    235,    71,    7,-,-
    22,    2 964,    265,    178,    78,    8,    1,-,    352,    245,    96,    10,    1,-
    23,    2 787,    271,    159,    95,    16,    1,-,    397,    226,    150,    16,    5,-
    24,    3 263,    337,    1 55,    139,    38,    4,    1,    455,    237,    179,    36,    2,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    12 455,    1 178,    372,    569,    186,    46,    5,    1 235,    416,    568,    187,    55,    9
    25,    3 193,    333,    131,    164,    34,    4,   -,    413,    174,    178,    45,    14,    2
    26,    2 981,    329,    121,    149,    52,    7,    -,    354,    131,    163,    48,    10,    2
    27,    3 115,    294,    81,    157,    41,    14,    1,    274,    79,    133,    47,    14,    1
    28,    1 966,    153,    28,    70,    36,    16,    3,    137,    28,    60,    33,    13,    3
    29,    1 200,    69,    11,    29,    23,    5,    1,    57,    4,    34,    14,    4,    1
  30-34岁,    7 714,    292,    16,    142,    76,    41,    17,    230,    18,    101,    62,    32,    17
    30,    1 389,    74,    8,    33,    18,    13,    2,    71,    7,    28,    25,    9,    2
    31,    1 191,    50,    3,    24,    9,    7,    7,    52,    3,    26,    12,    6,    5
    32,    1701,    68,    2,    34,    19,    12,    1,    44,    2,    22,    12,    5,    3
    33,    1 669,    60,    2,    32,    17,    5,    4,    31,    1,    15,    7,    8,   -
    34,    1 764,    40,    1,    19,    13,    4,    3,    32,    5,    10,    6,    4,    7
  35-39岁,    8 411,    114,    9,    45,    24,    11,    25,    90,    4,    31,    22,    14,    19
    35,    1 907,    31,    2,    19,    5,    3,    2,    29,    2,    9,    8,    5,    5
    36,    1 831,    33,    5,    8,    10,    4,    6,    30,-,    11,    8,    5,    6
    37,    1 688,    19,-,    8,    2,    1,    8,    13,    1,    4,    2,    2,    4
    38,    1 626,    19,    2,    6,    4,    3,    4,    11,-,    4,    3,    2,   2
    39,    1 359,    12,-,    4,    3,   -,    5,    7,    1,    3,    1,-,    2
  40-44岁,    7 056,    26,    3,    1,    5,    5,    12,    14,-,    1,    6,-,    7
    40,    1 482,    12,    1,-,    3,    2,    6,    4,-,    1,    3,-,    -
    41,    1 452,    6,    1,    1,-,    2,    2,    3,-,-,    2,-,    1
    42,    1 475,    2,    1,-,-,-,    1,    4,-,-,    1,-,    3
    43,    1 361,    3,-,-,    2,-,    1,    3,-,-,-,-,    3
    44,    1 286,    3,-,-,-,    1,    2,-,-,-,-,-,-
  45-49岁,    6 404,    5,-,    1,-,    2,    2,    1,-,-,    1,-,-
    45,    131 3,    3,-,-,-,    1,    2,-,-,-,-,-,-
    46,    1 356,    1,-,    1,-,-,-,-,-,-,-,-,-
    47,    1 327,    -,-,-,-,-,-,-,-,-,-,-,-
    48,    1 272,-,-,-,-,-,-,    1,-,-,    1,-,-
    49,    1 136,    1,-,-,-,    1,-,-,-,-,-,-,-
  50岁,    1 273,-,-,-,-,-,-,-,-,-,-,-,-
景颇族,    30 304,    1 855,    554,    449,    351,    199,    302,    2 145,    596,    560,    407,    223,    359
  15-19岁,    6 971,    84,    76,    6,    2,-,-,    118,    102,    16,-,-,-
    15,    1 547,    1,    1,-,-,-,-,-,-,-,-,-,-
    16,    1 443,    2,    2,-,-,-,-,2,    2,-,-,-,-
    17,    1 411,    6,    6,-,-,-,-,    11,    11,-,-,-,-
    18,    1 331,    21,    20,    1,-,-,-,    35,    35,-,-,-,-
    19,    1 239,    54,    47,    5,    2,-,-,    70,    54,    16,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  20-24岁,    6 265,    678,    343,    224,    93,    15,    3,    783,    352,    288,    123,    17,    3
    20,    1 361,    109,    83,    23,    3,-,-,    93,    58,    30,    4,    1,-
    21,    1 311,    114,    77,    32,    4,    1,-,    162,    97,    51,    13,    1,-
    22,    1 153,    130,    67,    48,    14,    1,-,    168,    69,    71,    23,    5,-
    23,    1 244,    155,    54,    62,    33,    4,    2,    178,    62,    78,    32,    4,    2
    24,    1 196,    170,    62,    59,    39,    9,        1,    182,    66,    58,    51,    6,    1
  25-29岁,    4 674,    560,    107,    1 57,    178,    84,    34,    676,    119,    195,    190,    1 16,    56
    25,    1 008,    123,    40,    44,    24,    13,    2,    164,    40,    59,    41,    19,    5
    26,    1 059,    137,    27,    43,    48,    17,    2,    164,    42,    58,    44,    17,    3
    27,    954,    116,    23,    33,    40,    15,    5,    116,    19,    28,    33,    30,    6
    28,    866,    99,    12,    21,    38,    18,    10,    136,    12,    34,    43,    30,    17
    29,    787,    85,    5,    16,    28,    21,    15,    96,    6,    16,    29,    20,    25
  30-34岁,    4 073,    343,    25,    54,    69,    76,    1 19,    384,    21,    52,    77,    73,    161
    30,    858,    89,    9,    14,    23,    21,    22,    105,    8,    19,    25,    24,    29
    31,    926,    86,    3,    12,    16,    23,    32,    95,    7,    14,    20,    16,    38
    32,    925,    71,    6,    15,    11,    10,    29,    84,    2,    13,    19,    14,    36
    33,    740,    59,    5,    8,    11,    14,    21,    55,    2,    4,    8,    13,    28
    34,    624,    38,    2,    5,    8,    8,    15,    45,    2,    2,    5,    6,    30
  35-39岁,    2 701,    109,    2,    7,    8,    17,    75,    126,    2,    7,    10,    13,    94
    35,    602,    27,-,    4,2,    6,    15,    37,-,    5,    8,    4,    20
    36,    581,    27,-,    2,    3,    7,    15,    31,    2,    1,    1,    5,    22
    37,    520,    18,-,-,    1,    1,    16,    26,-,-,    1,    1,    24
    38,    505,18,    1,    1,    2,    3,    11,    18,-,-,-,    2,    16
    39,    493,    19,    1,-,-,-,    18,    14,-,    1,-,    1,    12
  40-44岁,    2 764,    67,    1,    1,-,    6,    59,    53,-,    1,    7,    4,    41
    40,    663,    19,-,    1,-,    2,    16,    18,-,    1,    2,-,    15
    41,    550,    21,    1,-,-,    1,    19,    13,-,-,    2,    1,    10
    42,    515,    14,-,-,-,    2,    12,    6,-,-,   2,-,    4
    43,    534,    7,-,-,-,    1,    6,    5,-,-,-,    1,    4
    44,    502,    6,-,-,-,-,    6,    11,-,-,    1,2,    8
  45-49岁,    2 387,    12,-,-,    1,-,    11,5,-,    1,-,-,    4
    45,    530,    6,-,-,-,-,    6,    3,-,-,-,-,    3
    46,444,    3,-,-,-,-,    3,    1,-,-,-,-,    1
    47,    479,    -,-,-,-,-,-,-,-,-,-,-,-
    48,    480,     2,-,-,-,-,    2,-,-,-,-,-,-
    49,    454,    1,-,-,    1,-,-,    1,-,    1,-,-,-
  50岁,    469,2,-,-,-,    1,    1,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
柯尔克孜族,    31 661,    3 077,    573,    527,    425,    364,    1 188,    2 335,    528,    394,    342,    265,    806
  15-19岁,    7 791,    81,    61,    17,    3,-,-,    120,    100,    18,     2,-,-
    15,    1 573,    2,    1,    1,-,-,-,-,-,-,-,-,-
    16,    1 587,-,-,-,-,-,-,-,-,-,-,-,-
    17,    1 472,    7,    5,    2,-,-,-,    7,    7,-,-,-,-
    18,    1 716,    15,    14,-,    1,-,-,    33,    31,    2,-,-,-
    19,    1 443,    57,    41,    14,    2,-,-,    80,    62,    16,    2,-,-
  20-24岁,    6 636,    949,    400,    333,    140,    60,    16,    787,    365,    249,    127,    30,    16
    20,    1 909,    190,    143,    37,    8,    2,    -,    176,    125,    43,    6,    1,1
    21,    1 220,    160,    82,    56,    17,    4,    1,    158,    87,    48,    21,    1,    1
    22,    1 380,    245,    94,    106,    31,    11,    3,    174,    76,    60,    30,    7,    1
    23,    1 057,    175,    55,    66,    32,    18,    4,    152,    50,    52,    37,    9,    4
    24,    1 070,    179,    26,    68,    52,    25,    8,    127,    27,    46,    33,    12,    9
  25-29岁,    4 689,    860,    92,    141,    221,    195,    211,    597,    53,    102,    155,    146,    141
    25,    1 292,    230,    40,    58,    75,    38,    19,    180,    27,    36,    64,    29,    24
    26,    1 032,    177,    20,    30,    51,    44,    32,    137,    8,    28,    38,    38,    25
    27,    954,    170,    18,    19,    41,    39,    53,    112,    12,    18,    25,    34,    23
    28,    824,    160,    12,    19,    34,    40,    55,    97,    1,    13,    18,    25,    40
    29,    587,    123,    2,    15,    20,    34,    52,    71,    5,    7,    10,    20,    29
  30-34岁,    3 217,    470,    15,    21,    45,    70,    319,    366,    8,    17,    40,    59,    242
    30,    964,    171,    8,    10,    26,    35,    92,    114,    2,    7,    16,    31,    58
    31,    511,    78,    3,    2,    5,    8,    60,    63,    -,    3,    7,    9,    44
    32,    594,    67,   -,    4,    4,    1 1,    48,    66,    2,    1,    7,    11,    45
    33,    533,    81,    1,    4,    7,    10,    59,    61,    3,    2,    6,    6,    44
    34,    615,    73,    3,        1,    3,    6,    60,    62,    1,    4,    4,    2,    51
  35-39岁,    3 324,    416,    1,    8,    10,    31,    366,    264,   2,    3,    11,    24,    224
    35,    814,    112,-,    3,    3,    10,    96,    80,-,    2,    5,    11,    62
    36,    639,    77,-,    1,    1,    12,    63,    62,    1,-,    2,    5,    54
    37,    712,    88,-,    2,    2,    4,    80,    55,-,-,    1,    4,    50
    38,    650,    86,    1,-,    3,    3,    79,    40,-,    1,-,    3,    36
    39,    509,    53,-,    2,    1,    2,    48,    27,    1,-,    3,    1,    22
  40-44岁,    2 980,    224,    3,    5,    2,    5,    209,    146,-,    3,    3,    4,    136
    40,    1 019,    87,    2,    4,-,-,    81,    62,-,2,    3,    1,    56
    41,    536,    48,    1,    1,    1,    4,    41,    30,-,-,-,    1,    29
    42,    552,    45,-,-,-,-,    45,    22,-,    1,-,    1,    20
    43,    420,    27,-,-,    1,    1,    25,    14,-,-,-,-,    14
    44,    453,    17,-,-,-,-,    17,    18,-,-,-,    1,    17
  45-49岁,    2 298,    69,    1,    2,    3,    3,    60,    53,-,    2,    4,    2,    45
    45,    623,    29,-,-,-,-,    29,    20,-,-,-,    1,    19
    46,    434,    9,-,-,    1,-,    8,    14,-,    1,    2,    1,    10
    47,    436,    10,    1,-,    1,-,    8,    10,-,-,    1,-,    9
    48,    428,    15,-,    2,    1,    2,    10,    7,-,-,    1,-,    6
    49,    377,    6,-,-,-,    1,    5,    2,-,    1,-,-,    1
  50岁,    726,    8,-,-,    1,-,    7,    2,-,-,-,-,    2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,          1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
土族,    50 919,    2 337,    898,    759,    393,    147,    140,    2 781,    1 181,    926,    413,    153,    108
  15-19岁,    12 487,    71,    69,    2,-,-,-,    177,    168,    8,    1,-,-
    15,    2 374,-,-,-,-,-,-,-,-,-,-,-,-
    16,    2 578,    1,    1,-,-,-,-,    1,    1,-,-,-,-
    17,    2 566,    2,    2,-,-,-,-,    8,    8,-,-,-,-
    18,    2 440,    14,    14,-,-,-,-,    43,    43,-,-,-,-
    19,    2 529,    54,    52,    2,-,-,-,    125,    116,    8,    1,-,-
  20-24岁,    11 860,    1 188,    674,    439,    66,    8,    1,    1 535,    840,    586,    103,    5,    1
    20,    2 565,    144,    124,    20,-,-,-,    202,    183,    18,    1,-,-
    21,    2 562,    214,    164,    45,        4,    1,-,    311,    216,    87,    7,    1,-
    22,    2 388,    256,    152,    97,        6,    1,-,    364,    212,    136,    15,-,    1
    23,    2 131,    283,    131,    130,    21,    1,-,    318,    124,    164,    30,-,-
    24,    2 214,    291,    103,    147,    35,    5,    1,    340,    105,    181,    50,    4,-
  25-29岁,    8 169,    785,    147,    278,    266,    76,    18,    848,    160,    306,    266,    85,    31
    25,    2 126,    257,    66,    114,    64,    13,     -,    287,    67,    135,    68,    15,    2
    26,    2 080,    207,    41,    77,    71,    16,    2,    255,    49,    96,    82,    23,    5
    27,    1 985,    194,    27,    62,    72,    28,    5,    166,    26,    51,    60,    20,    9
    28,    1 363,    90,    9,    18,    41,    12,    10,    103,    13,    18,    43,    21,    8
    29,    615,    37,    4,    7,    18,    7,    1,    37,    5,    6,    13,    6,    7
  30-34岁,    5 022,    171,    5,    28,    47,    45,    46,    134,    8,    19,    35,    41,    31
    30,    720,    41,     2,    7,    14,    1 1,    7,    30,    3,    5,    10,    8,    4
    31,    874,    31,    2,    5,    8,    9,    7,    36,    3,    7,    7,    8,    11
    32,    1 078,    36,    1,    9,    12,    8,    6,    26,    1,    4,    6,    10,    5
    33,    1 178,    35,-,    4,    7,    10,    14,    20,    1,    2,    4,    9,    4
    34,    1 172,    28,-,    3,    6,    7,    12,    22,-,    1,    8,    6,    7
  35-39岁,    5 140,    81,    3,    7,    11,    12,    48,    64,    5,    6,    6,    18,    29
    35,    1 103,    17,-,    3,    5,2,    7,    23,    4,-,    4,    7,    8
    36,    1 135,    26,    2,    1,    5,    6,    12,    12,-,    3,    1,    3,    5
    37,    1 031,    16,    1,    1,    1,-,    13,    8,-,    2,    -,    1,    5
    38,    1 003,    9,-,    1,-,    1,    7,    15,-,    1,    1,    7,    6
    39,    868,    13,-,    1,-,    3,    9,    6,    1,-,-,-,    5
  40-44岁,    4 082,    33,-,    5,    2,    6,    20,    18,-,-,    2,    4,    12
    40,    946,    12,-,    2,    2,    2,    6,    4,-,-,    1,    1,    2
    41,    818,    7,-,    2,-,    3,    2,    3,-,-,-,-,    3
    42,    780,    6,-,-,-,-,    6,    4,-,-,    1,-,    3
    43,    841,    2,-,-,-,-,    2,    3,-,-,-,-,    3
    44,    697,    6,-,    1,-,    1,    4,    4,-,-,-,    3,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    3 563,    8,-,-,    1,-,    7,    5,-,    1,-,-,    4
    45,    700,    3,-,-,    1,-,    2,    2,-,-,-,-,    2
    46,    760,    2,-,-,-,-,    2,-,-,-,-,-,-
    47,    716,    1,-,-,-,-,    1,    3,-,    1,-,-,    2
    48,    690,    1,-,-,-,-,    1,-,-,-,-,-,-
    49,    697,    1,-,-,-,-,    1,-,-,-,-,-,-
  50岁,    596,-,-,-,-,-,-,-,-,-,-,-,-
达斡尔族,    33 092,    1 466,    689,    463,    194,    63,    57,    1 165,    592,    349,    125,    51,    48
  15-19岁,    6 794,    30,    26,    4,-,-,-,    45,    45,-,-,-,-
    15,    1 269,-,-,-,-,-,-,-,-,-,-,-,-
    16,    1 412,-,-,-,-,-,-,-,-,-,-,-,-
    17,    1 384,-,-,-,-,-,-,    5,    5,-,-,-,-
    18,    1 388,    12,    11,    1,-,-,-,    13,    13,-,-,-,-
    19,    1 341,    18,    15,    3,-,-,-,    27,    27,-,-,-,-
  20-24岁,    6 540,    500,    356,    121,    21,    2,-,    443,    311,    116,    16,-,-
    20,    1 358,    53,    47,    6,-,-,-,    38,    32,    4,    2,-,-
    21,    1 431,    86,    67,    17,    2,-,-,    89,    69,    18,    2,-,-
    22,    1 318,    121,    91,    28,    2,-,-,    111,    77,    32,    2,-,-
    23,    1 179,    107,    69,    33,    5,-,-,    98,    68,    25,    5,-,-
