,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--19全国少数民族分年龄、性别的各行业门类人口数,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
   单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  年龄别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    年龄别,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    385 418,    315 558,    69 860,    539 754,    448 225,    91 529,  1 342 390,    718 347,    624 043,    245 887,    130 256,  115 631,    304 753,    140 917,  163 836,,,总计,    1 209 826,    774 383,    435 443,    57 543,    35 446,    22 097,    141 492,    91 860,    49 632,    928 767,    729 581,    199 186,    5 954,    4 567,    1 387
  31,    975 539,    531 498,    444 041,    745 497,    389 532,    355 965,    80 038,    47 354,    32 684,    985,    694,    291,,,  32,    14 963,    11 714,    3 249,    21 189,    17 271,    3 918,    49 165,    25 378,    23 787,    8 666,    4 706,    3 960,    11 082,    4 431,    6 651,,,  32,    39 510,    24 780,14730,    1 788,    981,    807,    4 496,    2 851,    1 645,    29 989,    22 705,    7 284,    130,    86,    44
  32,    1 225 108,    667 273,    557 835,    945 819,    494 032,    451 787,    97 025,    57 490,    39 535,    1 286,    848,    438,,,  33,    14 007,    10 851,    3 156,    19 454,    15 928,    3 526,    43 340,    21 845,    21 495,    7 827,    4 268,    3 559,    11 018,    4 592,    6 426,,,  33,    38 060,    24 179,    13 881,    1 726,    1 007,    719,    3 855,    2 509,    1 346,    28 717,    21 920,    6 797,    126,    86,    40
  33,    1 152 221,    621 554,    530 667,    893 097,    460 480,    432 617,    89 861,    53 126,    36 735,    1 133,    763,    370,,,  34,    13 260,    10 430,    2 830,    18 416,    15 211,    3 205,    40 558,    20 752,    19 806,    7 246,    3 900,    3 346,    11102,    4 791,    6 311,,,  34,    36 839,    23 551,    13 288,    1 726,    1 042,    684,    3 510,    2 400,    1 110,    28 831,    22 181,    6 650,    1 19,    84,    35
  34,    1 107 305,    596 121,    511 184,    858 486,    439 306,    419 180,    86 084,    51 626,    34 458,    1 128,    847,    281,,,35-39岁,    57 270,    45 437,    11 833,    83 435,    69 628,    13 807,    185 964,    98 039,    87 925,    31 852,    16 707,    15 145,    48 327,    22 860,    25 467,,,35-39岁,    154 324,    100 416,    53 908,    7 897,    4 670,    3 227,    13 406,    9 530,    3 876,  132 445,    104 026,    28 419,    651,    427,    224
35-39岁,    5 326 144,    2 881 361,    2 444 783,    4 191 425,    2 150 887,    2 040 538,    414 015,    254 757,    159 258,    5 133,    3 977,    1 156,,,  35,    14 087,    11 090,    2 997,    19 686,    16 288,    3 398,    43 653,    22 862,    20 791,    7 717,    4 131,    3 586,    12 349,    5 384,    6 965,,,  35,    39 086,    25 425,    13 661,    1 906,    1 090,    816,    3 515,    2 392,    1 123,    31 596,    24 493,    7 103,147,    96,    51
  35,    1 237 772,    666 619,    571 153,    970 367,    496 398,    473 969,    92 474,    56 066,    36 408,    1 189,    904,    285,,,  36,    12 523,    9 940,2 583,    18 597,    15 542,    3 055,    40 933,    21 136,    19 797,    7 005,    3 698,    3 307,    11311,    5 085,    6 226,,,  36,    34 202,    22 177,    12 025,    1 879,    1 100,    779,    3 118,    2 205,    913,    29 390,    22 919,    6 471,    152,    93,    59
  36,    1 154 611,    624 316,    530 295,    904 414,    465 054,    439 360,    89 972,    54 535,    35 437,    1 1 15,    832,    283,,,  37,    10 949,    8 724,    2 225,    16 802,    14 087,    2 715,    36 983,    19 578,    17 405,    6 139,    3 167,    2 972,    9 459,    4 567,    4 892,,,  37,    29 759,    19 457,    10 302,    1 481,    902,    579,    2 569,    1 829,    740,    26 104,    20 545,    5 559,    122,    83,    39
  37,    1 058 062,    573 539,    484 523,    833 662,    428 573,    405 089,    82 983,    51 169,    31 814,    1 050,    858,      192,,,  38,    10 551,    8 412,    2 139,    15 473,    12 898,    2 575,    34 597,    18 572,    16 025,    5 941,    3 092,    2 849,    8 425,    4 250,    4 175,,,  38,    26 895,    17 416,    9 479,    1 396,    832,    564,    2 231,    1 642,    589,    24 013,    18 966,    5 047,    126,    84,    42
  38,    1 003 479,    544 868,    458 611,    794 073,    408 932,    385 141,    78 823,    49 050,    29 773,    935,    722,    21 3,,,  39,    9 160,    7 271,    1 889,    12 877,    10 813,    2 064,    29 798,    15 891,    13 907,    5 050,    2 619,    2 431,    6 783,    3 574,    3 209,,,  39,    24 382,    15 941,    8 441,    1 235,    746,    489,    1 973,    1 462,    511,    21 342,    17 103,    4 239,    104,    71,    33
  39,    872 220,    472 019,    400 201,    688 909,    351 930,    336 979,    69 763,    43 937,    25 826,    844,    661,    183,,,40-44岁,    40 543,    33 241,    7 302,    51 536,    44 235,    7 301,    128 104,    72 124,    55 980,    20 699,    11 106,    9 593,    31 619,    17 252,    14 367,,,40-44岁,    122 962,    81 117,    41 845,    5 414,    3 274,    2 140,    9 337,    7 309,    2 028,    104 391,    85 930,    18 461,    415,    307,    108
40-44岁,    4 127 704,    2 250 143,    1 877 561,    3 325 134,    1 705 119,    1 620 015,    283 398,    185 621,    97 777,    4 1 52,    3 508,    644,,,  40,    10 558,    8 556,    2 002,    13 988,    11 898,    2 090,    34 744,    19 621,    15 123,    5 610,    3 023,    2 587,    7 984,    4 372,    3 612,,,  40,    30 768,    20 571,    10 197,    1 254,    801,    453,    2 370,    1 873,    497,    26 400,    21 700,    4 700,    131,    93,    38
  40,    1 061 213,    579 478,    481 735,    849 907,    436 399,    413 508,    76 501,    49 757,    26 744,    998,    814,    184,,,  41,    8 110,    6 539,    1 571,    10 801,    9 171,    1 630,    26 047,    14 358,    11 689,    4 276,    2 248,    2 028,    6 366,    3 473,    2 893,,,  41,    24 754,    16 296,    8 458,    1 103,    647,    456,    1 828,    1 442,    386,    20 744,    16 931,3 813,    88,    65,    23
  41,    830 367,    454 358,    376 009,    666 298,    344 307,    321 991,    59 128,    38 171,    20 957,    824,    710,    114,,,  42,    7 647,    6 276,    1 371,    9 512,    8 190,    1 322,    23 726,    13 421,    10 305,    3 767,    2 066,    1 701,    6 016,    3 244,    2 772,,,  42,    23 717,    15 658,    8 059,    969,    595,    374,    1 809,    1 359,    450,    19 944,    16 409,    3 535,    70,    50,    20
