表3-20全国各民族分职业大类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, 单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,    Ⅶ、生产工人、运输,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,    Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    工人和有关人员,,,    Ⅷ、不便分类的其他劳动者,,
  民族别,,,,,,,    企事业单位负责人,,,,,,,,,,,    民族别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,647 244 706, 356 230 253, 291 014 453,  34 393 821,  18 829 927, 15 563 894, 11 328 317, 10 024 495, 1 303 822, 11 275 891, 8 382 217, 2 893 674, 19 472 273, 10 385 995, 9 086 278,,,总计,  15 511 513,    7 502 533,    8 008 980,  456 819 731, 237 806 378,  219 013 353,  98 125 481,  63 1 15 886,  35 009 595,    317 679,    182 822,    134 857
撒拉族,    43 698,    22 690,    21 008,    1 506,    1 258,    248,    370,    352,    18,    395,    319,    76,    496,    333,    163,,,,,,,,,,,,,,,
毛南族,    36 908,    19 366,    17 542,    1 872,    1 177,    695,    515,    476,    39,    564,    471,    93,    558,    230,    328,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
仡佬族,    243 903,    132 601,    111 302,    7 363,    5 132,    2 231,  2 158,    2 033,    125,    2 034,    1 645,    389,    2 138,    972,    1 166,,,撒拉族,    522,    311,    211,    38 945,    18 859,    20 086,    1 462,    1 257,    205,    2,    1,    1
锡伯族,    84 811,    49 498,    35 313,    9 384,    4 273,    5 111,  2 981,    2 578,    403,    2 351,    1 584,    767,    2 936,    1 487,    1 449,,,毛南族,    331,    97,    234,    31 133,    15 614,    15 519,    1 932,    1 299,    633,    3,    2,    1
阿昌族,    13 735,    7 051,    6 684,    351,    247,    104,    113,    104,    9,    108,    93,    15,    80,    47,    33,,,仡佬族,    1 199,    501,    698,    223 592,    118 126,    105 466,    5412,    4 188,    1 224,    7,    4,    3
普米族,    16 040,    8 029,    8 011,    516,    402,    114,    211,    205,    6,    185,    165,    20,    113,    61,    52,,,锡伯族,    2 292,    1 064,    1 228,    50 056,    28 600,    21 456,    14 724,    9 869,    4 855,    87,    43,    44
塔吉克族,    13 874,    8 048,    5 826,    833,    651,    182,    354,    337,    17,    317,    277,    40,    78,    72,    6,,,阿昌族,    49,    25,    24,    12 752,    6 296,    6 456,    282,    239,    43,   -,   -,     -
怒族,    14 121,    7 247,    6 874,    463,    281,    182,    143,    134,    9,    173,    154,    19,    84,    35,    49,,,普米族,    83,    28,    55,    14 565,    6 845,    7 720,    366,    323,    43,    1,    -,        1
乌孜别克族,    5 364,    3 575,    1 789,    988,    460,    528,    173,    152,    21,    211,    145,    66,    681,    542,    139,,,塔吉克族,    146,    99,    47,    11 879,    6 372,    5 507,    264,    237,    27,    3,    3,     -
俄罗斯族,    5 711,    3 031,    2 680,    1 184,    325,    859,    242,    180,    62,    379,    201,    178,    370,    119,    251,,,怒族,    73,    31,    42,    12 891,    6 355,    6 536,    294,    257,    37,    -,  -,      -
鄂温克族,    9 572,    5 882,    3 690,    1 632,    573,    1 059,    476,    373,    103,    664,    454,    210,    372,    156,    216,,,乌孜别克族,    326,    229,    97,    1 804,    1 211,    593,    1 179,    834,    345,    2,    2,    -
德昂族,    7 666,    4 004,    3 662,    139,    99,    40,    34,    33,    1,    49,    40,    9,    21,    9,    12,,,俄罗斯族,    474,    165,    309,    921,    587,    334,    2 119,    1 445,    674,    22,    9,    13
保安族,    6 863,    3 579,    3 284,    158,    105,    53,    88,    83,    5,    76,    62,    14,    90,    57,    33,,,鄂温克族,    390,    209,    181,    5 022,    3 361,    1 661,    965,    720,    245,    51,    36,    15
裕固族,    6 672,    3 501,    3 171,    343,    198,    145,    253,    241,    12,    180,    127,    53,    104,    55,    49,,,德昂族,    16,    4,    12,    7 310,    3 745,    3 565,    97,    74,    23,    -, -,  -
京族,    9 353,    4 427,    4 926,    568,    321,    247,    186,    167,    19,    244,    201,    43,    545,    203,    342,,,保安族,    49,    31,    18,    6 096,    2 969,    3 127,    306,    272,    34,    -, -,  -
塔塔尔族,    1 955,    1 208,    747,    425,    202,    223,    93,    81,    12,    86,    57,    29,    83,    38,    45,,,裕固族,    119,    42,    77,    5 345,    2 601,    2 744,    325,    235,    90,    3,    2,    1
独龙族,    2 881,    1 371,    1 510,    147,    93,    54,    31,    30,    1,    39,    33,    6,    27,    9,    18,,,京族,    264,    73,    191,    6 695,    2 964,      3 731,    849,    497,    352,    2,    1,    1
鄂伦春族,    2 494,    1 451,    1 043,    468,    146,    322,    180,    120,    60,    235,    162,    73,    124,    39,    85,,,塔塔尔族,    84,    47,    37,    891,    574,    317,    290,    207,    83,    3,    2,    1
赫哲族,    1 768,    1 052,    716,    318,    119,    199,    122,    98,    24,    124,    69,    55,    90,    36,    54,,,独龙族,    20,    7,    13,    2 536,    1 134,    1 402,    81,    65,    16,   -,    -,    -
门巴族,    3 567,    1 846,    1 721,    142,    65,    77,    82,    69,    13,    68,    42,    26,    12,    3,    9,,,鄂伦春族,    141,    62,    79,    957,    660,    297,    380,    259,    121,    9,    3,    6
珞巴族,    1 229,    622,    607,    45,    17,    28,    26,    19,    7,    23,    18,    5,    4,     2,    2,,,赫哲族,    78,    27,    51,    717,    484,    233,    314,    215,    99,    5,    4,    1
基诺族,    9 328,    4 878,    4 450,    334,    213,    121,    89,    81,    8,    126,    106,    20,    115,    41,    74,,,门巴族,    37,    22,    15,    3 152,    1 589,    1 563,    74,    56,    18,    -,  -,  -
其他未识别的民族,    398 221,    207 515,    190 706,    7 338,    5 652,    1 686,    1 834,    1 721,    113,    1 962,    1 697,    265,    2 213,    1 114,    1 099,,,珞巴族,    12,    6,    6,    1 095,    540,    555,    24,    20,    4,    -,    -,    -
外国人加入中国籍,    1 138,    470,    668,    136,    39,    97,    35,    23,    12,    22,    10,    12,    66,    17,    49,,,基诺族,    118,    39,    79,    8 250,    4 190,    4 060,    296,    208,    88,     -,    -,   -
,,,,,,,,,,,,,,,,,,其他未识别的民族,    1 035,    568,    467,    376 547,    190 690,    185 857,    7 270,    6 054,    1 216,    22,    19,    3
,,,,,,,,,,,,,,,,,,外国人加入中国籍,    59,    27,    32,    655,    253,    402,    162,    100,    62,    3,    1,    2
