,,,,,,,,,,,,,,,,,,,,,
表3--30全国各民族按活产子女数分的1 5-64岁妇女人数,,,,,,,,,,,,,,,表3--30全国各民族按活产子女数分的15-64岁妇女人数(续02),,,,,,
彝族,    1 945 646,    593 606,    195 623,    283 013,    214 940,    177 854,    147 169,    119 593,    85 703,    59 722,    35 552,    18 573,,,壮族,    2 470,    1 074,    250,    85,    39,    2.37
壮族,    4 648 214,    1 441 459,    464 695,    721 049,    635 171,    538 637,    391 726,    243 687,    123 968,    55 126,    20 873,    7 905,,,布依族,    1 159,    622,    187,    55,    34,    2.44
布依族,    766 325,    259 662,    74 445,    88 520,    100 297,    85 804,    64 312,    42 937,    24 716,    13 864,    6 611,    3 100,,,朝鲜族,    211,    84,    20,    4,    5,    1.86
朝鲜族,    684 087,    169 813,    159 441,    172 170,    76 493,    47 158,    28 823,    15 869,    7 911,    3 825,    1 550,    710,,,满族,    2 058,    973,    271,    80,    35,    1.80
满族,    3 042 785,    877 177,    727 672,    694 726,    280 391,    170 563,    114 137,    79 599,    48 260,    27 520,    13 133,    6 190,,,侗族,    914,    476,    179,    65,    25,    2.28
侗族,    745 757,    238 367,    82 223,    118 207,    106 351,    78 641,    52 545,    32 847,    17 962,    9 942,    4 639,    2 374,,,瑶族,    995,    505,    138,    47,    18,    2.42
瑶族,    599 546,    179 553,    66 489,    99 906,    81 868,    60 926,    43 877,    29 222,    17 897,    10 162,    5 365,    2 578,,,白族,    780,    328,    101,    37,    18,    2.35
白族,    490 170,    156 222,    52 682,    83 620,    63 670,    45 549,    33 569,    23 405,    14 929,    8 702,    4 375,    2 183,,,土家族,    2 814,    1 471,    503,    152,    74,    2.20
土家族,  1 758 262,    590 472,    213 205,    305 503,    213 911,    151 836,    107 711,    74 461,    45 989,    27 694,    15 188,    7 278,,,哈尼族,    1 918,    1 274,    363,    107,    51,    2.94
哈尼族,    363 270,    94 485,    41 813,    52 675,    44 648,    34 939,    27 201,    22 325,    16 514,    12 530,    7 986,    4 441,,,哈萨克族,    3 881,    2 231,    1 017,    453,    305,    2.95
哈萨克族,    294 497,    121 338,    21 918,    22 073,    20 059,    18 867,    18 691,    17 744,    16 014,    13 289,    9 805,    6 812,,,傣族,    1 120,    664,    215,    72,    40,    2.54
傣族,    317 354,    83 815,    36 497,    65 176,    45 166,    28 066,    18 927,    13 902,    9 855,    6 929,    4 308,    2 602,,,黎族,    681,    293,    94,    17,    20,    2.64
黎族,    312 790,    98 182,    31 678,    34 509,    41 326,    33 496,    26 044,    20 249,    13 287,    7 595,    3 676,    1 643,,,傈僳族,    928,    507,    180,    47,    16,    2.93
傈僳族,    165 839,    44 199,    17 130,    24 558,    21 084,    16 067,    12 332,    9 920,    7 482,    5 721,    3 565,    2 103,,,佤族,    901,    506,    154,    60,    40,    3.17
佤族,    101 483,    27 045,    10 680,    11 374,    12 226,    10 321,    7 816,    6 509,    5 120,    3 967,    2 941,    1 823,,,畲族,    175,    54,    13,    5,    1,    2.21
畲族,    179 274,    53 198,    24 173,    33 407,    25 430,    16 773,    11 051,    7 194,    4 100,    2 229,    1 020,    451,,,高山族,    1,   -,     -,  -,   -,    1.42
高山族,    951,    329,    300,    163,    62,    26,    28,    21,    12,    5,    2,    2,,,拉祜族,    643,    337,    111,    25,    14,    3.10
拉祜族,    118 614,    27 939,    13 372,    15 193,    16 469,    12 455,    9 840,    7 795,    5 718,    4 321,    2 671,    1 711,,,水族,    233,    132,    33,    9,    7,    2.60
水族,    98 798,    32 375,    10 427,    11 209,    11 213,    10 230,    8 300,    6 249,    3 967,    2 418,    1 337,    659,,,东乡族,    563,    322,    168,    56,    31,    2.74
东乡族,    108 360,    34 027,    1 1 585,    12 516,    12 545,    10 848,    8 568,    6 640,    4 530,    2 963,    1 824,    1 174,,,纳西族,    68,    29,    7,    1,-,    2.18
纳西族,    90 659,    28 466,    10 038,    19 000,    12 229,    7 916,    5 206,    3 489,    2 152,    1 184,    598,    276,,,景颇族,      287,    212,    71,    26,    7,    2.96
景颇族,    34 569,    10 698,    3 731,    3 902,    3 630,    2 986,    2 456,    2 069,    1 713,    1 309,    863,      609,,,柯尔克孜族,    537,    357,    196,    85,    84,    3.39
柯尔克孜族,    36 328,    10 947,    3 552,    3 579,    3 122,    2 942,    2 579,    2 284,    2 046,    1 757,    1 291,    970,,,土族,    240,    178,    57,    20,    16,    2.57
土族,    57 667,    18 244,    6 391,    8 262,    7 085,    5 368,    3 914,    2 980,    2 067,    1 428,    842,    575,,,达斡尔族,    64,    31,    10,    5,    4,    2.05
达斡尔族,    37 105,    12 072,    6 229,    7 072,    4 036,    2 648,    1 754,    1 262,    844,    579,    295,    200,,,仫佬族,    15,    3,    1,    1,-,    2.17
仫佬族,    45 231,    14 701,    4 911,    7 754,    6 030,    5 021,    3 527,    1 942,    849,    322,    104,    50,,,羌族,    114,    56,    18,    9,    3,    2.37
羌族,    60 424,    20 165,    7 154,    9 154,    6 450,    5 513,    4 216,    3 289,    2 131,    1 265,    613,    274,,,布朗族,    168,    74,    17,    10,    2,    2.99
布朗族,    22 953,    6 683,    2 260,    2 833,    2 607,    2 1 53,    1 715,    1 428,    1 164,    928,    601,    310,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
表3--30全国各民族按活产子女数分的15-64岁妇女人数(续01),,,,,,,,,,,,,,,表3--30全国各民族按活产子女数分的15-64岁妇女人数(续03),,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,  活产,  活产,  活产,  活产,  活产15,  平均每个
,    15-64,    没有,  活产,  活产,  活产,  活产,  活产,  活产,  活产,  活产,  活产,  活产,,,    民族别,,,,,  个及15,  妇女活产
    民族别,    岁妇女,    活产,,,,,,,,,,,,,,  11个,  12个,  13个,  14个,  个以上,  子女数
,    人数,    子女,  1个,  2个,  3个,  4个,  5个,  6个,  7个,  8个,  9个,  10个,,,撒拉族,    197,    110,    41,    12,    10,    2.99
撒拉族,    23 849,    7 478,    2 800,    2 507,    2 152,    1 875,    1 749,    1 559,    1 239,    1 024,    680,    416,,,毛南族,    23,    8,    4,    1,-,    2.34
毛南族,    20 167,    6 638,    1 997,    3 367,    2 432,    1 970,    1 520,    1 036,    616,    331,    148,    76,,,仡佬族,    311,    211,    68,    16,    8,    2.41
仡佬族,    123 449,    48 597,    11 062,    12 788,    12 779,    11061,    8 706,    6 944,    4 896,    3 248,    1 816,    938,,,锡伯族,    58,    18,    14,    7,    3,    1.64
锡伯族,    50 391,    17 179,    11 894,    10 330,    4 058,    2 646,    1 700,    1 120,    638,    407,    193,    126,,,阿昌族,    25,    14,    4,-,-,    2.72
阿昌族,    7 711,    2 523,    722,    873,    871,    731,    679,    487,    336,    253,    119,    74,,,普米族,    24,    5,    2,-,-,    2.53
普米族,    8 783,    2 953,    874,    1 064,    1 021,    899,    701,    509,    363,    212,    103,    53,,,塔吉克族,    97,    57,    10,    13,    5,    3.28
塔吉克族,    8 574,    2 653,    765,    771,    761,    775,    681,    589,    516,    384,    300,    197,,,怒族,    36,    17,    4,    1,-,    2.96
怒族,    7 300,    2 095,    757,    873,    847,    703,    560,    468,    408,    264,    171,    96,,,乌孜别克族,    26,    26,    10,    7,    4,    2.47
乌孜别克族,    4 047,    1 737,    388,    383,    321,    271,    241,    205,      155,    122,    94,    57,,,俄罗斯族,    9,    6,    1,-,-,    1.75
俄罗斯族,    4 797,    1 677,    1 095,    820,    430,    246,    213,    122,    78,    54,    28,    18,,,鄂温克族,    18,    12,    3,    2,    2,    1.97
鄂温克族,    7 630,    2 827,    1 120,    1 324,    820,    528,    339,    246,    160,    118,    59,    52,,,德昂族,    47,    19,    8,    4,-,    3.07
德昂族,    4 171,    1 139,    424,    504,    544,    417,    295,    243,    193,    166,    105,    63,,,保安族,    14,    6,    5,-,-,    2.51
保安族,    3 652,    1 111,    389,    531,    563,    368,    241,    161,    112,    76,    49,    26,,,裕固族,    7,    3,    1,    1,-,    2.12
裕固族,    3 970,    1 548,    389,    572,    496,    337,    234,    149,    105,    67,    38,    23,,,京族,    3,    8,    3,    1,    1,    2.33
京族,    6 044,    1 559,    742,    1 341,    869,    645,    402,    217,    135,    79,    28,    11,,,塔塔尔族,    15,    7,    4,    2,-,    2.34
塔塔尔族,    1 397,    662,    120,    141,    90,    71,    67,    63,    49,    48,    35,    23,,,独龙族,    6,    3,    1,    1,-,    2.81
独龙族,    1 633,    470,    219,    204,    160,    158,    110,    112,    78,    59,    37,    15,,,鄂伦春族,    7,    1,    1,    2,-,    1.75
鄂伦春族,    2 139,    728,    438,    432,    214,    127,    76,    50,    31,    21,    8,    3,,,赫哲族,    -,    1,-,-,-,    1.64
赫哲族,    1 218,    384,    310,    270,    99,    56,    31,    36,    17,    5,    6,    3,,,门巴族,    25,    21,    12,    2,-,    3.22
门巴族,    2 046,    601,    202,    245,    202,    165,    156,    122,    89,    82,    82,    40,,,珞巴族,    2,    5,    4,-,-,    2.56
珞巴族,    688,    232,    108,    77,    80,    43,    33,    33,    23,    18,    18,    12,,,基诺族,    20,    11,    4,    1,-,    2.58
基诺族,    5 488,    1 405,    640,    999,    947,    536,    309,    194,    167,    119,    84,    52,,,其他未识别的民族,    761,    410,    159,    47,    20,    2.84
其他未识别的民族,    206 142,    65 951,    18 890,    18 406,    24 510,    22 224,    18 230,    14 446,    10 033,    6 600,    3 628,    1 827,,,外国人加入中国籍,    8,    6,    2,    1,-,    3.53
外国人加入中国籍,    1 392,    217,    149,    193,    165,    172,    169,    138,    83,    62,    20,    7,,,,,,,,,
