,,,,,,,,,,,,,,,,
表3--32全国各民族的死亡人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年上半年,,,,    1989年下半年,,,,   1990年上半年,,,
    民族别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,  性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比
京族,    139,    48,    91,    52.75,    42,    10,    32,    31.25,    41,    13,    28,  46.43,    56,    25,    31,    80.65
塔塔尔族,    40,    25,    15,  166.67,    11,    7,    4,  175.00,    15,    12,    3,  400.00,    14,    6,    8,    75.00
独龙族,    101,    53,    48,  110.42,    29,    11,    18,    61.11,    32,    19,    13,  146.15,    40,    23,    17,  135.29
鄂伦春族,    79,    51,    28,  182.14,    27,    20,    7,  285.71,    28,    17,    11,  154.55,    24,    14,    10,  140.00
赫哲族,    25,    12,    13,  92.31,    6,    4,    2,  200.00,    11,    6,    5,  120.00,    8,    2,    6,    33.33
门巴族,    120,    60,    60,  100.00,    28,    15,    13,  115.38,    56,    25,    31,    80.65,    36,    20,    16,  125.00
珞巴族,        40,    20,    20,  100.00,    6,    2,    4,    50.00,    20,    9,    11,    81.82,    14,    9,    5,  180.00
基诺族,    195,    109,    86,  126.74,    52,    31,    21,  147.62,    72,    44,    28,  157.14,    71,    34,    37,    91.89
其他未识别的民族,    6 612,    3 492,    3 120,  111.92,    2 003,    1 068,    935,  114.22,    2 334,    1 248,    1 086,  114.92,    2 275,    1 176,    1 099,  107.01
外国人加入中国籍,    111,    13,    98,  13.27,    35,    5,    30,    16.67,    36,    2,    34,    5.88,    40,    6,    34,    17.65
