表3-8全国县各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  51,    6 228 627,    3 325 531,    2 903 096,    5 695 745,    3 047 962,    2 647 783,    23 523,    12 391,    11 132,    33 767,    17 570,    16 197
  52,    6 450 801,    3 451 783,    2 999 018,    5 898 881,    3 162 948,    2 735 933,    22 888,    12 141,    10 747,    36 175,    19 011,    17 164
  53,    6 371 611,    3 369 525,    3 002 086,    5 850 527,    3 099 421,    2 751 106,    22 151,    11 608,    10 543,    33 839,    17 565,    16 274
  54,    6 385 575,    3 349 328,    3 036 247,    5 881 082,    3 090 503,    2 790 579,      21 724,11 440,    10 284,    32 124,    16 613,    15 511
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
 表3-8单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
55-59岁,    29 689 475,    15 398 825,    14 290 650,    27 365 879,    14 209 175,    13 156 704,    92 431,    48 459,    43 972,    149 221,    76 928,    72 293
  55,    6 192 449,    3 218 841,    2 973 608,    5 678 662,    2 957 272,    2 721 390,    20 885,    10 915,    9 970,    31 411,    16 172,    15 239
  56,    6 227 979,    3 246 917,    2 981 062,    5 751 352,    3 001 684,    2 749 668,    20 749,    10 771,    9 978,    31 452,    16 241,    15 211
  57,    6 145 079,    3 198 042,    2 947 037,    5 680 045,    2 957 379,    2 722 666,    18 779,    9 869,    8 910,    30 131,    15 611,    14 520
  58,    5 628 546,    2 900 941,    2 727 605,    5 190 113,    2 677 723,    2 512 390,    16 277,    8 627,    7 650,    27 182,    14 032,    13 150
  59,    5 495 422,    2 834 084,    2 661 338,    5 065 707,    2 615 117,    2 450 590,    15 741,    8 277,    7 464,    29 045,    14 872,    14 173
60—64岁,    24 959 567,    12 693 847,    12 265 720,    23 062 035,11 735 491,  11 326 544,    76 629,    40 346,    36 283,    116 183,    59 491,    56 692
  60,    5 599 783,    2 869 849,    2 729 934,    5 105 905,    2 621 592,    2 484 313,    16 768,    8 805,    7 963,    27 756,    14 188,    13 568
  61,    5 091 100,    2 590 620,    2 500 480,    4 716 416,    2 401 028,    2 315 388,    15 226,    8 033,    7 193,    22 129,    11 411,    10 718
  62,    5 203 623,    2 651 938,    2 551 685,    4 816 413,    2 455 207,    2 361 206,    16 313,    8 586,    7 727,    23 996,    12 228,    11 768
  63,    4 615 897,    2 344 632,    2 271 265,    4 281 552,2 174 956,    2 106 596,    14 343,    7 612,    6 731,    21 129,    10 790,    10 339
  64,    4 449 164,    2 236 808,    2 212 356,    4 141 749,    2 082 708,    2 059 041,    13 979,    7 310,    6 669,    21 173,    10 874,    10 299
65—69岁,    19 934 497,    9 695 878,    10 238 619,    18 505 250,    8 995 194,    9 510 056,    56 987,    30 368,    26 619,    89 875,    44 117,    45 758
  65,    4 667 520,    2 291 403,    2 376 1 17,    4 324 447,    2 123 020,    2 201 427,    13 077,    6 848,    6 229,    22 053,    10 673,    11 380
  66,    4 312 906,    2 113 678,    2 199 228,    4 011 969,    1 964 896,    2 047 073,    11 674,    6 219,    5 455,    18 346,    9 103,    9 243
  67,    3 775 535,    1 838 587,    1 936 948,    3 506 838,    1 706 542,    1 800 296,    11 303,    6 038,    5 265,    17 239,    8 471,    8 768
  68,    3 690 254,    1 785 202,    1 905 052,    3 422 902,    1 654 158,    1 768 744,    11 078,    5 941,    5 137,    16 726,    8 259,    8 467
  69,    3 488 282,    1 667 008,    1 821 274,    3 239 094,    1 546 578,    1 692 516,    9 855,    5 322,    4 533,    15 511,    7 611,    7 900
70—74岁,    13 857 267,    6 368 641,    7 488 626,    12 843 177,    5 888 033,    6 955 144,    33 842,    18 333,    15 509,    65 973,    31 900,    34 073
  70,    3 426 795,    1 609 098,    1 817 697,    3 151 875,    1 477 520,    1 674 355,    9 191,    5 013,    4 178,    16 224,    7 823,    8 401
  71,    2 854 719,    1 322 956,    1 531 763,    2 654 208,    1 227 524,    1 426 684,    6 626,    3 525,    3 101,    13 530,    6 504,    7 026
  72,    2 703 080,    1 243 124,    1 459 956,    2 508 682,    1 150 465,    1 358 217,    6 431,    3 544,    2 887,    13 249,    6 473,    6 776
  73,    2 536 970,    1 152 313,    1 384 657,    2 358 624,    1 068 312,    1 290 312,    6 062,    3 265,    2 797,    11 800,    5 708,    6 092
  74,    2 335 703,    1 041 150,    1 294 553,    2 169 788,    964 212,    1 205 576,    5 532,    2 986,    2 546,    11 170,    5 392,    5 778
75—79岁,    8 334 655,    3 569 671,    4 764 984,    7 712 315,    3 284 631,    4 427 684,    20 462,    10 575,    9 887,    40 228,    19 262,    20 966
  75,    2 103 738,    926 452,    1 177 286,    1 941 363,    850 541,    1 090 822,    5 071,    2 564,    2 507,    10 025,    4 782,    5 243
  76,    1 995 034,    869 275,    1 125 759,    1 853 997,    803 539,    1 050 458,    5 011,    2 713,    2 298,    9 633,    4 671,    4 962
  77,    1 614 529,    688 917,    925 612,    1 495 654,    634 627,    861 027,    3 882,    2 001,    1 881,    8 057,    3 850,    4 207
  78,    1 402 520,    587 762,    814 758,    1 293 130,    538 522,    754 608,    3 508,    1 777,    1 731,    6 778,    3 252,    3 526
  79,    1 218 834,    497 265,    721 569,    1 128 171,    457 402,    670 769,    2 990,    1 520,    1 470,    5 735,    2 707,    3 028
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
  全国县各民族分年龄、性别的人口数(第二种口径)(续03),,,,,,,,,,,,
 表3-8单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
80-84岁,    4 051 841,    1 515 407,    2 536 434,    3 748 884,    1 386 200,    2 362 684,    8 368,    4 086,    4 282,    20 645,    9 345,    11 300
  80,    1 138 813,    447 831,    690 982,    1 041 233,    404 814,    636 419,    2 515,    1 246,    1 269,    6 050,    2 775,    3 275
  81,    938 181,    357 369,    580 812,    873 065,    329 586,    543 479,    1 869,    913,    956,    4 490,    2 042,    2 448
  82,    778 798,    288 951,    489 847,    723 140,    265 411,    457 729,    1 579,    786,    793,    3 870,    1 741,    2 129
  83,    642 109,    229 800,    412 309,    596 655,    211 025,    385 630,    1 335,    626,    709,    3 291,    1 474,    1 817
  84,    553 940,    191 456,    362 484,    514 791,    175 364,    339 427,    1 070,    515,    555,    2 944,    1 313,    1 631
85—89岁,    1 404 658,    450 049,    954 609,    1 301 060,    408 355,    892 705,    2 227,    1 016,    1 211,    7 470,    3 287,    4 183
  85,    442 532,    148 500,    294 032,    408 737,    134 377,    274 360,    690,    329,    361,    2 233,    998,    1 235
  86,    346 734,    112 633,    234 101,    321 961,    102 731,    219 230,    565,    255,    310,    1 765,    786,    979
  87,    266 339,    84 145,    182 194,    247 273,    76 665,    170 608,    458,    206,    252,    1 395,    601,    794
  88,    201 308,    61 435,    139 873,    186 437,    55 552,    130 885,    305,    137,    168,    1 203,    519,    684
  89,    147 745,    43 336,    104 409,    136 652,    39 030,    97 622,    209,    89,    120,    874,    383,    491
90-94岁,    249 096,    67 952,    181 144,    225 616,    57 868,    167 748,    294,    125,    169,    1 491,    621,    870
  90,    100 333,    29 053,    71 280,    88 711,    23 888,    64 823,    129,    55,    74,    640,    285,    355
  91,    56 456,    15 325,    41 131,    52 438,    13 745,    38 693,    70,    30,    40,    295,    126,    169
  92,    42 668,    11 132,    31 536,    39 322,    9 739,    29 583,    51,    20,    31,    234,    87,    147
  93,    29 290,    7 449,    21 841,    26 849,    6 404,    20 445,    31,    13,    18,    172,    59,    113
  94,    20 349,    4 993,    15 356,    18 296,    4 092,    14 204,    13,    7,    6,    150,    64,    86
95—99岁,    41 099,    10 722,    30 377,    33 192,    6 912,    26 280,    27,    11,    16,    365,    148,    217
  95,    15 223,    3 978,    11 245,    12 657,    2 725,    9 932,    12,    3,    9,    102,    42,    60
  96,    9 952,    2 482,    7 470,    8 359,    1 712,    6 647,    10,    6,    4,    88,    39,    49
  97,    6 832,    1 744,    5 088,    5 584,    1 158,    4 426,    2,-,    2,    51,    15,    36
  98,    5 442,    1 521,    3 921,    3 975,    800,    3 175,    2,    1,    1,    80,    36,    44
  99,    3 650,    997,    2 653,    2 617,    517,    2 100,    1,    1,-,    44,    16,    28
100岁及以上,    4 938,    1 178,    3 760,    3 467,    589,    2 878,    2,    1,    1,    99,    39,    60
