表3-18全国各民族的行业门类人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业、,,,Ⅶ、房地产管理、公用事业、,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  民族别,,,,,,,      物资供销和仓储业,,,    居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    民族别,,,,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,,,,总计,15 102 055,  8 846 725,  6 255 330,  1 450 491,    914 083,  536 408, 2 132 142, 1 289 832,  842 310,12 952 647,10 019 017, 2 933 630,  115 991,  82 566, 33 425
傣族,    568 245,    291 184,    277 061,    531 354,    267 659,    263 695,    8 231,    5 232,    2 999,    58,    42,      16,,,傣族,    862,    662,    200,    3 444,    3 092,    352,    6 125,    2 730,    3 395,    840,    304,    536,    1 684,    710,    974,,,黎族,    10 254,    7 153,    3 101,    1 305,    684,    621,    1 257,    862,    395,    8 900,    6 799,    2 101,    28,    25,    3
黎族,    554 805,    285 485,    269 320,    509 148,    257 278,    251 870,    8 295,    4 700,    3 595,    69,    61,    8,,,黎族,    720,    509,    211,    2 570,    2 001,    569,    8 608,    3 903,    4 705,    1 282,    536,    746,    2 369,    974,    1 395,,,傈僳族,    2 926,    2 328,    598,    59,    38,    21,    361,    316,    45,    2 667,    2 267,    400,    4,    1,    3
傈僳族,    325 953,    166 140,    1 59 813,    313 901,    156 663,    157 238,    2 067,    1 640,    427,    47,    41,    6,,,傈僳族,    303,    246,    57,    1 222,    1 111,    111,    1 583,    1 051,    532,    157,    76,    81,    656,    362,    294,,,佤族,    2 062,    1 514,    548,    28,    19,    9,    227,    198,    29,    1 862,    1 583,    279,  -,     -,    -
佤族,    194 586,    98 787,    95 799,    185 034,    91 621,    93 413,    2 406,    1 740,    666,    13,    13,    -,,,佤族,    365,    309,    56,    907,    840,    67,    1 202,    691,    51 1,    127,    54,    73,    353,    205,    148,,,畲族,    6 202,    4 141,    2 061,    136,    107,    29,    580,    415,    165,    4 297,    3 627,    670,    11,      7,    4
畲族,    318 936,    203 844,    115 092,    271 938,    170 458,    101 480,    18 999,    12 365,    6 634,    93,    78,    15,,,畲族,    4 326,    4 108,    218,    2 969,    2 717,    252,    6 117,    3 780,    2 337,    1 668,    1 065,    603,    1 600,    976,    624,,,高山族,    91,    42,    49,    10,    6,    4,    10,    4,    6,    117,    79,    38,     -,    -, -
高山族,    1 445,    734,    711,    477,    207,    270,    385,    210,    175,    5,    3,2,,,高山族,    33,    26,    7,    50,    32,    18,    178,    85,    93,    35,    17,    18,    54,    23,    31,,,拉祜族,    1 574,    921,    653,    40,    21,    19,    183,    127,    56,    1 426,    1 126,    300,    1,    1,    -
拉祜族,    233 149,    120 442,    112 707,    225 218,    115 391,    109 827,    1 821,    1 157,    664,    12,        11,    1,,,拉祜族,    359,    264,    95,    768,    637,    131,    1 201,    555,    646,    139,    34,    105,    407,    197,    210,,,水族,    2 484,    1 870,    614,    54,    42,    12,    249,    166,      83,    2 054,    1 689,    365,    -,   -,    -
水族,    189 469,    96 433,    93 036,    177 563,    87 918,    89 645,    3 357,    2 352,    1 005,    29,    22,    7,,,水族,    427,    356,    71,    823,682,    141,    1 654,    889,    765,    248,    137,    111,    527,    310,    217,,,东乡族,    1 650,    1 398,    252,    15,    12,    3,    164,    133,    31,    1 380,    1 207,    173,    4,    4,   -
东乡族,    208 206,    109 491,    98 715,    200 981,    103 439,    97 542,    1 138,    889,      249,    26,    26,    -,,,东乡族,    446,    423,    23,    355,    343,    12,    1 668,    1 351,    317,    130,    98,    32,    249,    168,    81,,,纳西族,    4 793,    3 208,    1 585,    310,    228,    82,    753,495,    258,    4 760,    3 640,    1 120,    62,    34,    28
纳西族,    161 485,    81 404,    80 081,    132 572,    63 202,    69 370,    7 904,    4 639,    3 265,    189,    155,    34,,,纳西族,    1 450,    1 023,    427,    2 457,    1 957,    500,    4 350,    2 102,    2 248,    537,    227,    310,    1 348,    494,    854,,,景颇族,    1 049,    534,    515,    14,     7,    7,    108,    62,    46,    1 204,    931,    273,    1,   -,    1
景颇族,    58 719,    28 879,    29 840,    54 123,    26 262,    27 861,    1 024,    537,    487,    2,    1,    1,,,景颇族,    52,    38,    14,    214,    156,    58,    626,    256,    370,    80,    22,    58,    222,    73,    149,,,柯尔克孜族,    2 641,    1 722,    919,    23,    17,    6,    226,    184,    42,    2 110,    1 748,    362,    3,    3,   -
柯尔克孜族,    61 411,    33 352,    28 059,    53 329,    27 718,    25 611,    1 028,    671,    357,    21,    16,    5,,,柯尔克孜族,    73,    56,    17,    356,    308,    48,    803,    557,    246,    94,    39,    55,    704,    313,    391,,,土族,    3 320,    2 672,    648,    69,    43,    26,    212,    161,    51,    1 849,    1 469,    380,    4,    4,    -
土族,    103 170,    54 591,    48 579,    91 436,    45 896,    45 540,    2 952,    1 996,    956,    32,    27,    5,,,土族,    767,    685,    82,    642,    561,    81,    1 105,    705,    400,    197,    84,    113,    585,    288,    297,,,达斡尔族,    3 986,    1 628,    2 358,    270,    157,    113,    607,    367,    240,    4 559,    3 085,    1 474,    28,    24,    4
达斡尔族,    46 602,    29 678,    16 924,    22 385,    16 098,    6 287,    6 420,    3 876,    2 544,    84,    52,    32,,,达斡尔族,    911,    663,    248,    1 420,    1 089,    331,    3 875,    1 872,    2 003,    681,    328,    353,    1 376,    439,    937,,,仫佬族,    2 274,    1 386,    888,    69,    39,    30,    332,    181,    151,    1 998,    1 498,    500,    15,    5,    10
仫佬族,    79 134,    41 247,    37 887,    64 310,    32 630,    31 680,    4 767,    2 746,    2 021,    54,    32,    22,,,仫佬族,    382,    294,    88,    890,    700,    190,    2 893,    1 212,    1 681,    502,    266,    236,    648,    258,    390,,,羌族,    2 387,    1 591,    796,    98,    67,    31,    324,    207,    117,    3 160,    2 455,    705,    8,    5,    3
羌族,    109 066,    56 179,    52 887,    96 726,    47 896,    48 830,    2 441,    1 602,    839,    13,    11,   2,,,羌族,    177,    150,    27,    1 031,    894,    137,    1 706,    808,    898,    327,    141,    186,    668,    352,    316,,,布朗族,    481,    358,    123,    7,    4,    3,    42,    39,    3,    359,    310,    49,    -,    -,     -
布朗族,    44 352,    22 975,    21 377,    42 620,    21 657,    20 963,    349,    265,    84,    4,    3,    1,,,布朗族,    46,    42,    4,    132,    122,    10,    234,    136,    98,    21,    7,    14,    57,    32,    25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--18全国各民族的行业门类 人口数(续01),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表3--1 8全国各民族的行业门类 人口数(续05),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
