表3-6全国市各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  72,    621 728,    293 230,    328 498,    602 629,    283 973,    318 656,    715,    383,    332,    6 787,    3 122,    3 665
  73,    575 712,    269 110,    306 602,    558 157,    260 785,    297 372,    657,    354,    303,    6 277,    2 892,    3 385
  74,    525 371,    239 989,    285 382,    509 364,    232 547,    276 817,    618,    325,    293,    5 602,    2 525,    3 077
75—79岁,    1 942 969,    846 086,    1 096 883,    1 882 131,    818 718,    1 063 413,    2 202,    1 083,    1 119,    21 305,    9 394,    11 911
  75,    473 985,    213 780,    260 205,    459 300,    207 017,    252 283,    531,    284,    247,    4 986,    2 251,    2 735
  76,    464 942,    205 896,    259 046,    450 514,    199 423,    251 091,    542,    270,    272,    5 301,    2 351,    2 950
  77,    379 799,    164 803,    214 996,    367 868,    159 404,    208 464,    425,    200,    225,    4 241,    1 882,    2 359
  78,    329 321,    139 973,    189 348,    318 875,    135 284,    183 591,    360,    166,    194,    3 531,    1 554,    1 977
  79,    294 922,    121 634,    173 288,    285 574,    117 590,    167 984,    344,    163,    181,    3 246,    1 356,    1 890
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
  全国市各民族分年龄、性别的人口数(第二种口径)(续03),,,,,,,,,,,,
  表3-6单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
80—84岁,    962 582,    359 017,    603 565,    931 757,    346 620,    585 137,    1 053,    474,    579,    11 077,    4 374,    6 703
  80,    264 028,    104 274,    159 754,    255 079,    100 523,    154 556,    297,    130,    167,    3 086,    1 287,    1 799
  81,    222 006,    84 071,    137 935,    215 087,    81 330,    133 757,    220,    90,    130,    2 516,    969,    1 547
  82,    184 772,    68 644,    116 128,    178 960,    66 308,    112 652,    213,    108,    105,    2 097,    828,    1 269
  83,    155 055,    55 586,    99 469,    150 211,    53 685,    96 526,    175,    74,    101,    1 787,    700,    1 087
  84,    136 721,    46 442,    90 279,    132 420,    44 774,    87 646,    148,    72,    76,    1 591,    590,    1 001
85-89岁,    368 634,    115 305,    253 329,    356 754,    110 882,    245 872,    380,    155,    225,    4 611,    1 674,    2 937
  85,    111 192,    36 344,    74 848,    107 579,    34 993,    72 586,    136,    63,    73,    1 361,    489,    872
  86,    88 795,    28 238,    60 557,    86 031,    27 198,    58 833,    98,    34,    64,    1 063,    398,    665
  87,    70 449,    21 664,    48 785,    68 218,    20 837,    47 381,    69,    27,    42,    857,    298,    559
  88,    55 967,    16 978,    38 989,    54 086,    16 246,    37 840,    48,    23,    25,    761,    291,    470
  89,    42 231,    12 081,    30 150,    40 840,    11 608,    29 232,    29,    8,    21,    569,    198,    371
