表3-31全国各民族按存活子女数分的15--64岁妇女人数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,  存活,  存活,  存活,  存活,  存活15,  平均每个
,,,,,,,,,,,,,,,    民族别,,,,,  个及15,  妇女存活
仡佬族,    123 449,    49 199,    12 427,    15 956,    16 583,    12 787,    8 694,    4 766,    2 059,    712,    213,    41,,,阿昌族,    1,-,    1,-,-,    2.31
锡伯族,    50 391,    17 247,    12 055,      10 491,    4 082,    2 701,    1 710,    1 056,    557,    291,    125,    45,,,普米族,    2,-,-,-,-,    2.16
阿昌族,    7 711,    2 563,    845,    997,    1 028,    861,    625,    412,    218,    118,    36,    6,,,塔吉克族,    8,    4,-,-,-,    2.55
普米族,    8 783,    3 025,    954,    1 231,    1 237,    968,    677,    377,    197,    79,    24,    12,,,怒族,-,-,-,-,-,    2.33
塔吉克族,    8 574,    2 800,    967,    999,    927,    894,    701,    524,    387,    230,    107,    26,,,乌孜别克族,    6,    1,    2,-,-,    2.15
怒族,    7 300,    2 166,    910,    1 055,    1 141,    764,    578,    380,    184,    84,    27,    11,,,俄罗斯族,    2,    1,-,-,-,    1.67
乌孜别克族,    4 047,    1 749,    425,    416,    354,    308,    271,    208,    129,    95,    59,    24,,,鄂温克族,    7,    4,    2,-,-,    1.83
俄罗斯族,    4 797,    1 685,    1 124,    826,    420,    259,    210,    131,    72,    41,    17,    9,,,德昂族,    9,    2,-,-,-,    2.50
鄂温克族,    7 630,    2 846,    1 165,    1 369,    864,    527,    335,    239,    123,    96,    33,    20,,,保安族,    2,-,-,-,-,    2.06
德昂族,    4 171,    1 182,    505,    600,    639,    451,    286,    214,    147,    88,    33,    1 5,,,裕固族,2,    2,-,-,-,    1.98
保安族,    3 652,    1 142,    441,    653,    637,    374,    203,    118,    45,    23,    12,     2,,,京族,    2,    3,    1,-,-,    2.21
裕固族,    3 970,    1 555,    409,    598,    538,    333,    241,    114,    101,    47,    25,    5,,,塔塔尔族,    2,    1,-,-,-,    2.09
京族,    6 044,    1 575,    791,    1 369,    887,    636,    410,    199,    104,    47,    17,    3,,,独龙族,    2,-,-,-,-,    2.25
塔塔尔族,    1 397,    663,    127,    151,    92,    80,    82,    75,    50,    34,    23,    17,,,鄂伦春族,-,-,-,-,-,    1.61
独龙族,    1 633,    485,    251,    251,    227,    136,    117,    90,    49,    18,    3,    4,,,赫哲族,-,-,-,-,-,    1.58
鄂伦春族,    2 139,    742,    441,    461,    216,    121,    74,    38,    25,    11,    7,    3,,,门巴族,    5,    1,-,-,-,    2.49
赫哲族,    1 218,    388,    312,    274,    96,    55,    36,    32,    15,    6,    4,   -,,,珞巴族,    2,-,-,-,-,    1.93
门巴族,    2 046,    622,    251,    301,    247,    211,    157,    95,    66,    55,    25,    10,,,基诺族,-,-,-,-,-,    2.20
珞巴族,    688,    240,    132,    92,    84,    54,    29,    23,    19,    9,    3,    1,,,其他未识别的民族,    59,    12,    1,-,-,    2.49
基诺族,    5 488,    1 450,    706,    1 122,    1 046,    511,    285,    170,    126,    44,    19,    9,,,外国人加入中国籍,    3,    3,-,-,-,    3.26
其他未识别的民族,    206 142,    66 638,    20 536,    20 676,    28 818,    25 364,    19 473,    13 025,    7 080,    3 122,    1 067,    271,,,,,,,,,
外国人加入中国籍,    1 392,    220,    168,    199,    173,    200,    168,    134,    71,    38,    10,    5,,,,,,,,,
